Artist and Title,Days,T10,Pk,(x?),PkStreams,Total,Artist,Song
Manuel Turizo - La Bachata,880,308.0,1,(x121),46992,20685688,Manuel Turizo,La Bachata
J Balvin - LA CANCIÓN,1945,206.0,2,(x30),19432,16250318,J Balvin,LA CANCIÓN
Feid - Feliz Cumpleaños Ferxxo,797,204.0,2,(x1),35472,14965863,Feid,Feliz Cumpleaños Ferxxo
Danny Ocean - Me Rehúso,2865,342.0,1,(x13),15411,14939268,Danny Ocean,Me Rehúso
Grupo Frontera - un x100to,556,197.0,1,(x73),144098,14893147,Grupo Frontera,un x100to
Bad Bunny - Me Porto Bonito,902,251.0,1,(x45),54452,14854867,Bad Bunny,Me Porto Bonito
Big One - Un Finde | CROSSOVER #2,568,257.0,1,(x10),55770,14556634,Big One,Un Finde | CROSSOVER #2
"Bizarrap - Quevedo: Bzrp Music Sessions, Vol. 52",793,230.0,1,(x65),87640,13902067,Bizarrap,"Quevedo: Bzrp Music Sessions, Vol. 52"
Plan B - Es un Secreto,1116,149.0,5,,29552,13647172,Plan B,Es un Secreto
Bad Bunny - Ojitos Lindos,902,249.0,1,(x16),53956,12908687,Bad Bunny,Ojitos Lindos
TINI - Miénteme,1273,233.0,5,,25168,12794429,TINI,Miénteme
Maluma - Hawái,1328,220.0,1,(x76),64255,12427668,Maluma,Hawái
Jay Wheeler - La Curiosidad,1586,127.0,2,(x3),22885,12321097,Jay Wheeler,La Curiosidad
Bad Bunny - Efecto,877,232.0,2,(x2),40871,11905699,Bad Bunny,Efecto
Taiu - Rara Vez,620,67.0,2,(x1),36329,11845859,Taiu,Rara Vez
Feid - LUNA,328,318.0,1,(x76),53131,11789673,Feid,LUNA
Maluma - Según Quién,433,243.0,1,(x66),50247,11730494,Maluma,Según Quién
Grupo Frontera - OJITOS ROJOS,461,189.0,1,(x23),53765,11716205,Grupo Frontera,OJITOS ROJOS
Ozuna - Hey Mor,746,175.0,2,(x39),36210,11616454,Ozuna,Hey Mor
Piso 21 - Pa' Olvidarme De Ella,1557,181.0,1,(x43),18874,11422519,Piso 21,Pa' Olvidarme De Ella
Bad Bunny - Yonaguni,862,284.0,1,(x53),55970,10995023,Bad Bunny,Yonaguni
KAROL G - QLONA,440,219.0,1,(x11),43236,10965832,KAROL G,QLONA
Mora - LA INOCENTE,935,1.0,10,,21064,10838610,Mora,LA INOCENTE
Feid - Classy 101,573,89.0,6,,41074,10774040,Feid,Classy 101
Rauw Alejandro - Todo De Ti,1012,222.0,1,(x10),61086,10382899,Rauw Alejandro,Todo De Ti
Rauw Alejandro - Desesperados,961,116.0,1,(x28),28881,10312150,Rauw Alejandro,Desesperados
KAROL G - PROVENZA,915,163.0,1,(x4),34450,10290079,KAROL G,PROVENZA
Yahritza Y Su Esencia - Frágil,560,134.0,2,(x7),57273,10142068,Yahritza Y Su Esencia,Frágil
