Artist and Title,Days,T10,Pk,(x?),PkStreams,Total,Artist,Song
Skryptonite - Это любовь,977,53.0,5,,9143,4859340,Skryptonite,Это любовь
xxxmanera - Never Broke Again,877,281.0,2,(x7),11048,4786126,xxxmanera,Never Broke Again
Aarne - Тесно,803,187.0,1,(x43),30775,4591847,Aarne,Тесно
Кишлак - Я уёбываю в джаз,971,121.0,4,,8548,4515081,Кишлак,Я уёбываю в джаз
FACE - Антидепрессант,967,9.0,8,,7328,4218385,FACE,Антидепрессант
FACE - ЛАБИРИНТ,970,22.0,3,(x1),8351,4121040,FACE,ЛАБИРИНТ
V - Love Me Again,440,244.0,1,(x15),29627,4050779,V,Love Me Again
Max Korzh - Жить в кайф,791,27.0,7,,9868,3644855,Max Korzh,Жить в кайф
Кишлак - Самый лучший день,729,55.0,6,,9584,3552553,Кишлак,Самый лучший день
Korol i Shut - Кукла колдуна,951,60.0,4,,10193,3419460,Korol i Shut,Кукла колдуна
Три дня дождя - Отпускай,837,7.0,9,,7952,3358072,Три дня дождя,Отпускай
Какая Разница - Рассвет,954,,14,,6168,3282310,Какая Разница,Рассвет
Poshlaya Molly - Контракт,977,3.0,9,,11132,3272341,Poshlaya Molly,Контракт
Big Baby Tape - Million,977,,15,,5396,3230091,Big Baby Tape,Million
Кишлак - Эй,800,,11,,7186,3223367,Кишлак,Эй
Poshlaya Molly - Нон стоп,970,,18,,8072,3205661,Poshlaya Molly,Нон стоп
ooes - последнее лето,668,1.0,10,,6872,3166360,ooes,последнее лето
FRIENDLY THUG 52 NGG - Lost Angeles,356,234.0,3,(x3),12241,3131310,FRIENDLY THUG 52 NGG,Lost Angeles
xxxmanera - Скажи мне кто ты,514,120.0,1,(x58),24322,3091296,xxxmanera,Скажи мне кто ты
ANNA ASTI - Царица,459,186.0,1,(x21),17107,3027483,ANNA ASTI,Царица
uniqe - ТОЛПЫ КРИЧАТ,881,8.0,7,,7717,2954491,uniqe,ТОЛПЫ КРИЧАТ
INSTASAMKA - ЗА ДЕНЬГИ ДА,390,146.0,1,(x84),23762,2941499,INSTASAMKA,ЗА ДЕНЬГИ ДА
The Neighbourhood - Sweater Weather,965,,18,,4651,2901122,The Neighbourhood,Sweater Weather
Scally Milano - Дай Мне Шанс,547,31.0,5,,11484,2887202,Scally Milano,Дай Мне Шанс
Три дня дождя - Прощание,369,139.0,1,(x44),24429,2858520,Три дня дождя,Прощание
FACE - Лиза,815,1.0,8,,7271,2820721,FACE,Лиза
Quest Pistols - Ты так красива,763,1.0,8,,7275,2745893,Quest Pistols,Ты так красива
zhanulka - портреты - Acoustic,627,,11,,7383,2684618,zhanulka,портреты - Acoustic
KRBK - Крепче,535,5.0,9,,8354,2670818,KRBK,Крепче
INTERWORLD - METAMORPHOSIS,601,87.0,4,,8407,2645970,INTERWORLD,METAMORPHOSIS
Korol i Shut - Дурак и молния,832,22.0,5,,9290,2638571,Korol i Shut,Дурак и молния
Kordhell - Murder In My Mind,636,102.0,4,,7569,2632468,Kordhell,Murder In My Mind
MORGENSHTERN - Последняя Любовь,231,105.0,1,(x42),29124,2619163,MORGENSHTERN,Последняя Любовь
Дайте танк (!) - Утро,832,,29,,5645,2618491,Дайте танк (!),Утро
shadowraze - Холод,427,77.0,1,(x16),29467,2602192,shadowraze,Холод
Max Korzh - Пьяный дождь,834,,44,,4722,2582852,Max Korzh,Пьяный дождь
ooes - зима,944,,28,,5078,2579723,ooes,зима
uglystephan - Заберу,455,169.0,1,(x7),13561,2567005,uglystephan,Заберу
uniqe - АФТЕРПАТИ,419,70.0,2,(x5),12583,2518297,uniqe,АФТЕРПАТИ
Toxi$ - CRANKI,476,45.0,3,(x2),9221,2507211,Toxi$,CRANKI
Rammstein - Sonne,766,,15,,5835,2496971,Rammstein,Sonne
Poshlaya Molly - Дом Периньон,936,,20,,5204,2491875,Poshlaya Molly,Дом Периньон
Кишлак - Музыка,772,4.0,6,,5460,2488882,Кишлак,Музыка
Шайни - Yeyo!,612,161.0,1,(x15),6847,2481991,Шайни,Yeyo!
Jung Kook - Seven,465,107.0,1,(x5),28859,2476253,Jung Kook,Seven
ПОЛМАТЕРИ - ярче звёзд,745,45.0,3,(x5),5859,2475327,ПОЛМАТЕРИ,ярче звёзд
Nervy - Нервы,882,,12,,4534,2465298,Nervy,Нервы
shadowraze - showdown,562,131.0,1,(x67),33682,2379830,shadowraze,showdown
LOVV66 - МАЙ МАЙ,505,80.0,1,(x12),19137,2369712,LOVV66,МАЙ МАЙ
Heronwater - Дай мне посмотреть,468,94.0,1,(x45),19054,2364683,Heronwater,Дай мне посмотреть
AP$ENT - Можно я с тобой,235,89.0,1,(x17),35171,2364101,AP$ENT,Можно я с тобой
Nervy - Батареи,926,,29,,5114,2326063,Nervy,Батареи
ANNA ASTI - По барам,700,,15,,6641,2303462,ANNA ASTI,По барам
Moya Mishel - Зима в сердце,390,121.0,1,(x12),16526,2294957,Moya Mishel,Зима в сердце
Big Baby Tape - Bandana,803,3.0,8,,4587,2278540,Big Baby Tape,Bandana
T-Fest - Ламбада,849,,48,,4198,2256206,T-Fest,Ламбада
ALBLAK 52 - +7(952)812,419,51.0,4,,11693,2254619,ALBLAK 52,+7(952)812
10AGE - Ау,655,44.0,3,(x4),5917,2254368,10AGE,Ау
Exile - MiMiMaMaMu,505,54.0,2,(x18),14133,2228200,Exile,MiMiMaMaMu
Nirvana - Smells Like Teen Spirit - Remastered,960,,68,,3570,2218142,Nirvana,Smells Like Teen Spirit - Remastered
Max Korzh - Эндорфин,806,,43,,5020,2185475,Max Korzh,Эндорфин
Korol i Shut - Лесник,631,22.0,5,,9070,2177541,Korol i Shut,Лесник
Aarne - ВМЕСТЕ,483,66.0,1,(x2),19164,2162982,Aarne,ВМЕСТЕ
"Молодой Платон - DON'T PLAY, BAE",559,83.0,2,(x1),10851,2141072,Молодой Платон,"DON'T PLAY, BAE"
Poshlaya Molly - #HABIBATI,602,44.0,1,(x1),12307,2132222,Poshlaya Molly,#HABIBATI
MACAN - ASPHALT 8,449,125.0,2,(x2),9992,2128126,MACAN,ASPHALT 8
Max Korzh - Где твоя любовь?,662,,43,,4790,2114958,Max Korzh,Где твоя любовь?
Scally Milano - Я хочу тебя трахать,609,39.0,3,(x1),5622,2105329,Scally Milano,Я хочу тебя трахать
Mr.Kitty - After Dark,674,8.0,4,,4324,2074846,Mr.Kitty,After Dark
INSTASAMKA - POPSTAR,333,126.0,1,(x44),27996,2054242,INSTASAMKA,POPSTAR
Kill Eva - Psycho Dreams (Sped Up),462,53.0,5,,10394,2053615,Kill Eva,Psycho Dreams (Sped Up)
Tom Odell - Another Love,659,10.0,10,,5443,2029621,Tom Odell,Another Love
daryana - juice,212,89.0,2,(x29),24866,2007465,daryana,juice
ПОЛМАТЕРИ - маша,550,19.0,5,,7707,1999412,ПОЛМАТЕРИ,маша
Violetta Sokolova - Четыре тридцать,546,13.0,2,(x3),5876,1985950,Violetta Sokolova,Четыре тридцать
Toxi$ - HURTZ,344,55.0,2,(x9),16063,1983958,Toxi$,HURTZ
LOVV66 - 5IVE,455,91.0,3,(x9),10747,1955651,LOVV66,5IVE
Lida - ЧСВ,265,92.0,1,(x10),19123,1946992,Lida,ЧСВ
XXXTENTACION - Revenge,804,,45,,4456,1932602,XXXTENTACION,Revenge
Poshlaya Molly - Ханнамонтана,712,,33,,5893,1921915,Poshlaya Molly,Ханнамонтана
uniqe - ХОЧУ 18+,360,63.0,2,(x2),13503,1917020,uniqe,ХОЧУ 18+
uniqe - Кисти,282,68.0,3,(x10),12967,1882310,uniqe,Кисти
АКУЛИЧ - ПОДАРОК,251,90.0,1,(x15),18826,1867429,АКУЛИЧ,ПОДАРОК
V - FRI(END)S,223,86.0,5,,13311,1850180,V,FRI(END)S
Папин Олимпос - Официантка,590,33.0,6,,7693,1841394,Папин Олимпос,Официантка
Lil Peep - Star Shopping,797,,79,,3254,1788932,Lil Peep,Star Shopping
5mewmet - Разноцветные таблетки,292,78.0,3,(x2),10130,1748533,5mewmet,Разноцветные таблетки
KENTUKKI - Замигает свет,734,,28,,3327,1747676,KENTUKKI,Замигает свет
Skryptonite - Космос,501,,22,,5529,1740318,Skryptonite,Космос
shadowraze - astral step,502,130.0,1,(x12),11420,1737521,shadowraze,astral step
NEWLIGHTCHILD - F*CK OFF,373,44.0,3,(x2),10677,1731773,NEWLIGHTCHILD,F*CK OFF
Poshlaya Molly - Супермаркет,551,,18,,7205,1725294,Poshlaya Molly,Супермаркет
Monetochka - Селфхарм,153,69.0,1,(x29),28755,1715381,Monetochka,Селфхарм
The Neighbourhood - Softcore,769,,40,,3279,1712034,The Neighbourhood,Softcore
pyrokinesis - Днями-ночами,561,52.0,3,(x1),4529,1697797,pyrokinesis,Днями-ночами
Pepel Nahudi - Заново завоевать,393,58.0,2,(x2),14666,1696456,Pepel Nahudi,Заново завоевать
Big Baby Tape - Supersonic,118,104.0,1,(x22),25096,1676960,Big Baby Tape,Supersonic
1.Kla$ - Сукины дети,346,15.0,7,,10248,1676616,1.Kla$,Сукины дети
Ицык Цыпер - Дымок,234,96.0,1,(x21),17016,1667299,Ицык Цыпер,Дымок
Jakone - По весне,528,,30,,4940,1665815,Jakone,По весне
Toxi$ - ХАЙЕГОХО,400,50.0,5,,10170,1664790,Toxi$,ХАЙЕГОХО
PLOHOYPAREN - Таблетка,589,14.0,8,,5283,1647542,PLOHOYPAREN,Таблетка
ENINA - кончил,185,95.0,2,(x2),12946,1640448,ENINA,кончил
Poshlaya Molly - Все хотят меня поцеловать,544,,32,,6197,1640074,Poshlaya Molly,Все хотят меня поцеловать
Дайте танк (!) - Люди,646,,51,,4457,1633919,Дайте танк (!),Люди
INTERWORLD - METAMORPHOSIS 3,304,84.0,2,(x3),15032,1613328,INTERWORLD,METAMORPHOSIS 3
Три дня дождя - Перезаряжай,570,,21,,5109,1596241,Три дня дождя,Перезаряжай
Jimin - Who,97,97.0,1,(x10),37411,1593188,Jimin,Who
Dxrk ダーク - RAVE,480,76.0,4,,6399,1593177,Dxrk ダーク,RAVE
NEWLIGHTCHILD - DANCE FLOOR,347,47.0,6,,8545,1555690,NEWLIGHTCHILD,DANCE FLOOR
MUPP - vendetta!,458,34.0,8,,5814,1550248,MUPP,vendetta!
Big Baby Tape - Ameli,118,111.0,1,(x30),22517,1539127,Big Baby Tape,Ameli
Три дня дождя - Где ты,634,,37,,4731,1538984,Три дня дождя,Где ты
Miyagi & Andy Panda - Minor,640,,55,,3675,1520009,Miyagi & Andy Panda,Minor
MACAN - Кино,613,,46,,3717,1515084,MACAN,Кино
Toxi$ - DANTE,451,,17,,6395,1505785,Toxi$,DANTE
