Artist and Title,Days,T10,Pk,(x?),PkStreams,Total,Artist,Song
Post Malone - Sunflower - Spider-Man: Into the Spider-Verse,2164,237.0,1,(x2),254842,155942887,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse
The Weeknd - Blinding Lights,1737,263.0,1,(x13),350585,141109406,The Weeknd,Blinding Lights
Lewis Capaldi - Someone You Loved,2082,100.0,2,(x4),169175,139789996,Lewis Capaldi,Someone You Loved
Glass Animals - Heat Waves,1376,376.0,1,(x55),208373,132486265,Glass Animals,Heat Waves
Morgan Wallen - Last Night,632,310.0,1,(x120),378230,113887129,Morgan Wallen,Last Night
J. Cole - No Role Modelz,2666,,20,,115353,110318037,J. Cole,No Role Modelz
Drake - One Dance,1767,188.0,1,(x103),295143,103580639,Drake,One Dance
Harry Styles - As It Was,881,232.0,1,(x73),565106,102592979,Harry Styles,As It Was
Post Malone - Circles,1450,164.0,1,(x35),379341,101074263,Post Malone,Circles
The Kid LAROI - Stay,917,283.0,1,(x86),407649,99618324,The Kid LAROI,Stay
Tones And I - Dance Monkey,1155,207.0,1,(x28),269396,97228484,Tones And I,Dance Monkey
Juice WRLD - Lucid Dreams,1598,88.0,1,(x2),253417,95934592,Juice WRLD,Lucid Dreams
Post Malone - rockstar,1197,202.0,1,(x118),392100,95241408,Post Malone,rockstar
Zach Bryan - Something in the Orange,901,20.0,8,,145765,92100746,Zach Bryan,Something in the Orange
The Neighbourhood - Sweater Weather,1485,,17,,108084,91013063,The Neighbourhood,Sweater Weather
Harry Styles - Watermelon Sugar,1313,103.0,3,(x4),188014,84362039,Harry Styles,Watermelon Sugar
Miley Cyrus - Flowers,641,187.0,1,(x43),710366,83218276,Miley Cyrus,Flowers
Journey - Don't Stop Believin',2359,,40,,63312,81825905,Journey,Don't Stop Believin'
Ed Sheeran - Shape of You,1255,165.0,1,(x76),329025,81470606,Ed Sheeran,Shape of You
Noah Kahan - Stick Season,570,150.0,1,(x8),301213,80623486,Noah Kahan,Stick Season
Vance Joy - Riptide,2362,43.0,3,(x1),115065,80078835,Vance Joy,Riptide
David Guetta - I'm Good (Blue),787,190.0,1,(x21),238303,80055638,David Guetta,I'm Good (Blue)
Fleetwood Mac - Dreams - 2004 Remaster,1454,16.0,4,,171403,79227287,Fleetwood Mac,Dreams - 2004 Remaster
James Arthur - Say You Won't Let Go,2027,46.0,6,,107564,79085054,James Arthur,Say You Won't Let Go
The Weeknd - Starboy,1323,142.0,1,(x85),264144,78060401,The Weeknd,Starboy
Travis Scott - SICKO MODE,1039,186.0,1,(x4),411521,77691924,Travis Scott,SICKO MODE
SZA - Kill Bill,676,176.0,1,(x24),360473,77018064,SZA,Kill Bill
Lady Gaga - Shallow,1446,27.0,3,(x2),207807,76638100,Lady Gaga,Shallow
Taylor Swift - Cruel Summer,657,180.0,3,(x9),224825,76505180,Taylor Swift,Cruel Summer
Dua Lipa - Levitating,971,203.0,3,(x10),214062,75939748,Dua Lipa,Levitating
Travis Scott - goosebumps,1954,,11,,128322,75765557,Travis Scott,goosebumps
Shaboozey - A Bar Song (Tipsy),195,184.0,1,(x81),761708,74456352,Shaboozey,A Bar Song (Tipsy)
Zach Bryan - I Remember Everything,426,192.0,1,(x1),263134,74149185,Zach Bryan,I Remember Everything
Benson Boone - Beautiful Things,279,253.0,1,(x33),403644,73582196,Benson Boone,Beautiful Things
SAINt JHN - Roses - Imanbek Remix,905,162.0,1,(x2),234826,73028356,SAINt JHN,Roses - Imanbek Remix
OneRepublic - I Ain't Worried,822,125.0,2,(x3),167838,72821076,OneRepublic,I Ain't Worried
Kendrick Lamar - HUMBLE.,1185,122.0,1,(x25),338213,72602515,Kendrick Lamar,HUMBLE.
Elton John - Cold Heart - PNAU Remix,864,192.0,1,(x11),206749,71942616,Elton John,Cold Heart - PNAU Remix
Offset - Ric Flair Drip,1392,34.0,5,,116061,70714262,Offset,Ric Flair Drip
Morgan Wallen - You Proof,892,,12,,174241,70589579,Morgan Wallen,You Proof
24kGoldn - Mood,733,189.0,1,(x48),329794,70337646,24kGoldn,Mood
Drake - God's Plan,709,138.0,1,(x70),608715,70098307,Drake,God's Plan
French Montana - Unforgettable,1048,168.0,1,(x16),197326,69472541,French Montana,Unforgettable
Morgan Wallen - Wasted On You,1040,4.0,4,,134894,69082402,Morgan Wallen,Wasted On You
Billie Eilish - bad guy,855,109.0,1,(x9),345944,69065548,Billie Eilish,bad guy
Luke Combs - Fast Car,579,175.0,2,(x8),196372,68849529,Luke Combs,Fast Car
Morgan Wallen - Whiskey Glasses,1543,,32,,86064,68684835,Morgan Wallen,Whiskey Glasses
The Killers - Mr. Brightside,1580,,25,,91092,68508507,The Killers,Mr. Brightside
Mariah Carey - All I Want for Christmas Is You,498,233.0,1,(x49),1012018,67393363,Mariah Carey,All I Want for Christmas Is You
DaBaby - ROCKSTAR,644,190.0,1,(x72),329921,67327082,DaBaby,ROCKSTAR
Roddy Ricch - The Box,636,163.0,1,(x70),480071,66565975,Roddy Ricch,The Box
Ed Sheeran - Perfect,1654,35.0,5,,134956,65600213,Ed Sheeran,Perfect
Olivia Rodrigo - good 4 u,572,134.0,1,(x55),597455,65499219,Olivia Rodrigo,good 4 u
Imagine Dragons - Believer,1570,3.0,9,,114731,65353132,Imagine Dragons,Believer
Billie Eilish - lovely,1509,,25,,94963,64510765,Billie Eilish,lovely
Rema - Calm Down,644,192.0,3,(x6),196609,64259285,Rema,Calm Down
Shawn Mendes - Señorita,761,127.0,1,(x68),392247,64164486,Shawn Mendes,Señorita
Drake - Jimmy Cooks,680,120.0,1,(x15),693448,63658176,Drake,Jimmy Cooks
The Weeknd - Die For You,1077,11.0,7,,124333,63381975,The Weeknd,Die For You
Post Malone - I Had Some Help (Feat. Morgan Wallen),167,167.0,1,(x29),1518897,63057752,Post Malone,I Had Some Help (Feat. Morgan Wallen)
Dua Lipa - Don't Start Now,957,102.0,4,,189818,63034351,Dua Lipa,Don't Start Now
Post Malone - Better Now,797,103.0,1,(x28),357069,62723240,Post Malone,Better Now
Lil Nas X - INDUSTRY BABY,547,252.0,1,(x3),342166,62482537,Lil Nas X,INDUSTRY BABY
Lil Uzi Vert - XO TOUR Llif3,1097,148.0,3,(x1),155332,62429000,Lil Uzi Vert,XO TOUR Llif3
Lil Baby - Drip Too Hard (Lil Baby & Gunna),1185,57.0,4,,174124,62424690,Lil Baby,Drip Too Hard (Lil Baby & Gunna)
Ed Sheeran - Bad Habits,672,145.0,2,(x14),254044,62141304,Ed Sheeran,Bad Habits
XXXTENTACION - SAD!,1032,62.0,1,(x7),492313,61752793,XXXTENTACION,SAD!
Ed Sheeran - Shivers,739,164.0,2,(x2),226788,61041531,Ed Sheeran,Shivers
Luke Combs - The Kind of Love We Make,827,1.0,10,,133101,60134468,Luke Combs,The Kind of Love We Make
Teddy Swims - Lose Control,388,103.0,3,(x1),239727,59186932,Teddy Swims,Lose Control
Taylor Swift - Anti-Hero,547,92.0,1,(x14),840661,58703068,Taylor Swift,Anti-Hero
Sabrina Carpenter - Espresso,195,185.0,2,(x6),481376,58632509,Sabrina Carpenter,Espresso
Luke Combs - Beautiful Crazy,1427,,60,,81440,58344214,Luke Combs,Beautiful Crazy
Chris Stapleton - Tennessee Whiskey,1187,,33,,91796,58247528,Chris Stapleton,Tennessee Whiskey
Tate McRae - greedy,405,166.0,1,(x8),261809,58089807,Tate McRae,greedy
Eminem - Lose Yourself,2052,1.0,8,,110583,57677118,Eminem,Lose Yourself
Bebe Rexha - Meant to Be,1108,,15,,98742,56948071,Bebe Rexha,Meant to Be
Brenda Lee - Rockin' Around The Christmas Tree,399,157.0,1,(x49),1197041,56696316,Brenda Lee,Rockin' Around The Christmas Tree
Olivia Rodrigo - drivers license,649,121.0,1,(x34),695493,55849620,Olivia Rodrigo,drivers license
Gunna - fukumean,474,126.0,1,(x24),283190,55184219,Gunna,fukumean
