Artist and Title,Days,T10,Pk,(x?),PkStreams,Total,Artist,Song
Apache 207 - Roller,1855,220.0,1,(x97),1357504,346045795,Apache 207,Roller
The Weeknd - Blinding Lights,1345,165.0,1,(x2),643705,222844151,The Weeknd,Blinding Lights
Bonez MC - Ohne mein Team,2446,112.0,3,(x9),311947,206688942,Bonez MC,Ohne mein Team
Udo Lindenberg - Komet,643,228.0,1,(x82),1232878,203456892,Udo Lindenberg,Komet
Tones And I - Dance Monkey,853,199.0,2,(x28),896905,185511674,Tones And I,Dance Monkey
Tom Odell - Another Love,1337,10.0,9,,270985,180771029,Tom Odell,Another Love
Glass Animals - Heat Waves,990,242.0,1,(x21),529596,165446886,Glass Animals,Heat Waves
Pashanim - Sommergewitter,1167,77.0,1,(x26),1034412,164388495,Pashanim,Sommergewitter
Juju - Vermissen,1107,76.0,1,(x10),1154749,155421393,Juju,Vermissen
Bonez MC - 500 PS,1121,122.0,1,(x12),869195,151965327,Bonez MC,500 PS
Mariah Carey - All I Want for Christmas Is You,445,219.0,1,(x67),3547199,150128267,Mariah Carey,All I Want for Christmas Is You
Linkin Park - In the End,2274,1.0,10,,296556,150032802,Linkin Park,In the End
Wham! - Last Christmas,459,192.0,1,(x38),3591533,144508106,Wham!,Last Christmas
Montez - Auf & Ab,965,94.0,1,(x26),829688,142793769,Montez,Auf & Ab
David Guetta - I'm Good (Blue),788,163.0,1,(x2),888100,142379241,David Guetta,I'm Good (Blue)
Nina Chuba - Wildberry Lillet,762,117.0,1,(x38),863158,139999376,Nina Chuba,Wildberry Lillet
Lost Frequencies - Where Are You Now,955,161.0,3,(x1),456492,138711035,Lost Frequencies,Where Are You Now
Luciano - Beautiful Girl,612,138.0,1,(x46),1401146,137965596,Luciano,Beautiful Girl
BENNETT - Vois sur ton chemin - Techno Mix,446,215.0,1,(x27),788391,134218563,BENNETT,Vois sur ton chemin - Techno Mix
Bausa - Was du Liebe nennst,886,164.0,1,(x120),747429,132139600,Bausa,Was du Liebe nennst
Miksu / Macloud - Sehnsucht,775,127.0,1,(x33),942084,131203762,Miksu / Macloud,Sehnsucht
Apache 207 - 200 km/h,777,108.0,2,(x2),1162750,131119200,Apache 207,200 km/h
Lewis Capaldi - Someone You Loved,1277,,22,,235484,128249316,Lewis Capaldi,Someone You Loved
Dynoro - In My Mind,790,128.0,1,(x39),712085,126872805,Dynoro,In My Mind
Ed Sheeran - Shape of You,751,149.0,1,(x108),721232,124548404,Ed Sheeran,Shape of You
Eminem - Mockingbird,744,74.0,4,,407462,123504814,Eminem,Mockingbird
SAINt JHN - Roses - Imanbek Remix,722,65.0,3,(x6),480365,122872995,SAINt JHN,Roses - Imanbek Remix
The Kid LAROI - Stay,584,133.0,1,(x14),752449,122808302,The Kid LAROI,Stay
Miley Cyrus - Flowers,606,114.0,1,(x8),1142181,121913027,Miley Cyrus,Flowers
RAF Camora - Blaues Licht,780,68.0,1,(x10),960910,121804812,RAF Camora,Blaues Licht
Pashanim - Airwaves,946,76.0,1,(x4),690866,121679610,Pashanim,Airwaves
Harry Styles - As It Was,755,95.0,1,(x2),554644,121441974,Harry Styles,As It Was
Capital Bra - 110,612,77.0,1,(x20),1408165,119995693,Capital Bra,110
The Neighbourhood - Sweater Weather,1344,,29,,165924,118434483,The Neighbourhood,Sweater Weather
Luciano - Bamba,550,136.0,1,(x28),1309732,115928041,Luciano,Bamba
cassö - Prada,439,142.0,1,(x1),671606,115667983,cassö,Prada
DJ Robin - Layla,490,112.0,1,(x55),1614892,111038056,DJ Robin,Layla
Ion Miles - Powerade,638,105.0,2,(x23),640131,109330050,Ion Miles,Powerade
Luca-Dante Spadafora - Mädchen auf dem Pferd,510,112.0,1,(x31),666082,109257458,Luca-Dante Spadafora,Mädchen auf dem Pferd
Peter Fox - Zukunft Pink,489,138.0,1,(x49),993994,108624447,Peter Fox,Zukunft Pink
24kGoldn - Mood,557,130.0,1,(x35),769452,103937861,24kGoldn,Mood
Macklemore & Ryan Lewis - Can't Hold Us,1029,,25,,272945,103096825,Macklemore & Ryan Lewis,Can't Hold Us
SIRA - 9 bis 9,530,118.0,2,(x7),545801,102955345,SIRA,9 bis 9
Topic - Breaking Me,603,64.0,3,(x2),391204,102065003,Topic,Breaking Me
Joel Corry - Head & Heart,643,96.0,1,(x1),684086,101931190,Joel Corry,Head & Heart
Eminem - Lose Yourself,2109,,35,,149507,101858277,Eminem,Lose Yourself
AYLIVA - Sie weiß,448,99.0,1,(x11),1107487,101638010,AYLIVA,Sie weiß
Eminem - Without Me,1336,,28,,169334,101094539,Eminem,Without Me
Capital Bra - Tilidin,506,67.0,1,(x14),1788621,100318666,Capital Bra,Tilidin
Post Malone - rockstar,686,152.0,1,(x16),521226,98775325,Post Malone,rockstar
DaBaby - ROCKSTAR,497,100.0,3,(x14),680086,98525201,DaBaby,ROCKSTAR
Ed Sheeran - Shivers,624,101.0,1,(x2),531510,97739002,Ed Sheeran,Shivers
Sido - 2002,708,60.0,5,,881185,96785602,Sido,2002
Billie Eilish - bad guy,553,67.0,2,(x2),482369,95784003,Billie Eilish,bad guy
Riton - Friday,571,113.0,3,(x7),549305,95590511,Riton,Friday
Pashanim - Ms. Jackson,423,71.0,1,(x7),860982,94705211,Pashanim,Ms. Jackson
Ava Max - Sweet but Psycho,591,118.0,1,(x1),778057,91422159,Ava Max,Sweet but Psycho
Coolio - Gangsta's Paradise,1167,,21,,237550,91372459,Coolio,Gangsta's Paradise
Miksu / Macloud - Nachts wach (Lila Wolken Bootleg),711,38.0,5,,424445,91261701,Miksu / Macloud,Nachts wach (Lila Wolken Bootleg)
Artemas - i like the way you kiss me,219,115.0,1,(x33),1009896,91198141,Artemas,i like the way you kiss me
Ed Sheeran - Bad Habits,477,89.0,3,(x10),571854,91189389,Ed Sheeran,Bad Habits
Juice WRLD - Lucid Dreams,1140,,13,,330628,91083489,Juice WRLD,Lucid Dreams
Elton John - Cold Heart - PNAU Remix,690,26.0,5,,513567,90994466,Elton John,Cold Heart - PNAU Remix
Miksu / Macloud - Nachts wach,550,86.0,1,(x6),635278,90943893,Miksu / Macloud,Nachts wach
Matt Sassari - Give It To Me - Full Vocal Mix,818,,14,,305208,90716159,Matt Sassari,Give It To Me - Full Vocal Mix
Tate McRae - greedy,385,124.0,1,(x9),566872,89479984,Tate McRae,greedy
ART - Belgisches Viertel,818,14.0,7,,388169,89404273,ART,Belgisches Viertel
Tiësto - The Business,601,94.0,3,(x4),484527,89196148,Tiësto,The Business
Bausa - Madonna,568,82.0,1,(x33),1109477,88705931,Bausa,Madonna
AYLIVA - Wunder,181,177.0,1,(x28),2103592,88026350,AYLIVA,Wunder
Billie Eilish - lovely,1336,,46,,129787,88017827,Billie Eilish,lovely
Samra - Wieder Lila,433,58.0,1,(x17),1461501,87697648,Samra,Wieder Lila
David Kushner - Daylight,470,90.0,1,(x1),490856,87143749,David Kushner,Daylight
Shawn Mendes - Señorita,402,89.0,1,(x19),869422,87119080,Shawn Mendes,Señorita
Farruko - Pepas,562,23.0,2,(x1),524458,86496111,Farruko,Pepas
Yung Yury - TABU.,396,116.0,1,(x7),626293,86400152,Yung Yury,TABU.
Shakin' Stevens - Merry Christmas Everyone,291,121.0,3,(x44),3229858,86341432,Shakin' Stevens,Merry Christmas Everyone
Regard - Ride It,721,1.0,8,,424609,84553059,Regard,Ride It
"$OHO BANI - ZEIT, DASS SICH WAS DREHT",244,139.0,1,(x30),855377,84368208,$OHO BANI,"ZEIT, DASS SICH WAS DREHT"
Benson Boone - Beautiful Things,279,97.0,1,(x30),576278,84252145,Benson Boone,Beautiful Things
Tream - LEBENSLANG - HBz Remix,742,,15,,257225,83600923,Tream,LEBENSLANG - HBz Remix
Summer Cem - Casanova,526,108.0,1,(x10),553984,83342764,Summer Cem,Casanova
Apache 207 - Bläulich,388,70.0,1,(x25),1566611,82732512,Apache 207,Bläulich
Olivia Rodrigo - good 4 u,446,90.0,1,(x22),588783,82515971,Olivia Rodrigo,good 4 u
Drake - One Dance,651,126.0,1,(x98),511547,81675644,Drake,One Dance
Ariana Grande - Santa Tell Me,379,75.0,5,,2116446,81211026,Ariana Grande,Santa Tell Me
