Artist and Title,Days,T10,Pk,(x?),PkStreams,Total,Artist,Song
Bad Bunny - Me Porto Bonito,902,383.0,1,(x125),101745,15806214,Bad Bunny,Me Porto Bonito
J Balvin - LA CANCIÓN,1945,199.0,1,(x13),41872,14143922,J Balvin,LA CANCIÓN
Bad Bunny - Efecto,902,248.0,2,(x40),75493,11349700,Bad Bunny,Efecto
Bad Bunny - Tití Me Preguntó,836,200.0,1,(x46),116647,11319668,Bad Bunny,Tití Me Preguntó
Bad Bunny - DÁKITI,1228,240.0,1,(x87),89381,10939401,Bad Bunny,DÁKITI
Bad Bunny - Ojitos Lindos,902,185.0,3,(x41),76458,10414521,Bad Bunny,Ojitos Lindos
Jay Wheeler - La Curiosidad,1595,151.0,1,(x14),20488,10359711,Jay Wheeler,La Curiosidad
Bad Bunny - Moscow Mule,891,206.0,1,(x1),124690,10353062,Bad Bunny,Moscow Mule
Bad Bunny - Yonaguni,857,308.0,1,(x54),88767,9304609,Bad Bunny,Yonaguni
Manuel Turizo - La Bachata,870,161.0,3,(x10),21927,9275966,Manuel Turizo,La Bachata
Bad Bunny - Callaita,1465,162.0,1,(x45),42146,8890379,Bad Bunny,Callaita
Bad Bunny - Si Estuviésemos Juntos,2118,40.0,6,,23810,8765097,Bad Bunny,Si Estuviésemos Juntos
KAROL G - PROVENZA,915,39.0,1,(x5),37831,8407002,KAROL G,PROVENZA
Arcángel - La Jumpa,589,199.0,1,(x56),61931,8352173,Arcángel,La Jumpa
Eladio Carrion - Coco Chanel,585,169.0,1,(x24),62096,8173807,Eladio Carrion,Coco Chanel
Myke Towers - LALA,486,166.0,1,(x67),53450,8116636,Myke Towers,LALA
JHAYCO - CÓMO SE SIENTE - Remix,1326,127.0,1,(x23),31753,8114643,JHAYCO,CÓMO SE SIENTE - Remix
JHAYCO - No Me Conoce - Remix,1300,213.0,3,(x32),19777,7797606,JHAYCO,No Me Conoce - Remix
Bad Bunny - PERRO NEGRO,377,235.0,2,(x11),71239,7719025,Bad Bunny,PERRO NEGRO
Ozuna - Hey Mor,684,142.0,4,,22175,7711918,Ozuna,Hey Mor
Feid - Classy 101,573,167.0,2,(x1),30071,7608096,Feid,Classy 101
KAROL G - AMARGURA,588,35.0,1,(x1),32905,7523071,KAROL G,AMARGURA
Bad Bunny - La Santa,1535,62.0,3,(x2),64347,7328774,Bad Bunny,La Santa
Tainy - Lo Siento BB:/,786,212.0,1,(x94),31730,7187191,Tainy,Lo Siento BB:/
Bad Bunny - MONACO,377,153.0,1,(x34),133379,6929301,Bad Bunny,MONACO
