Artist and Title,Days,T10,Pk,(x?),PkStreams,Total,Artist,Song
Manuel Turizo - La Bachata,881,252.0,1,(x17),815742,285140956,Manuel Turizo,La Bachata
"Bizarrap - Quevedo: Bzrp Music Sessions, Vol. 52",841,198.0,1,(x101),2599771,273793887,Bizarrap,"Quevedo: Bzrp Music Sessions, Vol. 52"
Rauw Alejandro - Todo De Ti,1042,147.0,1,(x50),1682968,189920615,Rauw Alejandro,Todo De Ti
Quevedo - Columbia,476,194.0,1,(x60),2441682,181342679,Quevedo,Columbia
ROSALÍA - DESPECHÁ,819,152.0,1,(x4),2016332,173021512,ROSALÍA,DESPECHÁ
Danny Ocean - Me Rehúso,2174,272.0,1,(x1),340566,172616186,Danny Ocean,Me Rehúso
zzoilo - Mon Amour - Remix,1052,196.0,1,(x39),725845,168928853,zzoilo,Mon Amour - Remix
Marshmello - El Merengue,601,150.0,3,(x2),620634,159276478,Marshmello,El Merengue
Quevedo - PUNTO G,699,134.0,1,(x17),975424,157000372,Quevedo,PUNTO G
Quevedo - PLAYA DEL INGLÉS,669,126.0,1,(x1),979115,156428283,Quevedo,PLAYA DEL INGLÉS
C. Tangana - Tú Me Dejaste De Querer,1114,140.0,1,(x8),1631995,150836332,C. Tangana,Tú Me Dejaste De Querer
Mora - MEMORIAS,884,74.0,6,,490470,149005855,Mora,MEMORIAS
Bad Bunny - Me Porto Bonito,784,127.0,2,(x37),1100718,145600119,Bad Bunny,Me Porto Bonito
Rvfv - Mi Luz (ft. Rels B),998,31.0,6,,321347,145445241,Rvfv,Mi Luz (ft. Rels B)
Mora - LA INOCENTE,936,70.0,7,,459205,145247958,Mora,LA INOCENTE
Myke Towers - LALA,495,119.0,1,(x4),1346463,144908399,Myke Towers,LALA
Quevedo - VISTA AL MAR,769,125.0,2,(x31),818858,143688364,Quevedo,VISTA AL MAR
Jay Wheeler - La Curiosidad,1499,109.0,2,(x11),443000,141284667,Jay Wheeler,La Curiosidad
Sebastian Yatra - Tacones Rojos,991,120.0,2,(x2),424237,139872650,Sebastian Yatra,Tacones Rojos
Ozuna - Hey Mor,682,95.0,2,(x4),665030,137600451,Ozuna,Hey Mor
Rauw Alejandro - Cúrame,1019,119.0,2,(x16),590613,137597493,Rauw Alejandro,Cúrame
Quevedo - Sin Señal,685,154.0,4,,618306,137284885,Quevedo,Sin Señal
Bad Bunny - Yonaguni,802,71.0,2,(x19),934638,133267964,Bad Bunny,Yonaguni
Bad Bunny - Ojitos Lindos,837,80.0,2,(x11),721677,132502677,Bad Bunny,Ojitos Lindos
Rauw Alejandro - Desesperados,894,137.0,1,(x15),508813,132014923,Rauw Alejandro,Desesperados
SAIKO - POLARIS - Remix,504,118.0,1,(x13),1775149,131981498,SAIKO,POLARIS - Remix
Bad Bunny - DÁKITI,969,97.0,1,(x45),1204987,130531434,Bad Bunny,DÁKITI
Yandel - Yandel 150,489,136.0,1,(x14),811584,130097113,Yandel,Yandel 150
KAROL G - Tusa,761,170.0,1,(x100),689105,128858952,KAROL G,Tusa
Bad Bunny - Tití Me Preguntó,500,132.0,1,(x49),979353,126955038,Bad Bunny,Tití Me Preguntó
Marc Seguí - Tiroteo - Remix,1024,83.0,6,,533057,126752779,Marc Seguí,Tiroteo - Remix
Sebastian Yatra - Pareja Del Año,881,88.0,1,(x30),822810,125795440,Sebastian Yatra,Pareja Del Año
La La Love You - El Fin del Mundo,1553,,36,,181680,125732411,La La Love You,El Fin del Mundo
KAROL G - TQG,608,84.0,1,(x27),1151289,123782722,KAROL G,TQG
Sebastian Yatra - VAGABUNDO,531,105.0,3,(x3),610708,120718452,Sebastian Yatra,VAGABUNDO
KAROL G - PROVENZA,912,61.0,2,(x1),440920,120632863,KAROL G,PROVENZA
Vicco - Nochentera,607,44.0,7,,513697,120507634,Vicco,Nochentera
Lola Indigo - EL TONTO,559,69.0,1,(x9),1052565,119503302,Lola Indigo,EL TONTO
TINI - Miénteme,1058,54.0,3,(x4),582829,119258144,TINI,Miénteme
Anuel AA - Amanece,1053,74.0,5,,307501,118461797,Anuel AA,Amanece
"Bizarrap - Tiago PZK: Bzrp Music Sessions, Vol. 48",691,101.0,1,(x6),639887,117400463,Bizarrap,"Tiago PZK: Bzrp Music Sessions, Vol. 48"
SAIKO - Supernova,554,65.0,1,(x24),1016259,116021405,SAIKO,Supernova
Anuel AA - China,798,173.0,1,(x96),830813,113809060,Anuel AA,China
Feid - Feliz Cumpleaños Ferxxo,794,12.0,9,,384820,113099653,Feid,Feliz Cumpleaños Ferxxo
Quevedo - WANDA,560,59.0,2,(x1),717874,112983501,Quevedo,WANDA
Fito y Fitipaldis - Soldadito marinero,2333,,101,,84582,112782880,Fito y Fitipaldis,Soldadito marinero
ROSALÍA - BESO,485,72.0,1,(x21),1776760,112358688,ROSALÍA,BESO
Feid - Classy 101,573,49.0,3,(x3),602277,111686251,Feid,Classy 101
Feid - LUNA,328,169.0,2,(x12),604780,111285842,Feid,LUNA
Mora - Volando - Remix,774,74.0,3,(x15),659610,111244117,Mora,Volando - Remix
Myke Towers - LA FALDA,335,167.0,1,(x1),492813,108443799,Myke Towers,LA FALDA
Duki - She Don't Give a Fo,1316,,13,,241686,106534347,Duki,She Don't Give a Fo
Taiu - Rara Vez,614,42.0,4,,545672,106140178,Taiu,Rara Vez
Rauw Alejandro - BABY HELLO,432,98.0,2,(x8),905329,104219386,Rauw Alejandro,BABY HELLO
El Taiger - La Historia,726,72.0,4,,523966,103072242,El Taiger,La Historia
Omar Montes - Arena y Sal,510,94.0,3,(x1),749765,103035525,Omar Montes,Arena y Sal
"Bizarrap - Shakira: Bzrp Music Sessions, Vol. 53",397,64.0,1,(x29),3942235,102989222,Bizarrap,"Shakira: Bzrp Music Sessions, Vol. 53"
LIT killah - Los del Espacio,441,116.0,2,(x2),785742,102976120,LIT killah,Los del Espacio
Bad Bunny - Tarot,502,101.0,2,(x5),1064472,102656957,Bad Bunny,Tarot
Mora - MODELITO,652,80.0,4,,552753,102613526,Mora,MODELITO
Farruko - Pepas,586,88.0,1,(x44),816935,102598961,Farruko,Pepas
Justin Quiles - Loco,631,84.0,3,(x4),626279,102586148,Justin Quiles,Loco
La Pantera - Cayó La Noche,619,102.0,1,(x53),883629,102008845,La Pantera,Cayó La Noche
DELLAFUENTE - Manos Rotas,342,126.0,1,(x44),733145,100388496,DELLAFUENTE,Manos Rotas
C. Tangana - Demasiadas Mujeres,1011,50.0,1,(x8),552114,100205197,C. Tangana,Demasiadas Mujeres
Arcángel - La Jumpa,419,87.0,1,(x39),887814,99889148,Arcángel,La Jumpa
Daviles de Novelda - Flamenco y Bachata,800,68.0,2,(x3),466670,99743606,Daviles de Novelda,Flamenco y Bachata
iñigo quintero - Si No Estás,403,104.0,1,(x51),1030246,99043791,iñigo quintero,Si No Estás
Becky G - MAMIII,751,80.0,2,(x29),508301,98462504,Becky G,MAMIII
Don Patricio - Contando Lunares,649,142.0,1,(x21),567957,97400644,Don Patricio,Contando Lunares
Mora - REINA,420,100.0,1,(x17),1057687,96923978,Mora,REINA
JHAYCO - No Me Conoce - Remix,1231,102.0,4,,367455,96516060,JHAYCO,No Me Conoce - Remix
J Balvin - LA CANCIÓN,1315,53.0,5,,297981,96387258,J Balvin,LA CANCIÓN
Ed Sheeran - Shape of You,939,178.0,2,(x40),381551,96152785,Ed Sheeran,Shape of You
KAROL G - Si Antes Te Hubiera Conocido,125,125.0,1,(x87),1154020,95092781,KAROL G,Si Antes Te Hubiera Conocido
J Balvin - Qué Más Pues?,557,96.0,2,(x17),816274,93703204,J Balvin,Qué Más Pues?
C. Tangana - Ateo,686,86.0,1,(x33),785772,92755924,C. Tangana,Ateo
Bad Bunny - Callaita,788,117.0,1,(x44),590338,92016257,Bad Bunny,Callaita
Sky Rompiendo - El Cielo,443,58.0,2,(x3),782944,91707529,Sky Rompiendo,El Cielo
Chanel - Clavaito,510,64.0,6,,557042,91212867,Chanel,Clavaito
Aitana - Formentera,711,47.0,1,(x2),394189,90992367,Aitana,Formentera
KAROL G - QLONA,440,17.0,8,,417906,90458692,KAROL G,QLONA
Feid - Normal,817,,15,,301722,90229850,Feid,Normal
Shakira - Te Felicito,522,59.0,3,(x1),516261,90158888,Shakira,Te Felicito
SAIKO - BADGYAL,181,131.0,1,(x41),1109734,88501535,SAIKO,BADGYAL
Anuel AA - Hasta Que Dios Diga,795,53.0,1,(x6),467259,87046946,Anuel AA,Hasta Que Dios Diga
Maluma - Hawái,676,76.0,1,(x43),597877,87025802,Maluma,Hawái
Bad Bunny - PERRO NEGRO,377,104.0,2,(x25),1118424,86769637,Bad Bunny,PERRO NEGRO
Bad Bunny - LA NOCHE DE ANOCHE,732,94.0,2,(x16),1199039,86686357,Bad Bunny,LA NOCHE DE ANOCHE
LiL CaKe - MERCHO,357,70.0,2,(x9),704631,86549439,LiL CaKe,MERCHO
Ana Mena - A Un Paso De La Luna,809,26.0,6,,324924,86006621,Ana Mena,A Un Paso De La Luna
C. Tangana - Ingobernable,795,51.0,2,(x9),557727,85617795,C. Tangana,Ingobernable
JHAYCO - Holanda,414,62.0,3,(x33),710953,84627266,JHAYCO,Holanda
Estopa - Como Camarón,1384,,32,,195653,84497380,Estopa,Como Camarón
