Artist and Title,Days,T10,Pk,(x?),PkStreams,Total,Artist,Song
Light - 24hrs,792,113.0,1,(x21),506986,27576801,Light,24hrs
LILA - DEJA VU,534,142.0,1,(x5),248718,26657298,LILA,DEJA VU
SNIK - Erotas,819,76.0,1,(x30),292340,24766892,SNIK,Erotas
Light - Obsessed,741,92.0,1,(x2),267237,24633755,Light,Obsessed
SIDARTA - MEDITERRANEAN,788,125.0,1,(x14),139114,23757339,SIDARTA,MEDITERRANEAN
TOQUEL - Allou,350,151.0,1,(x33),193996,23406578,TOQUEL,Allou
Kidd - KAPOTE,526,82.0,1,(x27),176341,22928483,Kidd,KAPOTE
Sigma - AGAPI - Remix,506,95.0,1,(x12),241490,22852912,Sigma,AGAPI - Remix
TOQUEL - Skoni,881,7.0,6,,116829,22610969,TOQUEL,Skoni
SIDARTA - ERIMO,745,148.0,1,(x48),236482,22570659,SIDARTA,ERIMO
Trannos - Tik Tak,630,77.0,1,(x26),409897,22458959,Trannos,Tik Tak
RACK - FAVELA,665,126.0,1,(x11),249593,22335195,RACK,FAVELA
RACK - NASA,1090,213.0,1,(x87),259183,21957900,RACK,NASA
Mad Clip - Nani,689,94.0,1,(x18),430150,21856005,Mad Clip,Nani
SIDARTA - MBAPPE,203,70.0,1,(x36),585379,21347380,SIDARTA,MBAPPE
RACK - AMOR,799,66.0,4,,122562,20508590,RACK,AMOR
Hawk - CELINE,689,54.0,1,(x8),220823,20434664,Hawk,CELINE
SIDARTA - AKOMI,562,163.0,1,(x2),233250,20045661,SIDARTA,AKOMI
Mente Fuerte - Oulala,550,113.0,1,(x9),122233,19951605,Mente Fuerte,Oulala
Light - No Sleep,441,83.0,1,(x28),257242,19209873,Light,No Sleep
TOQUEL - 3:15,350,94.0,1,(x16),250511,18212615,TOQUEL,3:15
LILA - ATOUTALER,470,63.0,4,,86276,18083952,LILA,ATOUTALER
TOQUEL - Beverly Hills,891,39.0,1,(x2),171980,17664247,TOQUEL,Beverly Hills
RACK - 9MM,457,96.0,1,(x26),243095,17561715,RACK,9MM
Hawk - Blue Iguana,378,56.0,1,(x25),318524,17303790,Hawk,Blue Iguana
SIDARTA - ADRENALINA,649,142.0,3,(x1),119032,17102665,SIDARTA,ADRENALINA
SIDARTA - PAPAGOU,540,43.0,1,(x2),181713,17019983,SIDARTA,PAPAGOU
TOQUEL - Palmous,875,2.0,10,,103712,17007405,TOQUEL,Palmous
TOQUEL - Platina,881,8.0,4,,132520,16955782,TOQUEL,Platina
RACK - ME N U,437,87.0,1,(x3),128505,16946228,RACK,ME N U
Hawk - MONROE,367,74.0,1,(x16),160127,16599584,Hawk,MONROE
SNIK - OAED,362,96.0,1,(x4),283525,16355360,SNIK,OAED
RACK - MA BELLA,133,110.0,1,(x44),456487,16346048,RACK,MA BELLA
SIDARTA - PSEMA,563,133.0,1,(x15),125849,16223131,SIDARTA,PSEMA
Light - Epiloges,456,66.0,1,(x5),293332,16191854,Light,Epiloges
Light - Allegra (N1),288,71.0,1,(x5),269038,15529973,Light,Allegra (N1)
SNIK - NANA,761,91.0,1,(x23),293749,15353191,SNIK,NANA
LILA - ANASAINO KAI ZALIZOMAI,376,56.0,3,(x1),102008,15157200,LILA,ANASAINO KAI ZALIZOMAI
Sicario - ISOS,322,53.0,3,(x3),94617,14895981,Sicario,ISOS
Mad Clip - Mporei,908,171.0,1,(x3),126679,14694379,Mad Clip,Mporei
TOQUEL - G63,378,42.0,1,(x13),468437,14694119,TOQUEL,G63
TOQUEL - Kokaina,1062,49.0,3,(x1),39858,14641306,TOQUEL,Kokaina
Mad Clip - XILIOMETRA,1138,188.0,1,(x38),122823,14608363,Mad Clip,XILIOMETRA
Anastasia - Simadi,496,,15,,59199,14377435,Anastasia,Simadi
Saske - PADOU,745,8.0,2,(x1),52380,14234027,Saske,PADOU
Roi 6/12 - Forema,500,96.0,1,(x2),163878,14011439,Roi 6/12,Forema
Wang - Idrogeios,604,16.0,2,(x1),129120,13973965,Wang,Idrogeios
Leaderbrain - Latina,887,130.0,1,(x16),70200,13933961,Leaderbrain,Latina
Anastasia - Mystiko,681,52.0,3,(x2),66401,13883136,Anastasia,Mystiko
SNIK - Gaza,571,23.0,1,(x1),148089,13871996,SNIK,Gaza
RACK - MILLION,253,71.0,1,(x14),246864,13820819,RACK,MILLION
RACK - NAPOLI,388,59.0,1,(x9),226709,13749367,RACK,NAPOLI
Anastasia - Amarties,810,81.0,2,(x11),82170,13724894,Anastasia,Amarties
TOQUEL - Panorama,841,27.0,1,(x5),146164,13558380,TOQUEL,Panorama
RACK - OMERTA,133,93.0,1,(x7),508579,13404978,RACK,OMERTA
TOQUEL - Zurbaran,350,23.0,4,,242947,13396256,TOQUEL,Zurbaran
TOQUEL - Sandra,1620,89.0,4,,24194,13187253,TOQUEL,Sandra
Light - Arga,245,53.0,1,(x9),362805,13014055,Light,Arga
Trannos - Egw & Esy,529,42.0,1,(x10),211091,12538528,Trannos,Egw & Esy
APON - Gdysou,342,31.0,5,,88226,12466303,APON,Gdysou
Kidd - NA PAS,294,70.0,1,(x11),232249,12453134,Kidd,NA PAS
Saske - ENA VRADI,358,50.0,2,(x15),156055,12444592,Saske,ENA VRADI
LILA - 9ARI,190,50.0,2,(x8),146390,12326355,LILA,9ARI
Konstantinos Argiros - Iliovasilema - (Part 2 - Fos),541,21.0,4,,66768,12061778,Konstantinos Argiros,Iliovasilema - (Part 2 - Fos)
Light - Cc,849,33.0,4,,81796,11989904,Light,Cc
SIDARTA - MYSTIKA,401,53.0,2,(x8),116557,11982138,SIDARTA,MYSTIKA
Bossikan - Sagapw,372,56.0,5,,109561,11852311,Bossikan,Sagapw
Kimi - La Vida Loca,333,69.0,4,,120300,11842938,Kimi,La Vida Loca
SNIK - OAED - Remix,287,47.0,1,(x20),407386,11710280,SNIK,OAED - Remix
Ioulia Kallimani - 7/7,564,,15,,56893,11641013,Ioulia Kallimani,7/7
SIDARTA - BELLA,378,31.0,2,(x9),149033,11634436,SIDARTA,BELLA
RACK - VENDETTA,251,64.0,1,(x6),178361,11491836,RACK,VENDETTA
Anastasia - Ligo Ligo,628,14.0,3,(x1),98476,11349215,Anastasia,Ligo Ligo
Dani Gambino - CASTELLANO,438,35.0,3,(x4),105463,11347760,Dani Gambino,CASTELLANO
Marina Satti - ZARI,180,53.0,1,(x23),220088,11184008,Marina Satti,ZARI
APON - Vorias,132,118.0,2,(x7),137130,11162530,APON,Vorias
Dani Gambino - NEOI STO NOSOKOMEIO,483,29.0,1,(x7),139751,11065808,Dani Gambino,NEOI STO NOSOKOMEIO
TOQUEL - Aftoktonia,616,63.0,1,(x3),183764,10994535,TOQUEL,Aftoktonia
Hawk - Caliente,1075,199.0,1,(x43),330257,10571569,Hawk,Caliente
Light - Gennaro,334,41.0,1,(x6),159480,10568441,Light,Gennaro
Lava - Balkan Disco,245,54.0,2,(x4),179681,10503673,Lava,Balkan Disco
Kidd - SOS,227,26.0,2,(x7),145690,10443467,Kidd,SOS
RACK - Dancer,371,35.0,1,(x2),114075,10385443,RACK,Dancer
Marina Spanou - Taxidi,210,37.0,1,(x4),138767,10345113,Marina Spanou,Taxidi
Anastasia - Siga To Prama,209,38.0,3,(x9),127078,10283401,Anastasia,Siga To Prama
SNIK - Trafficante,412,74.0,1,(x45),245176,10253944,SNIK,Trafficante
RACK - WKEANOUS,325,55.0,1,(x3),140258,10201578,RACK,WKEANOUS
Wang - Den Me Ksereis Kala,372,2.0,5,,110183,10106242,Wang,Den Me Ksereis Kala
SNIK - Bonnie,154,36.0,1,(x14),406304,10099826,SNIK,Bonnie
Strat - Filakes,982,4.0,8,,28123,10054351,Strat,Filakes
TOQUEL - Fake Love,329,12.0,5,,212314,10043661,TOQUEL,Fake Love
FLY LO - Crystal,302,40.0,1,(x15),182452,9901024,FLY LO,Crystal
Wang - Dokimasia,182,27.0,1,(x1),360925,9814985,Wang,Dokimasia
ZAF - Pes,489,,38,,29785,9802676,ZAF,Pes
Saske - MI TESORO,325,17.0,9,,71802,9798061,Saske,MI TESORO
Roi 6/12 - Vradia,140,42.0,1,(x6),217306,9755391,Roi 6/12,Vradia
FLY LO - Magia,253,31.0,1,(x3),200497,9685242,FLY LO,Magia
Wang - Parapatao,182,31.0,2,(x1),304880,9636188,Wang,Parapatao
RACK - GIORTES,302,12.0,3,(x1),118046,9553015,RACK,GIORTES
Kidd - Mavromalla,293,45.0,1,(x5),179820,9511648,Kidd,Mavromalla
Fy - Aroma,1179,17.0,2,(x1),20413,9504342,Fy,Aroma
Strat - MYKONOS,156,39.0,1,(x2),180269,9499259,Strat,MYKONOS
TOQUEL - Ghetto,210,57.0,3,(x11),249465,9454053,TOQUEL,Ghetto
Light - Voodoo,570,124.0,1,(x71),311737,9442753,Light,Voodoo
RACK - DEN EIMAI DIKOS SOU,425,37.0,2,(x1),177465,9351965,RACK,DEN EIMAI DIKOS SOU
Bossikan - Bossidonas,454,29.0,3,(x6),85024,9321303,Bossikan,Bossidonas
Wang - Gia Panta,390,37.0,2,(x1),125568,9280314,Wang,Gia Panta
Adam Port - Move,139,71.0,4,,130364,9248867,Adam Port,Move
Metro Boomin - Creepin',433,57.0,1,(x5),89749,9168546,Metro Boomin,Creepin'
Melisses - Monaxiki Kardia,150,20.0,3,(x2),124638,9150915,Melisses,Monaxiki Kardia
SNIK - Wet,524,140.0,1,(x5),105599,9008916,SNIK,Wet
Kings - Madame,286,56.0,1,(x13),203932,9001044,Kings,Madame
FLY LO - Kokkina Mple,288,28.0,1,(x9),196883,8973909,FLY LO,Kokkina Mple
Harry Styles - As It Was,572,15.0,2,(x1),50606,8963997,Harry Styles,As It Was
Light - Shorty,527,146.0,2,(x1),81941,8935140,Light,Shorty
Hawk - Drugs N Bass,217,45.0,4,,100331,8897855,Hawk,Drugs N Bass
SNIK - Chinchilla,430,88.0,1,(x27),230455,8840226,SNIK,Chinchilla
Fy - 0-100,210,36.0,1,(x6),129719,8821231,Fy,0-100
TOQUEL - Stars,1076,206.0,1,(x1),26027,8755595,TOQUEL,Stars
TOQUEL - Drive By,345,,12,,127476,8728523,TOQUEL,Drive By
Eleni Foureira - Aya,551,,17,,43014,8710814,Eleni Foureira,Aya
Dani Gambino - ELA PARTO,1127,7.0,8,,14081,8705346,Dani Gambino,ELA PARTO
Mad Clip - Euro Gangsta,371,19.0,1,(x1),247201,8623148,Mad Clip,Euro Gangsta
Sin Laurent - EMRATA,147,37.0,4,,130420,8556600,Sin Laurent,EMRATA
Trannos - Sukarie,228,41.0,4,,133433,8556360,Trannos,Sukarie
Despina Vandi - Panselinos,216,2.0,10,,68700,8518620,Despina Vandi,Panselinos
LEX - Air Max,580,6.0,4,,168994,8465484,LEX,Air Max
The Weeknd - Blinding Lights,1018,167.0,3,(x11),21136,8443337,The Weeknd,Blinding Lights
FLY LO - Larry Hoover,267,50.0,2,(x8),195073,8436246,FLY LO,Larry Hoover
Trannos - Tn,341,60.0,1,(x6),115421,8402142,Trannos,Tn
SIDARTA - KATOSTARI,261,27.0,1,(x7),141329,8363375,SIDARTA,KATOSTARI
Ivan Greko - Mia Gineka,222,37.0,1,(x1),187444,8332119,Ivan Greko,Mia Gineka
TOQUEL - 777,988,14.0,7,,20397,8296560,TOQUEL,777
Saske - PRIN MAFISEIS,243,34.0,7,,77631,8225448,Saske,PRIN MAFISEIS
Bloody Hawk - An Apopse Figo,416,11.0,5,,83311,8142488,Bloody Hawk,An Apopse Figo
Eleni Foureira - El Telephone - Remix,334,37.0,2,(x9),114296,8126977,Eleni Foureira,El Telephone - Remix
Trannos - COCO,477,96.0,3,(x4),41075,8124621,Trannos,COCO
Light - Death Before Dishonor,224,38.0,2,(x7),177486,8104999,Light,Death Before Dishonor
Bossikan - King Kong,302,74.0,1,(x12),289945,8102170,Bossikan,King Kong
Trannos - OPLO,294,93.0,1,(x7),221689,8079401,Trannos,OPLO
RACK - Prestige,551,17.0,3,(x1),82311,8071818,RACK,Prestige
Beats Pliz - Eftihismenes Imeres In C Minor,500,7.0,1,(x1),171387,8050727,Beats Pliz,Eftihismenes Imeres In C Minor
Sigma - 1+1,174,26.0,3,(x3),124382,7941841,Sigma,1+1
Sicario - XOROS,358,,22,,40959,7938188,Sicario,XOROS
Fy - Nisi,308,36.0,2,(x8),118284,7936798,Fy,Nisi
Melisses - Crayon,513,,19,,35347,7896437,Melisses,Crayon
Saske - Dokimase Ton,485,70.0,1,(x9),78462,7869731,Saske,Dokimase Ton
Light - 90s,276,33.0,1,(x5),151856,7857069,Light,90s
Light - Gagarin,225,76.0,1,(x18),139674,7850754,Light,Gagarin
Kidd - MONOS,233,30.0,1,(x8),190257,7830533,Kidd,MONOS
Bloody Hawk - THE DEAL,231,21.0,1,(x2),285266,7823741,Bloody Hawk,THE DEAL
Bloody Hawk - MAALOX,231,16.0,2,(x1),236845,7718943,Bloody Hawk,MAALOX
Arctic Monkeys - I Wanna Be Yours,710,,51,,24125,7708406,Arctic Monkeys,I Wanna Be Yours
Melisses - Viktoria,856,111.0,1,(x1),18911,7692148,Melisses,Viktoria
Mad Clip - Fimi,675,120.0,1,(x14),78425,7630850,Mad Clip,Fimi
Light - Esy,221,28.0,1,(x1),183269,7569010,Light,Esy
TOQUEL - Success Freestyle,258,21.0,1,(x5),168236,7397612,TOQUEL,Success Freestyle
Light - Messy,162,23.0,2,(x4),226974,7284887,Light,Messy
RACK - Kathikon,656,23.0,1,(x3),91801,7240408,RACK,Kathikon
Swedish House Mafia - Moth To A Flame,707,3.0,7,,23905,7210519,Swedish House Mafia,Moth To A Flame
Konstantinos Argiros - Elpida,286,28.0,4,,110857,7194678,Konstantinos Argiros,Elpida
Roi 6/12 - Jimmy Choo,210,44.0,1,(x5),177054,7173471,Roi 6/12,Jimmy Choo
Bossikan - FEMINISTIS,206,46.0,1,(x4),210013,7162836,Bossikan,FEMINISTIS
SNIK - Millionaire,678,122.0,1,(x27),120700,7134046,SNIK,Millionaire
Oge - BBL,184,16.0,1,(x1),144087,7129768,Oge,BBL
Eleni Foureira - Kolima,334,,12,,65859,7082419,Eleni Foureira,Kolima
Anastasia - Floga,357,,27,,32627,7048570,Anastasia,Floga
LEX - Holdem,552,6.0,2,(x1),173172,7041243,LEX,Holdem
Ivan Greko - 8A,139,27.0,1,(x3),254159,7017013,Ivan Greko,8A
Oge - OLE,378,14.0,2,(x1),123536,7009279,Oge,OLE
SIDARTA - XRONO,166,39.0,6,,111173,7006197,SIDARTA,XRONO
Saske - Cyan,1137,75.0,2,(x1),18893,7004480,Saske,Cyan
Mente Fuerte - Apothimeno,281,8.0,7,,59896,6979967,Mente Fuerte,Apothimeno
Trannos - Panama,105,52.0,3,(x3),163703,6964471,Trannos,Panama
Dirty Harry - Pes Tou - Remix,407,61.0,1,(x4),102153,6957703,Dirty Harry,Pes Tou - Remix
Light - Romanzo Criminale,112,34.0,1,(x1),240285,6899669,Light,Romanzo Criminale
TOQUEL - Trap,119,27.0,3,(x1),179463,6882491,TOQUEL,Trap
RICTA - Katse Kala,202,43.0,1,(x3),150082,6881045,RICTA,Katse Kala
SNIK - Senorita,851,198.0,1,(x51),31317,6849178,SNIK,Senorita
Anastasia - Allo,125,30.0,4,,107507,6845747,Anastasia,Allo
Wang - Meine Gia Ligo,557,,13,,30185,6809917,Wang,Meine Gia Ligo
Nikos Oikonomopoulos - Ekptotos Aggelos,186,31.0,6,,89703,6803746,Nikos Oikonomopoulos,Ekptotos Aggelos
FLY LO - El Paso,432,1.0,10,,88230,6791524,FLY LO,El Paso
City Center - EMMONH,308,3.0,5,,50255,6742728,City Center,EMMONH
Ivan Greko - AXARISTI,241,25.0,4,,92333,6710535,Ivan Greko,AXARISTI
Hawk - Deja Vu,1031,130.0,2,(x5),62047,6654719,Hawk,Deja Vu
Roi 6/12 - Normal,105,62.0,3,(x5),96520,6648598,Roi 6/12,Normal
Ivan Greko - GUZMAN,45,44.0,1,(x23),296831,6612295,Ivan Greko,GUZMAN
Bres - MOTORA,185,,15,,73023,6542710,Bres,MOTORA
Anastasia - Mi Milas,369,,12,,49472,6525889,Anastasia,Mi Milas
Sigma - MAYA,299,1.0,10,,79701,6514493,Sigma,MAYA
Sin Boy - Sexaki,166,35.0,1,(x2),115742,6510688,Sin Boy,Sexaki
Thug Slime - Mesa Sou,205,24.0,2,(x2),137754,6508435,Thug Slime,Mesa Sou
Nineb Youk - Mina Ögon /Ta Matia Moy,222,27.0,2,(x4),155059,6501499,Nineb Youk,Mina Ögon /Ta Matia Moy
TOQUEL - Carvajal,126,21.0,3,(x1),161899,6501248,TOQUEL,Carvajal
Mad Clip - Sinthikes,631,,16,,44816,6421313,Mad Clip,Sinthikes
TOQUEL - Moneydance,500,7.0,7,,108264,6242205,TOQUEL,Moneydance
Sicario - KSEHORISTO,251,,20,,38735,6225286,Sicario,KSEHORISTO
Dani Gambino - 1000 Kosmoi,729,,16,,27153,6216793,Dani Gambino,1000 Kosmoi
SNIK - Ibra,223,22.0,1,(x2),277762,6198119,SNIK,Ibra
