Artist and Title,Days,T10,Pk,(x?),PkStreams,Total,Artist,Song
Azahriah - Mind1,1241,357.0,1,(x90),43487,20921237,Azahriah,Mind1
Azahriah - Introvertált dal,612,461.0,1,(x70),80715,20750319,Azahriah,Introvertált dal
Beton.Hofi - BAGIRA,798,344.0,1,(x89),60527,19184065,Beton.Hofi,BAGIRA
Azahriah - Pullup,888,250.0,1,(x59),54622,17691371,Azahriah,Pullup
Azahriah - four moods,806,356.0,1,(x36),79986,16902009,Azahriah,four moods
DESH - Rampapapam,461,319.0,1,(x96),68179,16392545,DESH,Rampapapam
Dzsúdló - Lej,1720,12.0,10,,16330,14970407,Dzsúdló,Lej
Azahriah - 3korty,542,264.0,1,(x50),69713,14458185,Azahriah,3korty
Bagossy Brothers Company - Olyan Ő,2020,158.0,2,(x2),14150,14299132,Bagossy Brothers Company,Olyan Ő
Dzsúdló - Várnék,811,152.0,1,(x11),49362,14064920,Dzsúdló,Várnék
The Weeknd - Blinding Lights,1560,398.0,1,(x26),25580,13698296,The Weeknd,Blinding Lights
Azahriah - Miafasz,886,156.0,2,(x50),44544,13663646,Azahriah,Miafasz
Azahriah - figyelj,807,51.0,1,(x2),39845,12724451,Azahriah,figyelj
DESH - Papa,726,157.0,2,(x20),49668,12706799,DESH,Papa
VALMAR - Éget a nap,1190,139.0,3,(x2),24454,12624470,VALMAR,Éget a nap
Azahriah - szosziazi,575,164.0,1,(x26),101623,11960491,Azahriah,szosziazi
Glass Animals - Heat Waves,1140,229.0,1,(x5),25684,11540853,Glass Animals,Heat Waves
David Guetta - I'm Good (Blue),789,139.0,1,(x1),52631,11387605,David Guetta,I'm Good (Blue)
Pogány Induló - Afro Beat,603,54.0,3,(x1),39428,11158388,Pogány Induló,Afro Beat
DESH - Pakisztáni/popo,461,141.0,1,(x7),67990,10890287,DESH,Pakisztáni/popo
Azahriah - Tisztán iszom,886,18.0,4,,31902,10717455,Azahriah,Tisztán iszom
Lost Frequencies - Where Are You Now,1087,146.0,3,(x13),21086,10554758,Lost Frequencies,Where Are You Now
Tom Odell - Another Love,1346,,13,,13588,10161032,Tom Odell,Another Love
The Neighbourhood - Sweater Weather,1484,,32,,13015,10079873,The Neighbourhood,Sweater Weather
Azahriah - Habibi,863,12.0,7,,25490,10004632,Azahriah,Habibi
Beton.Hofi - TISZALÖK,782,41.0,3,(x1),34416,9604493,Beton.Hofi,TISZALÖK
Harry Styles - As It Was,816,75.0,1,(x5),45695,9305301,Harry Styles,As It Was
Miley Cyrus - Flowers,612,101.0,1,(x33),96085,9257702,Miley Cyrus,Flowers
Eminem - Without Me,2135,,43,,10856,9162805,Eminem,Without Me
Azahriah - Casa de papel,542,108.0,3,(x1),57132,9102854,Azahriah,Casa de papel
Tomi - Valencia,397,113.0,1,(x16),72147,9099541,Tomi,Valencia
Imagine Dragons - Believer,2216,124.0,3,(x14),13170,8962307,Imagine Dragons,Believer
