Artist and Title,Days,T10,Pk,(x?),PkStreams,Total,Artist,Song
Hafdís Huld - Dvel ég í draumahöll,1940,850.0,1,(x30),5725,5640343,Hafdís Huld,Dvel ég í draumahöll
Hafdís Huld - Litlar stjörnur,1798,520.0,2,(x5),4608,4388363,Hafdís Huld,Litlar stjörnur
Hafdís Huld - Óskasteinar,1827,355.0,3,(x4),4283,4263818,Hafdís Huld,Óskasteinar
Hafdís Huld - Sofðu unga ástin mín,1821,329.0,4,,4363,4231196,Hafdís Huld,Sofðu unga ástin mín
BRÍET - Esjan,1683,337.0,2,(x22),8541,3906180,BRÍET,Esjan
Hafdís Huld - Sofa urtubörn,1705,156.0,5,,4061,3765082,Hafdís Huld,Sofa urtubörn
Hafdís Huld - Ljós,1693,67.0,7,,3881,3610880,Hafdís Huld,Ljós
Hafdís Huld - Bíum bíum bambaló,1693,33.0,8,,3671,3537017,Hafdís Huld,Bíum bíum bambaló
The Weeknd - Blinding Lights,1222,225.0,1,(x77),11691,3305629,The Weeknd,Blinding Lights
BRÍET - Rólegur Kúreki,1407,196.0,1,(x79),18004,3218986,BRÍET,Rólegur Kúreki
Bubbi Morthens - Rómeó og Júlía,2233,,19,,2621,3159730,Bubbi Morthens,Rómeó og Júlía
Lady Gaga - Shallow,1206,196.0,1,(x61),11991,3109708,Lady Gaga,Shallow
Hafdís Huld - Góða nótt,1507,2.0,9,,3480,3076777,Hafdís Huld,Góða nótt
Herra Hnetusmjör - Upp Til Hópa,939,195.0,1,(x50),15488,2831242,Herra Hnetusmjör,Upp Til Hópa
Hafdís Huld - Frost er úti fuglinn minn,1446,,13,,3219,2829302,Hafdís Huld,Frost er úti fuglinn minn
Hafdís Huld - Bí bí og blaka,1472,,14,,3144,2819105,Hafdís Huld,Bí bí og blaka
Hafdís Huld - Sólskin,1485,,13,,3214,2812953,Hafdís Huld,Sólskin
Hafdís Huld - Sofðu,1428,,15,,3168,2755635,Hafdís Huld,Sofðu
Hafdís Huld - Nóttin læðist inn,1424,,15,,3078,2700666,Hafdís Huld,Nóttin læðist inn
PATR!K - Skína,461,277.0,1,(x104),31047,2512234,PATR!K,Skína
Hafdís Huld - Þú ert,1377,,19,,2927,2496220,Hafdís Huld,Þú ert
Birnir - Já ég veit,1135,144.0,1,(x58),17777,2440387,Birnir,Já ég veit
Billie Eilish - bad guy,623,131.0,1,(x69),12996,2324802,Billie Eilish,bad guy
Hafdís Huld - Ævintýralönd,877,,11,,3568,2206104,Hafdís Huld,Ævintýralönd
Ed Sheeran - Shape of You,810,172.0,1,(x54),9606,2143961,Ed Sheeran,Shape of You
Laddi - Snjókorn falla,478,265.0,1,(x49),21008,2136821,Laddi,Snjókorn falla
Mariah Carey - All I Want for Christmas Is You,476,258.0,1,(x44),20310,2102043,Mariah Carey,All I Want for Christmas Is You
Harry Styles - As It Was,797,196.0,1,(x88),12865,2039595,Harry Styles,As It Was
Wham! - Last Christmas,477,243.0,1,(x9),21053,2035966,Wham!,Last Christmas
Lewis Capaldi - Someone You Loved,1253,2.0,10,,3502,2016506,Lewis Capaldi,Someone You Loved
Aron Can - FLÝG UPP,1021,116.0,1,(x16),15998,1995040,Aron Can,FLÝG UPP
KALEO - Vor í Vaglaskógi,1379,,18,,2864,1976442,KALEO,Vor í Vaglaskógi
Tones And I - Dance Monkey,539,155.0,1,(x62),11974,1895369,Tones And I,Dance Monkey
JóiPé - B.O.B.A.,504,118.0,1,(x38),44069,1889452,JóiPé,B.O.B.A.
Luis Fonsi - Despacito - Remix,451,140.0,1,(x89),20449,1885302,Luis Fonsi,Despacito - Remix
Hjálmar - Leiðin Okkar Allra,1550,,40,,1924,1873876,Hjálmar,Leiðin Okkar Allra
Auður - Enginn eins og þú,653,151.0,1,(x5),8360,1837535,Auður,Enginn eins og þú
Helgi Björnsson - Ef ég nenni,474,256.0,1,(x5),18347,1837244,Helgi Björnsson,Ef ég nenni
Glass Animals - Heat Waves,860,214.0,1,(x8),4895,1826679,Glass Animals,Heat Waves
Post Malone - rockstar,602,153.0,1,(x9),13271,1825486,Post Malone,rockstar
Michael Bublé - It's Beginning to Look a Lot Like Christmas,492,226.0,1,(x9),18531,1817723,Michael Bublé,It's Beginning to Look a Lot Like Christmas
JóiPé - Í Átt Að Tunglinu,517,149.0,1,(x45),23155,1807025,JóiPé,Í Átt Að Tunglinu
Miley Cyrus - Flowers,604,136.0,1,(x86),18103,1797980,Miley Cyrus,Flowers
Bubbi Morthens - Afgan,1369,,27,,2440,1752640,Bubbi Morthens,Afgan
ICEGUYS - Krumla,461,161.0,1,(x11),12021,1673138,ICEGUYS,Krumla
Post Malone - Sunflower - Spider-Man: Into the Spider-Verse,707,55.0,3,(x12),6668,1650381,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse
Í svörtum fötum - Jólin eru að koma,435,177.0,4,,18015,1643950,Í svörtum fötum,Jólin eru að koma
Aron Can - Fullir Vasar,487,158.0,1,(x28),12796,1626067,Aron Can,Fullir Vasar
