Artist and Title,Days,T10,Pk,(x?),PkStreams,Total,Artist,Song
Yuuri - ドライフラワー,1453,588.0,1,(x156),419390,237477276,Yuuri,ドライフラワー
YOASOBI - 夜に駆ける,1683,587.0,1,(x139),332598,229909666,YOASOBI,夜に駆ける
Mrs. GREEN APPLE - 点描の唄,1976,1.0,10,,233540,214102413,Mrs. GREEN APPLE,点描の唄
OFFICIAL HIGE DANDISM - Pretender,2017,527.0,1,(x301),223605,207183794,OFFICIAL HIGE DANDISM,Pretender
BTS - Dynamite,1495,503.0,1,(x84),367948,207109734,BTS,Dynamite
Vaundy - 怪獣の花唄,1420,428.0,1,(x6),344084,203260008,Vaundy,怪獣の花唄
YOASOBI - 群青,1514,221.0,5,,255787,200835831,YOASOBI,群青
OFFICIAL HIGE DANDISM - 115万キロのフィルム,1998,342.0,6,,175461,196929884,OFFICIAL HIGE DANDISM,115万キロのフィルム
Mrs. GREEN APPLE - 青と夏,2292,233.0,2,(x4),324527,194275914,Mrs. GREEN APPLE,青と夏
back number - 水平線,1168,300.0,1,(x15),238830,183019122,back number,水平線
Mrs. GREEN APPLE - ダンスホール,884,585.0,2,(x7),266253,177566622,Mrs. GREEN APPLE,ダンスホール
Tani Yuuki - W / X / Y,1033,455.0,1,(x104),274906,174248058,Tani Yuuki,W / X / Y
Yorushika - ただ君に晴れ,1998,86.0,6,,263268,170581083,Yorushika,ただ君に晴れ
YOASOBI - アイドル,562,381.0,1,(x157),683969,168743905,YOASOBI,アイドル
Yuuri - ベテルギウス,1085,314.0,1,(x36),271083,163967726,Yuuri,ベテルギウス
OFFICIAL HIGE DANDISM - I LOVE...,1694,279.0,1,(x40),242036,158669255,OFFICIAL HIGE DANDISM,I LOVE...
Fujii Kaze - きらり,1271,272.0,3,(x5),239024,158105229,Fujii Kaze,きらり
OFFICIAL HIGE DANDISM - Subtitle,744,289.0,1,(x161),574459,157716733,OFFICIAL HIGE DANDISM,Subtitle
Saucy Dog - シンデレラボーイ,1110,388.0,2,(x26),260277,156536625,Saucy Dog,シンデレラボーイ
Macaroni Empitsu - なんでもないよ、,1086,248.0,1,(x17),277922,155764780,Macaroni Empitsu,なんでもないよ、
Aimyon - マリーゴールド,2290,586.0,1,(x123),147504,152916841,Aimyon,マリーゴールド
YOASOBI - 怪物,1342,256.0,4,,268401,142043970,YOASOBI,怪物
Mrs. GREEN APPLE - インフェルノ,1925,,13,,189918,139605493,Mrs. GREEN APPLE,インフェルノ
"HIRAIDAI - Stand by me, Stand by you.",1482,109.0,4,,240870,130874152,HIRAIDAI,"Stand by me, Stand by you."
Aimyon - 裸の心,1599,213.0,2,(x1),255952,130129030,Aimyon,裸の心
back number - 高嶺の花子さん,2065,151.0,7,,183880,126771642,back number,高嶺の花子さん
Vaundy - 不可幸力,1557,,18,,147475,122289526,Vaundy,不可幸力
Ryokuoushoku Shakai - Mela!,1640,,21,,151610,120406483,Ryokuoushoku Shakai,Mela!
Mrs. GREEN APPLE - ケセラセラ,549,346.0,2,(x2),299478,117917368,Mrs. GREEN APPLE,ケセラセラ
Novelbright - Walking with you,1678,,13,,150640,117047544,Novelbright,Walking with you
OFFICIAL HIGE DANDISM - ノーダウト,2279,357.0,3,(x27),126286,116766355,OFFICIAL HIGE DANDISM,ノーダウト
Yuuri - シャッター,1205,19.0,9,,182052,115377824,Yuuri,シャッター
Mrs. GREEN APPLE - Soranji,737,3.0,10,,237849,115201011,Mrs. GREEN APPLE,Soranji
Ado - 新時代,805,172.0,1,(x63),464441,115012362,Ado,新時代
BTS - Butter,850,217.0,1,(x100),503930,114969296,BTS,Butter
Creepy Nuts - Bling-Bang-Bang-Born,290,242.0,1,(x129),746630,113878394,Creepy Nuts,Bling-Bang-Bang-Born
Aimyon - 君はロックを聴かない,2457,399.0,2,(x22),88532,112608803,Aimyon,君はロックを聴かない
Takaya Kawasaki - 魔法の絨毯,1234,,13,,193419,111870223,Takaya Kawasaki,魔法の絨毯
Da-iCE - CITRUS,1349,73.0,8,,192279,108898334,Da-iCE,CITRUS
Mrs. GREEN APPLE - ロマンチシズム,1702,,11,,231781,107771734,Mrs. GREEN APPLE,ロマンチシズム
Kenshi Yonezu - KICK BACK,744,169.0,1,(x16),474668,106593193,Kenshi Yonezu,KICK BACK
natori - Overdose,772,170.0,2,(x14),311854,105664972,natori,Overdose
Vaundy - napori,1431,,16,,172775,105559879,Vaundy,napori
SPITZ - 美しい鰭,563,146.0,2,(x58),361138,105213562,SPITZ,美しい鰭
Jung Kook - Seven,468,191.0,1,(x15),533911,104301616,Jung Kook,Seven
Mrs. GREEN APPLE - 僕のこと,2022,,15,,152943,104054962,Mrs. GREEN APPLE,僕のこと
Awesome City Club - 勿忘,768,173.0,3,(x1),301521,103558693,Awesome City Club,勿忘
Novelbright - 愛とか恋とか,920,41.0,7,,185590,102760689,Novelbright,愛とか恋とか
OFFICIAL HIGE DANDISM - ミックスナッツ,913,137.0,1,(x15),261641,101304090,OFFICIAL HIGE DANDISM,ミックスナッツ
Mrs. GREEN APPLE - Magic,500,162.0,4,,259470,98779307,Mrs. GREEN APPLE,Magic
Macaroni Empitsu - 恋人ごっこ,1622,,30,,127839,96545043,Macaroni Empitsu,恋人ごっこ
King Gnu - カメレオン,880,88.0,1,(x17),261037,95957365,King Gnu,カメレオン
back number - 花束,1841,4.0,9,,221265,95924499,back number,花束
DISH// - 猫,1185,,19,,152512,93651290,DISH//,猫
OFFICIAL HIGE DANDISM - Cry Baby,929,165.0,3,(x3),239027,93622852,OFFICIAL HIGE DANDISM,Cry Baby
Ed Sheeran - Shape of You,2806,692.0,1,(x428),83766,93598012,Ed Sheeran,Shape of You
Yuuri - ビリミリオン,644,49.0,4,,247026,92624781,Yuuri,ビリミリオン
back number - HAPPY BIRTHDAY,1474,,23,,167076,91676825,back number,HAPPY BIRTHDAY
yama - 春を告げる,1028,63.0,6,,196714,89186710,yama,春を告げる
back number - 怪盗,1249,5.0,10,,203071,88393814,back number,怪盗
SUDA MASAKI - 虹,930,125.0,4,,257084,88061082,SUDA MASAKI,虹
Ado - 唱,404,162.0,1,(x84),430859,87226561,Ado,唱
Aimer - 残響散歌,792,146.0,1,(x27),284617,86699718,Aimer,残響散歌
tuki. - 晩餐歌,391,149.0,2,(x47),359383,86295957,tuki.,晩餐歌
YOASOBI - 祝福,697,39.0,6,,214287,85907449,YOASOBI,祝福
Kenshi Yonezu - Lemon,1515,15.0,4,,234985,85697275,Kenshi Yonezu,Lemon
SPITZ - チェリー,2149,,23,,103536,85381610,SPITZ,チェリー
The Kid LAROI - Stay,967,103.0,7,,212321,84778461,The Kid LAROI,Stay
BTS - Permission to Dance,674,161.0,1,(x36),400287,84302264,BTS,Permission to Dance
YOASOBI - ハルジオン,933,,11,,191309,83951444,YOASOBI,ハルジオン
King Gnu - 白日,1332,12.0,3,(x1),141926,83271284,King Gnu,白日
Vaundy - 花占い,1207,,17,,151956,82418521,Vaundy,花占い
LiSA - 炎,641,167.0,1,(x32),365961,82330135,LiSA,炎
10-FEET - 第ゼロ感,692,110.0,5,,232673,81306880,10-FEET,第ゼロ感
