Artist and Title,Days,T10,Pk,(x?),PkStreams,Total,Artist,Song
Jessica Shy - Apkabink,594,512.0,1,(x142),21199,5873718,Jessica Shy,Apkabink
Justinas Jarutis - Rugpjūtis,1200,199.0,1,(x32),15675,4847532,Justinas Jarutis,Rugpjūtis
The Weeknd - Blinding Lights,1590,426.0,1,(x119),8339,4493675,The Weeknd,Blinding Lights
The Neighbourhood - Sweater Weather,1517,1.0,10,,6034,4414350,The Neighbourhood,Sweater Weather
Harry Styles - As It Was,879,315.0,1,(x57),20008,4392210,Harry Styles,As It Was
Jessica Shy - Tyliai Pakuždėk,903,324.0,1,(x21),14271,4169805,Jessica Shy,Tyliai Pakuždėk
Jessica Shy - Šokam Lėtai,1012,199.0,1,(x4),9443,4129354,Jessica Shy,Šokam Lėtai
Glass Animals - Heat Waves,1137,324.0,1,(x31),9089,4038965,Glass Animals,Heat Waves
Jessica Shy - Dėl Tavęs,644,256.0,1,(x4),17573,3982348,Jessica Shy,Dėl Tavęs
Elton John - Cold Heart - PNAU Remix,1047,316.0,1,(x127),14506,3878464,Elton John,Cold Heart - PNAU Remix
Jessica Shy - Stadionai,1119,13.0,5,,11000,3460793,Jessica Shy,Stadionai
Artemas - i like the way you kiss me,219,183.0,1,(x51),46286,3311119,Artemas,i like the way you kiss me
Lost Frequencies - Where Are You Now,1064,216.0,2,(x1),6250,3180877,Lost Frequencies,Where Are You Now
Miley Cyrus - Flowers,589,131.0,1,(x57),50262,3131844,Miley Cyrus,Flowers
Arctic Monkeys - Why'd You Only Call Me When You're High?,1401,,24,,3663,2910801,Arctic Monkeys,Why'd You Only Call Me When You're High?
Harry Styles - Watermelon Sugar,1262,195.0,1,(x54),6514,2865941,Harry Styles,Watermelon Sugar
Silvester Belt - Luktelk,276,137.0,1,(x59),64274,2837481,Silvester Belt,Luktelk
Jovani - Iš Lėto Leidžiasi Saulė,489,116.0,2,(x11),17348,2808701,Jovani,Iš Lėto Leidžiasi Saulė
