Artist and Title,Days,T10,Pk,(x?),PkStreams,Total,Artist,Song
Ed Sheeran - Shape of You,212,151.0,1,(x102),5447,658731,Ed Sheeran,Shape of You
Luis Fonsi - Despacito - Remix,111,110.0,1,(x95),5560,416986,Luis Fonsi,Despacito - Remix
The Chainsmokers - Closer,212,155.0,1,(x39),3586,396091,The Chainsmokers,Closer
The Chainsmokers - Something Just Like This,159,87.0,1,(x3),5077,382755,The Chainsmokers,Something Just Like This
Drake - One Dance,185,153.0,1,(x88),3250,369264,Drake,One Dance
The Weeknd - Starboy,175,135.0,1,(x84),2992,349348,The Weeknd,Starboy
Mike Posner - I Took A Pill In Ibiza - Seeb Remix,183,167.0,1,(x49),2669,323897,Mike Posner,I Took A Pill In Ibiza - Seeb Remix
The Chainsmokers - Don't Let Me Down,216,135.0,3,(x14),1920,310688,The Chainsmokers,Don't Let Me Down
Kygo - It Ain't Me,132,88.0,2,(x4),3813,307363,Kygo,It Ain't Me
DJ Snake - Let Me Love You,158,142.0,1,(x6),3115,292339,DJ Snake,Let Me Love You
Sia - Cheap Thrills,190,143.0,2,(x13),2113,292310,Sia,Cheap Thrills
Jonas Blue - Fast Car,172,113.0,1,(x1),2188,260235,Jonas Blue,Fast Car
Clean Bandit - Symphony,135,80.0,3,(x8),3097,259792,Clean Bandit,Symphony
Calvin Harris - This Is What You Came For,149,107.0,2,(x73),2599,257550,Calvin Harris,This Is What You Came For
Clean Bandit - Rockabye,154,96.0,1,(x1),2479,256401,Clean Bandit,Rockabye
Major Lazer - Cold Water,136,104.0,1,(x25),3031,253073,Major Lazer,Cold Water
ZAYN - I Don’t Wanna Live Forever (Fifty Shades Darker),127,96.0,2,(x16),2912,250174,ZAYN,I Don’t Wanna Live Forever (Fifty Shades Darker)
The Chainsmokers - Paris,119,94.0,2,(x11),3178,250019,The Chainsmokers,Paris
Starley - Call On Me - Ryan Riback Extended Remix,177,70.0,6,,1979,243947,Starley,Call On Me - Ryan Riback Extended Remix
Luis Fonsi - Despacito (Featuring Daddy Yankee),164,3.0,2,(x2),3126,241467,Luis Fonsi,Despacito (Featuring Daddy Yankee)
James Arthur - Say You Won't Let Go,166,111.0,2,(x1),2076,237032,James Arthur,Say You Won't Let Go
Jason Derulo - Swalla,135,67.0,3,(x1),2479,237023,Jason Derulo,Swalla
Martin Garrix - Scared to Be Lonely,125,69.0,3,(x2),2963,232800,Martin Garrix,Scared to Be Lonely
Zedd - Stay,130,54.0,6,,2409,230020,Zedd,Stay
DJ Khaled - I'm the One,100,82.0,2,(x26),3190,221818,DJ Khaled,I'm the One
Fifth Harmony - Work from Home,153,88.0,2,(x1),1983,217875,Fifth Harmony,Work from Home
Justin Bieber - Sorry,139,121.0,1,(x29),2337,217621,Justin Bieber,Sorry
The Weeknd - I Feel It Coming,143,84.0,3,(x5),1853,211060,The Weeknd,I Feel It Coming
Ed Sheeran - Castle on the Hill,97,70.0,2,(x19),4296,207351,Ed Sheeran,Castle on the Hill
Justin Bieber - What Do You Mean?,143,141.0,1,(x55),2238,199305,Justin Bieber,What Do You Mean?
Charlie Puth - Attention,102,65.0,3,(x14),2739,198880,Charlie Puth,Attention
Major Lazer - Light It Up,157,60.0,7,,1640,198075,Major Lazer,Light It Up
Shawn Mendes - Treat You Better,139,85.0,3,(x12),1940,197688,Shawn Mendes,Treat You Better
Alan Walker - Faded,136,109.0,2,(x1),1976,197268,Alan Walker,Faded
Julia Michaels - Issues,124,19.0,7,,2296,194538,Julia Michaels,Issues
Justin Bieber - Love Yourself,133,106.0,1,(x36),1933,192307,Justin Bieber,Love Yourself
Shawn Mendes - There's Nothing Holdin' Me Back,107,40.0,4,,2598,189745,Shawn Mendes,There's Nothing Holdin' Me Back
Imagine Dragons - Believer,137,8.0,8,,2200,189238,Imagine Dragons,Believer
Twenty One Pilots - Heathens,112,80.0,2,(x2),2434,184846,Twenty One Pilots,Heathens
Drake - Too Good,133,57.0,4,,1867,181124,Drake,Too Good
French Montana - Unforgettable,95,60.0,2,(x1),2604,179951,French Montana,Unforgettable
Bruno Mars - That's What I Like,108,25.0,8,,2198,178522,Bruno Mars,That's What I Like
Calvin Harris - Slide,124,1.0,10,,1957,174619,Calvin Harris,Slide
Jonas Blue - Mama,81,66.0,2,(x13),2901,173158,Jonas Blue,Mama
Adele - Hello,88,87.0,1,(x30),4190,172264,Adele,Hello
Lukas Graham - 7 Years,107,88.0,1,(x14),2233,171274,Lukas Graham,7 Years
Major Lazer - Lean On,131,129.0,1,(x54),1971,168308,Major Lazer,Lean On
