Artist and Title,Days,T10,Pk,(x?),PkStreams,Total,Artist,Song
J Balvin - LA CANCIÓN,1918,425.0,1,(x9),9555,9374844,J Balvin,LA CANCIÓN
Bad Bunny - Me Porto Bonito,902,321.0,1,(x57),37840,7429043,Bad Bunny,Me Porto Bonito
Plan B - Es un Secreto,1142,420.0,1,(x37),16072,7261960,Plan B,Es un Secreto
Manuel Turizo - La Bachata,852,264.0,1,(x51),14788,6793897,Manuel Turizo,La Bachata
Bad Bunny - Ojitos Lindos,902,270.0,1,(x2),39374,6470079,Bad Bunny,Ojitos Lindos
Bad Bunny - Efecto,902,285.0,1,(x4),26565,6215440,Bad Bunny,Efecto
Jay Wheeler - La Curiosidad,1582,179.0,2,(x39),7187,5663144,Jay Wheeler,La Curiosidad
Bad Bunny - DÁKITI,1149,487.0,1,(x129),34289,5565881,Bad Bunny,DÁKITI
Bad Bunny - Yonaguni,870,335.0,1,(x227),31045,5383961,Bad Bunny,Yonaguni
Bad Bunny - Tití Me Preguntó,651,232.0,1,(x82),40070,5309663,Bad Bunny,Tití Me Preguntó
Bad Bunny - Moscow Mule,898,215.0,1,(x2),49635,5292675,Bad Bunny,Moscow Mule
Maluma - Según Quién,426,317.0,1,(x66),21781,5238225,Maluma,Según Quién
Grupo Frontera - un x100to,556,188.0,1,(x28),30295,5232485,Grupo Frontera,un x100to
Feid - Feliz Cumpleaños Ferxxo,795,171.0,3,(x2),11947,5183027,Feid,Feliz Cumpleaños Ferxxo
Carin Leon - Primera Cita,524,263.0,1,(x25),18693,4988318,Carin Leon,Primera Cita
Bad Bunny - La Santa,1684,102.0,3,(x2),21106,4948261,Bad Bunny,La Santa
Bad Bunny - Si Estuviésemos Juntos,1832,2.0,6,,6655,4940805,Bad Bunny,Si Estuviésemos Juntos
Christian Nodal - Ya No Somos Ni Seremos,978,25.0,4,,10508,4819853,Christian Nodal,Ya No Somos Ni Seremos
Danny Ocean - Me Rehúso,1719,167.0,1,(x44),5398,4496954,Danny Ocean,Me Rehúso
"Bizarrap - Quevedo: Bzrp Music Sessions, Vol. 52",638,209.0,1,(x20),21856,4483349,Bizarrap,"Quevedo: Bzrp Music Sessions, Vol. 52"
Bad Bunny - Callaita,1559,189.0,1,(x9),21498,4438094,Bad Bunny,Callaita
Don Omar - Dile,1279,,15,,7960,4379540,Don Omar,Dile
Tego Calderón - Pa' Que Retozen,1200,,14,,8478,4267726,Tego Calderón,Pa' Que Retozen
KAROL G - PROVENZA,914,72.0,2,(x1),9640,4204053,KAROL G,PROVENZA
Ozuna - Hey Mor,702,172.0,3,(x3),12235,4191479,Ozuna,Hey Mor
Feid - LUNA,325,293.0,1,(x22),17091,4166851,Feid,LUNA
Xavi - La Diabla,321,177.0,1,(x109),33241,4166335,Xavi,La Diabla
Carin Leon - Que Vuelvas,669,3.0,9,,10387,4106022,Carin Leon,Que Vuelvas
Grupo Frontera - EL AMOR DE SU VIDA,448,223.0,2,(x6),19594,4103389,Grupo Frontera,EL AMOR DE SU VIDA
Mora - LA INOCENTE,931,6.0,4,,9692,4080571,Mora,LA INOCENTE
Myke Towers - LALA,486,165.0,1,(x61),21036,4077349,Myke Towers,LALA
Feid - Classy 101,573,170.0,3,(x5),11819,4072945,Feid,Classy 101
Rauw Alejandro - Desesperados,950,91.0,4,,7845,4045064,Rauw Alejandro,Desesperados
Bad Bunny - Diles,1236,,11,,5225,4001823,Bad Bunny,Diles
Bad Bunny - Neverita,657,202.0,4,,29349,3992414,Bad Bunny,Neverita
Bad Bunny - PERRO NEGRO,377,203.0,2,(x34),33280,3986192,Bad Bunny,PERRO NEGRO
Tainy - Lo Siento BB:/,811,212.0,1,(x87),11505,3951176,Tainy,Lo Siento BB:/
Bad Bunny - A Tu Merced,1243,170.0,4,,12839,3751145,Bad Bunny,A Tu Merced
Christian Nodal - De Los Besos Que Te Di,1733,,15,,5907,3736602,Christian Nodal,De Los Besos Que Te Di
Calle 24 - Que Onda,418,168.0,3,(x19),15079,3721291,Calle 24,Que Onda
Rauw Alejandro - Todo De Ti,1000,211.0,1,(x9),17101,3709178,Rauw Alejandro,Todo De Ti
Feid - Normal,839,,13,,7859,3674259,Feid,Normal
KAROL G - AMARGURA,533,2.0,10,,9763,3643884,KAROL G,AMARGURA
KAROL G - QLONA,440,177.0,4,,13039,3625668,KAROL G,QLONA
Yng Lvcas - La Bebe - Remix,575,133.0,3,(x61),17364,3624975,Yng Lvcas,La Bebe - Remix
JHAYCO - No Me Conoce - Remix,1238,212.0,3,(x2),5989,3510334,JHAYCO,No Me Conoce - Remix
Eslabon Armado - Ella Baila Sola,393,124.0,1,(x57),33299,3444755,Eslabon Armado,Ella Baila Sola
Bad Bunny - Si Veo a Tu Mamá,1203,130.0,1,(x10),27136,3436715,Bad Bunny,Si Veo a Tu Mamá
Bad Bunny - Vete,1251,155.0,1,(x3),15623,3431158,Bad Bunny,Vete
Aventura - Volví,927,239.0,1,(x2),17671,3378922,Aventura,Volví
Gera MX - Botella Tras Botella,996,104.0,1,(x20),16922,3271078,Gera MX,Botella Tras Botella
Piso 21 - Pa' Olvidarme De Ella,1388,11.0,9,,4476,3258688,Piso 21,Pa' Olvidarme De Ella
Arcángel - La Jumpa,464,153.0,1,(x28),14107,3232275,Arcángel,La Jumpa
Arcángel - Tu No Vive Asi,1062,,28,,6724,3202532,Arcángel,Tu No Vive Asi
Harry Styles - As It Was,814,35.0,1,(x3),9936,3195281,Harry Styles,As It Was
Aventura - Ella Y Yo - Featuring Don Omar,1201,,21,,7783,3155014,Aventura,Ella Y Yo - Featuring Don Omar
Mora - Volando - Remix,828,263.0,2,(x1),11739,3146197,Mora,Volando - Remix
Maluma - Hawái,911,206.0,1,(x71),15915,3084037,Maluma,Hawái
Grupo Firme - El Tóxico,1089,5.0,5,,11295,3080543,Grupo Firme,El Tóxico
KAROL G - TQG,486,109.0,1,(x30),21979,3055251,KAROL G,TQG
Yandel - Yandel 150,447,167.0,2,(x20),14023,3051955,Yandel,Yandel 150
Anuel AA - Amanece,812,,16,,6214,3036747,Anuel AA,Amanece
Aventura - El Perdedor,704,34.0,2,(x1),14227,3034234,Aventura,El Perdedor
Bad Bunny - TE MUDASTE,1021,138.0,2,(x1),28146,2975226,Bad Bunny,TE MUDASTE
Bad Bunny - Tarot,615,162.0,5,,35450,2963334,Bad Bunny,Tarot
Grupo Firme - Calidad,747,45.0,3,(x3),13754,2952694,Grupo Firme,Calidad
JHAYCO - CÓMO SE SIENTE - Remix,1166,10.0,4,,8137,2916610,JHAYCO,CÓMO SE SIENTE - Remix
Jimin - Like Crazy,477,57.0,1,(x1),15871,2904940,Jimin,Like Crazy
Aventura - Dile al Amor,822,19.0,4,,12614,2899692,Aventura,Dile al Amor
Christian Nodal - Aquí Abajo,1219,,11,,5869,2896304,Christian Nodal,Aquí Abajo
Grupo Firme - Qué Onda Perdida,501,63.0,1,(x1),17822,2866794,Grupo Firme,Qué Onda Perdida
KAROL G - Tusa,947,151.0,1,(x93),18102,2865832,KAROL G,Tusa
Vicente Fernández - Un Millón de Primaveras,1033,7.0,2,(x1),7148,2854522,Vicente Fernández,Un Millón de Primaveras
Bacilos - Caraluna,1279,,27,,5915,2844687,Bacilos,Caraluna
Quevedo - Columbia,475,70.0,3,(x13),10676,2834024,Quevedo,Columbia
Bad Bunny - LA NOCHE DE ANOCHE,778,185.0,2,(x60),27411,2822139,Bad Bunny,LA NOCHE DE ANOCHE
The Weeknd - Blinding Lights,1252,83.0,4,,4755,2784192,The Weeknd,Blinding Lights
KAROL G - MI EX TENÍA RAZÓN,440,23.0,7,,8996,2744737,KAROL G,MI EX TENÍA RAZÓN
