Artist and Title,Days,T10,Pk,(x?),PkStreams,Total,Artist,Song
Up Dharma Down - Tadhana,3501,52.0,6,,471241,286221328,Up Dharma Down,Tadhana
Ben&Ben - Kathang Isip,2499,290.0,2,(x7),211337,265302857,Ben&Ben,Kathang Isip
NOBITA - Ikaw Lang,1239,338.0,2,(x37),385908,263265279,NOBITA,Ikaw Lang
Adie - Mahika,874,403.0,1,(x61),395614,260897059,Adie,Mahika
James Arthur - Say You Won't Let Go,2941,229.0,1,(x44),264769,245691309,James Arthur,Say You Won't Let Go
Taylor Swift - Cruel Summer,1070,245.0,1,(x10),599799,229093770,Taylor Swift,Cruel Summer
Arthur Nery - Pagsamo,1117,278.0,1,(x47),585483,210889279,Arthur Nery,Pagsamo
Arthur Nery - Isa lang,1040,130.0,2,(x9),346409,209695100,Arthur Nery,Isa lang
IV Of Spades - Mundo,2442,230.0,1,(x61),238389,209682999,IV Of Spades,Mundo
Adie - Paraluman,1260,336.0,3,(x4),292211,209340917,Adie,Paraluman
H.E.R. - Best Part,2482,,11,,329787,191664124,H.E.R.,Best Part
Ben&Ben - Sa Susunod na Habang Buhay,1698,62.0,1,(x1),552886,188972166,Ben&Ben,Sa Susunod na Habang Buhay
SunKissed Lola - Pasilyo,677,262.0,1,(x29),691069,187683800,SunKissed Lola,Pasilyo
Hale - Kung Wala Ka,2769,,31,,306222,182277721,Hale,Kung Wala Ka
Ben&Ben - Pagtingin,1968,250.0,2,(x44),271108,181395861,Ben&Ben,Pagtingin
Dhruv - double take,1215,107.0,1,(x5),323546,176712726,Dhruv,double take
Arthur Nery - Higa,1600,13.0,8,,202518,176353602,Arthur Nery,Higa
SZA - Snooze,672,172.0,2,(x4),494360,166405474,SZA,Snooze
Hale - The Day You Said Goodnight,2233,,40,,255836,166120606,Hale,The Day You Said Goodnight
Calein - Umaasa,761,117.0,8,,326731,165655690,Calein,Umaasa
Cean Jr. - YK,630,160.0,2,(x6),532207,164803530,Cean Jr.,YK
SZA - Kill Bill,685,202.0,1,(x41),624476,162837544,SZA,Kill Bill
Adie - Tahanan,1049,99.0,5,,270533,158006983,Adie,Tahanan
Dilaw - Uhaw (Tayong Lahat),580,181.0,1,(x61),747093,155256148,Dilaw,Uhaw (Tayong Lahat)
Arthur Nery - TAKE ALL THE LOVE,740,105.0,4,,558510,154116230,Arthur Nery,TAKE ALL THE LOVE
Taylor Swift - Lover,1464,37.0,1,(x7),312081,152825565,Taylor Swift,Lover
gins&melodies - Babaero,279,141.0,1,(x73),1028348,152721967,gins&melodies,Babaero
Lola Amour - Fallen,847,8.0,9,,289781,152637852,Lola Amour,Fallen
Ben&Ben - Maybe The Night,1840,198.0,1,(x10),270708,151581071,Ben&Ben,Maybe The Night
December Avenue - Sa Ngalan Ng Pag-Ibig,2098,229.0,2,(x8),251876,150112352,December Avenue,Sa Ngalan Ng Pag-Ibig
December Avenue - Kung 'Di Rin Lang Ikaw,1571,358.0,1,(x58),287663,147792921,December Avenue,Kung 'Di Rin Lang Ikaw
Ben&Ben - Araw-Araw,1858,,21,,169577,147435249,Ben&Ben,Araw-Araw
Orange & Lemons - Hanggang Kailan - Umuwi Ka Na Baby,2080,,38,,255823,145782132,Orange & Lemons,Hanggang Kailan - Umuwi Ka Na Baby
Cup of Joe - Tingin,397,147.0,3,(x10),489925,145567192,Cup of Joe,Tingin
Bruno Mars - Just the Way You Are,2676,,30,,251172,143152568,Bruno Mars,Just the Way You Are
The Walters - I Love You So,1115,12.0,9,,286400,143015448,The Walters,I Love You So
Ben&Ben - Leaves,2274,,37,,124112,142560806,Ben&Ben,Leaves
The Weeknd - Die For You,1157,19.0,9,,309946,140717602,The Weeknd,Die For You
Hev Abi - Walang Alam,289,185.0,2,(x24),755289,140328391,Hev Abi,Walang Alam
Zack Tabudlo - Binibini,1067,187.0,1,(x38),406332,140320146,Zack Tabudlo,Binibini
NIKI - lowkey,1698,,24,,209235,140056162,NIKI,lowkey
Justin Bieber - Ghost,1070,164.0,6,,231144,139820835,Justin Bieber,Ghost
I Belong to the Zoo - Sana,1535,330.0,1,(x7),264775,138093967,I Belong to the Zoo,Sana
Lauv - I Like Me Better,2148,156.0,2,(x1),158470,137567607,Lauv,I Like Me Better
Hev Abi - Alam Mo Ba Girl,358,160.0,1,(x2),748880,136669652,Hev Abi,Alam Mo Ba Girl
BINI - Pantropiko,256,144.0,1,(x32),1014377,136534453,BINI,Pantropiko
"BINI - Salamin, Salamin",226,151.0,1,(x21),1102678,136449902,BINI,"Salamin, Salamin"
Maki - Dilaw,154,153.0,1,(x36),1310029,136448585,Maki,Dilaw
Lola Amour - Raining In Manila,466,153.0,1,(x42),841311,134901261,Lola Amour,Raining In Manila
rhodessa - Kisame,512,110.0,4,,496229,134488015,rhodessa,Kisame
