Artist and Title,Days,T10,Pk,(x?),PkStreams,Total,Artist,Song
Tzanca Uraganu - Havana,824,410.0,1,(x49),34525,12461246,Tzanca Uraganu,Havana
Tzanca Uraganu - Banii,1183,240.0,2,(x12),18051,10820359,Tzanca Uraganu,Banii
rares - La tine și la bani,683,233.0,1,(x73),36175,10670630,rares,La tine și la bani
Gya - Baklava,192,184.0,1,(x54),109341,10591452,Gya,Baklava
The Neighbourhood - Sweater Weather,1562,21.0,7,,11514,9996748,The Neighbourhood,Sweater Weather
Ian - Timeout,983,189.0,1,(x4),27189,9781696,Ian,Timeout
RAVA - BULIBA$HA,895,167.0,3,(x1),20815,9725080,RAVA,BULIBA$HA
Tzanca Uraganu - Trotinete,701,232.0,1,(x17),32825,9069723,Tzanca Uraganu,Trotinete
Tzanca Uraganu - Ciocolata,439,212.0,1,(x14),30944,8733335,Tzanca Uraganu,Ciocolata
RAVA - IN LIPSA TA,771,200.0,1,(x36),45475,8687316,RAVA,IN LIPSA TA
Iuly Neamtu - Pe un pat,525,110.0,4,,28743,7921284,Iuly Neamtu,Pe un pat
RAVA - Regina Nopții,789,82.0,1,(x23),42248,7807352,RAVA,Regina Nopții
Killa Fonic - Niciun Glonț Nu Doare Cât Dragostea,1122,69.0,2,(x2),11132,7750984,Killa Fonic,Niciun Glonț Nu Doare Cât Dragostea
Alex Botea - Papusa Barbie,880,,12,,20133,7672550,Alex Botea,Papusa Barbie
Tzanca Uraganu - Emirate,572,126.0,1,(x22),30520,7608735,Tzanca Uraganu,Emirate
Ian - Urgențe,754,102.0,2,(x2),17263,7584674,Ian,Urgențe
Iuly Neamtu - Lalele mentolate,584,198.0,2,(x27),27791,7526973,Iuly Neamtu,Lalele mentolate
Bogdan DLP - Ebal,673,23.0,7,,19737,7472492,Bogdan DLP,Ebal
Jador - Skinny,634,172.0,1,(x1),26945,7446974,Jador,Skinny
The Weeknd - Blinding Lights,1257,355.0,1,(x1),18702,7232335,The Weeknd,Blinding Lights
Babasha - Păi naa,139,139.0,1,(x23),185080,7200379,Babasha,Păi naa
Iuly Neamtu - Cum O Dai Tu,1032,17.0,7,,20392,7144849,Iuly Neamtu,Cum O Dai Tu
Travis Scott - FE!N,454,83.0,1,(x7),62555,7136741,Travis Scott,FE!N
Ian - Lumea asta,698,163.0,1,(x5),20358,7076825,Ian,Lumea asta
Costel Biju - Gipsy Style,551,64.0,5,,23299,7072896,Costel Biju,Gipsy Style
Oscar - Toxic,802,19.0,1,(x5),41544,7026844,Oscar,Toxic
Alex Botea - Romeo si Julieta,357,150.0,1,(x25),36751,6914627,Alex Botea,Romeo si Julieta
RAVA - Giulesti Crangasi,1068,,12,,10313,6843725,RAVA,Giulesti Crangasi
Arctic Monkeys - I Wanna Be Yours,1142,,30,,9745,6796716,Arctic Monkeys,I Wanna Be Yours
YNY Sebi - Tarabanele,761,99.0,1,(x38),42186,6778109,YNY Sebi,Tarabanele
Tzanca Uraganu - Burj Khalifa,253,121.0,1,(x23),65417,6772793,Tzanca Uraganu,Burj Khalifa
Ian - 60 De Zile II,1430,,16,,10608,6689145,Ian,60 De Zile II
M.G.L. - CONTACT FATAL 2,772,26.0,3,(x5),14285,6688135,M.G.L.,CONTACT FATAL 2
Ian - La san,730,21.0,3,(x1),16647,6646400,Ian,La san
Tzanca Uraganu - HOT,376,117.0,2,(x14),29085,6471710,Tzanca Uraganu,HOT
Travis Scott - goosebumps,1666,27.0,5,,16674,6419086,Travis Scott,goosebumps
