Artist and Title,Days,T10,Pk,(x?),PkStreams,Total,Artist,Song
Jung Kook - Seven,468,392.0,1,(x110),1432915,185904326,Jung Kook,Seven
V - Love Me Again,440,371.0,1,(x87),776461,134708280,V,Love Me Again
Jung Kook - Standing Next to You,355,353.0,1,(x87),1008356,132190665,Jung Kook,Standing Next to You
LISA - MONEY,1076,566.0,1,(x43),563240,123576637,LISA,MONEY
Jimin - Like Crazy,501,416.0,1,(x29),803337,106108545,Jimin,Like Crazy
LISA - LALISA,1056,418.0,1,(x14),313560,81918965,LISA,LALISA
Jimin - Who,97,97.0,1,(x19),2055355,66499123,Jimin,Who
Jung Kook - 3D,391,187.0,1,(x3),1079294,65067220,Jung Kook,3D
LISA - Rockstar,118,101.0,1,(x32),2573082,64666120,LISA,Rockstar
TEN - Nightwalker,254,239.0,1,(x6),701862,59979183,TEN,Nightwalker
Mirrr - นิโคติน,1722,240.0,1,(x4),68531,54946234,Mirrr,นิโคติน
YEW - Summertime,924,149.0,2,(x2),127731,54650662,YEW,Summertime
THEMOONWILLALWAYSBEWITHME - ซูลูปาก้า ตาปาเฮ้,867,172.0,1,(x48),125618,51535908,THEMOONWILLALWAYSBEWITHME,ซูลูปาก้า ตาปาเฮ้
Mirrr - เจ้าของที่ (My Favorite),959,16.0,9,,81583,51105321,Mirrr,เจ้าของที่ (My Favorite)
Agust D - Haegeum,550,64.0,1,(x17),673391,50835384,Agust D,Haegeum
Musketeers - พิจารณา (Consider),697,175.0,1,(x34),137030,49657971,Musketeers,พิจารณา (Consider)
fellow fellow - ดาวหางฮัลเลย์,417,147.0,3,(x11),338612,49652561,fellow fellow,ดาวหางฮัลเลย์
Three Man Down - ฝนตกไหม,1704,363.0,1,(x24),67340,49192395,Three Man Down,ฝนตกไหม
Pop Pongkool - สลักจิต,832,162.0,5,,103901,48205074,Pop Pongkool,สลักจิต
LISA - New Woman,69,69.0,1,(x46),2184794,47620992,LISA,New Woman
Newery - กลิ่นดอกไม้,643,165.0,1,(x1),213503,45426181,Newery,กลิ่นดอกไม้
Tilly Birds - คิด(แต่ไม่)ถึง (Same Page?),1445,332.0,1,(x73),83602,45333749,Tilly Birds,คิด(แต่ไม่)ถึง (Same Page?)
Dhruv - double take,1257,101.0,1,(x6),77020,45142641,Dhruv,double take
V - Slow Dancing,411,82.0,2,(x32),970174,44787468,V,Slow Dancing
JISOO - FLOWER,481,200.0,1,(x5),555289,44531799,JISOO,FLOWER
Anatomy Rabbit - แอบหวัง,1078,,16,,76732,44449557,Anatomy Rabbit,แอบหวัง
Polycat - เวลาเธอยิ้ม,2168,,21,,98237,43534703,Polycat,เวลาเธอยิ้ม
