Artist and Title,Days,T10,Pk,(x?),PkStreams,Total,Artist,Song
Madrigal - Seni Dert Etmeler,1650,297.0,1,(x36),283575,242802341,Madrigal,Seni Dert Etmeler
KÖFN - Bi' Tek Ben Anlarım,928,256.0,1,(x10),547934,196590210,KÖFN,Bi' Tek Ben Anlarım
Simge - Aşkın Olayım,1069,230.0,1,(x10),637671,185229016,Simge,Aşkın Olayım
Dolu Kadehi Ters Tut - Gitme,2030,,11,,191354,181314692,Dolu Kadehi Ters Tut,Gitme
mor ve ötesi - Bir Derdim Var,3076,,21,,207844,177258411,mor ve ötesi,Bir Derdim Var
Yüzyüzeyken Konuşuruz - Dinle Beni Bi',2353,,18,,209241,170065820,Yüzyüzeyken Konuşuruz,Dinle Beni Bi'
Mavi Gri - Altüst Olmuşum,1218,,11,,267510,160206398,Mavi Gri,Altüst Olmuşum
UZI - SENIN UGRUNA,773,117.0,1,(x40),685734,153136380,UZI,SENIN UGRUNA
Semicenk - Canın Sağ Olsun,553,138.0,1,(x11),709598,145144689,Semicenk,Canın Sağ Olsun
Güneş - Dua,1373,136.0,3,(x7),258206,144432826,Güneş,Dua
UZI - PAPARAZZİ,990,208.0,1,(x74),534156,142410315,UZI,PAPARAZZİ
Güneş - Suçlarımdan Biri,876,149.0,1,(x10),531385,140612337,Güneş,Suçlarımdan Biri
Mert Demir - Antidepresan,516,129.0,1,(x52),1556114,137842516,Mert Demir,Antidepresan
Rei 6 - Ah Canım Sevgilim - Demo,1184,21.0,6,,186543,131009795,Rei 6,Ah Canım Sevgilim - Demo
Semicenk - Yana Yana,572,176.0,1,(x38),564052,128601573,Semicenk,Yana Yana
UZI - ARASAN DA,586,120.0,1,(x30),1355129,128226134,UZI,ARASAN DA
BLOK3 - AFFETMEM,651,121.0,2,(x16),574997,127472359,BLOK3,AFFETMEM
UZI - CINDY,958,148.0,1,(x20),668176,127213815,UZI,CINDY
