Artist and Title,Days,T10,Pk,(x?),PkStreams,Total,Artist,Song
SadSvit - Силуети,727,480.0,1,(x122),41168,14140801,SadSvit,Силуети
The Neighbourhood - Sweater Weather,1485,,14,,15119,10812041,The Neighbourhood,Sweater Weather
Wellboy - Додому,666,179.0,5,,21242,9227275,Wellboy,Додому
ThxSoMch - SPIT IN MY FACE!,670,171.0,1,(x17),40246,8531443,ThxSoMch,SPIT IN MY FACE!
xxxmanera - Never Broke Again,858,129.0,1,(x23),23537,8479941,xxxmanera,Never Broke Again
SadSvit - Касета,920,82.0,5,,15562,8450591,SadSvit,Касета
YAKTAK - Погляд,601,218.0,1,(x42),30989,8443763,YAKTAK,Погляд
KALUSH - Додому,885,204.0,2,(x12),25667,8057129,KALUSH,Додому
Big Baby Tape - Million,890,94.0,2,(x42),74013,7927165,Big Baby Tape,Million
Kordhell - Murder In My Mind,706,251.0,3,(x10),19331,7875366,Kordhell,Murder In My Mind
INTERWORLD - METAMORPHOSIS,675,160.0,2,(x4),21456,7837686,INTERWORLD,METAMORPHOSIS
SKOFKA - Чути гімн,574,258.0,1,(x7),23103,7772281,SKOFKA,Чути гімн
YAKTAK - Порічка,566,172.0,3,(x10),26436,7679463,YAKTAK,Порічка
KRBK - Крепче,669,75.0,7,,19595,7656672,KRBK,Крепче
Mr.Kitty - After Dark,1184,,11,,11484,7643421,Mr.Kitty,After Dark
shadowraze - astral step,652,201.0,1,(x53),48235,7640573,shadowraze,astral step
Lil Peep - Star Shopping,1512,,48,,8999,7386767,Lil Peep,Star Shopping
Parfeniuk - Відриваючись,540,123.0,3,(x1),26066,7297754,Parfeniuk,Відриваючись
The Weeknd - Blinding Lights,1265,172.0,1,(x28),14099,7263750,The Weeknd,Blinding Lights
Artemas - i like the way you kiss me,219,202.0,1,(x67),79446,7135096,Artemas,i like the way you kiss me
Nirvana - Smells Like Teen Spirit - Remastered,1065,,33,,9966,7031556,Nirvana,Smells Like Teen Spirit - Remastered
alyona alyona - Не втратимо зв'язок,553,20.0,8,,21855,6962777,alyona alyona,Не втратимо зв'язок
XXXTENTACION - Revenge,973,,13,,15075,6949200,XXXTENTACION,Revenge
DOROFEEVA - Щоб не було,672,17.0,9,,15374,6915013,DOROFEEVA,Щоб не було
Klavdia Petrivna - Знайди мене,380,164.0,1,(x38),31776,6801988,Klavdia Petrivna,Знайди мене
Tom Odell - Another Love,994,,12,,12157,6798162,Tom Odell,Another Love
Imagine Dragons - Bones,805,33.0,6,,15615,6551280,Imagine Dragons,Bones
Arctic Monkeys - I Wanna Be Yours,802,,15,,14089,6528697,Arctic Monkeys,I Wanna Be Yours
Surf Curse - Freaks,1205,,39,,8866,6506005,Surf Curse,Freaks
Khrystyna Soloviy - Тримай,966,6.0,8,,10691,6349105,Khrystyna Soloviy,Тримай
DVRST - Close Eyes,795,22.0,5,,14633,6330567,DVRST,Close Eyes
FACE - Антидепрессант,941,,25,,13163,6199467,FACE,Антидепрессант
"DOROFEEVA - Кохаю, але не зовсім",489,158.0,1,(x2),21905,6151486,DOROFEEVA,"Кохаю, але не зовсім"
kizaru - Dezhavyu,855,246.0,1,(x5),9833,6046658,kizaru,Dezhavyu
alyona alyona - Teresa & Maria,286,157.0,1,(x41),73184,6021180,alyona alyona,Teresa & Maria
The Neighbourhood - Softcore,984,,43,,9887,5951874,The Neighbourhood,Softcore
FACE - ЛАБИРИНТ,916,10.0,5,,14374,5908603,FACE,ЛАБИРИНТ
shadowraze - showdown,495,133.0,1,(x65),91641,5846728,shadowraze,showdown
Chico - Покохай мене,347,177.0,1,(x15),24929,5833621,Chico,Покохай мене
shadowraze - Холод,427,125.0,1,(x12),70058,5832002,shadowraze,Холод
Big Baby Tape - Bandana,543,88.0,1,(x8),110918,5783370,Big Baby Tape,Bandana
Eyedress - Jealous,978,,48,,9284,5745703,Eyedress,Jealous
KALUSH - Stefania (Kalush Orchestra),470,153.0,1,(x45),86067,5704232,KALUSH,Stefania (Kalush Orchestra)
Aarne - Тесно,573,94.0,1,(x31),59025,5673596,Aarne,Тесно
Какая Разница - Рассвет,841,,24,,10591,5582357,Какая Разница,Рассвет
POSITIFF - Спалахи,500,,13,,19379,5566090,POSITIFF,Спалахи
Big Baby Tape - 99 Problems,412,112.0,1,(x57),96730,5533188,Big Baby Tape,99 Problems
SadSvit - Молодість,866,,34,,9700,5455125,SadSvit,Молодість
FRIENDLY THUG 52 NGG - Lost Angeles,353,115.0,1,(x2),25357,5410346,FRIENDLY THUG 52 NGG,Lost Angeles
Korol i Shut - Кукла колдуна,971,22.0,4,,9500,5399559,Korol i Shut,Кукла колдуна
David Kushner - Daylight,503,17.0,6,,19150,5397179,David Kushner,Daylight
Кишлак - Я уёбываю в джаз,797,,32,,9878,5386217,Кишлак,Я уёбываю в джаз
Klavdia Petrivna - Я тобі брехала,254,163.0,1,(x7),36162,5363581,Klavdia Petrivna,Я тобі брехала
Klavdia Petrivna - Я щаслива - Лікарі кажуть,349,166.0,3,(x12),24005,5358848,Klavdia Petrivna,Я щаслива - Лікарі кажуть
uniqe - ТОЛПЫ КРИЧАТ,661,46.0,1,(x7),31980,5341228,uniqe,ТОЛПЫ КРИЧАТ
Skryptonite - Это любовь,1170,,68,,8756,5326746,Skryptonite,Это любовь
Rammstein - Sonne,749,,18,,11185,5324096,Rammstein,Sonne
Valentin Strykalo - Так гріє,913,,31,,8364,5316278,Valentin Strykalo,Так гріє
fem.love - Фотографирую закат,592,84.0,2,(x7),25674,5295328,fem.love,Фотографирую закат
