Artist and Title,Days,T10,Pk,(x?),PkStreams,Total,Artist,Song
Kabza De Small - Imithandazo,363,251.0,1,(x79),378645,24640019,Kabza De Small,Imithandazo
Tyler ICU - Mnike,426,183.0,1,(x100),153501,18288892,Tyler ICU,Mnike
Dlala Thukzin - IPlan,405,149.0,1,(x59),314450,17959193,Dlala Thukzin,IPlan
Miguel - Sure Thing,1397,5.0,8,,37783,17317792,Miguel,Sure Thing
Mthandeni SK - Paris,440,152.0,3,(x6),208501,16246641,Mthandeni SK,Paris
Lewis Capaldi - Someone You Loved,1937,104.0,5,,18813,15644139,Lewis Capaldi,Someone You Loved
DJ Stokie - Awukhuzeki,486,128.0,1,(x23),112431,15626586,DJ Stokie,Awukhuzeki
DJ Stokie - Masithokoze,370,148.0,2,(x5),213458,14604093,DJ Stokie,Masithokoze
SZA - Snooze,682,6.0,9,,36386,14291642,SZA,Snooze
Fantasia - When I See U,1588,,17,,27347,14233249,Fantasia,When I See U
Bassie - Izenzo,417,148.0,4,,162397,14184890,Bassie,Izenzo
Chris Brown - Under The Influence,949,127.0,2,(x30),33684,14027433,Chris Brown,Under The Influence
Mario - Let Me Love You,1777,,12,,35804,13995903,Mario,Let Me Love You
Mellow & Sleazy - Imnandi lento,317,133.0,1,(x39),159073,13760668,Mellow & Sleazy,Imnandi lento
Future - WAIT FOR U,877,147.0,1,(x10),31770,13671456,Future,WAIT FOR U
Billie Eilish - lovely,1917,,36,,20695,13532102,Billie Eilish,lovely
Wanitwa Mos - Keneilwe,310,117.0,1,(x1),319931,12980053,Wanitwa Mos,Keneilwe
J. Cole - No Role Modelz,1440,,28,,20913,12699882,J. Cole,No Role Modelz
Soa Mattrix - Mina Nawe,563,202.0,1,(x15),70162,12263191,Soa Mattrix,Mina Nawe
The Weeknd - Blinding Lights,1501,391.0,1,(x16),19014,11991929,The Weeknd,Blinding Lights
Kelvin Momo - Sukakude,683,42.0,5,,45024,11834766,Kelvin Momo,Sukakude
Tyla - Water,420,44.0,3,(x1),70282,11246349,Tyla,Water
Bryson Tiller - Exchange,955,,19,,30439,11051315,Bryson Tiller,Exchange
Mariah Carey - We Belong Together,987,,20,,31810,11016234,Mariah Carey,We Belong Together
TitoM - Tshwala Bam,212,99.0,1,(x54),173179,10980888,TitoM,Tshwala Bam
Bryson Tiller - Don't,1038,,36,,24834,10861416,Bryson Tiller,Don't
Sam Deep - Isgubhu,359,81.0,4,,129989,10822913,Sam Deep,Isgubhu
Glass Animals - Heat Waves,1065,187.0,3,(x2),20684,10675205,Glass Animals,Heat Waves
K.O - SETE,461,155.0,1,(x91),80690,10618348,K.O,SETE
Kelvin Momo - Amalobolo,321,90.0,5,,78081,10547192,Kelvin Momo,Amalobolo
Shakes & Les - Funk 55,255,111.0,2,(x34),200666,10413540,Shakes & Les,Funk 55
Benson Boone - Beautiful Things,279,111.0,2,(x2),57506,10334626,Benson Boone,Beautiful Things
Kabza De Small - Amazwe,363,24.0,7,,60152,10043267,Kabza De Small,Amazwe
Burna Boy - Last Last,632,148.0,1,(x41),35264,9931601,Burna Boy,Last Last
Kendrick Lamar - Not Like Us,172,130.0,1,(x55),106574,9800167,Kendrick Lamar,Not Like Us
Lady Amar - Hamba Juba,361,131.0,1,(x17),88736,9769137,Lady Amar,Hamba Juba
Harry Styles - As It Was,772,143.0,1,(x18),31816,9656163,Harry Styles,As It Was
James Arthur - Say You Won't Let Go,1766,,51,,18205,9596010,James Arthur,Say You Won't Let Go
Kabza De Small - Abalele,805,143.0,1,(x28),64835,9521681,Kabza De Small,Abalele
Mas Musiq - Sengizwile,618,128.0,2,(x2),51779,9395928,Mas Musiq,Sengizwile
Gunna - fukumean,469,73.0,3,(x2),43993,9394083,Gunna,fukumean
De Mthuda - Sgudi Snyc,329,104.0,2,(x26),91304,9320171,De Mthuda,Sgudi Snyc
Lwah Ndlunkulu - Ithuba,767,,27,,25609,9216938,Lwah Ndlunkulu,Ithuba
Sam Deep - iMpumelelo,423,84.0,6,,55450,9214953,Sam Deep,iMpumelelo
Lwah Ndlunkulu - Ngiyeza,546,23.0,7,,36150,9061939,Lwah Ndlunkulu,Ngiyeza
Rema - Calm Down,562,37.0,5,,33835,9000379,Rema,Calm Down
Mas Musiq - Gangnam Style,322,123.0,2,(x18),79175,8893335,Mas Musiq,Gangnam Style
Lwah Ndlunkulu - Eyami,435,,12,,51475,8825056,Lwah Ndlunkulu,Eyami
Spirit Of Praise - Thath'Indawo (Live),592,,11,,25650,8782801,Spirit Of Praise,Thath'Indawo (Live)
Miguel - Adorn,815,,13,,34302,8766208,Miguel,Adorn
Harry Cane - Dubula,225,86.0,2,(x3),208219,8728133,Harry Cane,Dubula
Inkabi Zezwe - Umbayimbayi,403,85.0,1,(x21),92709,8655990,Inkabi Zezwe,Umbayimbayi
Kamo Mphela - Dalie,242,83.0,2,(x9),156154,8641963,Kamo Mphela,Dalie
Dave - Sprinter,405,97.0,2,(x4),54654,8615504,Dave,Sprinter
Shakes & Les - Funk 99,202,97.0,1,(x14),112626,8542225,Shakes & Les,Funk 99
SZA - Kill Bill,598,62.0,2,(x2),36011,8523703,SZA,Kill Bill
H.E.R. - Best Part,1398,,53,,20480,8471576,H.E.R.,Best Part
Adele - Easy On Me,798,122.0,1,(x18),134105,8433976,Adele,Easy On Me
Uncle Waffles - Wadibusa,190,122.0,2,(x3),87699,8410703,Uncle Waffles,Wadibusa
Aymos - Fatela,426,130.0,3,(x7),52143,8348080,Aymos,Fatela
2Point1 - Stimela,348,158.0,1,(x13),68215,8346559,2Point1,Stimela
Ayra Starr - Rush,528,53.0,6,,31342,8201608,Ayra Starr,Rush
Giveon - Heartbreak Anniversary,1084,56.0,1,(x1),18537,8190844,Giveon,Heartbreak Anniversary
Frank Ocean - Pink + White,703,,39,,20067,8123687,Frank Ocean,Pink + White
Chris Brown - Angel Numbers / Ten Toes,349,,11,,33220,7933341,Chris Brown,Angel Numbers / Ten Toes
Felo Le Tee - Yebo Lapho (Gogo),113,99.0,1,(x58),163660,7878301,Felo Le Tee,Yebo Lapho (Gogo)
Libianca - People,445,112.0,1,(x1),37315,7868386,Libianca,People
Drake - One Dance,970,,75,,16728,7808813,Drake,One Dance
Ugatsheni - Hit after Hit,301,52.0,6,,58109,7779950,Ugatsheni,Hit after Hit
The Kid LAROI - Stay,655,200.0,1,(x34),30744,7712043,The Kid LAROI,Stay
Kabza De Small - Nana Thula,354,62.0,5,,50434,7677055,Kabza De Small,Nana Thula
Lloyiso - Seasons,923,,43,,18671,7350269,Lloyiso,Seasons
Ed Sheeran - Bad Habits,660,145.0,1,(x24),25872,7317077,Ed Sheeran,Bad Habits
Ruth B. - Dandelions,899,,44,,15543,7267145,Ruth B.,Dandelions
Muni Long - Made For Me,275,56.0,3,(x3),50227,7236078,Muni Long,Made For Me
David Guetta - I'm Good (Blue),581,32.0,7,,37727,7192067,David Guetta,I'm Good (Blue)
Tom Odell - Another Love,830,,32,,15556,7145067,Tom Odell,Another Love
Lost Frequencies - Where Are You Now,780,12.0,8,,16417,7096328,Lost Frequencies,Where Are You Now
Miley Cyrus - Flowers,429,62.0,1,(x25),61431,6965922,Miley Cyrus,Flowers
The Neighbourhood - Sweater Weather,1106,,44,,15949,6936841,The Neighbourhood,Sweater Weather
Tommy Richman - MILLION DOLLAR BABY,181,77.0,1,(x2),90792,6925345,Tommy Richman,MILLION DOLLAR BABY
Kabza De Small - Asibe Happy,623,127.0,1,(x8),59756,6911259,Kabza De Small,Asibe Happy
Ed Sheeran - Shivers,719,19.0,8,,19662,6818290,Ed Sheeran,Shivers
Teddy Swims - Lose Control,296,,15,,31245,6803703,Teddy Swims,Lose Control
OneRepublic - I Ain't Worried,636,11.0,8,,19346,6768925,OneRepublic,I Ain't Worried
Eminem - Mockingbird,676,,40,,16760,6686784,Eminem,Mockingbird
Bassie - Kwelanga 2.0,139,104.0,2,(x5),87066,6651911,Bassie,Kwelanga 2.0
Lloyiso - Dream About You,780,,43,,19306,6597688,Lloyiso,Dream About You
Bandros - Uhambe Wrongo,209,36.0,4,,63095,6485434,Bandros,Uhambe Wrongo
Kabza De Small - Khusela,575,51.0,3,(x1),27356,6468894,Kabza De Small,Khusela
Billie Eilish - BIRDS OF A FEATHER,160,88.0,2,(x4),52148,6433503,Billie Eilish,BIRDS OF A FEATHER
Kendrick Lamar - Money Trees,771,,40,,15410,6398737,Kendrick Lamar,Money Trees
Travis Scott - FE!N,399,7.0,4,,82242,6358018,Travis Scott,FE!N
Summer Walker - Girls Need Love,1284,,45,,11953,6345946,Summer Walker,Girls Need Love
Uncle Waffles - Peacock Revisit,231,57.0,3,(x11),82816,6343709,Uncle Waffles,Peacock Revisit
Drake - Chicago Freestyle,1079,24.0,4,,16979,6282740,Drake,Chicago Freestyle
Metro Boomin - Creepin',426,40.0,1,(x4),38843,6269907,Metro Boomin,Creepin'
Drake - Jimmy Cooks,585,52.0,1,(x6),52204,6245264,Drake,Jimmy Cooks
Shaboozey - A Bar Song (Tipsy),195,35.0,4,,59302,6184989,Shaboozey,A Bar Song (Tipsy)
Tyler ICU - Ebasini,244,,11,,54662,6143938,Tyler ICU,Ebasini
The Weeknd - Die For You,661,,26,,14530,6117599,The Weeknd,Die For You
Elaine - You're the One,893,,11,,17313,6013857,Elaine,You're the One
Post Malone - Sunflower - Spider-Man: Into the Spider-Verse,1299,28.0,7,,11229,5970602,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse
Tyler ICU - Manzi Nte,146,80.0,2,(x4),80740,5941806,Tyler ICU,Manzi Nte
Shaunmusiq - Bhebha,302,65.0,3,(x4),49989,5935197,Shaunmusiq,Bhebha
Justin Bieber - Ghost,774,,15,,11445,5883731,Justin Bieber,Ghost
Hozier - Too Sweet,212,17.0,5,,43522,5874758,Hozier,Too Sweet
Post Malone - Circles,1106,228.0,1,(x8),12396,5808778,Post Malone,Circles
Drake - Rich Flex,368,54.0,1,(x16),103681,5765315,Drake,Rich Flex
Tones And I - Dance Monkey,938,245.0,1,(x105),21759,5763519,Tones And I,Dance Monkey
Harry Styles - Watermelon Sugar,1125,1.0,8,,11561,5748335,Harry Styles,Watermelon Sugar
The Weeknd - One Of The Girls,348,,24,,23442,5689133,The Weeknd,One Of The Girls
Tamia - So Into You,511,,37,,25406,5670119,Tamia,So Into You
Elton John - Cold Heart - PNAU Remix,611,50.0,6,,30739,5628350,Elton John,Cold Heart - PNAU Remix
Lil Durk - All My Life,277,57.0,2,(x13),67920,5615151,Lil Durk,All My Life
AKA - Lemons (Lemonade),380,56.0,1,(x1),102273,5557229,AKA,Lemons (Lemonade)
Jack Harlow - Lovin On Me,217,21.0,6,,54286,5548549,Jack Harlow,Lovin On Me
Kelvin Momo - Maye Maye,276,,13,,57721,5530458,Kelvin Momo,Maye Maye
Billie Eilish - when the party's over,1038,,38,,16983,5474034,Billie Eilish,when the party's over
Zwide - Wenhliziyo Yami,233,7.0,8,,46407,5454649,Zwide,Wenhliziyo Yami
Msongi - Xola,165,31.0,7,,64964,5452994,Msongi,Xola
Lewis Capaldi - Before You Go,1184,,22,,9359,5414674,Lewis Capaldi,Before You Go
Mellow & Sleazy - Kwelinye,311,2.0,9,,36639,5389283,Mellow & Sleazy,Kwelinye
Umafikizolo - Ngathi Nguye,142,62.0,3,(x2),64913,5373371,Umafikizolo,Ngathi Nguye
Summer Walker - Session 32,595,,64,,16240,5341824,Summer Walker,Session 32
Lord Huron - The Night We Met,371,,34,,21842,5333641,Lord Huron,The Night We Met
Tiësto - The Business,746,125.0,2,(x22),15279,5314279,Tiësto,The Business
Sabrina Carpenter - Espresso,192,1.0,10,,40026,5311428,Sabrina Carpenter,Espresso
Tyler ICU - NGIMOJA,226,86.0,1,(x14),60398,5300453,Tyler ICU,NGIMOJA
Felo Le Tee - Yini Ngathi (Insane),245,9.0,9,,66530,5294360,Felo Le Tee,Yini Ngathi (Insane)
Tems - Me & U,314,,18,,25018,5293529,Tems,Me & U
The Weeknd - Starboy,674,,64,,12292,5283005,The Weeknd,Starboy
"Billie Eilish - What Was I Made For? [From The Motion Picture ""Barbie""]",368,,13,,25050,5265932,Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]"
Artemas - i like the way you kiss me,215,24.0,3,(x2),46588,5257650,Artemas,i like the way you kiss me
Kabza De Small - Kabza Chant,135,43.0,1,(x15),142005,5209866,Kabza De Small,Kabza Chant
MaWhoo - Ngilimele,299,,27,,49492,5198460,MaWhoo,Ngilimele
Burna Boy - For My Hand,442,4.0,9,,17509,5112568,Burna Boy,For My Hand
David Kushner - Daylight,405,1.0,5,,22233,5105640,David Kushner,Daylight
Q-Mark - Paris,438,135.0,1,(x58),37713,5085290,Q-Mark,Paris
Mzukulu - Ijuba,309,,41,,29323,5071252,Mzukulu,Ijuba
Future - Like That,179,31.0,2,(x8),92972,5038889,Future,Like That
Glenn Jones - All for You,439,,17,,38294,5030374,Glenn Jones,All for You
Tebza De DJ - Ka Valungu,198,57.0,2,(x1),73421,5010283,Tebza De DJ,Ka Valungu
Tate McRae - you broke me first,875,1.0,10,,14647,4941986,Tate McRae,you broke me first
Ceeka RSA - Jealousy,248,,15,,40869,4931081,Ceeka RSA,Jealousy
Tate McRae - greedy,279,,16,,24393,4907570,Tate McRae,greedy
Myles Smith - Stargazing,167,18.0,5,,48049,4902678,Myles Smith,Stargazing
Maroon 5 - Memories,1000,127.0,2,(x21),12064,4864005,Maroon 5,Memories
DJ Maphorisa - Shona Kwelanga,354,,18,,27024,4853566,DJ Maphorisa,Shona Kwelanga
Lil Nas X - INDUSTRY BABY,446,96.0,3,(x29),28056,4847621,Lil Nas X,INDUSTRY BABY
Riaan Benadé - Spontaan,836,,54,,17139,4833029,Riaan Benadé,Spontaan
Drake - Teenage Fever,672,,49,,11744,4828228,Drake,Teenage Fever
Blaq Major - Sdakiwe Sbali,90,67.0,1,(x3),139128,4826688,Blaq Major,Sdakiwe Sbali
Fezeka Dlamini - Uyangijabulisa,250,2.0,8,,37856,4815047,Fezeka Dlamini,Uyangijabulisa
Killorbeezbeatz - Ngilele E Hotel,175,21.0,6,,101438,4811393,Killorbeezbeatz,Ngilele E Hotel
Ed Sheeran - Beautiful People,962,187.0,1,(x4),11007,4778460,Ed Sheeran,Beautiful People
Tyla - Truth or Dare,235,,11,,45520,4772196,Tyla,Truth or Dare
Young Stunna - Adiwele,386,111.0,1,(x11),63653,4733952,Young Stunna,Adiwele
Mshinwemali - Ngicel Uhambe,286,,38,,35186,4727045,Mshinwemali,Ngicel Uhambe
Frank Ocean - Thinkin Bout You,354,,53,,18211,4718252,Frank Ocean,Thinkin Bout You
Inkabi Zezwe - Sayona,421,,34,,16909,4685758,Inkabi Zezwe,Sayona
Doja Cat - Agora Hills,250,,11,,28348,4685569,Doja Cat,Agora Hills
Busta 929 - Ngixolele,329,135.0,1,(x49),60896,4659056,Busta 929,Ngixolele
Jordan Adetunji - KEHLANI,137,34.0,4,,61350,4615175,Jordan Adetunji,KEHLANI
Summer Walker - Playing Games,680,1.0,8,,14080,4608650,Summer Walker,Playing Games
Miguel - Girl With The Tattoo Enter.lewd,416,,35,,22915,4606413,Miguel,Girl With The Tattoo Enter.lewd
Khalid - Better,1043,,22,,16220,4583094,Khalid,Better
KMAT - MKK,173,8.0,8,,55421,4563426,KMAT,MKK
Mid9t - Banyana,179,14.0,8,,55133,4558887,Mid9t,Banyana
Senior Oat - All In You,437,83.0,2,(x4),23129,4543848,Senior Oat,All In You
Tems - Free Mind,657,,60,,12820,4543622,Tems,Free Mind
Billie Eilish - ocean eyes,625,,71,,17846,4538388,Billie Eilish,ocean eyes
Lwah Ndlunkulu - Ngyathandaza,305,,44,,25814,4515350,Lwah Ndlunkulu,Ngyathandaza
Drake - First Person Shooter,226,11.0,2,(x1),129055,4492839,Drake,First Person Shooter
J. Cole - Wet Dreamz,646,,75,,10752,4487892,J. Cole,Wet Dreamz
Doja Cat - Paint The Town Red,239,19.0,5,,41851,4474698,Doja Cat,Paint The Town Red
24kGoldn - Mood,616,187.0,1,(x15),16150,4444538,24kGoldn,Mood
Kendrick Lamar - LOVE. FEAT. ZACARI.,573,,51,,13822,4429551,Kendrick Lamar,LOVE. FEAT. ZACARI.
SAINt JHN - Roses - Imanbek Remix,784,158.0,3,(x29),12833,4427821,SAINt JHN,Roses - Imanbek Remix
Daniel Caesar - Get You,486,,72,,17889,4426639,Daniel Caesar,Get You
Big Zulu - Voicemail,480,1.0,10,,19099,4405902,Big Zulu,Voicemail
Zee Nxumalo - Thula Mabota,187,,14,,47512,4402619,Zee Nxumalo,Thula Mabota
Dlala Thukzin - Ama Gear,111,60.0,5,,66082,4392042,Dlala Thukzin,Ama Gear
Sam Smith - Unholy,283,67.0,2,(x17),35842,4391690,Sam Smith,Unholy
Babalwa M - Pholisa,171,22.0,4,,72644,4386673,Babalwa M,Pholisa
Drake - Fair Trade,593,30.0,1,(x5),131118,4381006,Drake,Fair Trade
Kharishma - Chokeslem,130,22.0,6,,79792,4372620,Kharishma,Chokeslem
Megadrumz - Tjina,183,7.0,8,,72660,4366476,Megadrumz,Tjina
Murumba Pitch - Wena Dali,291,,15,,29920,4340503,Murumba Pitch,Wena Dali
MÖRDA - Mohigan Sun,355,,29,,28983,4320049,MÖRDA,Mohigan Sun
Dj Jaivane - uLala Kanjani,255,,15,,43749,4311887,Dj Jaivane,uLala Kanjani
Alicia Keys - If I Ain't Got You,358,,40,,24950,4309352,Alicia Keys,If I Ain't Got You
DJ Tshegu - Tiya Mfana (Mzokwana),172,1.0,10,,81115,4274836,DJ Tshegu,Tiya Mfana (Mzokwana)
Wanitwa Mos - Dali Nguwe,382,130.0,2,(x14),31756,4263940,Wanitwa Mos,Dali Nguwe
Jimmy Maradona - Wena Wa Pallwa,194,17.0,8,,51970,4260724,Jimmy Maradona,Wena Wa Pallwa
Makhadzi Entertainment - Number 1,167,,17,,43576,4237494,Makhadzi Entertainment,Number 1
J. Cole - MIDDLE CHILD,919,,19,,12093,4236817,J. Cole,MIDDLE CHILD
Joel Corry - Head & Heart,661,102.0,4,,13964,4223317,Joel Corry,Head & Heart
Sam Deep - BoGogo,140,2.0,10,,57135,4217548,Sam Deep,BoGogo
Myztro - Tobetsa Remake,264,27.0,5,,61481,4190911,Myztro,Tobetsa Remake
Juice WRLD - Lucid Dreams,1188,3.0,3,(x1),8434,4159254,Juice WRLD,Lucid Dreams
Internet Money - Lemonade,616,162.0,1,(x63),15616,4155932,Internet Money,Lemonade
Noah Kahan - Stick Season,280,,25,,21996,4137188,Noah Kahan,Stick Season
Mellow & Sleazy - Kokotela,191,,17,,39626,4132881,Mellow & Sleazy,Kokotela
Chris Brown - No Guidance,1122,86.0,2,(x1),8935,4116013,Chris Brown,No Guidance
DaBaby - ROCKSTAR,571,166.0,1,(x68),14840,4110638,DaBaby,ROCKSTAR
Dua Lipa - Don't Start Now,845,157.0,4,,10115,4105255,Dua Lipa,Don't Start Now
Nomfundo Moh - Phakade Lami,503,1.0,7,,16257,4104634,Nomfundo Moh,Phakade Lami
Big Nuz - Ngeke,271,29.0,1,(x12),150269,4096627,Big Nuz,Ngeke
Olivia Rodrigo - drivers license,613,73.0,1,(x48),25458,4072150,Olivia Rodrigo,drivers license
Kabza De Small - Xola,340,53.0,4,,31015,4042840,Kabza De Small,Xola
Myztro - Kunkra,198,36.0,2,(x1),67472,4042121,Myztro,Kunkra
Khuthuza - NGIJOLA NEBHINCA,261,,36,,34598,4034398,Khuthuza,NGIJOLA NEBHINCA
Xolly Mncwango - Ungukuphila,240,,35,,25434,4020295,Xolly Mncwango,Ungukuphila
Fridayy - When It Comes To You,277,,52,,19875,3985269,Fridayy,When It Comes To You
Dua Lipa - Levitating,663,10.0,6,,12063,3969530,Dua Lipa,Levitating
Roddy Ricch - The Box,616,184.0,1,(x63),16286,3968644,Roddy Ricch,The Box
John Legend - All of Me,938,,41,,15327,3933068,John Legend,All of Me
"Oscar Mbo, KG Smallz, Mörda, Thakzin, & Mhaw Keys - Yes God",186,,14,,73175,3918710,"Oscar Mbo, KG Smallz, Mörda, Thakzin, & Mhaw Keys",Yes God
AKA - Company,214,31.0,1,(x10),114793,3872915,AKA,Company
Naledi Aphiwe - Ngiyabonga,268,,52,,25520,3857361,Naledi Aphiwe,Ngiyabonga
Benson Boone - Slow It Down,213,,29,,25472,3833653,Benson Boone,Slow It Down
Pcee - Kilimanjaro,192,51.0,2,(x4),55900,3826528,Pcee,Kilimanjaro
Tyla - Jump,182,,12,,39038,3823794,Tyla,Jump
Justin Bieber - Peaches,545,86.0,1,(x32),20301,3823206,Justin Bieber,Peaches
The Weeknd - Popular,291,,26,,24048,3784449,The Weeknd,Popular
Lil Baby - Drip Too Hard (Lil Baby & Gunna),537,,60,,11214,3784080,Lil Baby,Drip Too Hard (Lil Baby & Gunna)
Riaan Benadé - Vat 'n Bietjie,639,,45,,18645,3749979,Riaan Benadé,Vat 'n Bietjie
DJ Maphorisa - Izolo,359,71.0,1,(x1),33330,3735589,DJ Maphorisa,Izolo
DJ Kent - Horns In The Sun,241,,18,,34362,3735456,DJ Kent,Horns In The Sun
Dasha - Austin,229,,50,,22031,3726723,Dasha,Austin
Olivia Rodrigo - good 4 u,465,91.0,1,(x25),23558,3720009,Olivia Rodrigo,good 4 u
Central Cee - BAND4BAND,134,22.0,2,(x1),57407,3717954,Central Cee,BAND4BAND
9umba - uMlando,301,119.0,1,(x3),33437,3712551,9umba,uMlando
Doja Cat - Kiss Me More,481,95.0,3,(x10),15977,3708565,Doja Cat,Kiss Me More
Usimamane - Cheque,193,,13,,37399,3696770,Usimamane,Cheque
Taylor Swift - Cruel Summer,328,,14,,23125,3696261,Taylor Swift,Cruel Summer
Kendrick Lamar - All The Stars,330,,61,,17763,3689523,Kendrick Lamar,All The Stars
Wanitwa Mos - Sofa Silahlane,290,88.0,1,(x22),33162,3672053,Wanitwa Mos,Sofa Silahlane
Daliwonga - Seduce Me,222,,15,,40950,3656597,Daliwonga,Seduce Me
Uncle Waffles - Yahyuppiyah,178,58.0,2,(x1),51202,3642942,Uncle Waffles,Yahyuppiyah
PARTYNEXTDOOR - Break from Toronto,435,,57,,15196,3636627,PARTYNEXTDOOR,Break from Toronto
Wanitwa Mos - Mfazi Wephepha,76,49.0,2,(x14),96732,3595594,Wanitwa Mos,Mfazi Wephepha
Deep London - Hamba Wena,248,56.0,2,(x2),55415,3567214,Deep London,Hamba Wena
DJ Lag - Hade Boss,159,3.0,10,,53745,3550154,DJ Lag,Hade Boss
Pcee - ZoTata,231,15.0,7,,49323,3529928,Pcee,ZoTata
¥$ - CARNIVAL,143,29.0,3,(x4),48880,3522682,¥$,CARNIVAL
Loatinover Pounds - Sosh Plata - Remix,231,7.0,6,,29892,3504856,Loatinover Pounds,Sosh Plata - Remix
TxC - Turn Off The Lights,166,16.0,7,,58661,3484872,TxC,Turn Off The Lights
Cowboii - eGoli,85,40.0,3,(x1),74109,3470510,Cowboii,eGoli
Wanitwa Mos - Makhelwane,221,,32,,42860,3439911,Wanitwa Mos,Makhelwane
Tiësto - The Motto,469,,15,,13290,3437545,Tiësto,The Motto
Beyoncé - CUFF IT,311,26.0,5,,27749,3428139,Beyoncé,CUFF IT
