Artist and Title,Streams,Daily,Artist,Song
The Weeknd - Blinding Lights,4519995302,1796185.0,The Weeknd,Blinding Lights
Ed Sheeran - Shape of You,4062568352,1483411.0,Ed Sheeran,Shape of You
Lewis Capaldi - Someone You Loved,3641682319,1478313.0,Lewis Capaldi,Someone You Loved
Harry Styles - As It Was,3596667893,1812690.0,Harry Styles,As It Was
Post Malone - Sunflower,3564442550,1325569.0,Post Malone,Sunflower
The Weeknd - Starboy,3540211583,1897875.0,The Weeknd,Starboy
Drake - One Dance,3386757371,1404431.0,Drake,One Dance
The Kid LAROI - STAY,3314206188,1544492.0,The Kid LAROI,STAY
The Neighbourhood - Sweater Weather,3283291192,2986500.0,The Neighbourhood,Sweater Weather
Imagine Dragons - Believer,3183118016,1365014.0,Imagine Dragons,Believer
Glass Animals - Heat Waves,3171842839,1168775.0,Glass Animals,Heat Waves
Tones And I - Dance Monkey,3157463373,530816.0,Tones And I,Dance Monkey
Ed Sheeran - Perfect,3135347370,1470061.0,Ed Sheeran,Perfect
Post Malone - rockstar,3050297064,649394.0,Post Malone,rockstar
James Arthur - Say You Won't Let Go,3028887064,1331235.0,James Arthur,Say You Won't Let Go
Billie Eilish - lovely,3028401227,1590261.0,Billie Eilish,lovely
The Chainsmokers - Closer,3008929222,1250927.0,The Chainsmokers,Closer
Harry Styles - Watermelon Sugar,2859746178,836459.0,Harry Styles,Watermelon Sugar
Shawn Mendes - Señorita,2847688229,790127.0,Shawn Mendes,Señorita
The Chainsmokers - Something Just Like This,2832357731,1636479.0,The Chainsmokers,Something Just Like This
Vance Joy - Riptide,2770105752,2256778.0,Vance Joy,Riptide
Dua Lipa - Don't Start Now,2752046301,1121980.0,Dua Lipa,Don't Start Now
Hozier - Take Me to Church,2739635826,1515081.0,Hozier,Take Me to Church
Tom Odell - Another Love,2700367451,1883433.0,Tom Odell,Another Love
Ed Sheeran - Photograph,2663069370,1359760.0,Ed Sheeran,Photograph
OneRepublic - Counting Stars,2662563947,1461045.0,OneRepublic,Counting Stars
Juice WRLD - Lucid Dreams,2654403403,818436.0,Juice WRLD,Lucid Dreams
Drake - God's Plan,2622999885,764819.0,Drake,God's Plan
Post Malone - Circles,2622921205,1083171.0,Post Malone,Circles
Queen - Bohemian Rhapsody,2611543428,849319.0,Queen,Bohemian Rhapsody
Billie Eilish - bad guy,2601325710,716113.0,Billie Eilish,bad guy
Ed Sheeran - Thinking out Loud,2594269051,679495.0,Ed Sheeran,Thinking out Loud
Macklemore - Can't Hold Us,2587734941,1403081.0,Macklemore,Can't Hold Us
Coldplay - Yellow,2577347529,1649584.0,Coldplay,Yellow
Travis Scott - goosebumps,2576196875,1581148.0,Travis Scott,goosebumps
Lady Gaga - Shallow,2573350013,934704.0,Lady Gaga,Shallow
Justin Bieber - Love Yourself,2557893529,1034758.0,Justin Bieber,Love Yourself
Taylor Swift - Cruel Summer,2551803791,2050666.0,Taylor Swift,Cruel Summer
Arctic Monkeys - I Wanna Be Yours,2540122397,2619493.0,Arctic Monkeys,I Wanna Be Yours
Imagine Dragons - Thunder,2529182673,1063071.0,Imagine Dragons,Thunder
John Legend - All of Me,2507366331,1032657.0,John Legend,All of Me
Avicii - Wake Me Up,2480626696,1003530.0,Avicii,Wake Me Up
The Weeknd - Die For You,2476070678,1680129.0,The Weeknd,Die For You
Lord Huron - The Night We Met,2467918017,2900214.0,Lord Huron,The Night We Met
Imagine Dragons - Demons,2452977641,1366523.0,Imagine Dragons,Demons
Twenty One Pilots - Stressed Out,2448960191,976990.0,Twenty One Pilots,Stressed Out
The Weeknd - The Hills,2446889307,1115223.0,The Weeknd,The Hills
J. Cole - No Role Modelz,2381663683,1089519.0,J. Cole,No Role Modelz
Coldplay - Viva La Vida,2375261221,1940713.0,Coldplay,Viva La Vida
Kendrick Lamar - HUMBLE.,2373429790,1053751.0,Kendrick Lamar,HUMBLE.
Passenger - Let Her Go,2371960509,933108.0,Passenger,Let Her Go
Ariana Grande - 7 rings,2365862640,831118.0,Ariana Grande,7 rings
The Killers - Mr. Brightside,2358607897,1278541.0,The Killers,Mr. Brightside
Eminem - Without Me,2348468313,1615342.0,Eminem,Without Me
Eminem - Lose Yourself,2339621440,1282665.0,Eminem,Lose Yourself
Arctic Monkeys - Do I Wanna Know?,2338026006,1113245.0,Arctic Monkeys,Do I Wanna Know?
Bruno Mars - When I Was Your Man,2332900579,1841614.0,Bruno Mars,When I Was Your Man
