Artist and Title,Streams,Daily,Artist,Song
Ed Sheeran - Shape of You,4062568352,1483411,Ed Sheeran,Shape of You
Imagine Dragons - Believer,3183118016,1365014,Imagine Dragons,Believer
Ed Sheeran - Perfect,3135347370,1470061,Ed Sheeran,Perfect
The Chainsmokers - Something Just Like This,2832357731,1636479,The Chainsmokers,Something Just Like This
Imagine Dragons - Thunder,2529182673,1063071,Imagine Dragons,Thunder
Kendrick Lamar - HUMBLE.,2373429790,1053751,Kendrick Lamar,HUMBLE.
Shawn Mendes - Treat You Better,2296031399,1000962,Shawn Mendes,Treat You Better
XXXTENTACION - Jocelyn Flores,2265726334,576944,XXXTENTACION,Jocelyn Flores
French Montana - Unforgettable,2263632129,1470501,French Montana,Unforgettable
Lil Uzi Vert - XO Tour Llif3,2226861929,784971,Lil Uzi Vert,XO Tour Llif3
Dua Lipa - New Rules,2193072970,848794,Dua Lipa,New Rules
Shawn Mendes - There's Nothing Holdin' Me Back,2188144821,1096521,Shawn Mendes,There's Nothing Holdin' Me Back
Elton John - Cold Heart,2169552522,987618,Elton John,Cold Heart
Sam Smith - Too Good At Goodbyes,2167981022,725548,Sam Smith,Too Good At Goodbyes
"Tyler, The Creator - See You Again",1896261032,2695894,"Tyler, The Creator",See You Again
Luis Fonsi - Despacito,1816828891,479811,Luis Fonsi,Despacito
ZAYN - Dusk Till Dawn,1795820374,1080480,ZAYN,Dusk Till Dawn
XXXTENTACION - Fuck Love,1752744345,1137866,XXXTENTACION,Fuck Love
Luis Fonsi - Despacito,1747873744,252325,Luis Fonsi,Despacito
ZAYN - I Don’t Wanna Live Forever (Fifty Shades Darker),1743043227,780139,ZAYN,I Don’t Wanna Live Forever (Fifty Shades Darker)
Ruth B. - Dandelions,1728402703,1428079,Ruth B.,Dandelions
Måneskin - Beggin',1724706355,904210,Måneskin,Beggin'
Drake - Passionfruit,1710248923,663858,Drake,Passionfruit
Future - Mask Off,1703433908,808255,Future,Mask Off
Marshmello - Silence,1690671781,833113,Marshmello,Silence
XXXTENTACION - Everybody Dies In Their Nightmares,1682736181,729696,XXXTENTACION,Everybody Dies In Their Nightmares
Offset - Ric Flair Drip,1658861662,1054498,Offset,Ric Flair Drip
Dua Lipa - IDGAF,1644989072,586995,Dua Lipa,IDGAF
Harry Styles - Sign of the Times,1618159163,843223,Harry Styles,Sign of the Times
White Noise Baby Sleep - Clean White Noise,1613227111,331867,White Noise Baby Sleep,Clean White Noise
Khalid - Young Dumb & Broke,1612612187,647191,Khalid,Young Dumb & Broke
Clean Bandit - Symphony,1551486972,958450,Clean Bandit,Symphony
Zara Larsson - Lush Life,1541780684,872500,Zara Larsson,Lush Life
J Balvin - Mi Gente,1532696758,381760,J Balvin,Mi Gente
XXXTENTACION - Revenge,1528151481,1411618,XXXTENTACION,Revenge
Daniel Caesar - Best Part,1527025781,1396919,Daniel Caesar,Best Part
NF - Let You Down,1521687907,422400,NF,Let You Down
XXXTENTACION - Look At Me!,1506361698,516715,XXXTENTACION,Look At Me!
Kygo - It Ain't Me,1480314471,384691,Kygo,It Ain't Me
Steve Lacy - Dark Red,1477403830,1349902,Steve Lacy,Dark Red
Kendrick Lamar - LOVE. FEAT. ZACARI.,1442355328,661393,Kendrick Lamar,LOVE. FEAT. ZACARI.
Bebe Rexha - Meant to Be,1418143590,268226,Bebe Rexha,Meant to Be
Khalid - Location,1417138560,398720,Khalid,Location
Shawn Mendes - Mercy,1413407774,519543,Shawn Mendes,Mercy
Axwell /\ Ingrosso - More Than You Know,1409287570,419288,Axwell /\ Ingrosso,More Than You Know
