Artist,Song,ID,ArtistID,ValidLink,KworbLink,Spotify Link
Billie Eilish,lovely (with Khalid),0u2P5u6lvoDfwTYjAADbn4,6qqNVTkY8uBg9cP3Jd7DAH,True,https://kworb.net/spotify/track/0u2P5u6lvoDfwTYjAADbn4.html,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
Billie Eilish,bad guy,2Fxmhks0bxGSBdJ92vM42m,6qqNVTkY8uBg9cP3Jd7DAH,True,https://kworb.net/spotify/track/2Fxmhks0bxGSBdJ92vM42m.html,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
Billie Eilish,when the party's over,43zdsphuZLzwA9k4DJhU0I,6qqNVTkY8uBg9cP3Jd7DAH,True,https://kworb.net/spotify/track/43zdsphuZLzwA9k4DJhU0I.html,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
Billie Eilish,everything i wanted,3ZCTVFBt2Brf31RLEnCkWJ,6qqNVTkY8uBg9cP3Jd7DAH,True,https://kworb.net/spotify/track/3ZCTVFBt2Brf31RLEnCkWJ.html,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
Billie Eilish,ocean eyes,7hDVYcQq6MxkdJGweuCtl9,6qqNVTkY8uBg9cP3Jd7DAH,False,https://kworb.net/spotify/track/7hDVYcQq6MxkdJGweuCtl9.html,https://open.spotify.com/track/7hDVYcQq6MxkdJGweuCtl9
Billie Eilish,Happier Than Ever,4RVwu0g32PAqgUiJoXsdF8,6qqNVTkY8uBg9cP3Jd7DAH,True,https://kworb.net/spotify/track/4RVwu0g32PAqgUiJoXsdF8.html,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
Billie Eilish,BIRDS OF A FEATHER,6dOtVTDdiauQNBQEDOtlAB,6qqNVTkY8uBg9cP3Jd7DAH,True,https://kworb.net/spotify/track/6dOtVTDdiauQNBQEDOtlAB.html,https://open.spotify.com/track/6dOtVTDdiauQNBQEDOtlAB
Billie Eilish,idontwannabeyouanymore,41zXlQxzTi6cGAjpOXyLYH,6qqNVTkY8uBg9cP3Jd7DAH,False,https://kworb.net/spotify/track/41zXlQxzTi6cGAjpOXyLYH.html,https://open.spotify.com/track/41zXlQxzTi6cGAjpOXyLYH
Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]",6wf7Yu7cxBSPrRlWeSeK0Q,6qqNVTkY8uBg9cP3Jd7DAH,True,https://kworb.net/spotify/track/6wf7Yu7cxBSPrRlWeSeK0Q.html,https://open.spotify.com/track/6wf7Yu7cxBSPrRlWeSeK0Q
Billie Eilish,Bored,04sN26COy28wTXYj3dMoiZ,6qqNVTkY8uBg9cP3Jd7DAH,True,https://kworb.net/spotify/track/04sN26COy28wTXYj3dMoiZ.html,https://open.spotify.com/track/04sN26COy28wTXYj3dMoiZ
