Artist,Song,ValidLink,ID,KworbLink,Spotify Link
Drake,One Dance,False,1zi7xx7UVEFkmKfv06H8x0,https://kworb.net/spotify/track/1zi7xx7UVEFkmKfv06H8x0.html,https://open.spotify.com/track/1zi7xx7UVEFkmKfv06H8x0
Drake,God's Plan,False,6DCZcSspjsKoFjzjrWoCdn,https://kworb.net/spotify/track/6DCZcSspjsKoFjzjrWoCdn.html,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
Drake,Passionfruit,True,5mCPDVBb16L4XQwDdbRUpz,https://kworb.net/spotify/track/5mCPDVBb16L4XQwDdbRUpz.html,https://open.spotify.com/track/5mCPDVBb16L4XQwDdbRUpz
Drake,*Work,False,72TFWvU3wUYdUuxejTTIzt,https://kworb.net/spotify/track/72TFWvU3wUYdUuxejTTIzt.html,https://open.spotify.com/track/72TFWvU3wUYdUuxejTTIzt
Drake,In My Feelings,True,2G7V7zsVDxg1yRsu7Ew9RJ,https://kworb.net/spotify/track/2G7V7zsVDxg1yRsu7Ew9RJ.html,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
Drake,Hotline Bling,False,0wwPcA6wtMf6HUMpIRdeP7,https://kworb.net/spotify/track/0wwPcA6wtMf6HUMpIRdeP7.html,https://open.spotify.com/track/0wwPcA6wtMf6HUMpIRdeP7
Drake,*MIA (feat. Drake),False,3Ueq2zboxwAbsvHrOjdEqz,https://kworb.net/spotify/track/3Ueq2zboxwAbsvHrOjdEqz.html,https://open.spotify.com/track/3Ueq2zboxwAbsvHrOjdEqz
Drake,Nice For What,False,3CA9pLiwRIGtUBiMjbZmRw,https://kworb.net/spotify/track/3CA9pLiwRIGtUBiMjbZmRw.html,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw
Drake,*Life Is Good (feat. Drake),True,5yY9lUy8nbvjM1Uyo1Uqoc,https://kworb.net/spotify/track/5yY9lUy8nbvjM1Uyo1Uqoc.html,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
Drake,*Going Bad (feat. Drake),True,2IRZnDFmlqMuOrYOLnZZyc,https://kworb.net/spotify/track/2IRZnDFmlqMuOrYOLnZZyc.html,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
Drake,*Yes Indeed,True,6vN77lE9LK6HP2DewaN6HZ,https://kworb.net/spotify/track/6vN77lE9LK6HP2DewaN6HZ.html,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
Drake,Nonstop,True,0TlLq3lA83rQOYtrqBqSct,https://kworb.net/spotify/track/0TlLq3lA83rQOYtrqBqSct.html,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
Drake,Toosie Slide,True,466cKvZn1j45IpxDdYZqdA,https://kworb.net/spotify/track/466cKvZn1j45IpxDdYZqdA.html,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
Drake,Too Good,False,3BtuIIrQlkujKPuWF2B85z,https://kworb.net/spotify/track/3BtuIIrQlkujKPuWF2B85z.html,https://open.spotify.com/track/3BtuIIrQlkujKPuWF2B85z
Drake,*No Guidance (feat. Drake),False,5PDImM7DglB3cvlkHWWz2h,https://kworb.net/spotify/track/5PDImM7DglB3cvlkHWWz2h.html,https://open.spotify.com/track/5PDImM7DglB3cvlkHWWz2h
Drake,Jimmy Cooks (feat. 21 Savage),True,3F5CgOj3wFlRv51JsHbxhe,https://kworb.net/spotify/track/3F5CgOj3wFlRv51JsHbxhe.html,https://open.spotify.com/track/3F5CgOj3wFlRv51JsHbxhe
Drake,"Hold On, We're Going Home",False,2aSC2xhRxOLiiZZVjhbylH,https://kworb.net/spotify/track/2aSC2xhRxOLiiZZVjhbylH.html,https://open.spotify.com/track/2aSC2xhRxOLiiZZVjhbylH
Drake,Money In The Grave (Drake ft. Rick Ross),True,5ry2OE6R2zPQFDO85XkgRb,https://kworb.net/spotify/track/5ry2OE6R2zPQFDO85XkgRb.html,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
Drake,*Look Alive (feat. Drake),False,7165YDcOpr9yEypbdpU6fa,https://kworb.net/spotify/track/7165YDcOpr9yEypbdpU6fa.html,https://open.spotify.com/track/7165YDcOpr9yEypbdpU6fa
Drake,Laugh Now Cry Later (feat. Lil Durk),True,2SAqBLGA283SUiwJ3xOUVI,https://kworb.net/spotify/track/2SAqBLGA283SUiwJ3xOUVI.html,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
Drake,Fake Love,False,343YBumqHu19cGoGARUTsd,https://kworb.net/spotify/track/343YBumqHu19cGoGARUTsd.html,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd
Drake,*WAIT FOR U (feat. Drake & Tems),True,59nOXPmaKlBfGMDeOVGrIK,https://kworb.net/spotify/track/59nOXPmaKlBfGMDeOVGrIK.html,https://open.spotify.com/track/59nOXPmaKlBfGMDeOVGrIK
Drake,Fair Trade (with Travis Scott),True,40iJIUlhi6renaREYGeIDS,https://kworb.net/spotify/track/40iJIUlhi6renaREYGeIDS.html,https://open.spotify.com/track/40iJIUlhi6renaREYGeIDS
Drake,*Love Me,True,2XHzzp1j4IfTNp1FTn7YFg,https://kworb.net/spotify/track/2XHzzp1j4IfTNp1FTn7YFg.html,https://open.spotify.com/track/2XHzzp1j4IfTNp1FTn7YFg
Drake,Rich Flex,True,1bDbXMyjaUIooNwFE9wn0N,https://kworb.net/spotify/track/1bDbXMyjaUIooNwFE9wn0N.html,https://open.spotify.com/track/1bDbXMyjaUIooNwFE9wn0N
Drake,"*F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",False,4X5f3vT8MRuXF68pfjNte5,https://kworb.net/spotify/track/4X5f3vT8MRuXF68pfjNte5.html,https://open.spotify.com/track/4X5f3vT8MRuXF68pfjNte5
Drake,Controlla,False,3O8NlPh2LByMU9lSRSHedm,https://kworb.net/spotify/track/3O8NlPh2LByMU9lSRSHedm.html,https://open.spotify.com/track/3O8NlPh2LByMU9lSRSHedm
Drake,Jumpman,True,27GmP9AWRs744SzKcpJsTZ,https://kworb.net/spotify/track/27GmP9AWRs744SzKcpJsTZ.html,https://open.spotify.com/track/27GmP9AWRs744SzKcpJsTZ
Drake,Wants and Needs (feat. Lil Baby),True,65OVbaJR5O1RmwOQx0875b,https://kworb.net/spotify/track/65OVbaJR5O1RmwOQx0875b.html,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
Drake,Chicago Freestyle (feat. Giveon),True,4wVOKKEHUJxHCFFNUWDn0B,https://kworb.net/spotify/track/4wVOKKEHUJxHCFFNUWDn0B.html,https://open.spotify.com/track/4wVOKKEHUJxHCFFNUWDn0B
Drake,*Walk It Talk It,True,6n4U3TlzUGhdSFbUUhTvLP,https://kworb.net/spotify/track/6n4U3TlzUGhdSFbUUhTvLP.html,https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP
Drake,Teenage Fever,True,6n3HGiq4v35D6eFOSwqYuo,https://kworb.net/spotify/track/6n3HGiq4v35D6eFOSwqYuo.html,https://open.spotify.com/track/6n3HGiq4v35D6eFOSwqYuo
Drake,Knife Talk (with 21 Savage ft. Project Pat),True,2BcMwX1MPV6ZHP4tUT9uq6,https://kworb.net/spotify/track/2BcMwX1MPV6ZHP4tUT9uq6.html,https://open.spotify.com/track/2BcMwX1MPV6ZHP4tUT9uq6
Drake,*POPSTAR (feat. Drake),True,6EDO9iiTtwNv6waLwa1UUq,https://kworb.net/spotify/track/6EDO9iiTtwNv6waLwa1UUq.html,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
Drake,Headlines,False,6LxSe8YmdPxy095Ux6znaQ,https://kworb.net/spotify/track/6LxSe8YmdPxy095Ux6znaQ.html,https://open.spotify.com/track/6LxSe8YmdPxy095Ux6znaQ
Drake,Best I Ever Had,False,3QLjDkgLh9AOEHlhQtDuhs,https://kworb.net/spotify/track/3QLjDkgLh9AOEHlhQtDuhs.html,https://open.spotify.com/track/3QLjDkgLh9AOEHlhQtDuhs
Drake,*Girls Need Love (with Drake) - Remix,True,14SaZBTjxlorHJQxXh01Hu,https://kworb.net/spotify/track/14SaZBTjxlorHJQxXh01Hu.html,https://open.spotify.com/track/14SaZBTjxlorHJQxXh01Hu
Drake,Take Care,True,124NFj84ppZ5pAxTuVQYCQ,https://kworb.net/spotify/track/124NFj84ppZ5pAxTuVQYCQ.html,https://open.spotify.com/track/124NFj84ppZ5pAxTuVQYCQ
Drake,*Come and See Me (feat. Drake),False,3eGWxMyTyTmH3dHbJeWWv6,https://kworb.net/spotify/track/3eGWxMyTyTmH3dHbJeWWv6.html,https://open.spotify.com/track/3eGWxMyTyTmH3dHbJeWWv6
Drake,Forever,False,5UsLjwBaTHBX4ektWIr4XX,https://kworb.net/spotify/track/5UsLjwBaTHBX4ektWIr4XX.html,https://open.spotify.com/track/5UsLjwBaTHBX4ektWIr4XX
