Artist,Song,ValidLink,ID,KworbLink,Spotify Link
Kate Bush,Running Up That Hill (A Deal With God),False,1PtQJZVZIdWIYdARpZRDFO,https://kworb.net/spotify/track/1PtQJZVZIdWIYdARpZRDFO.html,https://open.spotify.com/track/1PtQJZVZIdWIYdARpZRDFO
Kate Bush,Wuthering Heights - 2018 Remaster,False,4Q3vc39QZjLpGG7cS33kiC,https://kworb.net/spotify/track/4Q3vc39QZjLpGG7cS33kiC.html,https://open.spotify.com/track/4Q3vc39QZjLpGG7cS33kiC
Kate Bush,Babooshka - 2018 Remaster,False,4DkKgGqqfx8C79RFo8ZuTl,https://kworb.net/spotify/track/4DkKgGqqfx8C79RFo8ZuTl.html,https://open.spotify.com/track/4DkKgGqqfx8C79RFo8ZuTl
Kate Bush,Army Dreamers - 2018 Remaster,False,5QYUNHT2dQwoNHorXznygN,https://kworb.net/spotify/track/5QYUNHT2dQwoNHorXznygN.html,https://open.spotify.com/track/5QYUNHT2dQwoNHorXznygN
Kate Bush,Cloudbusting,False,373vZ0g1dpWaUcrbh0WKhd,https://kworb.net/spotify/track/373vZ0g1dpWaUcrbh0WKhd.html,https://open.spotify.com/track/373vZ0g1dpWaUcrbh0WKhd
Kate Bush,This Woman's Work - 2018 Remaster,False,7ijKen7rccf56qOMGkS22e,https://kworb.net/spotify/track/7ijKen7rccf56qOMGkS22e.html,https://open.spotify.com/track/7ijKen7rccf56qOMGkS22e
Kate Bush,Hounds Of Love,False,6jWx7mD5oblxybTaWpiPZN,https://kworb.net/spotify/track/6jWx7mD5oblxybTaWpiPZN.html,https://open.spotify.com/track/6jWx7mD5oblxybTaWpiPZN
Kate Bush,The Man with the Child in His Eyes - 2018 Remaster,False,6vLtfHLVba7azpwIHQVCPi,https://kworb.net/spotify/track/6vLtfHLVba7azpwIHQVCPi.html,https://open.spotify.com/track/6vLtfHLVba7azpwIHQVCPi
Kate Bush,Oh to Be in Love - 2018 Remaster,False,7qF2C2q8JHidWn7F4avEBa,https://kworb.net/spotify/track/7qF2C2q8JHidWn7F4avEBa.html,https://open.spotify.com/track/7qF2C2q8JHidWn7F4avEBa
Kate Bush,The Big Sky - Special Single Mix,False,1OlR8gWxMgHIb5bduxTz2q,https://kworb.net/spotify/track/1OlR8gWxMgHIb5bduxTz2q.html,https://open.spotify.com/track/1OlR8gWxMgHIb5bduxTz2q
Kate Bush,And Dream Of Sheep,False,12p03gHqut5vzucZt4uzJk,https://kworb.net/spotify/track/12p03gHqut5vzucZt4uzJk.html,https://open.spotify.com/track/12p03gHqut5vzucZt4uzJk
Kate Bush,Suspended In Gaffa - 2018 Remaster,False,6RMOZruWKO7gt7rd2K438m,https://kworb.net/spotify/track/6RMOZruWKO7gt7rd2K438m.html,https://open.spotify.com/track/6RMOZruWKO7gt7rd2K438m
Kate Bush,The Sensual World - 2018 Remaster,False,6d873fiVBaIUB8TZYQAeES,https://kworb.net/spotify/track/6d873fiVBaIUB8TZYQAeES.html,https://open.spotify.com/track/6d873fiVBaIUB8TZYQAeES
Kate Bush,Moving - 2018 Remaster,False,2TRDR4cwbUmrwwNa3z4Qs3,https://kworb.net/spotify/track/2TRDR4cwbUmrwwNa3z4Qs3.html,https://open.spotify.com/track/2TRDR4cwbUmrwwNa3z4Qs3
Kate Bush,Wow - 2018 Remaster,False,3YCt7TUPwuZ05M7JuAvicQ,https://kworb.net/spotify/track/3YCt7TUPwuZ05M7JuAvicQ.html,https://open.spotify.com/track/3YCt7TUPwuZ05M7JuAvicQ
Kate Bush,Mother Stands For Comfort,False,32sI8VkOOpnJxOaS92kEmI,https://kworb.net/spotify/track/32sI8VkOOpnJxOaS92kEmI.html,https://open.spotify.com/track/32sI8VkOOpnJxOaS92kEmI
