Artist,Unnamed: 0,Rank,Song Title,Link
*NSYNC,65,10,Bye Bye Bye,/spotify/artist/6Ff53KvcvAj5U7Z1vojB5o_songs.html
Adele,66,9,Someone Like You,/spotify/artist/4dpARuHxo51G3z768sgnrY_songs.html
Alanis Morissette,68,7,You Oughta Know,/spotify/artist/6ogn9necmbUdCppmNnGOdi_songs.html
Amy Winehouse,69,6,Back To Black,/spotify/artist/6Q192DXotxtaysaqNPy5yR_songs.html
Ariana Grande,21,54,"Thank U, Next",/spotify/artist/66CXWjxzNUsdJxJ2JdwvnR_songs.html
Barbra Streisand,58,17,The Way We Were,/spotify/artist/7jmTilWYlKOuavFfmQAcu6_songs.html
Beyoncé,26,49,Irreplaceable,/spotify/artist/6vWDO969PvNqNYHIOW5v0m_songs.html
Billie Eilish,32,43,Happier Than Ever,/spotify/artist/6qqNVTkY8uBg9cP3Jd7DAH_songs.html
Bonnie Raitt,44,31,I Can't Make You Love Me,/spotify/artist/7Io0XduXk7aOHFHA7sLru2_songs.html
Bruno Mars,49,26,When I Was Your Man,/spotify/artist/0du5cEVh5yTK9QJze8zA0C_songs.html
Carole King,27,48,It's Too Late,/spotify/artist/5NHm4TU5Twz7owibYxJfFU_songs.html
Christina Aguilera,15,60,Say Something,/spotify/artist/1l7ZsJRRS8wlW3WfJfPfNS_songs.html
Conan Gray,11,64,Maniac,/spotify/artist/4Uc8Dsxct0oMqx0P6i60ea_songs.html
Dolly Parton,60,15,I Will Always Love You,/spotify/artist/32vWCbZh0xZ4o9gkz4PsEU_songs.html
Drake,18,57,Marvins Room,/spotify/artist/3TVXtAsR1Inumwj472S9r4_songs.html
Elvis Presley,48,27,Always On My Mind,/spotify/artist/43ZHCT0cAZBISjO8DG9PnE_songs.html
Etta James,12,63,Stormy Weather,/spotify/artist/0iOVhN3tnSvgDbcg25JoJb_songs.html
FKA Twigs,28,47,Cellophane,/spotify/artist/6nB0iY1cjSY1KyhYyuIIKH_songs.html
Fleetwood Mac,110,40,LandslideGo Your Own Way,/spotify/artist/08GQAI4eElDnROBrJRGE0X_songs.html
Frank Ocean,29,46,Ivy,/spotify/artist/2h93pZq0e7k5yf4dywlkpM_songs.html
Giveon,38,37,Heartbreak Anniversary,/spotify/artist/4fxd5Ee7UefO4CUXgwJ7IP_songs.html
Gloria Gaynor,52,23,I Will Survive,/spotify/artist/6V6WCgi7waF55bJmylC4H5_songs.html
Gotye,46,29,Somebody That I Used to Know,/spotify/artist/2AsusXITU8P25dlRNhcAbG_songs.html
Gracie Abrams,3,72,"I Miss You, I'm Sorry",/spotify/artist/4tuJ0bMpJh08umKkEXKUI5_songs.html
Harry Styles,25,50,Falling,/spotify/artist/6KImCVD70vtIoJWnq6nGn3_songs.html
Imogen Heap,63,12,Hide and Seek,/spotify/artist/6Xb4ezwoAQC4516kI89nWz_songs.html
Jeff Buckley,20,55,"Lover, You Should've Come Over",/spotify/artist/3nnQpaTvKb5jCQabZefACI_songs.html
Jeremy Zucker & Chelsea Cutler,4,71,You Were Good to Me,/spotify/artist/3gIRvgZssIb9aiirIg0nI3_songs.html
Joji,14,61,Glimpse Of Us,/spotify/artist/3MZsBdqDrRTJihTHQrO6Dq_songs.html
Jojo,23,52,Leave (Get Out),/spotify/artist/5xuNBZoM7z1Vv8IQ6uM0p6_songs.html
Joy Division,19,56,Love Will Tear Us Apart,/spotify/artist/3JsHnjpbhX4SnySpvpa9DK_songs.html
Justin Timberlake,42,33,Cry Me A River,/spotify/artist/31TPClRtHm23RisEBtV3X7_songs.html
Kanye West,8,67,Love Lockdown,/spotify/artist/5K4W6rqBFWDnAN6FQUkS6x_songs.html
Katy Perry,39,36,The One That Got Away,/spotify/artist/6jJ0s89eD6GaHleKKya26X_songs.html
Kelly Clarkson,43,32,Since U Been Gone,/spotify/artist/3BmGtnKgCSGYIUhmivXKWX_songs.html
King Princess,9,66,Talia,/spotify/artist/5a2EaR3hamoenG9rDuVn8j_songs.html
Lady A,5,70,Need You Now,/spotify/artist/32WkQRZEVKSzVAAYqukAEA_songs.html
Leonard Cohen,56,19,Hallelujah,/spotify/artist/5l8VQNuIg0turYE1VtM9zV_songs.html
Lewis Capaldi,7,68,Someone You Loved,/spotify/artist/4GNC7GD6oZMSxPGyXy4MNB_songs.html
