Artist and Title,Days,T10,Pk,(x?),PkStreams,Total,Artist,Song
The Kid LAROI - Stay,1202,382.0,1,(x129),20584,6874025,The Kid LAROI,Stay
The Weeknd - Blinding Lights,1791,377.0,1,(x1),9473,6866456,The Weeknd,Blinding Lights
Harry Styles - As It Was,937,408.0,1,(x97),20043,6569228,Harry Styles,As It Was
Glass Animals - Heat Waves,1415,373.0,1,(x78),11713,6508187,Glass Animals,Heat Waves
Lewis Capaldi - Someone You Loved,1943,77.0,5,,4825,5646658,Lewis Capaldi,Someone You Loved
Rema - Calm Down,790,313.0,1,(x5),14344,5305480,Rema,Calm Down
The Weeknd - Starboy,1422,3.0,10,,7407,5252035,The Weeknd,Starboy
Jung Kook - Seven,468,256.0,1,(x71),40620,5176666,Jung Kook,Seven
Taylor Swift - Cruel Summer,648,291.0,2,(x31),14960,5012933,Taylor Swift,Cruel Summer
SZA - Kill Bill,685,216.0,1,(x36),19218,5012116,SZA,Kill Bill
The Neighbourhood - Sweater Weather,1480,,13,,6904,4787249,The Neighbourhood,Sweater Weather
Billie Eilish - lovely,1944,,21,,4647,4627373,Billie Eilish,lovely
Justin Bieber - Ghost,1124,124.0,4,,6264,4583408,Justin Bieber,Ghost
Dua Lipa - Levitating,1237,229.0,4,,10079,4548858,Dua Lipa,Levitating
The Weeknd - Die For You,1143,43.0,8,,8014,4529436,The Weeknd,Die For You
Post Malone - Sunflower - Spider-Man: Into the Spider-Verse,1940,55.0,7,,4671,4444847,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse
Chris Brown - Under The Influence,848,163.0,1,(x33),12908,4330759,Chris Brown,Under The Influence
Elton John - Cold Heart - PNAU Remix,1150,174.0,2,(x1),12984,4280349,Elton John,Cold Heart - PNAU Remix
Harry Styles - Watermelon Sugar,1571,76.0,5,,5480,4185668,Harry Styles,Watermelon Sugar
Tom Odell - Another Love,1293,,13,,5826,4146070,Tom Odell,Another Love
Miley Cyrus - Flowers,638,153.0,1,(x41),27167,3968901,Miley Cyrus,Flowers
Arctic Monkeys - I Wanna Be Yours,865,,12,,7182,3939999,Arctic Monkeys,I Wanna Be Yours
Tate McRae - greedy,405,213.0,1,(x107),16717,3930258,Tate McRae,greedy
James Arthur - Say You Won't Let Go,1859,,40,,4888,3928771,James Arthur,Say You Won't Let Go
The Weeknd - Save Your Tears,1269,94.0,2,(x17),8337,3868067,The Weeknd,Save Your Tears
Metro Boomin - Creepin',607,203.0,1,(x17),17924,3842508,Metro Boomin,Creepin'
Adele - Easy On Me,997,153.0,1,(x24),27573,3816067,Adele,Easy On Me
Sabrina Carpenter - Espresso,195,188.0,1,(x71),29825,3756274,Sabrina Carpenter,Espresso
Ruth B. - Dandelions,1145,,13,,4590,3744930,Ruth B.,Dandelions
Drake - One Dance,1296,,24,,5972,3692820,Drake,One Dance
David Guetta - I'm Good (Blue),790,129.0,3,(x1),14025,3642814,David Guetta,I'm Good (Blue)
Maroon 5 - Memories,1431,137.0,1,(x35),6689,3582327,Maroon 5,Memories
Shawn Mendes - Señorita,1411,199.0,1,(x98),9610,3565698,Shawn Mendes,Señorita
Tory Lanez - The Color Violet,862,,12,,7209,3562234,Tory Lanez,The Color Violet
OneRepublic - I Ain't Worried,818,84.0,4,,8584,3538200,OneRepublic,I Ain't Worried
Post Malone - Circles,1502,147.0,2,(x19),5335,3422607,Post Malone,Circles
The Weeknd - Popular,510,166.0,2,(x5),14415,3357341,The Weeknd,Popular
One Direction - Night Changes,1005,7.0,6,,13917,3356414,One Direction,Night Changes
Lil Nas X - INDUSTRY BABY,583,280.0,2,(x89),16158,3355134,Lil Nas X,INDUSTRY BABY
