Artist and Title,Days,T10,Pk,(x?),PkStreams,Total,Artist,Song
Marília Mendonça - Leão,681,160.0,1,(x35),2348259,420069251,Marília Mendonça,Leão
AgroPlay - Nosso Quadro,570,209.0,1,(x71),2353356,398088471,AgroPlay,Nosso Quadro
Simone Mendes - Erro Gostoso - Ao Vivo,632,129.0,2,(x2),1533731,348363600,Simone Mendes,Erro Gostoso - Ao Vivo
Grupo Menos É Mais - Lapada Dela - Ao Vivo,607,122.0,3,(x3),1340066,319028353,Grupo Menos É Mais,Lapada Dela - Ao Vivo
Israel & Rodolffo - Bombonzinho - Ao Vivo,479,181.0,1,(x5),1866829,312552032,Israel & Rodolffo,Bombonzinho - Ao Vivo
Gustavo Mioto - Eu Gosto Assim - Ao Vivo,553,167.0,1,(x38),1741288,309814430,Gustavo Mioto,Eu Gosto Assim - Ao Vivo
Henrique & Juliano - Arranhão - Ao Vivo,768,149.0,1,(x27),1528523,308468044,Henrique & Juliano,Arranhão - Ao Vivo
MC PH - Let's Go 4,407,182.0,1,(x93),1688859,290457125,MC PH,Let's Go 4
Hugo & Guilherme - Mal Feito - Ao Vivo,579,164.0,2,(x13),1454328,283882226,Hugo & Guilherme,Mal Feito - Ao Vivo
Henrique & Juliano - Traumatizei - Ao Vivo Em Brasília,619,106.0,5,,1224433,277190592,Henrique & Juliano,Traumatizei - Ao Vivo Em Brasília
Zé Neto & Cristiano - Barulho Do Foguete - Ao Vivo,485,196.0,2,(x3),1516573,276193219,Zé Neto & Cristiano,Barulho Do Foguete - Ao Vivo
Zé Neto & Cristiano - Oi Balde - Ao Vivo,548,131.0,3,(x5),1375303,275584693,Zé Neto & Cristiano,Oi Balde - Ao Vivo
Guilherme & Benuto - Duas Três,518,78.0,7,,1161153,271843630,Guilherme & Benuto,Duas Três
DENNIS - Tá OK,388,111.0,1,(x50),2319982,261111708,DENNIS,Tá OK
Israel & Rodolffo - Seu Brilho Sumiu - Ao Vivo,411,115.0,2,(x7),1551220,260541255,Israel & Rodolffo,Seu Brilho Sumiu - Ao Vivo
Guilherme & Benuto - Haja Colírio,518,183.0,1,(x15),1369312,258894897,Guilherme & Benuto,Haja Colírio
Veigh - Novo Balanço,496,101.0,2,(x19),1388776,252989276,Veigh,Novo Balanço
George Henrique & Rodrigo - Vai Lá Em Casa Hoje,581,116.0,1,(x13),1719874,249628615,George Henrique & Rodrigo,Vai Lá Em Casa Hoje
Matuê - Vampiro,832,77.0,1,(x28),1189308,237595884,Matuê,Vampiro
Marília Mendonça - Esqueça-Me Se For Capaz,554,104.0,1,(x36),1626865,233702816,Marília Mendonça,Esqueça-Me Se For Capaz
Harry Styles - As It Was,813,15.0,4,,838339,227316232,Harry Styles,As It Was
Henrique & Juliano - Liberdade Provisória - Ao Vivo,846,171.0,1,(x49),1068468,225657739,Henrique & Juliano,Liberdade Provisória - Ao Vivo
João Gomes - Meu Pedaço de Pecado,536,124.0,1,(x61),1794033,225581070,João Gomes,Meu Pedaço de Pecado
Pineapple StormTv - Poesia Acústica #6: Era uma Vez,1582,,14,,327914,221709006,Pineapple StormTv,Poesia Acústica #6: Era uma Vez
Matheus & Kauan - Não Vitalício (Nunca Mais) - Ao Vivo,409,69.0,6,,1131245,219643025,Matheus & Kauan,Não Vitalício (Nunca Mais) - Ao Vivo
Henrique & Juliano - A Maior Saudade - Ao Vivo,608,10.0,9,,1035874,216982222,Henrique & Juliano,A Maior Saudade - Ao Vivo
Mc Paiva ZS - Casei Com a Putaria,539,136.0,1,(x22),1020309,215632212,Mc Paiva ZS,Casei Com a Putaria
Gusttavo Lima - Canudinho - Ao Vivo,355,139.0,1,(x4),1582133,213675228,Gusttavo Lima,Canudinho - Ao Vivo
Ana Castela - DONA DE MIM,656,4.0,9,,903943,213606928,Ana Castela,DONA DE MIM
Guilherme & Benuto - Manda um Oi - Ao Vivo,414,52.0,5,,1353393,209492954,Guilherme & Benuto,Manda um Oi - Ao Vivo
The Weeknd - Blinding Lights,1186,,17,,338986,208915433,The Weeknd,Blinding Lights
Israel & Rodolffo - Batom de Cereja - Ao Vivo,431,130.0,1,(x54),1899844,208444670,Israel & Rodolffo,Batom de Cereja - Ao Vivo
Matheus Fernandes - Baby Me Atende,532,94.0,3,(x25),1148456,207277207,Matheus Fernandes,Baby Me Atende
NATTAN - Love Gostosinho - Ao Vivo,521,,11,,1051060,206430773,NATTAN,Love Gostosinho - Ao Vivo
Xamã - Malvadão 3,434,109.0,1,(x56),1770560,205890672,Xamã,Malvadão 3
WIU - Coração de Gelo,448,78.0,3,(x2),1274091,204016929,WIU,Coração de Gelo
Ana Castela - Pipoco,545,100.0,1,(x31),1263191,197351959,Ana Castela,Pipoco
MC Kevin o Chris - Faz um Vuk Vuk (Teto Espelhado),311,101.0,1,(x30),1858973,197202412,MC Kevin o Chris,Faz um Vuk Vuk (Teto Espelhado)
Diego & Victor Hugo - Facas - Ao Vivo,606,108.0,2,(x1),1196572,196946016,Diego & Victor Hugo,Facas - Ao Vivo
Harry Styles - Watermelon Sugar,1190,,16,,354945,196341818,Harry Styles,Watermelon Sugar
João Gustavo e Murilo - Lençol Dobrado,766,222.0,2,(x39),631650,195700300,João Gustavo e Murilo,Lençol Dobrado
Jorge & Mateus - Molhando o Volante,484,50.0,7,,1048706,194142988,Jorge & Mateus,Molhando o Volante
Melim - Meu Abrigo,1163,89.0,1,(x2),407836,193809661,Melim,Meu Abrigo
KayBlack - Licor 43,771,,22,,504449,193199535,KayBlack,Licor 43
Matheus & Kauan - Pactos - Ao Vivo,439,68.0,5,,1134470,191398612,Matheus & Kauan,Pactos - Ao Vivo
Manu - Daqui pra Sempre,353,100.0,2,(x2),1496329,190787980,Manu,Daqui pra Sempre
Os Barões Da Pisadinha - Recairei - Ao Vivo,533,170.0,1,(x72),1611265,189050274,Os Barões Da Pisadinha,Recairei - Ao Vivo
Dua Lipa - Don't Start Now,1005,72.0,1,(x3),704808,188729988,Dua Lipa,Don't Start Now
Matheus Fernandes - Balanço da Rede,450,103.0,1,(x8),1101955,187143436,Matheus Fernandes,Balanço da Rede
Grupo Menos É Mais - Pot-Pourri: Melhor Eu Ir / Ligando Os Fatos / Sonho de Amor / Deixa Eu Te Querer - Ao Vivo,1062,,24,,583939,187035394,Grupo Menos É Mais,Pot-Pourri: Melhor Eu Ir / Ligando Os Fatos / Sonho de Amor / Deixa Eu Te Querer - Ao Vivo
WIU - Felina,469,85.0,3,(x3),887146,185986645,WIU,Felina
KayBlack - Melhor Só,489,48.0,2,(x9),1072415,183493463,KayBlack,Melhor Só
Vulgo FK - Ballena,439,61.0,3,(x11),1286427,181683182,Vulgo FK,Ballena
Gustavo Mioto - Quando Apaga A Luz - Ao Vivo,398,1.0,10,,967923,181294530,Gustavo Mioto,Quando Apaga A Luz - Ao Vivo
Jorge & Mateus - 5 Regras - Ao Vivo,473,48.0,6,,920295,180499327,Jorge & Mateus,5 Regras - Ao Vivo
Henrique & Juliano - Aquela Pessoa - Ao Vivo,998,,25,,598833,179515517,Henrique & Juliano,Aquela Pessoa - Ao Vivo
Ana Castela - Solteiro Forçado - Boiadeira Internacional,235,132.0,2,(x2),1565891,179156023,Ana Castela,Solteiro Forçado - Boiadeira Internacional
Zé Neto & Cristiano - Um Mês E Pouco - Ao Vivo,390,4.0,9,,1048046,176736324,Zé Neto & Cristiano,Um Mês E Pouco - Ao Vivo
Guilherme & Benuto - Assunto Delicado - Ao Vivo,364,104.0,3,(x12),1134084,176582761,Guilherme & Benuto,Assunto Delicado - Ao Vivo
Ed Sheeran - Shape of You,1163,211.0,1,(x71),471688,175765964,Ed Sheeran,Shape of You
Marília Mendonça - Troca de Calçada,741,12.0,7,,812003,175698877,Marília Mendonça,Troca de Calçada
Gusttavo Lima - Bloqueado - Ao Vivo,431,91.0,3,(x5),1317560,175183876,Gusttavo Lima,Bloqueado - Ao Vivo
