Artist and Title,Days,T10,Pk,(x?),PkStreams,Total,Artist,Song
Lewis Capaldi - Someone You Loved,2132,162.0,4,,30810,30661030,Lewis Capaldi,Someone You Loved
The Weeknd - Blinding Lights,1786,313.0,1,(x43),57664,29847714,The Weeknd,Blinding Lights
Tom Odell - Another Love,1551,297.0,3,(x22),34748,26045078,Tom Odell,Another Love
Tones And I - Dance Monkey,1296,291.0,1,(x133),77799,25335265,Tones And I,Dance Monkey
Glass Animals - Heat Waves,1376,330.0,1,(x67),51774,23419876,Glass Animals,Heat Waves
Lady Gaga - Shallow,2082,107.0,1,(x10),39458,22369476,Lady Gaga,Shallow
Lost Frequencies - Where Are You Now,1178,251.0,2,(x11),37987,19943875,Lost Frequencies,Where Are You Now
Billie Eilish - lovely,2301,,24,,15444,19818396,Billie Eilish,lovely
David Guetta - I'm Good (Blue),790,319.0,1,(x77),77148,19570513,David Guetta,I'm Good (Blue)
Ed Sheeran - Shape of You,1715,241.0,1,(x111),66156,19565540,Ed Sheeran,Shape of You
Harry Styles - As It Was,901,231.0,1,(x57),63808,18507408,Harry Styles,As It Was
Imagine Dragons - Believer,2387,1.0,10,,22536,18132839,Imagine Dragons,Believer
Miley Cyrus - Flowers,650,209.0,1,(x77),133631,17586577,Miley Cyrus,Flowers
Elton John - Cold Heart - PNAU Remix,1157,174.0,3,(x2),53089,17150723,Elton John,Cold Heart - PNAU Remix
Eminem - Lose Yourself,2715,,21,,15967,16788568,Eminem,Lose Yourself
Vance Joy - Riptide,2263,10.0,9,,25028,16559478,Vance Joy,Riptide
Farruko - Pepas,862,291.0,1,(x6),64505,16439542,Farruko,Pepas
Ed Sheeran - Shivers,907,233.0,1,(x5),61306,15971101,Ed Sheeran,Shivers
Apache 207 - Roller,1282,153.0,2,(x34),51607,15810343,Apache 207,Roller
Macklemore & Ryan Lewis - Can't Hold Us,1033,,13,,27055,14843563,Macklemore & Ryan Lewis,Can't Hold Us
OneRepublic - I Ain't Worried,880,99.0,3,(x5),31688,14167600,OneRepublic,I Ain't Worried
SAINt JHN - Roses - Imanbek Remix,831,178.0,2,(x45),52137,13896502,SAINt JHN,Roses - Imanbek Remix
Harry Styles - Watermelon Sugar,1212,83.0,3,(x10),35092,13756335,Harry Styles,Watermelon Sugar
The Kid LAROI - Stay,709,184.0,1,(x47),62518,13571966,The Kid LAROI,Stay
Eminem - Mockingbird,745,156.0,3,(x7),38297,13554801,Eminem,Mockingbird
Mariah Carey - All I Want for Christmas Is You,434,214.0,1,(x107),313227,13479449,Mariah Carey,All I Want for Christmas Is You
Ed Sheeran - Bad Habits,726,149.0,1,(x6),52414,13479186,Ed Sheeran,Bad Habits
The Neighbourhood - Sweater Weather,1386,,27,,20389,13185480,The Neighbourhood,Sweater Weather
Benson Boone - Beautiful Things,279,279.0,1,(x58),80847,13016188,Benson Boone,Beautiful Things
Shawn Mendes - Señorita,709,144.0,1,(x68),85986,12867303,Shawn Mendes,Señorita
Don Omar - Danza Kuduro,1242,,17,,24090,12845269,Don Omar,Danza Kuduro
Gabry Ponte - Thunder,1108,,11,,28683,12429831,Gabry Ponte,Thunder
Wham! - Last Christmas,433,178.0,1,(x7),316921,12249271,Wham!,Last Christmas
Avicii - Wake Me Up,1826,3.0,3,(x2),34659,12161477,Avicii,Wake Me Up
David Kushner - Daylight,553,222.0,1,(x38),61840,12140372,David Kushner,Daylight
OneRepublic - Counting Stars,1898,,40,,12788,12056539,OneRepublic,Counting Stars
Udo Lindenberg - Komet,593,235.0,2,(x12),43110,12016080,Udo Lindenberg,Komet
iñigo quintero - Si No Estás,396,160.0,1,(x65),96716,11932472,iñigo quintero,Si No Estás
24kGoldn - Mood,627,163.0,1,(x80),67900,11814517,24kGoldn,Mood
Dean Lewis - Be Alright,1337,17.0,8,,23208,11753478,Dean Lewis,Be Alright
Billie Eilish - bad guy,800,132.0,1,(x13),40793,11719810,Billie Eilish,bad guy
Ed Sheeran - Perfect,1566,94.0,3,(x6),24817,11680221,Ed Sheeran,Perfect
Eminem - Without Me,1313,,26,,20697,11659287,Eminem,Without Me
Dynoro - In My Mind,894,130.0,1,(x49),47357,11463185,Dynoro,In My Mind
DaBaby - ROCKSTAR,543,161.0,1,(x47),68103,11445172,DaBaby,ROCKSTAR
Lewis Capaldi - Before You Go,1162,,14,,22024,11425911,Lewis Capaldi,Before You Go
Tate McRae - greedy,405,200.0,1,(x16),57359,11292554,Tate McRae,greedy
FloyyMenor - Gata Only,215,167.0,1,(x84),102650,11109815,FloyyMenor,Gata Only
Lo & Leduc - 079,919,145.0,1,(x86),47874,11105606,Lo & Leduc,079
Coolio - Gangsta's Paradise,1224,2.0,4,,33196,11009948,Coolio,Gangsta's Paradise
Riton - Friday,627,157.0,1,(x4),55564,10673331,Riton,Friday
Joel Corry - Head & Heart,694,99.0,3,(x4),44350,10483191,Joel Corry,Head & Heart
Post Malone - rockstar,840,171.0,1,(x103),43174,10393911,Post Malone,rockstar
Rosa Linn - SNAP,715,83.0,5,,29006,10353474,Rosa Linn,SNAP
