Artist and Title,Days,T10,Pk,(x?),PkStreams,Total,Artist,Song
Ed Sheeran - Shape of You,95,95,1,(x95),1982,145588,Ed Sheeran,Shape of You
Luis Fonsi - Despacito - Remix,73,73,1,(x54),1547,89153,Luis Fonsi,Despacito - Remix
Drake - One Dance,73,73,1,(x73),1401,82516,Drake,One Dance
DJ Khaled - Wild Thoughts,48,48,1,(x46),1338,56963,DJ Khaled,Wild Thoughts
Major Lazer - Cold Water,33,33,1,(x29),1230,35765,Major Lazer,Cold Water
David Guetta - 2U,22,22,1,(x1),1181,23431,David Guetta,2U
The Chainsmokers - Closer,20,20,1,(x19),1160,21141,The Chainsmokers,Closer
Adele - Hello,14,14,1,(x14),1324,16180,Adele,Hello
The Weeknd - Starboy,10,10,1,(x10),1088,10510,The Weeknd,Starboy
DJ Snake - Let Me Love You,6,6,2,(x5),1036,6101,DJ Snake,Let Me Love You
Ed Sheeran - Castle on the Hill,4,4,2,(x4),1153,4440,Ed Sheeran,Castle on the Hill
French Montana - Unforgettable,4,4,2,(x2),1106,4133,French Montana,Unforgettable
DJ Khaled - I'm the One,3,3,2,(x3),1033,3043,DJ Khaled,I'm the One
The Chainsmokers - Something Just Like This,2,2,2,(x2),1084,2159,The Chainsmokers,Something Just Like This
J Balvin - Mi Gente,2,2,2,(x2),1044,2079,J Balvin,Mi Gente
