Artist and Title,Days,T10,Pk,(x?),PkStreams,Total,Artist,Song
J Balvin - LA CANCIÓN,1945,199.0,2,(x37),52196,40479253,J Balvin,LA CANCIÓN
Manuel Turizo - La Bachata,876,338.0,1,(x27),90948,39645616,Manuel Turizo,La Bachata
Bad Bunny - Me Porto Bonito,902,261.0,1,(x55),184577,39342192,Bad Bunny,Me Porto Bonito
Feid - Feliz Cumpleaños Ferxxo,797,309.0,1,(x80),96175,38490880,Feid,Feliz Cumpleaños Ferxxo
Bad Bunny - Efecto,902,237.0,1,(x2),120533,34945938,Bad Bunny,Efecto
Plan B - Es un Secreto,1279,338.0,3,(x3),67822,32981001,Plan B,Es un Secreto
Danny Ocean - Me Rehúso,2874,279.0,1,(x4),27060,32762887,Danny Ocean,Me Rehúso
Bad Bunny - Ojitos Lindos,902,234.0,1,(x10),162822,31577326,Bad Bunny,Ojitos Lindos
Mora - LA INOCENTE,937,55.0,8,,60730,30822085,Mora,LA INOCENTE
Feid - Normal,839,181.0,3,(x1),111480,30302560,Feid,Normal
Jay Wheeler - La Curiosidad,1592,177.0,1,(x13),63044,29371108,Jay Wheeler,La Curiosidad
Ozuna - Hey Mor,748,261.0,1,(x1),95926,28980387,Ozuna,Hey Mor
Feid - LUNA,328,325.0,1,(x173),137075,28324034,Feid,LUNA
"Bizarrap - Quevedo: Bzrp Music Sessions, Vol. 52",728,188.0,1,(x70),186803,27880099,Bizarrap,"Quevedo: Bzrp Music Sessions, Vol. 52"
Bad Bunny - Yonaguni,866,295.0,1,(x114),146639,27525292,Bad Bunny,Yonaguni
Bad Bunny - Moscow Mule,901,194.0,1,(x3),232058,27252688,Bad Bunny,Moscow Mule
Feid - Classy 101,573,259.0,1,(x3),120407,26203490,Feid,Classy 101
Bad Bunny - PERRO NEGRO,377,302.0,1,(x62),210119,25689373,Bad Bunny,PERRO NEGRO
KAROL G - PROVENZA,916,106.0,1,(x4),89619,25287418,KAROL G,PROVENZA
Bad Bunny - DÁKITI,1003,256.0,1,(x103),189595,25137293,Bad Bunny,DÁKITI
KAROL G - AMARGURA,607,277.0,4,,62839,23878816,KAROL G,AMARGURA
Bad Bunny - Si Estuviésemos Juntos,2036,,16,,28296,23526292,Bad Bunny,Si Estuviésemos Juntos
Bad Bunny - Callaita,1569,211.0,1,(x22),90954,23501258,Bad Bunny,Callaita
Bad Bunny - Tití Me Preguntó,561,196.0,3,(x31),157040,22903513,Bad Bunny,Tití Me Preguntó
Feid - CHORRITO PA LAS ANIMAS,691,166.0,3,(x1),88002,22676195,Feid,CHORRITO PA LAS ANIMAS
Maluma - Hawái,1197,192.0,1,(x72),138803,22644362,Maluma,Hawái
Rauw Alejandro - Todo De Ti,1004,214.0,1,(x10),140212,22609341,Rauw Alejandro,Todo De Ti
Feid - Ferxxo 100,874,6.0,8,,59142,22558092,Feid,Ferxxo 100
KAROL G - QLONA,440,261.0,1,(x40),95141,22449868,KAROL G,QLONA
Rauw Alejandro - Desesperados,932,118.0,1,(x25),60057,22373922,Rauw Alejandro,Desesperados
Bad Bunny - La Santa,1696,20.0,4,,70757,22257081,Bad Bunny,La Santa
Bacilos - Caraluna,2837,,24,,28385,22074279,Bacilos,Caraluna
Yandel - Yandel 150,534,174.0,1,(x46),127630,21791268,Yandel,Yandel 150
Myke Towers - LALA,488,195.0,1,(x64),146695,21379556,Myke Towers,LALA
Tainy - Lo Siento BB:/,888,190.0,1,(x58),64745,21360304,Tainy,Lo Siento BB:/
J Balvin - UN PESO,1944,,23,,25308,21022998,J Balvin,UN PESO
Grupo Frontera - un x100to,556,123.0,1,(x45),188501,20898544,Grupo Frontera,un x100to
Tego Calderón - Pa' Que Retozen,1372,,17,,31998,20452119,Tego Calderón,Pa' Que Retozen
Don Omar - Dile,1591,,16,,34509,20326545,Don Omar,Dile
Ryan Castro - Jordan,951,108.0,1,(x4),69170,19813928,Ryan Castro,Jordan
Morat - Cuando Nadie Ve,2028,2.0,10,,23108,19689466,Morat,Cuando Nadie Ve
KAROL G - TQG,605,107.0,1,(x34),166666,19394520,KAROL G,TQG
Bad Bunny - A Tu Merced,1281,51.0,7,,39204,19314812,Bad Bunny,A Tu Merced
Rauw Alejandro - LOKERA,792,86.0,7,,60271,19282061,Rauw Alejandro,LOKERA
Morat - No Se Va,1198,,20,,33118,19116273,Morat,No Se Va
Bad Bunny - Un Coco,894,,12,,107177,19027027,Bad Bunny,Un Coco
Rels B - A Mí,1731,,30,,27586,19018879,Rels B,A Mí
JHAYCO - No Me Conoce - Remix,1300,202.0,3,(x16),39299,18846217,JHAYCO,No Me Conoce - Remix
Ryan Castro - Monastery,1040,106.0,4,,48573,18750095,Ryan Castro,Monastery
Maluma - Según Quién,426,231.0,3,(x22),68007,18733920,Maluma,Según Quién
Taiu - Rara Vez,616,15.0,6,,53680,18398898,Taiu,Rara Vez
Morat - Besos En Guerra,2269,,18,,20927,18051347,Morat,Besos En Guerra
Los Enanitos Verdes - Lamento Boliviano,2195,,44,,22628,17947822,Los Enanitos Verdes,Lamento Boliviano
Bad Bunny - Neverita,584,70.0,7,,124611,17660259,Bad Bunny,Neverita
Becky G - MAMIII,868,84.0,1,(x31),67604,17551412,Becky G,MAMIII
J Balvin - QUE PRETENDES,1674,112.0,5,,34721,17426951,J Balvin,QUE PRETENDES
Yng Lvcas - La Bebe - Remix,571,129.0,3,(x4),98029,17334285,Yng Lvcas,La Bebe - Remix
Cris Mj - Una Noche en Medellín,601,81.0,1,(x29),70275,17203132,Cris Mj,Una Noche en Medellín
Quevedo - Columbia,475,144.0,2,(x27),74103,17098552,Quevedo,Columbia
Paulo Londra - Tal Vez,1569,113.0,2,(x26),44596,16749713,Paulo Londra,Tal Vez
Sebastian Yatra - Pareja Del Año,968,106.0,1,(x29),74398,16741929,Sebastian Yatra,Pareja Del Año
Paulo Londra - Adan y Eva,1458,152.0,1,(x71),56548,16114093,Paulo Londra,Adan y Eva
Mora - Volando - Remix,859,173.0,5,,60126,15875948,Mora,Volando - Remix
