Artist and Title,Days,T10,Pk,(x?),PkStreams,Total,Artist,Song
Wegz - البخت,971,556.0,1,(x159),205633,30190269,Wegz,البخت
Mohammed Saeed - Alo Aleky,701,315.0,1,(x122),60096,19696610,Mohammed Saeed,Alo Aleky
Cairokee - Basrah w Atooh,762,54.0,3,(x5),35593,17659037,Cairokee,Basrah w Atooh
Ramy Sabry - يمكن خير,649,171.0,1,(x2),50501,17492137,Ramy Sabry,يمكن خير
Muslim - مُسلِم - Mesh Nadman,1030,66.0,5,,36620,17410874,Muslim,مُسلِم - Mesh Nadman
Muslim - مُسلِم - Etnaset,1097,317.0,1,(x85),27191,17317595,Muslim,مُسلِم - Etnaset
Essam Sasa - مسا مني ليكوا,651,222.0,1,(x26),48099,17028756,Essam Sasa,مسا مني ليكوا
Eslam Kabonga - ايويا يا حبيبتي وحشتيني - مهرجان - ايويا يا حبيبتي وحشتيني - اسلام كابونجا - كلوشه - توزيع فيجو الدخلاوي - مهرجانات 2023,412,223.0,1,(x62),115647,16798610,Eslam Kabonga,ايويا يا حبيبتي وحشتيني - مهرجان - ايويا يا حبيبتي وحشتيني - اسلام كابونجا - كلوشه - توزيع فيجو الدخلاوي - مهرجانات 2023
Mahmoud El Leithy - سيبك من اللي خلع - من فيلم حمص وحلاوة,377,234.0,1,(x73),81647,16695539,Mahmoud El Leithy,سيبك من اللي خلع - من فيلم حمص وحلاوة
Muslim - مُسلِم - Aleb Fel Dafater,671,156.0,2,(x10),37483,16600792,Muslim,مُسلِم - Aleb Fel Dafater
Ahmed Saad - اختياراتي - من فيلم مستر إكس,491,138.0,1,(x5),81274,16088449,Ahmed Saad,اختياراتي - من فيلم مستر إكس
Essam Sasa - عره فافي عامل مغامر - بت انتي حب حياتي,828,153.0,3,(x19),29224,15317804,Essam Sasa,عره فافي عامل مغامر - بت انتي حب حياتي
Ilmond - YAZMEELY,449,205.0,2,(x10),54711,15159084,Ilmond,YAZMEELY
Essam Sasa - وسط دموع وجراح,1212,,11,,24267,14713641,Essam Sasa,وسط دموع وجراح
Tamer Ashour - Khaleny Fe Hodnak,988,9.0,5,,40046,14424979,Tamer Ashour,Khaleny Fe Hodnak
Wegz - Amira,791,183.0,1,(x50),28833,14095698,Wegz,Amira
Tamer Ashour - هيجيلي موجوع,285,233.0,1,(x21),113234,14043919,Tamer Ashour,هيجيلي موجوع
Marwan Moussa - البوصلة ضاعت,1811,20.0,9,,27401,14030700,Marwan Moussa,البوصلة ضاعت
Wegz - عفاريت الأسفلت,1194,239.0,1,(x37),22983,14021515,Wegz,عفاريت الأسفلت
Bahaa Sultan - Beraha Ya Sheekha,634,136.0,4,,41889,13918352,Bahaa Sultan,Beraha Ya Sheekha
Nawal - مخصماك,481,129.0,1,(x77),89331,13478233,Nawal,مخصماك
Reda El Bahrawy - لفينا الدنيا,485,127.0,2,(x17),46158,13468196,Reda El Bahrawy,لفينا الدنيا
Essam Sasa - نص سيطو مني ( احنا صحاب بلادنا ),495,178.0,2,(x1),56995,13304336,Essam Sasa,نص سيطو مني ( احنا صحاب بلادنا )
Afroto - 7ALA,662,27.0,4,,32071,13080325,Afroto,7ALA
Mohamed Mounir - لِلّي,826,13.0,5,,29501,12996978,Mohamed Mounir,لِلّي
Wael Jassar - Zrouf Mandany,611,,17,,33338,12958114,Wael Jassar,Zrouf Mandany
Muslim - مُسلِم - Abl Mawsalek,1095,3.0,9,,29802,12786173,Muslim,مُسلِم - Abl Mawsalek
Cairokee - Ana Negm,762,10.0,7,,35145,12598792,Cairokee,Ana Negm
Farid - بأمارة مين,644,82.0,1,(x2),32863,12324956,Farid,بأمارة مين
Tamer Ashour - Tegy Ntrahn,1006,7.0,8,,43033,11919631,Tamer Ashour,Tegy Ntrahn
Hamza Namira - Reyah El Hayah,448,88.0,3,(x3),42148,11898534,Hamza Namira,Reyah El Hayah
Eslam Kabonga - اللي نفسه فيا بيتي ميتوهش,363,133.0,1,(x2),70595,11783421,Eslam Kabonga,اللي نفسه فيا بيتي ميتوهش
El Waili - Dawly,911,94.0,3,(x1),21029,11596110,El Waili,Dawly
Ilmond - Rehla,580,46.0,1,(x2),32537,11378254,Ilmond,Rehla
Shehab - عالعموم,239,226.0,1,(x29),69233,11318862,Shehab,عالعموم
Marwan Pablo - El Mabda2,332,134.0,1,(x7),74389,11131852,Marwan Pablo,El Mabda2
Ahmed Saad - El Youm El Helw Dah,756,23.0,8,,34550,11046647,Ahmed Saad,El Youm El Helw Dah
Cairokee - Samurai,1314,,12,,22666,11024872,Cairokee,Samurai
TUL8TE - حبيبي ليه,91,91.0,1,(x66),199537,10809568,TUL8TE,حبيبي ليه
Wegz - سكرتي,1546,69.0,6,,18789,10774753,Wegz,سكرتي
Wegz - دورك جي,1609,318.0,1,(x71),21830,10774624,Wegz,دورك جي
Ahmed Kamel - Baad El Kalam,610,18.0,8,,30249,10687084,Ahmed Kamel,Baad El Kalam
Sherine - كلام عينيه,415,116.0,2,(x9),45518,10623821,Sherine,كلام عينيه
Ahmed Saad - Ya Layaly,463,89.0,1,(x1),51890,10514123,Ahmed Saad,Ya Layaly
Magdy El Zahar - زماني صابني عيار,281,133.0,1,(x4),62886,9944547,Magdy El Zahar,زماني صابني عيار
Abd El Basset Hamouda - سطلانة,369,99.0,1,(x23),92510,9765583,Abd El Basset Hamouda,سطلانة
Marwan Pablo - Matafetch,332,116.0,3,(x3),50803,9748501,Marwan Pablo,Matafetch
Karim Cristiano - قراميط قراميط و الهلافيت عاملين مظابيط (صحبي اللي اداك يدينا ),439,51.0,5,,45353,9591608,Karim Cristiano,قراميط قراميط و الهلافيت عاملين مظابيط (صحبي اللي اداك يدينا )
TUL8TE - ماتيجي اعدي عليكي,91,90.0,1,(x1),192503,9549112,TUL8TE,ماتيجي اعدي عليكي
Ramy Sabry - لما بيوحشني,546,,19,,30256,9468384,Ramy Sabry,لما بيوحشني
Bahaa Sultan - Ta3ala Adalla3ak,903,75.0,2,(x4),18491,9429255,Bahaa Sultan,Ta3ala Adalla3ak
FL EX - MESAMA3EEN,592,96.0,6,,27370,9408292,FL EX,MESAMA3EEN
Marwan Moussa - Aloomek,855,171.0,2,(x12),18208,9398902,Marwan Moussa,Aloomek
Tamer Ashour - Kan Mawdo3,695,,22,,31358,9336299,Tamer Ashour,Kan Mawdo3
Bahaa Sultan - El Dalaa,460,,18,,38081,9308273,Bahaa Sultan,El Dalaa
Amr Diab - Tamally Maak,1496,,32,,15892,9208645,Amr Diab,Tamally Maak
ريفو شو - علي باب السيما - من مسلسل ريفو,676,,16,,30458,9206975,ريفو شو,علي باب السيما - من مسلسل ريفو
Molotof - Denamet,1361,14.0,8,,19001,9205313,Molotof,Denamet
Marwan Pablo - BARBARY,835,172.0,2,(x29),100410,9152223,Marwan Pablo,BARBARY
Ramy Gamal - جيت متأخر,330,27.0,6,,37922,8984776,Ramy Gamal,جيت متأخر
Essam Sasa - اتنين بمقام ملايين,226,121.0,1,(x57),102781,8885844,Essam Sasa,اتنين بمقام ملايين
3enba - On Fire,566,16.0,7,,25465,8796602,3enba,On Fire
Mohamed Ramadan - Come Baby Come,414,75.0,3,(x3),47448,8725448,Mohamed Ramadan,Come Baby Come
Muslim - Tab Aoulak - Karkouba,477,42.0,1,(x14),41628,8723296,Muslim,Tab Aoulak - Karkouba
Assala Nasri - Fouq,387,35.0,5,,41291,8680053,Assala Nasri,Fouq
Wingii - Freedom Music: Scene Cypher 3,444,120.0,2,(x15),42554,8551789,Wingii,Freedom Music: Scene Cypher 3
Muslim - جوب,657,1.0,10,,20775,8518061,Muslim,جوب
Wegz - ساليني,1530,,58,,19903,8383631,Wegz,ساليني
Cairokee - Nefsy Ahbek,761,9.0,3,(x2),25447,8370581,Cairokee,Nefsy Ahbek
Double Zuksh - Salat El Zein,414,46.0,5,,40146,8302391,Double Zuksh,Salat El Zein
Marwan Pablo - RACORE,855,81.0,2,(x5),22236,8269611,Marwan Pablo,RACORE
Fares Sokar - فارس سكر - اكشن جاي اتعارك - عيني جت علي سنيورة,240,117.0,3,(x2),52681,8259361,Fares Sokar,فارس سكر - اكشن جاي اتعارك - عيني جت علي سنيورة
El Waili - Ya Salam - Remix,966,6.0,10,,15609,8037069,El Waili,Ya Salam - Remix
Amr Diab - وهي ذكريات,564,,22,,25157,8019307,Amr Diab,وهي ذكريات
Ilmond - Amar,557,,12,,24429,8015325,Ilmond,Amar
Karim Osama - Nazlet Seman,491,54.0,4,,34851,7981434,Karim Osama,Nazlet Seman
Amir Eid - Wahshteeny,475,6.0,8,,35515,7918232,Amir Eid,Wahshteeny
Sharmoofers - Diva,482,,15,,30379,7822931,Sharmoofers,Diva
Tom Odell - Another Love,984,,20,,14291,7822480,Tom Odell,Another Love
Sherine - الوتر الحساس,538,,19,,27793,7713129,Sherine,الوتر الحساس
Marshmello - Bayen Habeit,1156,,13,,20131,7675498,Marshmello,Bayen Habeit
Hassan Shakosh - قمبلة الجيل ( اختي وصحبتي ),199,103.0,1,(x14),59448,7658632,Hassan Shakosh,قمبلة الجيل ( اختي وصحبتي )
Magdy El Zahar - عشري بيعني انا,121,97.0,1,(x19),98700,7601583,Magdy El Zahar,عشري بيعني انا
Mohammed Saeed - Konty 2olely,720,21.0,8,,25458,7594081,Mohammed Saeed,Konty 2olely
Youssif Elashry - انتي فاكره نفسك ايه ؟,342,,14,,37073,7530704,Youssif Elashry,انتي فاكره نفسك ايه ؟
Mohamed Hamaki - و افتكرت,433,,21,,31760,7516786,Mohamed Hamaki,و افتكرت
Marwan Moussa - حدوته المانى,577,138.0,1,(x3),30843,7500315,Marwan Moussa,حدوته المانى
Lege-Cy - Betadeen,1201,1.0,10,,12821,7496239,Lege-Cy,Betadeen
Essam Sasa - اه يا بخته اللي يزاملني ( روح بقلبك مش بجسمك ),556,6.0,10,,21082,7476264,Essam Sasa,اه يا بخته اللي يزاملني ( روح بقلبك مش بجسمك )
Afroto - Brazil,536,154.0,2,(x15),29054,7378992,Afroto,Brazil
Wael Jassar - Khalina Zekra,762,,58,,22431,7317073,Wael Jassar,Khalina Zekra
Bahaa Sultan - Ana Ghaltan,802,,30,,15973,7316076,Bahaa Sultan,Ana Ghaltan
Wegz - الدنيا ايه,439,18.0,3,(x1),42517,7256025,Wegz,الدنيا ايه
Shahyn - SIRI,906,244.0,1,(x19),16754,7212893,Shahyn,SIRI
Kimo Eldeeb - يا قلبي لا محبتكش ( لماذا قلبي نبضو قل ),327,74.0,2,(x14),64308,7175809,Kimo Eldeeb,يا قلبي لا محبتكش ( لماذا قلبي نبضو قل )
Ramy Sabry - Hayaty Msh Tamam,1166,,19,,20289,7093276,Ramy Sabry,Hayaty Msh Tamam
3enba - مش شايفك,681,,55,,17830,6991913,3enba,مش شايفك
Sherine - Ya Layaly,683,,44,,18605,6979232,Sherine,Ya Layaly
Muslim - مُسلِم - Meen Kan Sabab,809,,32,,18719,6951824,Muslim,مُسلِم - Meen Kan Sabab
مسلم - غيرك حاول,340,,11,,33590,6948271,مسلم,غيرك حاول
TUL8TE - LAYALINA,152,90.0,3,(x18),86604,6933112,TUL8TE,LAYALINA
Essam Sasa - من فضل الاخصام خفو التخطير ( انا مش ع الدواق ),197,83.0,3,(x5),54545,6906711,Essam Sasa,من فضل الاخصام خفو التخطير ( انا مش ع الدواق )
Ahmed Saad - واحشني نفسي - تتر بدايه مسلسل جعفر العمده,562,,27,,20753,6831167,Ahmed Saad,واحشني نفسي - تتر بدايه مسلسل جعفر العمده
Tamer Ashour - Baoul Aady,806,,18,,23558,6825345,Tamer Ashour,Baoul Aady
Samar Tarik - Lw,447,44.0,1,(x7),35780,6788029,Samar Tarik,Lw
Cairokee - ليلى - كايروكي من الاستوديو,596,,49,,17623,6592556,Cairokee,ليلى - كايروكي من الاستوديو
Maha Ftouni - El Sabr Gamel - الصبر جميل,359,2.0,10,,32729,6527581,Maha Ftouni,El Sabr Gamel - الصبر جميل
Ramy Gamal - لحظة بعادك,458,,26,,24949,6480920,Ramy Gamal,لحظة بعادك
Essam Sasa - منحرفين ( في حضورنا الدنيا بتتشقلب ),282,33.0,7,,44435,6324989,Essam Sasa,منحرفين ( في حضورنا الدنيا بتتشقلب )
