Artist and Title,Days,T10,Pk,(x?),PkStreams,Total,Artist,Song
Käärijä - Cha Cha Cha,616,221.0,1,(x45),469600,31126202,Käärijä,Cha Cha Cha
JVG - Ikuinen vappu,1519,202.0,1,(x66),154498,30232952,JVG,Ikuinen vappu
BEHM - Hei rakas,1649,239.0,1,(x48),75605,29666201,BEHM,Hei rakas
The Weeknd - Blinding Lights,1392,256.0,1,(x56),85056,26433222,The Weeknd,Blinding Lights
KUUMAA - Tulipalo,846,94.0,3,(x4),82236,25636636,KUUMAA,Tulipalo
Mirella - Timanttei,294,258.0,1,(x48),189027,25093955,Mirella,Timanttei
KUUMAA - Ylivoimainen,644,117.0,1,(x13),155363,25054933,KUUMAA,Ylivoimainen
Gettomasa - Shamppanjadieetillä,844,205.0,1,(x17),107658,24997079,Gettomasa,Shamppanjadieetillä
BEHM - Frida,1296,216.0,1,(x11),101802,23964917,BEHM,Frida
william - Penelope,855,283.0,1,(x139),117490,23548172,william,Penelope
Gettomasa - Silmät,1787,65.0,1,(x1),74394,23482703,Gettomasa,Silmät
HUGO - Taulut,412,160.0,1,(x53),139458,22395167,HUGO,Taulut
ibe - BLONDINA,518,149.0,1,(x56),191674,22355608,ibe,BLONDINA
Post Malone - rockstar,1068,139.0,1,(x59),140099,21782805,Post Malone,rockstar
BESS - Ram pam pam,935,150.0,1,(x68),91093,20926356,BESS,Ram pam pam
JVG - Amatimies,734,149.0,1,(x22),169094,20875703,JVG,Amatimies
Ed Sheeran - Shape of You,893,114.0,1,(x45),128139,20457498,Ed Sheeran,Shape of You
JVG - Tarkenee,1518,89.0,1,(x32),107157,19869379,JVG,Tarkenee
Gettomasa - Muijii stadis,1755,37.0,2,(x7),71728,19797561,Gettomasa,Muijii stadis
Costi - Maailman ympäri,598,120.0,1,(x23),259855,19333931,Costi,Maailman ympäri
Portion Boys - Vauhti kiihtyy,889,198.0,1,(x17),148889,19225858,Portion Boys,Vauhti kiihtyy
Alan Walker - Faded,1122,115.0,1,(x29),108007,19021500,Alan Walker,Faded
Poju - Esson baariin,1786,,12,,48265,18865951,Poju,Esson baariin
Pyhimys - Jättiläinen,1113,103.0,1,(x13),82889,18494799,Pyhimys,Jättiläinen
Ramses II - Villieläin,666,123.0,1,(x40),192404,17994978,Ramses II,Villieläin
SHRTY - Pariisin kevät,507,131.0,1,(x3),203163,17639480,SHRTY,Pariisin kevät
Tones And I - Dance Monkey,794,182.0,1,(x55),89455,17478358,Tones And I,Dance Monkey
Tom Odell - Another Love,1306,12.0,7,,31689,17277520,Tom Odell,Another Love
Haloo Helsinki! - Reiviluola,960,41.0,2,(x7),70979,17047620,Haloo Helsinki!,Reiviluola
BEHM - Viimeinen tanssi,517,127.0,2,(x7),117324,17036385,BEHM,Viimeinen tanssi
Olli Halonen - Pohjola,1008,122.0,1,(x9),63132,17024910,Olli Halonen,Pohjola
David Guetta - I'm Good (Blue),776,125.0,1,(x23),105536,16897422,David Guetta,I'm Good (Blue)
Gettomasa - Vastustamaton,658,125.0,1,(x46),149999,16544786,Gettomasa,Vastustamaton
Gettomasa - Meit ei oo,560,60.0,1,(x30),271393,15879225,Gettomasa,Meit ei oo
Ege Zulu - Tunnista tuntiin,266,95.0,1,(x13),189213,15619809,Ege Zulu,Tunnista tuntiin
Reino Nordin - Antaudun,825,89.0,1,(x16),80911,15564467,Reino Nordin,Antaudun
AHTI - Väärään aikaan,322,89.0,1,(x25),282079,15173352,AHTI,Väärään aikaan
JVG - Hehkuu,587,90.0,1,(x35),160798,14908776,JVG,Hehkuu
Pikku G - Solmussa,898,108.0,1,(x20),132066,14675179,Pikku G,Solmussa
VIIVI - Ihana kipu,719,69.0,1,(x12),289285,14615399,VIIVI,Ihana kipu
Petri Nygård - Nössö,1153,65.0,1,(x1),85730,14494813,Petri Nygård,Nössö
Lukas Leon - XTC,853,101.0,1,(x16),95791,14467719,Lukas Leon,XTC
Mirella - Luotathan,147,146.0,1,(x74),286808,14451169,Mirella,Luotathan
Isac Elliot - Makso Mitä Makso,774,49.0,1,(x7),123402,14133381,Isac Elliot,Makso Mitä Makso
Evelina - Honey,900,93.0,1,(x13),96887,14065351,Evelina,Honey
Juice WRLD - Lucid Dreams,1049,57.0,1,(x1),54372,14006662,Juice WRLD,Lucid Dreams
Rammstein - Deutschland,1442,13.0,6,,49146,13894665,Rammstein,Deutschland
Gettomasa - Jälkeekään,462,96.0,1,(x25),228033,13857484,Gettomasa,Jälkeekään
KUUMAA - Oo vielä sekunnin mun,1037,,17,,42097,13376627,KUUMAA,Oo vielä sekunnin mun
Luis Fonsi - Despacito - Remix,422,119.0,1,(x69),127727,13324723,Luis Fonsi,Despacito - Remix
Cledos - Samma gamla vanliga - Remix,679,165.0,1,(x72),118050,13263081,Cledos,Samma gamla vanliga - Remix
Arttu Wiskari - Tässäkö tää oli?,676,153.0,1,(x2),96059,13230719,Arttu Wiskari,Tässäkö tää oli?
Lewis Capaldi - Someone You Loved,1007,5.0,9,,34582,13206676,Lewis Capaldi,Someone You Loved
Billie Eilish - bad guy,606,102.0,1,(x10),84351,13132407,Billie Eilish,bad guy
MKDMSK - Surullinen Klovni,782,56.0,1,(x4),97816,13017719,MKDMSK,Surullinen Klovni
KUUMAA - Satama,328,37.0,3,(x1),89835,12817361,KUUMAA,Satama
JVG - Popkorni,655,85.0,1,(x24),124562,12805286,JVG,Popkorni
Portion Boys - Kyläbaari,939,1.0,8,,51963,12723293,Portion Boys,Kyläbaari
ibe - FAMOUS,580,29.0,1,(x3),71900,12636564,ibe,FAMOUS
Elastinen - Epäröimättä hetkeekään,678,99.0,1,(x25),126893,12526085,Elastinen,Epäröimättä hetkeekään
Blind Channel - Dark Side,510,150.0,1,(x11),189445,12435718,Blind Channel,Dark Side
Shawn Mendes - Señorita,479,119.0,1,(x47),111346,12390233,Shawn Mendes,Señorita
Teflon Brothers - Hubba Bubba,700,64.0,2,(x10),121331,12273733,Teflon Brothers,Hubba Bubba
Arttu Wiskari - Suomen muotoisen pilven alla,875,22.0,3,(x1),46361,12249762,Arttu Wiskari,Suomen muotoisen pilven alla
The Weeknd - Starboy,715,106.0,3,(x6),76009,12093508,The Weeknd,Starboy
Imagine Dragons - Believer,1258,,18,,41735,12074002,Imagine Dragons,Believer
Portion Boys - Karjala Takas,844,61.0,2,(x2),88608,12031145,Portion Boys,Karjala Takas
Petri Nygård - Pannaan Suomi Kuntoon,744,51.0,1,(x17),203849,12018570,Petri Nygård,Pannaan Suomi Kuntoon
Clean Bandit - Rockabye,499,106.0,1,(x16),96566,12014453,Clean Bandit,Rockabye
Bee - Viimeisiä sanoja,619,6.0,9,,47158,11952098,Bee,Viimeisiä sanoja
Ava Max - Sweet but Psycho,706,115.0,1,(x34),69389,11893005,Ava Max,Sweet but Psycho
Lady Gaga - Shallow,947,33.0,3,(x3),50923,11867563,Lady Gaga,Shallow
Mirella - Uuteen eiliseen,224,62.0,1,(x12),220275,11863947,Mirella,Uuteen eiliseen
Mariah Carey - All I Want for Christmas Is You,438,137.0,1,(x9),161509,11817593,Mariah Carey,All I Want for Christmas Is You
