Artist and Title,Days,T10,Pk,(x?),PkStreams,Total,Artist,Song
J Balvin - LA CANCIÓN,1943,271.0,1,(x19),43957,43757570,J Balvin,LA CANCIÓN
Manuel Turizo - La Bachata,881,250.0,1,(x112),79471,37287500,Manuel Turizo,La Bachata
Bad Bunny - Me Porto Bonito,900,256.0,1,(x52),168666,35440049,Bad Bunny,Me Porto Bonito
Bad Bunny - Ojitos Lindos,900,249.0,1,(x17),166291,32449054,Bad Bunny,Ojitos Lindos
Bad Bunny - Efecto,897,241.0,1,(x19),114696,31973083,Bad Bunny,Efecto
Grupo Frontera - un x100to,556,202.0,1,(x48),350044,31015617,Grupo Frontera,un x100to
Plan B - Es un Secreto,1198,123.0,3,(x2),61257,30675082,Plan B,Es un Secreto
Danny Ocean - Me Rehúso,2889,346.0,1,(x14),27251,29389863,Danny Ocean,Me Rehúso
Carin Leon - Que Vuelvas,682,145.0,1,(x12),77517,28666197,Carin Leon,Que Vuelvas
Feid - Feliz Cumpleaños Ferxxo,797,143.0,6,,71822,26677239,Feid,Feliz Cumpleaños Ferxxo
Jay Wheeler - La Curiosidad,1571,187.0,2,(x68),38642,26587260,Jay Wheeler,La Curiosidad
Christian Nodal - Ya No Somos Ni Seremos,977,88.0,1,(x15),69177,25932330,Christian Nodal,Ya No Somos Ni Seremos
Xavi - La Diabla,326,202.0,1,(x112),192694,25605136,Xavi,La Diabla
Bad Bunny - Si Estuviésemos Juntos,2128,1.0,10,,29570,24920606,Bad Bunny,Si Estuviésemos Juntos
Calle 24 - Que Onda,420,264.0,1,(x1),91418,24757359,Calle 24,Que Onda
Bad Bunny - Yonaguni,863,311.0,1,(x116),134100,24566695,Bad Bunny,Yonaguni
Maluma - Según Quién,433,209.0,1,(x61),102122,24186675,Maluma,Según Quién
Carin Leon - Primera Cita,538,167.0,1,(x11),86760,23957882,Carin Leon,Primera Cita
Bad Bunny - DÁKITI,991,395.0,1,(x118),150717,23485054,Bad Bunny,DÁKITI
Grupo Frontera - EL AMOR DE SU VIDA,448,236.0,2,(x5),94359,23426834,Grupo Frontera,EL AMOR DE SU VIDA
Eslabon Armado - Ella Baila Sola,404,139.0,1,(x55),233613,23365484,Eslabon Armado,Ella Baila Sola
Bad Bunny - Moscow Mule,839,182.0,1,(x1),209197,23228357,Bad Bunny,Moscow Mule
Yng Lvcas - La Bebe - Remix,586,153.0,2,(x3),135152,23225065,Yng Lvcas,La Bebe - Remix
"Bizarrap - Quevedo: Bzrp Music Sessions, Vol. 52",621,178.0,1,(x48),150583,23170461,Bizarrap,"Quevedo: Bzrp Music Sessions, Vol. 52"
KAROL G - QLONA,440,195.0,1,(x13),84723,23097957,KAROL G,QLONA
Tainy - Lo Siento BB:/,909,215.0,1,(x138),72506,22861149,Tainy,Lo Siento BB:/
KAROL G - PROVENZA,912,162.0,1,(x5),65900,22793826,KAROL G,PROVENZA
Bad Bunny - Callaita,1586,213.0,1,(x20),88726,22103765,Bad Bunny,Callaita
Bad Bunny - La Santa,1644,20.0,4,,67484,21816104,Bad Bunny,La Santa
Junior H - El Azul,620,124.0,3,(x1),96188,21569134,Junior H,El Azul
Ozuna - Hey Mor,680,150.0,3,(x1),74159,21413671,Ozuna,Hey Mor
Feid - LUNA,328,279.0,2,(x7),89556,21142282,Feid,LUNA
Bad Bunny - Tití Me Preguntó,529,235.0,2,(x11),140246,20565221,Bad Bunny,Tití Me Preguntó
Rauw Alejandro - Desesperados,913,112.0,2,(x5),41353,20490640,Rauw Alejandro,Desesperados
Xavi - La Víctima,389,143.0,2,(x98),146624,20417912,Xavi,La Víctima
Rauw Alejandro - Todo De Ti,991,224.0,1,(x9),111959,20230615,Rauw Alejandro,Todo De Ti
Feid - Classy 101,573,37.0,7,,79301,20102758,Feid,Classy 101
