Artist and Title,Days,T10,Pk,(x?),PkStreams,Total,Artist,Song
"Keung To - Dear My Friend,",1173,978.0,1,(x50),49941,35673812,Keung To,"Dear My Friend,"
MC 張天賦 - 記憶棉,1098,357.0,1,(x109),75339,21898935,MC 張天賦,記憶棉
Keung To - 作品的說話,906,416.0,1,(x74),50074,21267761,Keung To,作品的說話
MC 張天賦 - 反對無效,1238,341.0,2,(x77),60417,18643615,MC 張天賦,反對無效
Keung To - 風雨不改 (電影《阿媽有咗第二個》主題曲),525,459.0,1,(x127),58034,18563173,Keung To,風雨不改 (電影《阿媽有咗第二個》主題曲)
Keung To - Dummy,514,505.0,1,(x46),74624,18240427,Keung To,Dummy
Keung To - 鏡中鏡,840,415.0,2,(x7),46890,17450947,Keung To,鏡中鏡
陳卓賢 Ian - 留一天與你喘息,982,214.0,1,(x26),64446,17119052,陳卓賢 Ian,留一天與你喘息
MC 張天賦 - 老派約會之必要,828,236.0,1,(x30),131096,17086368,MC 張天賦,老派約會之必要
Jason Chan - 你瞞我瞞,3339,,13,,27246,16582264,Jason Chan,你瞞我瞞
Kay Tse - 囍帖街,3341,,15,,10266,16001845,Kay Tse,囍帖街
Keung To - 濤,450,441.0,1,(x98),61597,15855929,Keung To,濤
Terence Lam - 一人之境 in C major,1469,292.0,1,(x86),47482,15579765,Terence Lam,一人之境 in C major
Hins Cheung - 春秋,2732,,16,,12467,15040566,Hins Cheung,春秋
The Chainsmokers - Something Just Like This,2405,184.0,1,(x38),31286,13891012,The Chainsmokers,Something Just Like This
Dear Jane - 銀河修理員,1543,295.0,1,(x50),33229,13497782,Dear Jane,銀河修理員
Keung To - 岩巉,332,332.0,1,(x65),59259,13417289,Keung To,岩巉
Hins Cheung - 櫻花樹下,2416,,21,,12855,13392558,Hins Cheung,櫻花樹下
Anson Lo 盧瀚霆 - MONEY,610,192.0,1,(x13),55735,13335825,Anson Lo 盧瀚霆,MONEY
MC 張天賦 - 時候不早,1045,96.0,2,(x9),51272,13266012,MC 張天賦,時候不早
The Kid LAROI - Stay,1202,171.0,1,(x22),31936,13197875,The Kid LAROI,Stay
Edan 呂爵安 - E先生 連環不幸事件,1086,355.0,1,(x40),37851,13181539,Edan 呂爵安,E先生 連環不幸事件
陳卓賢 Ian - 鯨落,1407,23.0,6,,17579,13101029,陳卓賢 Ian,鯨落
Dear Jane - 哪裡只得我共你,2797,24.0,6,,10053,12863047,Dear Jane,哪裡只得我共你
Jay Chou - 告白氣球,2639,,11,,9459,12265271,Jay Chou,告白氣球
Anson Lo 盧瀚霆 - 永順街39號,703,226.0,1,(x37),54194,12195565,Anson Lo 盧瀚霆,永順街39號
Justin Lo - 命硬,3114,,30,,6913,12195383,Justin Lo,命硬
Keung To - Master Class,1093,170.0,3,(x1),37920,11883320,Keung To,Master Class
Shawn Mendes - Señorita,1370,335.0,1,(x147),50122,11843872,Shawn Mendes,Señorita
Jung Kook - Seven,468,171.0,1,(x32),98422,11841929,Jung Kook,Seven
Ed Sheeran - Shape of You,1832,291.0,1,(x96),33642,11739432,Ed Sheeran,Shape of You
Lewis Capaldi - Someone You Loved,1993,41.0,8,,12482,11691880,Lewis Capaldi,Someone You Loved
Hins Cheung - 俏郎君,1245,111.0,5,,20604,11645983,Hins Cheung,俏郎君
Terence Siufay - 時光機,3040,,42,,8089,11499691,Terence Siufay,時光機
Dear Jane - 到底發生過什麼事,732,133.0,1,(x17),68638,11270013,Dear Jane,到底發生過什麼事
