Artist and Title,Days,T10,Pk,(x?),PkStreams,Total,Artist,Song
J Balvin - LA CANCIÓN,1944,354.0,1,(x71),28401,17182636,J Balvin,LA CANCIÓN
Bad Bunny - Me Porto Bonito,902,276.0,1,(x41),79022,13371016,Bad Bunny,Me Porto Bonito
Bad Bunny - Efecto,902,283.0,1,(x101),52505,12504373,Bad Bunny,Efecto
Bad Bunny - Ojitos Lindos,902,251.0,1,(x25),70419,11688489,Bad Bunny,Ojitos Lindos
Plan B - Es un Secreto,1252,301.0,2,(x1),22140,11379982,Plan B,Es un Secreto
Manuel Turizo - La Bachata,873,227.0,1,(x8),24816,10892236,Manuel Turizo,La Bachata
Bad Bunny - Moscow Mule,902,247.0,1,(x2),90664,10478285,Bad Bunny,Moscow Mule
Bad Bunny - DÁKITI,1241,471.0,1,(x117),68521,10351269,Bad Bunny,DÁKITI
Danny Ocean - Me Rehúso,2855,326.0,1,(x40),10553,10191688,Danny Ocean,Me Rehúso
Bad Bunny - La Santa,1698,172.0,3,(x5),44028,10189693,Bad Bunny,La Santa
Bad Bunny - Yonaguni,900,335.0,1,(x122),66181,9975728,Bad Bunny,Yonaguni
Feid - Feliz Cumpleaños Ferxxo,797,203.0,2,(x1),32929,9814463,Feid,Feliz Cumpleaños Ferxxo
Bad Bunny - Callaita,1755,221.0,1,(x28),39542,9801199,Bad Bunny,Callaita
Bad Bunny - Si Estuviésemos Juntos,2130,18.0,8,,11708,9603038,Bad Bunny,Si Estuviésemos Juntos
Jay Wheeler - La Curiosidad,1593,180.0,2,(x61),14890,9358394,Jay Wheeler,La Curiosidad
Grupo Frontera - un x100to,556,185.0,1,(x48),91553,9214846,Grupo Frontera,un x100to
Bad Bunny - Tití Me Preguntó,693,236.0,1,(x13),70655,9089933,Bad Bunny,Tití Me Preguntó
Tainy - Lo Siento BB:/,1036,212.0,1,(x167),26416,9072745,Tainy,Lo Siento BB:/
Bad Bunny - Neverita,797,144.0,3,(x1),55137,7949664,Bad Bunny,Neverita
JHAYCO - CÓMO SE SIENTE - Remix,1482,110.0,3,(x14),19213,7840983,JHAYCO,CÓMO SE SIENTE - Remix
Feid - Normal,839,34.0,6,,25580,7836206,Feid,Normal
Don Omar - Dile,1626,,12,,13109,7777541,Don Omar,Dile
Ozuna - Hey Mor,737,149.0,2,(x1),31769,7746866,Ozuna,Hey Mor
Tego Calderón - Pa' Que Retozen,1469,,13,,13983,7667521,Tego Calderón,Pa' Que Retozen
Bad Bunny - PERRO NEGRO,377,266.0,1,(x55),71772,7458258,Bad Bunny,PERRO NEGRO
Feid - Classy 101,573,168.0,4,,28796,7408514,Feid,Classy 101
Carin Leon - Que Vuelvas,676,53.0,6,,20034,7368344,Carin Leon,Que Vuelvas
Bad Bunny - Vete,1354,160.0,1,(x15),31351,7354739,Bad Bunny,Vete
Bad Bunny - TE MUDASTE,1237,152.0,2,(x1),59058,7262904,Bad Bunny,TE MUDASTE
Feid - LUNA,328,309.0,1,(x43),31041,7221282,Feid,LUNA
KAROL G - PROVENZA,907,97.0,1,(x4),23953,7191513,KAROL G,PROVENZA
JHAYCO - No Me Conoce - Remix,1299,237.0,3,(x19),12466,7181415,JHAYCO,No Me Conoce - Remix
Bad Bunny - Un Coco,901,5.0,9,,47409,7062408,Bad Bunny,Un Coco
"Bizarrap - Quevedo: Bzrp Music Sessions, Vol. 52",600,142.0,1,(x20),41836,6979322,Bizarrap,"Quevedo: Bzrp Music Sessions, Vol. 52"
Rauw Alejandro - Desesperados,956,112.0,3,(x26),13687,6907355,Rauw Alejandro,Desesperados
Myke Towers - LALA,488,153.0,1,(x54),43794,6857421,Myke Towers,LALA
Carin Leon - Primera Cita,530,156.0,2,(x27),23386,6832736,Carin Leon,Primera Cita
Maluma - Según Quién,427,220.0,2,(x30),27583,6662847,Maluma,Según Quién
Bad Bunny - Una Vez,1623,,11,,22535,6633272,Bad Bunny,Una Vez
Yng Lvcas - La Bebe - Remix,581,139.0,2,(x2),38574,6547280,Yng Lvcas,La Bebe - Remix
Christian Nodal - Ya No Somos Ni Seremos,967,33.0,1,(x1),17362,6420268,Christian Nodal,Ya No Somos Ni Seremos
Rauw Alejandro - Todo De Ti,967,216.0,1,(x9),35764,6404865,Rauw Alejandro,Todo De Ti
Bad Bunny - A Tu Merced,1270,102.0,5,,25006,6382790,Bad Bunny,A Tu Merced
Calle 24 - Que Onda,419,208.0,2,(x3),25729,6373108,Calle 24,Que Onda
Xavi - La Diabla,321,170.0,1,(x103),48775,6334584,Xavi,La Diabla
Grupo Frontera - EL AMOR DE SU VIDA,448,183.0,2,(x3),29355,6330342,Grupo Frontera,EL AMOR DE SU VIDA
Bad Bunny - Diles,1332,,14,,9261,6255003,Bad Bunny,Diles
Anuel AA - Sola (Remix),2231,206.0,4,,7164,6242033,Anuel AA,Sola (Remix)
Los Enanitos Verdes - Lamento Boliviano,2150,,50,,6583,6078672,Los Enanitos Verdes,Lamento Boliviano
Eslabon Armado - Ella Baila Sola,394,121.0,1,(x33),66299,6061710,Eslabon Armado,Ella Baila Sola
Mora - LA INOCENTE,928,,14,,15555,6053391,Mora,LA INOCENTE
Bad Bunny - Si Veo a Tu Mamá,1209,92.0,1,(x10),49844,6032879,Bad Bunny,Si Veo a Tu Mamá
Anuel AA - Amanece,1197,114.0,5,,9187,6030600,Anuel AA,Amanece
Yandel - Yandel 150,477,165.0,1,(x21),38292,5977263,Yandel,Yandel 150
Bad Bunny - Tarot,706,162.0,7,,64969,5862965,Bad Bunny,Tarot
Jimin - Like Crazy,482,78.0,1,(x11),41092,5855458,Jimin,Like Crazy
J Balvin - UN PESO,1840,7.0,6,,12607,5831320,J Balvin,UN PESO
Harry Styles - As It Was,848,35.0,1,(x1),19079,5828333,Harry Styles,As It Was
Arcángel - La Jumpa,477,133.0,1,(x50),37424,5790756,Arcángel,La Jumpa
KAROL G - QLONA,440,161.0,3,(x6),20722,5775215,KAROL G,QLONA
Tony Dize - Solos,693,15.0,8,,15978,5533243,Tony Dize,Solos
Bad Bunny - LA NOCHE DE ANOCHE,788,184.0,2,(x75),57263,5526310,Bad Bunny,LA NOCHE DE ANOCHE
KAROL G - AMARGURA,549,,12,,13608,5459825,KAROL G,AMARGURA
Mora - Volando - Remix,778,269.0,2,(x1),25068,5432682,Mora,Volando - Remix
