Artist and Title,Days,T10,Pk,(x?),PkStreams,Total,Artist,Song
Anggi Marito - Tak Segampang Itu,658,403.0,1,(x98),1587709,439558676,Anggi Marito,Tak Segampang Itu
Feby Putri - Runtuh,1110,538.0,1,(x4),759450,436188506,Feby Putri,Runtuh
Nadin Amizah - Bertaut,1609,169.0,1,(x40),622183,367693166,Nadin Amizah,Bertaut
Raim Laode - Komang,620,248.0,1,(x64),1780047,356385242,Raim Laode,Komang
Last Child - Duka,1201,17.0,9,,693374,354106108,Last Child,Duka
Tulus - Monokrom,2871,,12,,491203,351716595,Tulus,Monokrom
Virgoun - Selamat (Selamat Tinggal),1918,4.0,6,,633461,343991101,Virgoun,Selamat (Selamat Tinggal)
Juicy Luicy - Lantas,1360,78.0,2,(x1),819431,329620779,Juicy Luicy,Lantas
Lyodra - Pesan Terakhir,1192,317.0,3,(x14),697261,323539412,Lyodra,Pesan Terakhir
Mahalini - Sial,635,241.0,1,(x19),1499583,320738013,Mahalini,Sial
Tulus - Hati-Hati di Jalan,966,260.0,1,(x89),1461480,320182872,Tulus,Hati-Hati di Jalan
Hindia - Rumah Ke Rumah,1790,,11,,695725,311069600,Hindia,Rumah Ke Rumah
Pamungkas - To the Bone,1767,238.0,1,(x80),750272,309433835,Pamungkas,To the Bone
For Revenge - Serana,893,24.0,5,,945319,300018591,For Revenge,Serana
Andra & The Backbone - Sempurna,2642,,13,,419641,288188487,Andra & The Backbone,Sempurna
Mahalini - Sisa Rasa,1095,314.0,3,(x17),459814,280853542,Mahalini,Sisa Rasa
Hindia - Evaluasi,1066,115.0,1,(x40),509739,276612410,Hindia,Evaluasi
Nadhif Basalamah - penjaga hati,386,258.0,1,(x151),1469908,276489346,Nadhif Basalamah,penjaga hati
raissa anggiani - Kau Rumahku,801,217.0,1,(x12),625011,269234201,raissa anggiani,Kau Rumahku
Ruth B. - Dandelions,1384,,13,,327036,264440241,Ruth B.,Dandelions
Tulus - Interaksi,966,10.0,9,,517913,263515156,Tulus,Interaksi
Keisya Levronka - Tak Ingin Usai,889,167.0,1,(x66),751480,261953688,Keisya Levronka,Tak Ingin Usai
Hindia - Secukupnya,1861,120.0,1,(x26),385169,261063418,Hindia,Secukupnya
One Direction - Night Changes,1396,,17,,651882,258142689,One Direction,Night Changes
Awdella - Tertawan Hati,759,214.0,2,(x3),620206,258019813,Awdella,Tertawan Hati
Ghea Indrawari - Jiwa Yang Bersedih,496,178.0,1,(x67),1356440,246265560,Ghea Indrawari,Jiwa Yang Bersedih
Vierra - Seandainya,1335,,18,,541881,245953308,Vierra,Seandainya
Hal - L,923,7.0,7,,482554,238965550,Hal,L
Dhruv - double take,1279,115.0,2,(x3),346755,238280692,Dhruv,double take
d4vd - Here With Me,746,195.0,2,(x8),608303,237404177,d4vd,Here With Me
The Walters - I Love You So,1111,130.0,3,(x19),354868,236589672,The Walters,I Love You So
Fabio Asher - Rumah Singgah,895,131.0,2,(x2),413070,235568118,Fabio Asher,Rumah Singgah
Tiara Andini - Usai,699,16.0,7,,579910,233484430,Tiara Andini,Usai
SZA - Kill Bill,682,145.0,1,(x49),691112,232403002,SZA,Kill Bill
Olivia Rodrigo - happier,1251,109.0,1,(x26),489522,231102299,Olivia Rodrigo,happier
Pendarra - Kukira Kau Rumah,1563,25.0,2,(x3),302215,227911870,Pendarra,Kukira Kau Rumah
Aziz Hedra - Somebody's Pleasure,570,201.0,5,,743650,226062861,Aziz Hedra,Somebody's Pleasure
Arctic Monkeys - I Wanna Be Yours,837,,14,,454836,218617252,Arctic Monkeys,I Wanna Be Yours
New West - Those Eyes,755,69.0,6,,547998,215848717,New West,Those Eyes
Budi Doremi - Tak Kan Hilang,719,68.0,1,(x5),511930,212118574,Budi Doremi,Tak Kan Hilang
Miley Cyrus - Angels Like You,557,149.0,3,(x10),850672,210403503,Miley Cyrus,Angels Like You
Payung Teduh - Untuk Perempuan Yang Sedang Di Pelukan,3127,,21,,270310,209357717,Payung Teduh,Untuk Perempuan Yang Sedang Di Pelukan
Tulus - Langit Abu-Abu,1890,,27,,303519,209155209,Tulus,Langit Abu-Abu
Juicy Luicy - Tampar,891,6.0,7,,685659,208777146,Juicy Luicy,Tampar
Tiara Andini - Merasa Indah,1030,120.0,1,(x24),350781,206002235,Tiara Andini,Merasa Indah
Suara Kayu - Kembali Pulang,622,9.0,8,,595146,205634353,Suara Kayu,Kembali Pulang
Batas Senja - Nanti Kita Seperti Ini,538,142.0,3,(x25),821350,205419522,Batas Senja,Nanti Kita Seperti Ini
James Arthur - Car's Outside,644,17.0,8,,542854,199126207,James Arthur,Car's Outside
Mahalini - Melawan Restu,1123,41.0,8,,235704,194187655,Mahalini,Melawan Restu
Justin Bieber - Ghost,1066,132.0,1,(x4),384123,193930597,Justin Bieber,Ghost
Daun Jatuh - Resah Jadi Luka,1428,,12,,314180,193832910,Daun Jatuh,Resah Jadi Luka
Madison Beer - Reckless,1211,86.0,6,,382999,190959776,Madison Beer,Reckless
Tiara Andini - Janji Setia,940,,12,,440474,190295101,Tiara Andini,Janji Setia
Yura Yunita - Tutur Batin,1091,,15,,309024,189639070,Yura Yunita,Tutur Batin
James Arthur - Say You Won't Let Go,2679,153.0,1,(x4),261080,185500131,James Arthur,Say You Won't Let Go
Pamungkas - Monolog,1680,,17,,263615,181814401,Pamungkas,Monolog
One Direction - Right Now,707,,11,,460543,180778133,One Direction,Right Now
GANGGA - Blue Jeans,1052,144.0,2,(x22),324966,179162188,GANGGA,Blue Jeans
Misellia - Akhir Tak Bahagia,1005,7.0,8,,529052,178871827,Misellia,Akhir Tak Bahagia
James Arthur - Rewrite The Stars,764,67.0,7,,546869,177750774,James Arthur,Rewrite The Stars
Henry Moodie - drunk text,290,168.0,1,(x89),1135235,177474091,Henry Moodie,drunk text
Dewa 19 - Kangen,2531,,28,,323063,177298054,Dewa 19,Kangen
Lyodra - Tak Dianggap,432,119.0,1,(x3),770537,174220323,Lyodra,Tak Dianggap
Bernadya - Satu Bulan,205,102.0,1,(x64),2217000,171503571,Bernadya,Satu Bulan
Pamungkas - Kenangan Manis,1614,,12,,234292,170000890,Pamungkas,Kenangan Manis
Taylor Swift - Cruel Summer,555,21.0,5,,593739,169747396,Taylor Swift,Cruel Summer
Aruma - Muak,511,83.0,3,(x8),693808,169558882,Aruma,Muak
Soegi Bornean - Asmalibrasi,573,132.0,1,(x1),470515,168197724,Soegi Bornean,Asmalibrasi
Virgoun - Saat Kau Telah Mengerti,606,46.0,8,,571584,167160026,Virgoun,Saat Kau Telah Mengerti
The Weeknd - One Of The Girls,424,95.0,3,(x11),638865,166500346,The Weeknd,One Of The Girls
