Artist and Title,Days,T10,Pk,(x?),PkStreams,Total,Artist,Song
Lewis Capaldi - Someone You Loved,2161,277.0,1,(x42),103890,40130772,Lewis Capaldi,Someone You Loved
The Killers - Mr. Brightside,3444,,12,,25935,32548769,The Killers,Mr. Brightside
Noah Kahan - Stick Season,670,248.0,1,(x111),126113,28241180,Noah Kahan,Stick Season
The Weeknd - Blinding Lights,1452,195.0,1,(x60),99008,26154200,The Weeknd,Blinding Lights
Lady Gaga - Shallow,2007,136.0,1,(x24),77054,25617151,Lady Gaga,Shallow
Vance Joy - Riptide,3111,10.0,10,,31231,24858492,Vance Joy,Riptide
Harry Styles - As It Was,912,303.0,1,(x92),144824,24712278,Harry Styles,As It Was
Tones And I - Dance Monkey,915,193.0,1,(x101),141266,22678225,Tones And I,Dance Monkey
Tom Odell - Another Love,1387,38.0,6,,28071,21764882,Tom Odell,Another Love
Glass Animals - Heat Waves,1108,258.0,4,,58037,21705074,Glass Animals,Heat Waves
Dermot Kennedy - Outnumbered,1232,154.0,1,(x2),84836,21405491,Dermot Kennedy,Outnumbered
Hozier - Take Me To Church,2636,182.0,2,(x8),28318,20815560,Hozier,Take Me To Church
Fleetwood Mac - Dreams - 2004 Remaster,2034,4.0,9,,36449,20670586,Fleetwood Mac,Dreams - 2004 Remaster
Harry Styles - Watermelon Sugar,1448,118.0,2,(x6),61320,20356818,Harry Styles,Watermelon Sugar
James Arthur - Say You Won't Let Go,2264,122.0,1,(x37),43628,18955442,James Arthur,Say You Won't Let Go
Fleetwood Mac - Everywhere - 2017 Remaster,2309,,24,,20640,18913447,Fleetwood Mac,Everywhere - 2017 Remaster
Ed Sheeran - Bad Habits,713,203.0,1,(x36),138244,18708504,Ed Sheeran,Bad Habits
Mariah Carey - All I Want for Christmas Is You,521,264.0,1,(x67),257148,18704585,Mariah Carey,All I Want for Christmas Is You
Ed Sheeran - Shape of You,1269,131.0,1,(x56),137039,18569806,Ed Sheeran,Shape of You
Olivia Rodrigo - good 4 u,767,151.0,1,(x44),182242,18458222,Olivia Rodrigo,good 4 u
George Ezra - Shotgun,1342,131.0,1,(x20),74273,18365258,George Ezra,Shotgun
Lewis Capaldi - Before You Go,1289,127.0,1,(x32),112703,18301828,Lewis Capaldi,Before You Go
Dermot Kennedy - Giants,907,220.0,1,(x6),90604,18195929,Dermot Kennedy,Giants
Joel Corry - Head & Heart,798,177.0,1,(x32),110087,18190721,Joel Corry,Head & Heart
Drake - One Dance,1714,156.0,1,(x95),55497,18031083,Drake,One Dance
Dermot Kennedy - Power Over Me,1488,1.0,10,,44561,17983291,Dermot Kennedy,Power Over Me
Wham! - Last Christmas,518,228.0,1,(x41),281238,17702457,Wham!,Last Christmas
Post Malone - Sunflower - Spider-Man: Into the Spider-Verse,1304,96.0,2,(x1),46825,17278660,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse
Taylor Swift - Cruel Summer,648,177.0,3,(x3),75861,17081563,Taylor Swift,Cruel Summer
Lord Huron - The Night We Met,1678,,14,,25737,16986246,Lord Huron,The Night We Met
Olivia Rodrigo - drivers license,792,124.0,1,(x69),260997,16802871,Olivia Rodrigo,drivers license
Miley Cyrus - Flowers,619,181.0,1,(x62),158719,16559332,Miley Cyrus,Flowers
Billie Eilish - bad guy,828,113.0,1,(x12),93690,16386634,Billie Eilish,bad guy
Dua Lipa - Don't Start Now,960,180.0,1,(x3),77600,16320193,Dua Lipa,Don't Start Now
Coldplay - Viva La Vida,1217,13.0,3,(x1),70906,16082977,Coldplay,Viva La Vida
Elton John - Cold Heart - PNAU Remix,820,185.0,1,(x20),74691,16042357,Elton John,Cold Heart - PNAU Remix
cassö - Prada,440,180.0,1,(x29),68527,15899619,cassö,Prada
SAINt JHN - Roses - Imanbek Remix,670,156.0,1,(x41),92213,15521740,SAINt JHN,Roses - Imanbek Remix
Hozier - Too Sweet,215,183.0,1,(x32),153724,15394519,Hozier,Too Sweet
The Kid LAROI - Stay,644,161.0,1,(x47),89378,15380068,The Kid LAROI,Stay
Taylor Swift - Anti-Hero,656,203.0,1,(x37),134984,15302165,Taylor Swift,Anti-Hero
Coldplay - Yellow,1542,11.0,2,(x3),75469,15235973,Coldplay,Yellow
Lewis Capaldi - Bruises,1314,8.0,5,,58205,15199518,Lewis Capaldi,Bruises
Ed Sheeran - Shivers,740,210.0,1,(x20),72796,15083066,Ed Sheeran,Shivers
