Artist and Title,Days,T10,Pk,(x?),PkStreams,Total,Artist,Song
King - Maan Meri Jaan,743,275.0,1,(x123),2032986,456578140,King,Maan Meri Jaan
King - Tu Aake Dekhle,1363,407.0,3,(x15),886224,390263732,King,Tu Aake Dekhle
AP Dhillon - Excuses,1098,304.0,1,(x101),1309583,390224199,AP Dhillon,Excuses
"Tanishk Bagchi - Raataan Lambiyan (From ""Shershaah"")",1140,294.0,1,(x141),1235566,388196625,Tanishk Bagchi,"Raataan Lambiyan (From ""Shershaah"")"
"Alka Yagnik - Agar Tum Saath Ho (From ""Tamasha"")",1848,131.0,4,,730083,387166281,Alka Yagnik,"Agar Tum Saath Ho (From ""Tamasha"")"
Pritam - Kesariya,749,289.0,1,(x44),1213960,383319699,Pritam,Kesariya
"Arijit Singh - Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",1972,361.0,2,(x50),610103,358088838,Arijit Singh,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")"
Pritam - Shayad,1711,404.0,1,(x93),404167,347468058,Pritam,Shayad
"Jasleen Royal - Ranjha (From ""Shershaah"")",1057,246.0,1,(x6),1084063,332952366,Jasleen Royal,"Ranjha (From ""Shershaah"")"
Shubh - No Love,904,273.0,2,(x26),672887,327108548,Shubh,No Love
"Vishal Mishra - Kaise Hua (From ""Kabir Singh"")",1959,34.0,4,,429565,325521174,Vishal Mishra,"Kaise Hua (From ""Kabir Singh"")"
Aditya A - Chaand Baaliyan,982,236.0,2,(x14),668270,321715769,Aditya A,Chaand Baaliyan
Anirudh Ravichander - Chaleya,414,251.0,1,(x43),2295124,307360433,Anirudh Ravichander,Chaleya
Jasleen Royal - Heeriye,456,182.0,1,(x27),2241774,307022310,Jasleen Royal,Heeriye
Shubh - Cheques,515,172.0,1,(x27),1410911,280719775,Shubh,Cheques
Pritam - Tum Se Hi,1675,,12,,511744,276850667,Pritam,Tum Se Hi
Kaifi Khalil - Kahani Suno 2.0,673,142.0,1,(x38),1389518,275197453,Kaifi Khalil,Kahani Suno 2.0
Vishal Mishra - Pehle Bhi Main,329,215.0,1,(x124),2091461,263800397,Vishal Mishra,Pehle Bhi Main
Sachet Tandon - Malang Sajna,645,132.0,4,,744978,258546781,Sachet Tandon,Malang Sajna
Shae Gill - Pasoori,657,218.0,1,(x77),1000170,256055479,Shae Gill,Pasoori
