Artist and Title,Days,T10,Pk,(x?),PkStreams,Total,Artist,Song
Jimin - Like Crazy,579,487.0,1,(x268),143652,41840241,Jimin,Like Crazy
Jung Kook - Seven,468,468.0,1,(x114),213083,38066533,Jung Kook,Seven
Jimin - Like Crazy (English Version),488,480.0,1,(x1),101232,25850375,Jimin,Like Crazy (English Version)
Jimin - Who,97,97.0,1,(x97),360327,25629992,Jimin,Who
Jimin - Set Me Free Pt.2,499,484.0,1,(x1),79551,21634757,Jimin,Set Me Free Pt.2
Jung Kook - 3D,391,347.0,2,(x31),115429,16825749,Jung Kook,3D
NewJeans - Hype Boy,815,256.0,1,(x26),53074,15444847,NewJeans,Hype Boy
NewJeans - Ditto,675,140.0,1,(x25),179043,14115442,NewJeans,Ditto
Jung Kook - Standing Next to You,355,300.0,3,(x2),82938,13387048,Jung Kook,Standing Next to You
Lim Young Woong - London Boy,708,88.0,5,,67850,12991261,Lim Young Woong,London Boy
NewJeans - OMG,661,136.0,1,(x69),124189,12658698,NewJeans,OMG
Jimin - Closer Than This,307,270.0,2,(x6),90142,12541986,Jimin,Closer Than This
Kodak Black - Angel Pt. 1,374,101.0,1,(x34),156402,12471001,Kodak Black,Angel Pt. 1
Lim Young Woong - If We Ever Meet Again,906,70.0,3,(x3),38499,12207327,Lim Young Woong,If We Ever Meet Again
Charlie Puth - Left and Right (Feat. Jung Kook of BTS),838,263.0,1,(x23),49493,12156629,Charlie Puth,Left and Right (Feat. Jung Kook of BTS)
NewJeans - Attention,815,228.0,1,(x18),62164,12132698,NewJeans,Attention
Lim Young Woong - Polaroid,708,22.0,10,,44825,11334593,Lim Young Woong,Polaroid
Lim Young Woong - Grain of Sand,507,107.0,7,,55466,11233864,Lim Young Woong,Grain of Sand
NewJeans - Super Shy,475,90.0,1,(x2),117350,10102343,NewJeans,Super Shy
Lim Young Woong - Rainbow,891,6.0,7,,30065,9673037,Lim Young Woong,Rainbow
Lim Young Woong - Do or Die,381,121.0,6,,58745,9560868,Lim Young Woong,Do or Die
V - Love Me Again,440,84.0,3,(x16),44340,9412051,V,Love Me Again
"Lim Young Woong - Our Blues, Our Life",905,4.0,10,,28481,9250919,Lim Young Woong,"Our Blues, Our Life"
The Kid LAROI - Stay,1203,273.0,1,(x44),22722,9219423,The Kid LAROI,Stay
Jimin - Alone,486,45.0,5,,40400,8789937,Jimin,Alone
