Artist and Title,Days,T10,Pk,(x?),PkStreams,Total,Artist,Song
Miley Cyrus - Flowers,600,229.0,1,(x103),10542,1493933,Miley Cyrus,Flowers
David Guetta - I'm Good (Blue),765,270.0,1,(x13),7366,1479179,David Guetta,I'm Good (Blue)
Harry Styles - As It Was,744,203.0,1,(x49),5583,1362735,Harry Styles,As It Was
Tom Odell - Another Love,840,76.0,3,(x1),2543,1318587,Tom Odell,Another Love
Benson Boone - Beautiful Things,279,262.0,1,(x46),6871,1124990,Benson Boone,Beautiful Things
iñigo quintero - Si No Estás,368,197.0,1,(x70),7455,1096470,iñigo quintero,Si No Estás
Jungeli - Petit génie,410,192.0,2,(x1),3861,968031,Jungeli,Petit génie
Teddy Swims - Lose Control,344,153.0,1,(x4),5022,963902,Teddy Swims,Lose Control
OneRepublic - I Ain't Worried,601,143.0,3,(x3),3037,958994,OneRepublic,I Ain't Worried
Tate McRae - greedy,359,208.0,1,(x4),4807,955385,Tate McRae,greedy
David Kushner - Daylight,428,195.0,1,(x4),4210,863001,David Kushner,Daylight
Soolking - Casanova,421,140.0,3,(x3),3614,823726,Soolking,Casanova
FloyyMenor - Gata Only,201,149.0,1,(x44),7116,815930,FloyyMenor,Gata Only
Rema - Calm Down,426,60.0,5,,2913,710107,Rema,Calm Down
Gazo - DIE,361,144.0,1,(x22),4315,698697,Gazo,DIE
BENNETT - Vois sur ton chemin - Techno Mix,384,51.0,5,,3055,695648,BENNETT,Vois sur ton chemin - Techno Mix
Rema - Calm Down,418,113.0,2,(x1),3021,681391,Rema,Calm Down
Sam Smith - Unholy,266,161.0,1,(x34),5957,679043,Sam Smith,Unholy
Artemas - i like the way you kiss me,218,108.0,1,(x7),6331,675836,Artemas,i like the way you kiss me
Metro Boomin - Creepin',325,174.0,1,(x1),3746,667468,Metro Boomin,Creepin'
Udo Lindenberg - Komet,413,110.0,2,(x1),2752,664084,Udo Lindenberg,Komet
Lost Frequencies - Where Are You Now,482,18.0,6,,3132,645973,Lost Frequencies,Where Are You Now
Taylor Swift - Cruel Summer,419,,12,,2499,634392,Taylor Swift,Cruel Summer
Sabrina Carpenter - Espresso,192,155.0,2,(x6),5062,630114,Sabrina Carpenter,Espresso
Mariah Carey - All I Want for Christmas Is You,148,112.0,1,(x66),21375,609823,Mariah Carey,All I Want for Christmas Is You
Elton John - Cold Heart - PNAU Remix,447,59.0,2,(x1),4813,608088,Elton John,Cold Heart - PNAU Remix
cassö - Prada,360,16.0,7,,3003,603890,cassö,Prada
Loreen - Tattoo,323,139.0,1,(x4),4739,600343,Loreen,Tattoo
Ofenbach - Overdrive,344,17.0,8,,2898,600083,Ofenbach,Overdrive
Favé - FLASHBACK,366,33.0,6,,3699,583621,Favé,FLASHBACK
Dave - Sprinter,254,118.0,1,(x61),5706,579648,Dave,Sprinter
Macklemore & Ryan Lewis - Can't Hold Us,487,,14,,1908,571760,Macklemore & Ryan Lewis,Can't Hold Us
Glass Animals - Heat Waves,366,110.0,1,(x2),4081,571290,Glass Animals,Heat Waves
Kenya Grace - Strangers,235,116.0,1,(x2),4218,571164,Kenya Grace,Strangers
