Artist and Title,Days,T10,Pk,(x?),PkStreams,Total,Artist,Song
The Neighbourhood - Sweater Weather,1562,286.0,3,(x2),4800,4107976,The Neighbourhood,Sweater Weather
The Weeknd - Blinding Lights,1702,338.0,1,(x11),6420,3624774,The Weeknd,Blinding Lights
MiyaGi & Endspiel - I Got Love,2438,,11,,2138,3481103,MiyaGi & Endspiel,I Got Love
Glass Animals - Heat Waves,1230,442.0,1,(x97),6054,3327427,Glass Animals,Heat Waves
J. Cole - No Role Modelz,1536,11.0,9,,3523,3166960,J. Cole,No Role Modelz
A$AP Rocky - Praise The Lord (Da Shine),1961,26.0,1,(x1),5437,2886488,A$AP Rocky,Praise The Lord (Da Shine)
Harry Styles - As It Was,889,303.0,1,(x69),13200,2868967,Harry Styles,As It Was
Tom Odell - Another Love,1323,127.0,3,(x2),3660,2741675,Tom Odell,Another Love
Lil Peep - Star Shopping,1691,,21,,2484,2676335,Lil Peep,Star Shopping
Vance Joy - Riptide,1529,1.0,10,,3819,2496323,Vance Joy,Riptide
The Neighbourhood - Daddy Issues,1437,,17,,2237,2255408,The Neighbourhood,Daddy Issues
Arctic Monkeys - Why'd You Only Call Me When You're High?,1301,,16,,2730,2172747,Arctic Monkeys,Why'd You Only Call Me When You're High?
David Guetta - I'm Good (Blue),779,232.0,1,(x10),10133,2146318,David Guetta,I'm Good (Blue)
The Neighbourhood - Softcore,1021,100.0,2,(x7),4256,2062702,The Neighbourhood,Softcore
The Weeknd - Starboy,1011,131.0,1,(x72),3728,2001417,The Weeknd,Starboy
Kendrick Lamar - Money Trees,1188,2.0,10,,3205,2001354,Kendrick Lamar,Money Trees
Lost Frequencies - Where Are You Now,993,127.0,4,,3415,1983103,Lost Frequencies,Where Are You Now
Eminem - Without Me,1131,,19,,3232,1981953,Eminem,Without Me
Artemas - i like the way you kiss me,219,193.0,1,(x44),23448,1978073,Artemas,i like the way you kiss me
Elton John - Cold Heart - PNAU Remix,938,225.0,1,(x1),5889,1970131,Elton John,Cold Heart - PNAU Remix
David Kushner - Daylight,531,233.0,1,(x68),11214,1924117,David Kushner,Daylight
