Artist and Title,Days,T10,Pk,(x?),PkStreams,Total,Artist,Song
CKay - love nwantiti,1524,555.0,1,(x124),26603,14963292,CKay,love nwantiti
Snor - Dawk Lya,903,474.0,2,(x27),32900,14671426,Snor,Dawk Lya
ElGrandeToto - Mghayer,1385,313.0,1,(x53),94873,12554142,ElGrandeToto,Mghayer
Draganov - 3DABI,462,300.0,1,(x80),85809,12214983,Draganov,3DABI
ElGrandeToto - BLUE LOVE,314,287.0,1,(x45),64985,10516416,ElGrandeToto,BLUE LOVE
Niro - Qui sait ?,622,263.0,1,(x49),36502,10443941,Niro,Qui sait ?
ElGrandeToto - DELLALI,351,170.0,1,(x33),116987,10093221,ElGrandeToto,DELLALI
Mons - Lovini,958,164.0,4,,18617,9729062,Mons,Lovini
Lartiste - Zarzour,490,139.0,1,(x43),107887,9594706,Lartiste,Zarzour
Stormy - POPO,267,165.0,1,(x77),101637,9221771,Stormy,POPO
ElGrandeToto - Haram (Pablo II),1222,236.0,1,(x33),40316,9102616,ElGrandeToto,Haram (Pablo II)
Mocci - Talet Lghiba,699,233.0,1,(x30),24748,9019589,Mocci,Talet Lghiba
Kouz1 - Magic,765,259.0,1,(x52),31205,8081947,Kouz1,Magic
Draganov - WILI,620,124.0,1,(x12),69581,8057163,Draganov,WILI
ElGrandeToto - Gueule tapée,812,195.0,1,(x66),65536,7920982,ElGrandeToto,Gueule tapée
ElGrandeToto - MAGHRIBI,336,129.0,1,(x6),109453,7845137,ElGrandeToto,MAGHRIBI
Anys - Si tu savais,1503,71.0,1,(x1),15262,7797965,Anys,Si tu savais
Dizzy DROS - M3a L3echrane,619,98.0,1,(x41),138599,7739791,Dizzy DROS,M3a L3echrane
Tagne - Nadi Canadi,944,292.0,1,(x54),25762,7548248,Tagne,Nadi Canadi
ElGrandeToto - Comforter,837,188.0,2,(x9),17428,7448105,ElGrandeToto,Comforter
Inkonnu - Zahri,1356,119.0,1,(x2),51308,7169339,Inkonnu,Zahri
Draganov - Lbaroud,762,247.0,1,(x28),68531,6735667,Draganov,Lbaroud
