Artist and Title,Days,T10,Pk,(x?),PkStreams,Total,Artist,Song
James Arthur - Say You Won't Let Go,2945,180.0,1,(x4),42036,46770359,James Arthur,Say You Won't Let Go
Lewis Capaldi - Someone You Loved,2128,342.0,1,(x1),60259,44849183,Lewis Capaldi,Someone You Loved
Dhruv - double take,1264,180.0,3,(x7),65802,43740660,Dhruv,double take
SZA - Kill Bill,685,354.0,1,(x81),171470,42453309,SZA,Kill Bill
Ruth B. - Dandelions,1331,211.0,5,,41939,40358691,Ruth B.,Dandelions
Justin Bieber - Ghost,1119,250.0,1,(x49),80611,38961354,Justin Bieber,Ghost
Conan Gray - Heather,1575,201.0,2,(x11),59870,38281741,Conan Gray,Heather
Fabio Asher - Rumah Singgah,894,254.0,2,(x2),68309,36732510,Fabio Asher,Rumah Singgah
Ed Sheeran - Perfect,2726,155.0,1,(x31),65808,36174942,Ed Sheeran,Perfect
The Kid LAROI - Stay,1177,286.0,1,(x48),110867,34713688,The Kid LAROI,Stay
Anggi Marito - Tak Segampang Itu,589,284.0,1,(x50),134386,34072795,Anggi Marito,Tak Segampang Itu
The Weeknd - Die For You,1172,26.0,6,,57156,33329635,The Weeknd,Die For You
Mahalini - Sial,633,234.0,1,(x17),113767,32935049,Mahalini,Sial
One Direction - Night Changes,1974,46.0,4,,86129,32873257,One Direction,Night Changes
Billie Eilish - lovely,2376,33.0,7,,31138,32011082,Billie Eilish,lovely
Joji - Glimpse of Us,818,209.0,1,(x69),357578,31573350,Joji,Glimpse of Us
Ed Sheeran - Photograph,3317,131.0,1,(x48),24949,31343990,Ed Sheeran,Photograph
Jung Kook - Seven,468,214.0,1,(x104),237292,31021118,Jung Kook,Seven
Arctic Monkeys - I Wanna Be Yours,836,40.0,8,,57360,29320142,Arctic Monkeys,I Wanna Be Yours
JVKE - golden hour,733,217.0,1,(x35),90874,29253182,JVKE,golden hour
Olivia Rodrigo - happier,1252,112.0,1,(x2),64477,29229069,Olivia Rodrigo,happier
Troye Sivan - Angel Baby,969,254.0,1,(x38),81442,29090796,Troye Sivan,Angel Baby
d4vd - Here With Me,750,179.0,2,(x11),87042,28690978,d4vd,Here With Me
Harry Styles - As It Was,861,161.0,1,(x24),82038,28621511,Harry Styles,As It Was
The Weeknd - One Of The Girls,489,307.0,1,(x9),111182,28047196,The Weeknd,One Of The Girls
Bruno Mars - Just the Way You Are,2922,,17,,46009,28040324,Bruno Mars,Just the Way You Are
Henry Moodie - drunk text,515,232.0,1,(x51),153215,27171669,Henry Moodie,drunk text
Lauv - I Like Me Better,2307,,15,,22884,27116168,Lauv,I Like Me Better
The Walters - I Love You So,1115,45.0,7,,42746,27053435,The Walters,I Love You So
Lewis Capaldi - Before You Go,1572,127.0,3,(x2),38036,26974279,Lewis Capaldi,Before You Go
Giveon - Heartbreak Anniversary,1285,120.0,1,(x24),70795,26958674,Giveon,Heartbreak Anniversary
Taylor Swift - Cruel Summer,689,217.0,5,,89979,26904492,Taylor Swift,Cruel Summer
Post Malone - Sunflower - Spider-Man: Into the Spider-Verse,1687,169.0,1,(x27),52831,26759945,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse
Nadhif Basalamah - penjaga hati,377,226.0,1,(x96),109628,26411898,Nadhif Basalamah,penjaga hati
Jamie Miller - Here's Your Perfect,1117,186.0,1,(x1),67418,26201990,Jamie Miller,Here's Your Perfect
Madison Beer - Reckless,1104,183.0,1,(x13),77006,26143491,Madison Beer,Reckless
Olivia Rodrigo - traitor,1225,,12,,36114,25319618,Olivia Rodrigo,traitor
Keisya Levronka - Tak Ingin Usai,865,143.0,2,(x30),71934,25115846,Keisya Levronka,Tak Ingin Usai
Sam Smith - Too Good At Goodbyes,2171,74.0,1,(x7),59481,25038870,Sam Smith,Too Good At Goodbyes
Mahalini - Sisa Rasa,1011,,16,,46191,24861473,Mahalini,Sisa Rasa
Maroon 5 - Memories,1256,171.0,1,(x61),92915,24834984,Maroon 5,Memories
The Weeknd - Starboy,1277,142.0,2,(x28),44386,24636864,The Weeknd,Starboy
The Chainsmokers - Something Just Like This,1918,161.0,1,(x11),65880,24541335,The Chainsmokers,Something Just Like This
