Artist and Title,Days,T10,Pk,(x?),PkStreams,Total,Artist,Song
Asake - Lonely At The Top,497,171.0,1,(x45),175467,33320751,Asake,Lonely At The Top
Young Jonn - Aquafina,545,31.0,3,(x1),106966,27856813,Young Jonn,Aquafina
Shallipopi - Cast,350,158.0,1,(x48),217475,26086486,Shallipopi,Cast
Bnxn - GWAGWALADA,617,84.0,1,(x8),114921,24987550,Bnxn,GWAGWALADA
Asake - Terminator,797,163.0,1,(x23),157522,24835266,Asake,Terminator
Omah Lay - reason,497,83.0,1,(x21),211096,24762240,Omah Lay,reason
Seyi Vibez - Different Pattern,322,167.0,1,(x11),238669,23697560,Seyi Vibez,Different Pattern
ODUMODUBLVCK - BLOOD ON THE DANCE FLOOR,385,176.0,1,(x25),121914,23461511,ODUMODUBLVCK,BLOOD ON THE DANCE FLOOR
Davido - FEEL,573,111.0,1,(x1),369014,22596347,Davido,FEEL
Asake - 2:30,563,90.0,1,(x15),308898,22473957,Asake,2:30
Ayo Maff - Dealer,190,166.0,1,(x7),151956,22085707,Ayo Maff,Dealer
Davido - KANTE,574,58.0,4,,330561,21022398,Davido,KANTE
Young Jonn - Xtra Cool,761,153.0,1,(x30),51172,20911914,Young Jonn,Xtra Cool
Asake - Basquiat,493,85.0,1,(x1),202740,20529695,Asake,Basquiat
Chike - Egwu,313,131.0,1,(x50),170921,20127111,Chike,Egwu
ODUMODUBLVCK - WOTOWOTO SEASONING,328,99.0,2,(x4),90584,20060616,ODUMODUBLVCK,WOTOWOTO SEASONING
Burna Boy - City Boys,427,103.0,1,(x28),317896,19893855,Burna Boy,City Boys
Asake - Remember,497,,11,,136368,19455294,Asake,Remember
Adekunle Gold - Party No Dey Stop,590,81.0,1,(x11),157018,18883186,Adekunle Gold,Party No Dey Stop
Omah Lay - Holy Ghost,350,80.0,1,(x8),384104,18678355,Omah Lay,Holy Ghost
Burna Boy - Last Last,895,116.0,1,(x8),132466,18078272,Burna Boy,Last Last
Burna Boy - Higher,119,86.0,1,(x20),530792,17831439,Burna Boy,Higher
