Artist and Title,Days,T10,Pk,(x?),PkStreams,Total,Artist,Song
Abdul Hannan - Bikhra,893,379.0,1,(x50),39224,14007686,Abdul Hannan,Bikhra
Kaifi Khalil - Kahani Suno 2.0,822,311.0,1,(x110),61698,13395861,Kaifi Khalil,Kahani Suno 2.0
Rovalio - Iraaday,893,395.0,2,(x44),27782,13194936,Rovalio,Iraaday
Shubh - No Love,883,444.0,2,(x27),29069,12943303,Shubh,No Love
AUR - Tu hai kahan,384,203.0,1,(x65),79532,12427907,AUR,Tu hai kahan
Aditya Rikhari - Samjho Na,893,188.0,4,,27681,12186405,Aditya Rikhari,Samjho Na
Anuv Jain - Husn,328,278.0,1,(x58),81482,11383745,Anuv Jain,Husn
Shubh - Cheques,522,184.0,2,(x36),38248,11145364,Shubh,Cheques
AP Dhillon - Summer High,811,217.0,1,(x101),29846,11020256,AP Dhillon,Summer High
Prabh Singh - 9:45,534,239.0,3,(x3),35717,10679155,Prabh Singh,9:45
Hasan Raheem - Wishes,418,272.0,2,(x10),46869,10610523,Hasan Raheem,Wishes
AP Dhillon - Excuses,893,97.0,5,,18204,10008022,AP Dhillon,Excuses
Shubh - One Love,433,148.0,1,(x4),41262,9662277,Shubh,One Love
Sharn - Mi Amor,652,210.0,1,(x36),40462,9250899,Sharn,Mi Amor
Sidhu Moose Wala - 295,893,91.0,2,(x13),28153,9221398,Sidhu Moose Wala,295
Shubh - Still Rollin,522,134.0,1,(x36),43164,8998974,Shubh,Still Rollin
Shubh - Baller,770,122.0,4,,22685,8783705,Shubh,Baller
Vishal Mishra - Pehle Bhi Main,326,185.0,2,(x17),58062,8717594,Vishal Mishra,Pehle Bhi Main
King - Tu Aake Dekhle,893,37.0,7,,17974,8701184,King,Tu Aake Dekhle
Shae Gill - Pasoori,835,161.0,1,(x12),29364,8631582,Shae Gill,Pasoori
Bir - Afterhours,786,10.0,9,,16340,8461645,Bir,Afterhours
Shubh - We Rollin,893,,11,,17873,8333403,Shubh,We Rollin
AP Dhillon - TERE TE,893,,15,,17919,7987547,AP Dhillon,TERE TE
Chani Nattan - Daku,829,13.0,8,,21379,7941098,Chani Nattan,Daku
Karan Aujla - Softly,408,110.0,5,,26060,7668237,Karan Aujla,Softly
Anirudh Ravichander - Chaleya,414,121.0,1,(x19),42023,7312308,Anirudh Ravichander,Chaleya
Maanu - Jhol,131,127.0,1,(x33),77333,7166977,Maanu,Jhol
Anuv Jain - Baarishein,893,,12,,20479,7150041,Anuv Jain,Baarishein
Shubh - King Shit,293,104.0,1,(x6),82305,7119959,Shubh,King Shit
Pritam - Kesariya,744,74.0,7,,19285,7080863,Pritam,Kesariya
Aditya Rikhari - Faasle,893,,19,,13267,6938659,Aditya Rikhari,Faasle
Shubh - Elevated,893,,23,,15877,6888551,Shubh,Elevated
King - Maan Meri Jaan,696,77.0,2,(x7),25697,6824913,King,Maan Meri Jaan
Karan Aujla - White Brown Black,675,,14,,18836,6784086,Karan Aujla,White Brown Black
Jasleen Royal - Heeriye,444,108.0,1,(x13),45865,6756981,Jasleen Royal,Heeriye
Diljit Dosanjh - Lemonade,759,,19,,19133,6701853,Diljit Dosanjh,Lemonade
Abdul Hannan - Siyah,812,2.0,10,,17789,6650410,Abdul Hannan,Siyah
AP Dhillon - Dil Nu,748,14.0,8,,15431,6594636,AP Dhillon,Dil Nu
Anuv Jain - Jo Tum Mere Ho,83,72.0,1,(x56),125264,6491077,Anuv Jain,Jo Tum Mere Ho
Asim Azhar - Jo Tu Na Mila,893,,28,,11442,6339858,Asim Azhar,Jo Tu Na Mila
Anuv Jain - Gul,893,,16,,14777,6312174,Anuv Jain,Gul
AP Dhillon - Insane,852,,11,,12290,6238123,AP Dhillon,Insane
Young Stunners - Gumaan,893,,26,,13111,6158094,Young Stunners,Gumaan
Azaan Sami Khan - Ik Lamha,820,26.0,6,,13370,5996156,Azaan Sami Khan,Ik Lamha
