Artist and Title,Days,T10,Pk,(x?),PkStreams,Total,Artist,Song
White 2115 - California,2291,32.0,5,,136198,103771585,White 2115,California
Guzior - BLUEBERRY,1413,128.0,1,(x20),236806,92216597,Guzior,BLUEBERRY
Guzior - FALA,1415,151.0,1,(x26),221681,76800899,Guzior,FALA
The Neighbourhood - Sweater Weather,2122,,19,,107410,72840476,The Neighbourhood,Sweater Weather
"Męskie Granie Orkiestra 2021 - I Ciebie też, bardzo",1129,97.0,2,(x1),238921,70330747,Męskie Granie Orkiestra 2021,"I Ciebie też, bardzo"
Gibbs - Piękny Świat,887,166.0,1,(x3),220653,68849527,Gibbs,Piękny Świat
Mata - Szafir,806,135.0,1,(x39),451931,66855735,Mata,Szafir
Mata - Kiss cam (podryw roku),1019,56.0,3,(x4),299930,61440291,Mata,Kiss cam (podryw roku)
White 2115 - RiRi,774,101.0,1,(x53),415215,60744444,White 2115,RiRi
Kizo - Taxi,558,144.0,1,(x26),333200,60555709,Kizo,Taxi
Tom Odell - Another Love,1677,,15,,85921,60258394,Tom Odell,Another Love
Smolasty - Duże oczy,776,146.0,2,(x1),236017,60022814,Smolasty,Duże oczy
Kizo - Disney,699,153.0,2,(x36),256284,59243527,Kizo,Disney
PRO8L3M - Ground Zero,1298,,19,,91083,58293326,PRO8L3M,Ground Zero
sanah - ostatnia nadzieja,779,128.0,2,(x10),319177,57739699,sanah,ostatnia nadzieja
Zeamsone - 5 INFLUENCEREK,505,106.0,1,(x55),620116,57295139,Zeamsone,5 INFLUENCEREK
bambi - BFF,426,137.0,1,(x45),298909,56309187,bambi,BFF
Mata - Schodki,1355,12.0,4,,91272,54441485,Mata,Schodki
The Weeknd - Blinding Lights,1183,185.0,1,(x10),124494,52575163,The Weeknd,Blinding Lights
Miszel - dres,815,17.0,5,,198623,51854381,Miszel,dres
Oki - Jakie To Uczucie?,784,109.0,2,(x11),259720,50904298,Oki,Jakie To Uczucie?
Mr. Polska - Złote Tarasy,562,131.0,1,(x40),501642,50768050,Mr. Polska,Złote Tarasy
Mata - Szmata,599,74.0,1,(x17),724125,50348206,Mata,Szmata
Harry Styles - As It Was,749,56.0,1,(x4),288420,49313230,Harry Styles,As It Was
Dawid Podsiadło - mori,560,161.0,1,(x8),332246,48672175,Dawid Podsiadło,mori
sanah - Ale jazz!,809,125.0,1,(x21),155215,48547377,sanah,Ale jazz!
Gibbs - Stan,457,125.0,3,(x13),236552,47929122,Gibbs,Stan
David Kushner - Daylight,485,121.0,1,(x28),579562,47448642,David Kushner,Daylight
Miley Cyrus - Flowers,544,120.0,1,(x12),668387,47395809,Miley Cyrus,Flowers
Glass Animals - Heat Waves,935,,12,,115034,47391571,Glass Animals,Heat Waves
Tymek - Język ciała,1146,194.0,1,(x23),85735,47185006,Tymek,Język ciała
Quebonafide - BUBBLETEA,824,232.0,1,(x88),277389,47014163,Quebonafide,BUBBLETEA
SB Maffija - Lawenda,595,99.0,1,(x14),449518,46140323,SB Maffija,Lawenda
sanah - Nic dwa razy (W. Szymborska),583,108.0,1,(x32),440902,45358750,sanah,Nic dwa razy (W. Szymborska)
Kubi Producent - Woda Księżycowa,216,128.0,1,(x45),405495,44991862,Kubi Producent,Woda Księżycowa
Arctic Monkeys - I Wanna Be Yours,821,,16,,82057,44803491,Arctic Monkeys,I Wanna Be Yours
ReTo - BMW,780,39.0,5,,236768,43937232,ReTo,BMW
White 2115 - Mogę Dziś Umierać,1280,,12,,55692,43823036,White 2115,Mogę Dziś Umierać
Mata - Patoreakcja,567,89.0,1,(x19),643846,43709446,Mata,Patoreakcja
Sobel - Impreza,871,118.0,5,,107090,43079114,Sobel,Impreza
Mata - Papuga,427,90.0,1,(x26),670836,42373476,Mata,Papuga
Malik Montana - Jetlag,532,81.0,1,(x35),779930,42055722,Malik Montana,Jetlag
Mata - GOMBAO 33,1014,23.0,5,,89949,41698192,Mata,GOMBAO 33
Męskie Granie Orkiestra 2023 - Supermoce,491,108.0,2,(x7),232996,41533778,Męskie Granie Orkiestra 2023,Supermoce
Sobel - Fiołkowe Pole,538,117.0,1,(x43),347402,41525607,Sobel,Fiołkowe Pole
Artemas - i like the way you kiss me,219,109.0,1,(x30),426766,41314369,Artemas,i like the way you kiss me
Gibbs - Drive,332,59.0,1,(x2),330312,41032617,Gibbs,Drive
Białas - Grill u Gawrona,1254,,33,,92238,40714754,Białas,Grill u Gawrona
David Guetta - I'm Good (Blue),710,18.0,1,(x1),322551,40684350,David Guetta,I'm Good (Blue)
Wiatr - Testarossa,712,166.0,2,(x21),100221,40164669,Wiatr,Testarossa
club2020 - Malibu Barbie,496,109.0,1,(x29),497743,40117371,club2020,Malibu Barbie
Smolasty - Nim Zajdzie Słońce,395,95.0,1,(x17),377401,40064609,Smolasty,Nim Zajdzie Słońce
Fukaj - NIE MA CIĘ,475,66.0,1,(x7),257684,39598419,Fukaj,NIE MA CIĘ
Favst - ztb,696,,11,,113246,38442551,Favst,ztb
Blacha 2115 - Jolie Jolie,416,91.0,1,(x3),287406,38419786,Blacha 2115,Jolie Jolie
Dawid Podsiadło - Małomiasteczkowy,1152,195.0,1,(x40),143774,38369326,Dawid Podsiadło,Małomiasteczkowy
Lord Huron - The Night We Met,1249,,21,,104567,38330771,Lord Huron,The Night We Met
MODELKI - Chyba że z Tobą,202,138.0,1,(x5),413546,38285554,MODELKI,Chyba że z Tobą
Vixen - Ne Rozumiju,331,89.0,2,(x9),255273,38186983,Vixen,Ne Rozumiju
Mata - JESTEM POJ384NY,419,90.0,1,(x36),854816,38132027,Mata,JESTEM POJ384NY
The Neighbourhood - Softcore,945,,36,,64819,37524231,The Neighbourhood,Softcore
Young Leosia - Przester,211,106.0,2,(x10),352607,37400990,Young Leosia,Przester
Bedoes 2115 - VOGUE,997,80.0,1,(x4),118190,37139822,Bedoes 2115,VOGUE
The Neighbourhood - Daddy Issues,1196,,54,,47634,37012074,The Neighbourhood,Daddy Issues
Young Igi - Bestia,1228,106.0,2,(x7),62440,36856785,Young Igi,Bestia
The Kolors - ITALODISCO,421,78.0,1,(x1),335234,36808684,The Kolors,ITALODISCO
Wham! - Last Christmas,475,212.0,1,(x49),641736,36743833,Wham!,Last Christmas
Vance Joy - Riptide,2083,59.0,5,,68150,36739751,Vance Joy,Riptide
Mariah Carey - All I Want for Christmas Is You,468,227.0,1,(x54),623310,36709626,Mariah Carey,All I Want for Christmas Is You
Kukon - Miniówa,1147,,59,,54725,36624036,Kukon,Miniówa
"Sobel - Cześć, jak się masz?",448,77.0,1,(x4),474224,36584242,Sobel,"Cześć, jak się masz?"
Sobel - Bandyta,486,108.0,2,(x6),215362,36356459,Sobel,Bandyta
Bedoes 2115 - Wschód (lubię zapierdalać),1091,14.0,5,,122680,36223715,Bedoes 2115,Wschód (lubię zapierdalać)
Kuban - na okrągło,491,127.0,1,(x4),385510,36181291,Kuban,na okrągło
TACONAFIDE - Tamagotchi,1021,115.0,1,(x75),223572,35342632,TACONAFIDE,Tamagotchi
OneRepublic - I Ain't Worried,657,,12,,104068,35166049,OneRepublic,I Ain't Worried
sanah - Szampan,801,82.0,1,(x1),112582,34722384,sanah,Szampan
sanah - Szary świat,433,63.0,1,(x9),334406,34707534,sanah,Szary świat
sanah - etc. (na disco),503,86.0,5,,155604,34527728,sanah,etc. (na disco)
Tate McRae - greedy,356,62.0,4,,180041,34242293,Tate McRae,greedy
PRO8L3M - Nicea,413,57.0,1,(x12),379220,34108724,PRO8L3M,Nicea
White 2115 - Morgan,876,46.0,3,(x18),95106,34098697,White 2115,Morgan
Mata - La La La (Oh Oh),475,74.0,2,(x13),296277,33893231,Mata,La La La (Oh Oh)
Chivas - anyżowe żelki,619,26.0,4,,173470,33875569,Chivas,anyżowe żelki
sanah - ten Stan,516,36.0,3,(x2),175475,33709689,sanah,ten Stan
Cyrko - Prywatny bal,438,49.0,6,,143121,33613214,Cyrko,Prywatny bal
be vis - Surfer,1142,8.0,9,,45193,33563404,be vis,Surfer
schafter - hot coffee,866,130.0,1,(x12),124900,33408311,schafter,hot coffee
Tymek - Poza kontrolą,962,79.0,4,,58740,33328448,Tymek,Poza kontrolą
