Artist and Title,Days,T10,Pk,(x?),PkStreams,Total,Artist,Song
J Balvin - LA CANCIÓN,1943,125.0,1,(x27),56795,26943327,J Balvin,LA CANCIÓN
Manuel Turizo - La Bachata,860,223.0,1,(x55),100430,25677399,Manuel Turizo,La Bachata
Feid - Feliz Cumpleaños Ferxxo,796,162.0,4,,69227,24536555,Feid,Feliz Cumpleaños Ferxxo
Bad Bunny - Me Porto Bonito,894,249.0,1,(x16),116009,24246715,Bad Bunny,Me Porto Bonito
"Bizarrap - Quevedo: Bzrp Music Sessions, Vol. 52",801,196.0,1,(x75),193064,24080452,Bizarrap,"Quevedo: Bzrp Music Sessions, Vol. 52"
Bad Bunny - Ojitos Lindos,900,239.0,1,(x44),104447,23931000,Bad Bunny,Ojitos Lindos
Bad Bunny - Yonaguni,854,288.0,1,(x58),125162,22506784,Bad Bunny,Yonaguni
Big One - Un Finde | CROSSOVER #2,568,234.0,1,(x7),106416,21491533,Big One,Un Finde | CROSSOVER #2
Jay Wheeler - La Curiosidad,1580,143.0,1,(x19),78435,21318594,Jay Wheeler,La Curiosidad
Feid - Normal,839,13.0,9,,51454,20890065,Feid,Normal
Mora - Volando - Remix,960,262.0,1,(x4),84512,20650263,Mora,Volando - Remix
Plan B - Es un Secreto,1457,164.0,4,,47554,20400648,Plan B,Es un Secreto
Ozuna - Hey Mor,741,141.0,1,(x6),77577,20379545,Ozuna,Hey Mor
Grupo Frontera - un x100to,556,154.0,1,(x67),176369,20312225,Grupo Frontera,un x100to
Bad Bunny - Efecto,864,223.0,1,(x2),90582,19880555,Bad Bunny,Efecto
Quevedo - PUNTO G,716,119.0,1,(x3),82436,19186566,Quevedo,PUNTO G
Bad Bunny - DÁKITI,872,160.0,1,(x45),155907,18829839,Bad Bunny,DÁKITI
Quevedo - VISTA AL MAR,776,114.0,1,(x1),70971,18166339,Quevedo,VISTA AL MAR
Tainy - Lo Siento BB:/,704,212.0,1,(x115),72475,18126638,Tainy,Lo Siento BB:/
Danny Ocean - Me Rehúso,2863,273.0,1,(x37),16489,17993145,Danny Ocean,Me Rehúso
Bad Bunny - Moscow Mule,867,175.0,1,(x3),103756,17775967,Bad Bunny,Moscow Mule
Myke Towers - LALA,490,197.0,1,(x62),138130,17733655,Myke Towers,LALA
Quevedo - Columbia,475,219.0,1,(x25),103520,17436243,Quevedo,Columbia
Anuel AA - Sola (Remix),2858,247.0,3,(x7),24079,17214053,Anuel AA,Sola (Remix)
Grupo Frontera - OJITOS ROJOS,461,198.0,1,(x13),96998,17073514,Grupo Frontera,OJITOS ROJOS
Rauw Alejandro - Desesperados,943,141.0,1,(x43),56581,16905188,Rauw Alejandro,Desesperados
Rei - Tu Turrito,576,137.0,1,(x47),123546,16424833,Rei,Tu Turrito
KAROL G - QLONA,440,243.0,1,(x18),80355,16390749,KAROL G,QLONA
Yandel - Yandel 150,524,144.0,1,(x53),87758,16266963,Yandel,Yandel 150
Feid - Classy 101,573,25.0,10,,56772,15661954,Feid,Classy 101
Bad Bunny - Si Estuviésemos Juntos,2127,,16,,21177,15649993,Bad Bunny,Si Estuviésemos Juntos
Big One - En la Intimidad,559,121.0,1,(x2),87431,15511022,Big One,En la Intimidad
Yng Lvcas - La Bebe - Remix,581,129.0,2,(x40),114710,15426873,Yng Lvcas,La Bebe - Remix
Bad Bunny - LA NOCHE DE ANOCHE,790,173.0,2,(x48),100296,15287258,Bad Bunny,LA NOCHE DE ANOCHE
Feid - LUNA,324,306.0,1,(x84),80531,15041956,Feid,LUNA
Mora - LA INOCENTE,928,,15,,36401,14934655,Mora,LA INOCENTE
Yahritza Y Su Esencia - Frágil,530,130.0,3,(x11),89120,14568599,Yahritza Y Su Esencia,Frágil
Maluma - Según Quién,425,211.0,1,(x74),80258,14406833,Maluma,Según Quién
Rauw Alejandro - Todo De Ti,837,99.0,1,(x8),114903,14288143,Rauw Alejandro,Todo De Ti
TINI - Miénteme,1189,73.0,7,,50480,14196491,TINI,Miénteme
Bad Bunny - Callaita,1364,133.0,1,(x22),75024,13521454,Bad Bunny,Callaita
KAROL G - PROVENZA,908,99.0,6,,53113,13519904,KAROL G,PROVENZA
Ke Personajes - Pobre Corazón - En Vivo,553,81.0,5,,81014,13512024,Ke Personajes,Pobre Corazón - En Vivo
Bad Bunny - A Tu Merced,1182,,14,,27334,13500378,Bad Bunny,A Tu Merced
Taiu - Rara Vez,618,50.0,5,,60493,13428112,Taiu,Rara Vez
Maluma - Hawái,728,99.0,1,(x68),158047,13281732,Maluma,Hawái
Aventura - Volví,588,175.0,1,(x29),88579,13268993,Aventura,Volví
Bad Bunny - Neverita,530,122.0,5,,67085,12956505,Bad Bunny,Neverita
Myke Towers - Bandido,504,172.0,1,(x76),83887,12918995,Myke Towers,Bandido
Luck Ra - Ya No Vuelvas (Versión Cuarteto),652,,12,,47068,12655527,Luck Ra,Ya No Vuelvas (Versión Cuarteto)
