month,day,ChristmasSongs,NonChristmasSongs,ChristmasSongsPercentage,NonChristmasSongsPercentage
12,1,55089965,545241165,9.18,90.82
12,2,49857393,542157982,8.42,91.58
12,3,49949658,558188735,8.21,91.79
12,4,54909158,572223870,8.76,91.24
12,5,65034220,571711599,10.21,89.79
12,6,61835387,561557395,9.92,90.08
12,7,56605729,569274817,9.04,90.96
12,8,62265537,547768399,10.21,89.79
12,9,59493068,538401097,9.95,90.05
12,10,57442332,545154516,9.53,90.47
12,11,60790881,587606783,9.38,90.62
12,12,68050594,567519114,10.71,89.29
12,13,63540412,561647438,10.16,89.84
12,14,62642038,566152642,9.96,90.04
12,15,67192106,555781928,10.79,89.21
12,16,67018497,541832019,11.01,88.99
12,17,67419780,539349673,11.11,88.89
12,18,75382524,560364827,11.86,88.14
12,19,83746272,553127523,13.15,86.85
12,20,86716020,549162760,13.64,86.36
12,21,80166383,511822694,13.54,86.46
12,22,90564545,506855563,15.16,84.84
12,23,117477310,511803600,18.67,81.33
12,24,278347457,590051191,32.05,67.95
12,25,255110202,523620980,32.76,67.24
12,26,42938599,443864627,8.82,91.18
12,27,6742168,480853627,1.38,98.62
12,28,2638163,493875826,0.53,99.47
12,29,1348186,488752787,0.28,99.72
12,30,548878,495610817,0.11,99.89
12,31,1796544,602182887,0.3,99.7
