Date,Global,US,GB,DE,CA,NL,SE,AU,IT,PL,NO,FR,ES,DK,PH,MX,IE,JP,BE,AT,CH,FI,NZ,CZ,BR,HU,SG,PT,MY,GR,TW,SK,HK,CL,TH,RO,ID,VN,IS,CR,PE,LT,ZA,GT,RU,LV,KR,AE,EC,UA,EE,LU,AR,BG,PA,DO,HN,CY,SV,CO,MT,TR,KZ,BY,BO,VE,NI,IN,SA,UY,PY,EG,AD
Total,1522074294,396970874,179934193,150331466,67442435,66685541,62428057,52000636,41052137,36602527,36590061,32874135,30716961,29435699,25692400,21997701,18898960,18457145,15892566,14113929,13530373,11909938,10562795,8309779,7103242,6601477,6569152,6322635,4295058,3374955,3127695,3092526,3075705,2983394,2830052,2676216,2522465,2471100,2174026,1836153,1795735,1584710,1579735,1520251,1442312,1413329,1401513,1235057,1233414,1205458,1081062,971452,843078,810952,807252,646212,615434,519555,359687,334987,267928,242822,222857,190955,181005,175877,149607,130161,80880,73726,56741,13246,5455
Peak,"1 (75,826,005)","1 (15,547,474)","1 (7,742,035)","1 (8,131,265)","1 (3,446,175)","1 (2,913,058)","1 (2,141,972)","1 (3,158,525)","3 (2,569,578)","1 (2,045,888)","1 (993,647)","2 (2,872,849)","13 (1,920,213)","1 (881,860)","3 (1,753,451)","62 (2,540,814)","1 (889,653)","1 (1,528,132)","1 (993,730)","1 (777,963)","1 (806,561)","2 (501,431)","1 (611,455)","1 (467,498)","78 (2,217,880)","1 (466,110)","1 (306,176)","1 (458,982)","8 (267,835)","1 (200,507)","13 (275,542)","1 (169,260)","1 (165,704)","37 (784,566)","30 (308,395)","1 (168,551)","63 (313,588)","10 (161,905)","1 (70,623)","27 (122,536)","32 (322,179)","1 (89,187)","4 (285,834)","45 (167,220)","9 (275,017)","1 (69,764)","5 (119,556)","1 (109,476)","37 (178,507)","10 (104,482)","2 (42,633)","1 (57,460)","151 (440,010)","1 (48,141)","24 (56,715)","53 (54,406)","50 (51,930)","1 (34,789)","95 (49,046)","118 (79,374)","1 (21,766)","78 (60,665)","34 (37,560)","37 (32,284)","62 (54,318)","117 (39,394)","39 (37,099)","192 (130,161)","116 (23,085)","170 (32,138)","127 (51,961)","143 (8,225)","12 (2,418)"
2013/12/08,"50 (994,448)","34 (497,407)","20 (205,547)",--,--,--,"28 (290,308)",--,--,--,--,--,--,"44 (69,383)",--,--,"33 (6,885)",--,--,"37 (4,568)",--,--,--,--,--,--,--,--,--,"34 (2,295)",--,--,--,--,--,--,--,--,--,--,--,"11 (2,394)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2013/12/15,"36 (1,293,920)","29 (565,810)","13 (276,024)",--,--,"33 (108,496)","22 (307,046)",--,--,"36 (13,391)",--,--,--,"43 (72,524)",--,--,"22 (11,277)",--,"45 (13,719)","31 (5,725)",--,--,--,--,--,--,--,--,--,"27 (2,966)",--,--,"47 (2,255)",--,--,--,--,--,--,--,--,"10 (2,562)",--,--,--,"29 (1,292)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2013/12/22,"22 (1,932,304)","24 (651,461)","10 (510,947)","36 (152,736)",--,"18 (187,237)","18 (479,370)",--,"23 (33,853)","12 (33,687)",--,--,"29 (113,001)","39 (86,003)",--,--,"21 (16,328)",--,"26 (24,535)","19 (10,131)","50 (8,554)",--,--,"19 (2,065)",--,"17 (2,112)","36 (5,558)","35 (8,925)","36 (4,028)","20 (4,024)",--,"7 (1,571)","19 (4,390)",--,--,--,--,--,"37 (2,076)",--,--,"22 (2,589)",--,--,--,"21 (2,184)",--,--,--,--,"49 (1,639)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2013/12/29,"21 (1,889,100)","20 (640,000)","11 (486,160)","26 (182,540)",--,"12 (223,246)","21 (377,688)","29 (44,425)","17 (55,082)","14 (27,564)",--,--,"19 (174,487)","39 (73,999)",--,--,"22 (15,269)",--,"13 (46,647)","21 (8,623)","30 (11,989)",--,"48 (10,048)","22 (1,770)",--,"9 (2,370)","20 (7,219)","18 (11,987)","27 (4,902)","19 (4,158)","46 (6,581)","11 (1,163)","14 (5,441)",--,--,--,--,--,"46 (1,249)",--,"32 (1,597)","18 (2,596)",--,--,--,"16 (1,958)",--,--,--,--,"37 (1,889)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2014/11/30,"138 (1,174,711)","96 (541,804)","91 (285,122)","146 (82,210)","193 (8,343)","147 (48,100)","57 (376,908)",--,--,--,"163 (54,459)",--,--,"96 (99,420)",--,--,"198 (5,623)",--,"134 (9,904)","170 (3,392)",--,--,--,--,--,--,--,--,--,"142 (3,558)",--,--,--,--,--,--,--,--,"172 (2,459)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2014/12/07,"73 (4,417,809)","36 (1,256,737)","15 (916,237)","98 (233,571)","91 (17,218)","91 (162,500)","17 (638,279)","106 (67,422)","102 (37,354)","84 (33,467)","91 (196,266)",--,--,"51 (170,368)","140 (25,633)",--,"76 (26,268)",--,"105 (22,066)","83 (12,868)","157 (7,487)","163 (23,889)","120 (22,470)","115 (3,886)",--,"118 (3,039)","170 (6,876)","198 (6,020)",--,"62 (5,650)",--,"95 (1,495)","182 (4,082)",--,--,--,--,--,"61 (5,401)",--,--,"115 (2,997)",--,--,--,"130 (2,193)",--,--,--,--,"147 (1,672)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2014/12/14,"60 (4,974,217)","28 (1,465,973)","13 (1,005,362)","108 (210,787)","76 (20,667)","50 (272,282)","14 (669,859)","90 (84,037)","81 (84,418)","63 (47,351)","92 (188,285)",--,--,"75 (129,106)","129 (31,135)",--,"55 (31,785)",--,"79 (29,573)","69 (15,015)","129 (8,764)","131 (28,380)","93 (29,700)","112 (4,268)",--,"101 (3,555)","127 (9,957)","112 (9,185)","148 (5,648)","63 (5,605)","199 (5,455)","72 (1,935)","106 (6,213)",--,--,--,--,--,"61 (4,884)",--,--,"100 (2,194)",--,--,--,"74 (3,693)",--,--,--,--,"144 (1,743)",--,--,--,--,--,--,--,--,--,"64 (1,133)",--,--,--,--,--,--,--,--,--,--,--,--
2014/12/21,"49 (5,597,593)","15 (1,596,169)","6 (1,059,098)","76 (165,453)","104 (26,400)","47 (290,992)","9 (831,988)","36 (137,496)","89 (80,142)","48 (57,677)","52 (209,179)",--,"114 (99,835)","74 (121,273)","158 (44,535)",--,"51 (31,095)",--,"60 (39,676)","54 (14,999)","97 (11,734)","101 (39,618)","34 (50,549)","94 (7,502)",--,"93 (4,101)","146 (8,154)","116 (17,816)","184 (4,696)","81 (5,020)",--,"57 (3,410)","121 (8,678)",--,--,--,--,--,"59 (4,623)",--,"200 (5,864)","112 (1,899)",--,"138 (2,000)",--,"108 (4,965)",--,--,--,--,"129 (1,899)",--,--,--,--,--,"158 (1,107)",--,"166 (1,076)",--,"37 (1,807)",--,--,--,--,--,--,--,--,--,--,--,--
