Date,Global,US,GB,DE,CA,NL,SE,AU,DK,PL,PH,NO,IT,ES,IE,JP,FR,AT,CH,BE,FI,NZ,SG,CZ,HU,PT,TH,MY,HK,VN,TW,GR,SK,RO,KR,IS,LT,LV,ZA,AE,ID,MX,EE,LU,BG,UA,RU,CL,CY,CR,PA,EC,BR,MT,PE,GT,AR,DO,TR,HN,CO,SA,UY,BO,SV,PY,NI,AD
Total,853820382,229625029,100419333,82457098,41993483,40546260,30874973,30017685,23665160,23102459,20848910,18176451,15358939,10918713,10839500,9932632,8591452,8393837,8144315,7485867,7392619,5747174,4650966,4227593,4067709,3321931,2837747,2717472,2259976,2227501,2012430,1994912,1675174,1516303,1308740,1173729,1047695,938654,771307,744343,722504,696459,692635,520433,500239,375777,339442,334084,322406,283384,217515,196583,172733,143559,99814,93963,76635,66518,57331,39928,36730,11391,7061,5988,5830,4325,4202,1257
Peak,"3 (48,192,239)","5 (10,593,763)","5 (5,620,371)","6 (4,885,175)","5 (2,342,293)","3 (1,844,085)","4 (1,225,539)","3 (2,340,773)","3 (745,152)","3 (1,464,433)","4 (1,650,018)","9 (665,436)","28 (1,170,883)","53 (886,901)","5 (645,280)","3 (1,202,096)","38 (1,057,366)","4 (464,619)","3 (487,819)","3 (526,717)","4 (395,740)","4 (412,595)","2 (282,272)","4 (276,343)","4 (358,332)","6 (278,533)","46 (331,420)","12 (217,693)","3 (136,483)","14 (155,599)","9 (216,615)","6 (140,934)","7 (107,528)","8 (125,390)","8 (118,434)","12 (45,016)","5 (70,342)","4 (55,336)","12 (174,518)","3 (79,603)","117 (233,539)","72 (400,624)","6 (33,380)","6 (35,043)","7 (36,626)","22 (54,647)","39 (171,771)","111 (293,191)","3 (25,094)","85 (59,541)","44 (28,275)","65 (84,322)","61 (72,444)","7 (16,448)","57 (55,105)","52 (39,681)","105 (32,179)","40 (27,821)","51 (18,945)","47 (13,622)","114 (14,249)","200 (11,391)","90 (2,778)","48 (1,755)","54 (2,525)","87 (1,685)","45 (3,092)","41 (1,257)"
2014/11/30,--,--,--,--,"76 (17,682)","111 (58,857)",--,--,"125 (43,852)",--,"193 (17,946)","167 (53,459)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"185 (3,769)",--,--,"132 (2,167)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2014/12/07,"69 (2,384,738)","59 (763,577)","73 (216,799)","121 (105,902)","32 (36,378)","53 (138,546)","64 (202,576)","85 (46,747)","29 (155,924)","75 (25,312)","33 (93,284)","60 (129,343)","98 (40,328)",--,"64 (15,503)",--,"196 (21,747)","98 (5,811)","80 (14,458)","92 (16,525)","103 (33,383)","90 (14,977)","49 (26,053)","30 (9,828)","55 (5,896)","97 (11,019)",--,"51 (16,238)","28 (14,694)",--,"63 (14,880)","21 (6,948)","37 (3,017)",--,--,"65 (2,686)","32 (5,477)","43 (5,363)",--,--,--,--,"57 (3,923)",--,"52 (1,689)",--,--,--,--,--,"141 (1,195)",--,--,"34 (1,860)",--,"197 (1,345)",--,"157 (1,519)","119 (9,028)","135 (1,118)",--,--,--,--,--,--,--,--
2014/12/14,"44 (3,396,873)","48 (1,116,568)","61 (251,345)","97 (125,898)","19 (49,699)","14 (306,697)","51 (245,134)","55 (68,692)","19 (197,838)","50 (36,850)","18 (136,338)","51 (154,184)","74 (57,283)","141 (78,060)","51 (19,338)",--,"125 (30,335)","73 (7,851)","56 (19,482)","53 (26,995)","73 (48,507)","55 (22,751)","24 (38,629)","19 (13,258)","38 (7,721)","71 (15,262)",--,"29 (23,527)","13 (20,390)",--,"29 (23,178)","16 (8,010)","16 (4,351)",--,--,"44 (3,665)","18 (8,378)","24 (7,782)",--,--,--,"144 (77,681)","30 (6,144)","26 (1,322)","28 (2,545)",--,--,--,"12 (1,024)","150 (4,124)","70 (2,146)","149 (3,982)","111 (45,088)","21 (2,440)","130 (7,933)","102 (2,260)","161 (19,465)","101 (2,443)","78 (13,357)","95 (1,636)","166 (9,537)",--,"127 (1,969)","104 (1,130)","109 (1,353)","132 (1,074)",--,--
2014/12/21,"28 (4,293,951)","35 (1,251,274)","53 (299,797)","83 (157,135)","13 (54,625)","5 (446,482)","36 (382,162)","49 (84,540)","17 (230,235)","27 (53,665)","7 (173,454)","32 (237,756)","53 (72,725)","99 (113,660)","43 (25,756)",--,"112 (38,496)","60 (9,866)","42 (25,188)","29 (46,368)","60 (61,211)","40 (35,986)","13 (44,778)","9 (17,001)","19 (10,088)","51 (21,635)",--,"20 (27,704)","7 (23,155)",--,"16 (27,475)","11 (10,060)","9 (5,147)",--,--,"34 (4,239)","10 (10,327)","13 (9,625)",--,--,--,"109 (98,801)","22 (7,383)","16 (1,574)","15 (3,396)",--,--,"162 (17,118)","8 (1,221)","123 (5,032)","60 (2,626)","106 (5,388)","93 (55,201)","17 (3,007)","106 (10,062)","72 (3,160)","142 (24,991)","63 (3,589)","62 (16,001)","65 (2,318)","133 (12,944)",--,"112 (2,314)","83 (1,399)","82 (1,952)","97 (1,566)",--,--
2014/12/28,"16 (4,994,365)","17 (1,396,786)","47 (369,595)","60 (239,628)","6 (60,271)","3 (468,932)","21 (427,547)","18 (123,315)","14 (216,264)","12 (59,709)","4 (198,482)","28 (210,907)","29 (111,017)","53 (188,459)","22 (31,767)",--,"55 (69,697)","40 (14,051)","14 (31,786)","9 (69,835)","40 (77,047)","24 (43,255)","7 (48,333)","6 (17,420)","9 (12,559)","29 (26,199)",--,"12 (29,401)","4 (23,550)",--,"9 (34,881)","6 (12,446)","8 (5,078)",--,--,"23 (3,776)","5 (11,051)","7 (10,805)",--,--,--,"72 (119,353)","11 (7,702)","7 (2,070)","13 (3,358)",--,--,"111 (23,775)","4 (1,376)","85 (6,319)","44 (3,104)","65 (7,009)","61 (72,444)","9 (3,393)","57 (13,398)","52 (3,932)","105 (32,179)","40 (4,287)","51 (18,945)","47 (2,915)","114 (14,249)",--,"90 (2,778)","48 (1,755)","54 (2,525)","87 (1,685)","45 (1,110)",--
2015/01/04,"139 (1,314,791)",--,--,--,"140 (13,189)","45 (155,308)","110 (118,979)","157 (27,454)","93 (64,291)",--,"71 (57,107)","104 (67,801)","139 (26,889)",--,"174 (6,445)",--,--,--,"198 (6,064)","70 (25,080)",--,"143 (9,749)","110 (12,250)","125 (4,043)",--,--,--,"110 (8,119)","108 (6,512)",--,"152 (7,944)","58 (4,128)",--,--,--,--,"111 (2,376)","148 (1,969)",--,--,--,--,"182 (1,628)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,"170 (1,597)",--,--,--,--,--,--,--,--,--,--
2015/01/11,--,--,--,--,--,"76 (92,187)",--,--,--,--,"134 (30,164)",--,--,--,--,--,--,--,--,"141 (10,178)",--,--,"167 (7,985)",--,--,--,--,"197 (4,806)","178 (4,176)",--,--,"180 (1,565)",--,--,--,--,"183 (1,213)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2015/01/18,--,--,--,--,--,"142 (49,629)",--,--,--,--,"160 (22,985)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
