Date,Global,US,GB,CA,AU,NL,IE,DE,SE,BE,NZ,NO,DK,ZA,CH,PT,AT,AE,IS,SG,LV,LT,LU,EE,CY,SK
Total,1145806104,537583937,158088697,81691735,77183071,40667833,28491614,18298346,12067789,11301141,10783135,8876089,6449616,4130627,4026499,2906735,2822983,621724,437633,413329,265357,231138,196417,158608,110226,21279
Peak,"6 (28,868,638)","2 (11,205,319)","1 (5,494,542)","1 (1,892,548)","1 (2,342,179)","1 (1,636,478)","1 (791,359)","39 (1,100,595)","16 (546,081)","2 (413,728)","2 (331,634)","10 (361,918)","16 (268,689)","33 (140,723)","23 (140,801)","66 (125,147)","24 (114,412)","43 (31,103)","42 (14,785)","134 (62,296)","67 (14,323)","111 (16,056)","47 (8,959)","99 (9,606)","123 (7,979)","199 (21,279)"
2022/07/14,--,"198 (1,583,302)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/07/21,--,"52 (2,494,363)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/07/28,--,"63 (2,255,049)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/08/04,--,"105 (2,024,236)",--,--,--,--,"198 (41,758)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/08/11,--,"55 (2,485,585)",--,--,--,--,"170 (47,708)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/08/18,--,"59 (2,416,205)",--,"110 (272,411)",--,--,"87 (61,428)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/08/25,--,"61 (2,371,873)",--,"175 (231,671)",--,--,"119 (52,899)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/09/01,--,"99 (2,097,547)",--,--,--,--,"151 (48,840)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/09/08,--,"100 (2,049,466)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/09/15,--,"104 (2,045,955)",--,--,--,--,"183 (43,727)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/09/22,--,"65 (2,542,661)",--,--,--,--,"168 (45,065)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/09/29,--,"93 (2,101,209)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/10/06,--,"99 (2,036,009)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/10/13,--,"87 (2,100,976)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/10/20,--,"43 (3,112,886)",--,"139 (266,393)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/10/27,--,"71 (2,573,331)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/11/03,--,"66 (2,877,118)",--,"159 (261,981)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/11/10,--,"84 (2,858,863)",--,"185 (250,461)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/11/17,--,"74 (2,787,172)",--,"186 (254,363)",--,--,"194 (46,617)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/11/24,--,"74 (2,749,308)",--,"168 (267,681)",--,--,"153 (52,759)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/12/01,--,"82 (2,685,881)",--,"186 (271,100)",--,--,"138 (58,348)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/12/08,--,"112 (2,704,118)",--,--,--,--,"176 (57,699)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/12/15,--,"142 (2,558,642)",--,--,--,--,"147 (61,987)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/12/22,--,"164 (2,361,268)",--,--,--,--,"170 (59,183)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/12/29,--,"173 (2,080,675)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2023/01/05,--,"86 (2,434,152)",--,"150 (259,680)",--,--,"88 (59,492)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2023/01/12,--,"95 (2,439,812)",--,"153 (272,796)",--,--,"96 (59,740)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2023/01/19,--,"151 (2,042,724)",--,--,--,--,"157 (49,799)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2023/01/26,--,"137 (2,144,360)",--,--,--,--,"142 (54,110)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2023/02/02,--,"154 (2,043,563)",--,--,--,--,"141 (54,142)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2023/02/09,--,"171 (2,026,237)",--,--,--,--,"170 (51,558)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2023/02/16,--,"200 (1,949,123)",--,--,--,--,"189 (50,685)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2023/02/23,--,--,--,--,--,--,"199 (48,293)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2023/03/09,--,--,--,--,--,--,"193 (47,189)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2023/03/16,--,--,--,--,--,--,"191 (48,469)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2023/05/18,--,--,--,--,--,--,"184 (52,689)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2023/06/15,--,"59 (3,183,067)",--,"85 (388,273)",--,--,"77 (82,365)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2023/06/22,--,"97 (2,579,887)",--,"125 (332,192)",--,--,"85 (73,617)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2023/06/29,--,"116 (2,499,725)",--,"147 (313,928)",--,--,"70 (82,693)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2023/07/06,--,"173 (2,286,562)",--,"175 (297,855)",--,--,"60 (80,045)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2023/07/13,--,"143 (2,415,845)",--,"177 (310,561)",--,--,"92 (74,076)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2023/07/20,--,"97 (2,751,040)",--,"115 (347,206)",--,--,"60 (79,440)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2023/07/27,--,"100 (2,714,285)",--,"122 (337,712)",--,--,"79 (74,719)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2023/08/03,--,"118 (2,717,748)",--,"137 (342,288)",--,--,"69 (89,401)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2023/08/10,--,"100 (2,719,927)",--,"138 (323,026)",--,--,"42 (99,687)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2023/08/17,--,"92 (2,827,244)",--,"110 (345,718)",--,--,"38 (108,625)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2023/08/24,--,"77 (2,909,556)",--,"92 (370,027)",--,--,"35 (111,100)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2023/08/31,--,"87 (3,036,524)",--,"101 (381,683)",--,--,"32 (118,373)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2023/09/07,--,"71 (3,145,560)",--,"88 (389,337)",--,--,"33 (124,672)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2023/09/14,--,"74 (3,155,987)",--,"94 (402,548)",--,--,"35 (131,324)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2023/09/21,--,"62 (3,320,289)",--,"68 (469,609)",--,--,"32 (133,848)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2023/09/28,--,"48 (3,703,610)",--,"41 (557,015)",--,--,"22 (145,344)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2023/10/05,--,"37 (3,902,121)","134 (539,213)","33 (593,652)",--,--,"10 (194,767)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2023/10/12,"191 (8,001,818)","34 (4,891,386)","50 (822,289)","36 (700,642)","151 (335,314)",--,"4 (289,110)",--,--,--,"177 (54,908)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2023/10/19,"161 (8,679,160)","22 (5,164,268)","23 (969,418)","20 (706,159)","88 (401,881)",--,"4 (308,790)",--,--,--,"157 (56,860)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2023/10/26,"78 (11,011,021)","12 (6,086,864)","11 (1,328,310)","11 (895,744)","35 (601,557)",--,"2 (366,826)",--,--,--,"71 (73,071)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2023/11/02,"77 (11,655,305)","31 (6,189,563)","23 (1,420,202)","24 (917,507)","37 (789,619)",--,"1 (408,894)",--,--,--,"58 (93,072)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2023/11/09,"48 (13,200,314)","8 (6,789,629)","7 (1,772,368)","10 (998,960)","14 (879,590)","72 (255,687)","1 (484,380)",--,--,--,"28 (113,270)","199 (64,158)",--,--,--,--,--,--,--,--,--,--,--,--,--,--
2023/11/16,"32 (15,241,315)","5 (7,328,150)","4 (2,279,791)","7 (1,071,650)","12 (1,020,209)","32 (475,512)","1 (581,583)",--,--,"106 (76,628)","20 (132,835)","120 (78,583)",--,"194 (56,765)",--,--,--,--,--,--,--,--,--,--,--,--
2023/11/23,"31 (15,674,202)","7 (7,242,012)","3 (2,461,068)","7 (1,034,507)","11 (1,004,904)","29 (537,663)","1 (633,086)",--,"165 (139,341)","53 (102,557)","18 (138,250)","121 (87,394)",--,"164 (60,039)",--,--,"194 (42,021)",--,--,--,--,--,--,--,--,--
