Date,Global,US,MX,PH,ES,MY,CL,PE,ID,AR,NO,SE,GB,CR,CO,SG,NL,DK,IT,AU,HK,EC,DE,BE,PT,FR,BR,CA,BO,TW,CH,PL,DO,PY,FI,NZ,HN,SV,TR,GT,IE,NI,PA,GR,IS,UY,CZ,LT,AT,HU,JP,EE,LV,TH,SK
Total,210966405,24469967,23549711,8154336,6797067,6346301,6247396,5011228,4967313,4804593,4801186,4512577,2519662,2459330,2391253,2201656,2146613,1727134,1510227,1396419,1334003,1333546,1239159,1223743,1123281,903441,828599,662967,634196,558255,510950,491157,485562,332166,318853,307699,301140,299625,278150,233135,226795,221347,173841,161497,133681,128208,64797,57465,48274,42068,41864,39248,26471,11053,7863
Peak,"125 (6,838,656)","7 (1,732,057)","22 (472,776)","49 (204,728)","11 (229,223)","32 (79,985)","23 (143,948)","15 (91,880)","93 (471,997)","29 (144,006)","11 (281,258)","15 (473,936)","14 (412,166)","25 (51,511)","35 (48,413)","22 (43,645)","13 (186,785)","12 (179,822)","9 (52,856)","17 (293,379)","7 (29,668)","17 (24,769)","26 (148,948)","8 (44,781)","10 (51,175)","7 (69,215)","159 (52,185)","167 (234,779)","52 (7,767)","25 (20,389)","12 (12,444)","13 (18,797)","12 (8,014)","80 (7,772)","23 (65,858)","12 (46,579)","29 (6,075)","23 (6,195)","104 (11,517)","28 (9,534)","13 (49,202)","53 (3,551)","28 (6,047)","50 (3,029)","111 (6,674)","34 (3,890)","136 (3,593)","13 (1,991)","21 (6,681)","50 (2,479)","125 (41,864)","11 (2,288)","12 (1,722)","186 (11,053)","124 (1,582)"
2013/04/28,--,"7 (941,106)",--,--,"14 (199,685)",--,--,--,--,--,"11 (281,258)","15 (473,936)","14 (231,557)",--,--,--,"13 (186,785)","12 (179,822)","9 (52,856)","18 (49,518)",--,--,"29 (140,308)","8 (44,781)","10 (12,757)","7 (69,215)",--,--,--,--,"15 (11,161)","13 (16,562)",--,--,"23 (65,858)","12 (22,186)",--,--,--,--,"13 (15,474)",--,--,--,--,--,--,"15 (1,689)","21 (6,681)",--,--,"11 (2,288)","12 (1,722)",--,--
2013/05/05,--,"8 (889,269)",--,--,"14 (209,131)",--,--,--,--,--,"13 (262,966)","17 (448,816)","15 (221,367)",--,--,--,"13 (158,820)","15 (165,089)","9 (51,790)","21 (48,275)",--,--,"27 (147,049)","9 (43,591)","11 (12,756)","8 (67,094)",--,--,--,--,"14 (11,590)","13 (16,068)",--,--,"23 (63,488)","12 (21,387)",--,--,--,--,"14 (15,154)",--,--,--,--,--,--,"14 (1,783)","22 (6,647)",--,--,"16 (2,052)","13 (1,704)",--,--
2013/05/12,--,"8 (869,859)",--,--,"12 (215,094)",--,--,--,--,--,"15 (252,145)","19 (438,139)","15 (203,899)",--,--,--,"15 (161,467)","16 (155,050)","9 (50,451)","19 (49,846)",--,--,"26 (148,948)","12 (42,797)","11 (14,403)","8 (63,695)",--,--,--,--,"12 (12,444)","13 (18,656)",--,--,"25 (54,233)","12 (20,160)",--,--,--,--,"15 (13,708)",--,--,--,--,--,--,"13 (1,952)","23 (6,312)",--,--,"16 (2,000)","14 (1,450)",--,--
2013/05/19,--,"8 (823,533)",--,--,"12 (212,398)",--,--,--,--,--,"16 (227,137)","22 (407,951)","15 (193,907)",--,--,--,"16 (148,690)","18 (139,086)","9 (52,728)","17 (50,470)",--,--,"26 (135,206)","15 (38,156)","13 (15,189)","8 (63,870)",--,--,--,--,"15 (11,568)","15 (18,241)",--,--,"29 (45,839)","12 (20,297)",--,--,--,--,"15 (12,518)",--,--,--,--,--,--,"18 (1,780)","23 (5,456)",--,--,"16 (1,796)","21 (1,342)",--,--
2013/05/26,--,"13 (749,370)",--,--,"11 (227,571)",--,--,--,--,--,"16 (234,938)","23 (395,124)","31 (179,742)",--,--,--,"17 (148,747)","20 (131,280)","10 (51,566)","27 (49,534)",--,--,"29 (134,998)","15 (35,576)","13 (15,610)","22 (60,762)",--,--,--,--,"21 (12,162)","22 (18,797)",--,--,"32 (48,285)","13 (19,003)",--,--,--,--,"23 (11,756)",--,--,--,--,--,--,"13 (1,991)","31 (5,295)",--,--,"17 (2,017)","25 (1,386)",--,--
2013/06/02,--,"15 (641,008)",--,--,"12 (229,223)",--,--,--,--,--,"15 (233,805)","24 (363,034)","27 (165,284)",--,--,--,"22 (132,257)","23 (113,178)","14 (50,521)","22 (44,493)",--,--,"33 (127,614)","15 (30,550)","15 (15,138)","22 (50,195)",--,--,--,--,"19 (10,873)","23 (16,126)",--,--,"48 (41,150)","15 (17,629)",--,--,--,--,"22 (10,262)",--,--,--,--,--,--,"16 (1,938)","34 (4,551)",--,--,"23 (1,828)","32 (1,247)",--,--
2013/06/09,--,"17 (601,063)",--,--,"12 (221,317)",--,--,--,--,--,"15 (238,238)","26 (318,032)","26 (154,363)",--,--,--,"24 (112,944)","28 (103,919)","16 (44,770)","23 (39,455)",--,--,"38 (107,995)","18 (25,432)","15 (14,291)","21 (43,479)",--,--,--,--,"20 (9,995)","33 (14,365)",--,--,--,"19 (16,102)",--,--,--,--,"23 (8,557)",--,--,--,--,--,--,"19 (1,787)","41 (3,731)",--,--,"22 (1,880)","34 (1,196)",--,--
2013/06/16,--,"19 (560,408)",--,--,"12 (221,249)",--,--,--,--,--,"13 (239,542)","27 (296,865)","30 (135,661)",--,--,--,"27 (108,241)","30 (95,944)","15 (42,688)","25 (40,560)",--,--,"40 (102,585)","21 (24,284)","15 (13,616)","23 (42,239)",--,--,--,--,"18 (9,981)","31 (13,828)",--,--,--,"20 (15,561)",--,--,--,--,"26 (7,603)",--,--,--,--,--,--,"16 (1,886)","41 (3,502)",--,--,"21 (2,037)","33 (1,160)",--,--
