Date,US,CA,AU,NZ
Total,27005039,3141211,653289,165675
Peak,"87 (3,238,788)","99 (494,230)","156 (328,911)","116 (88,051)"
2019/12/26,--,"152 (346,660)","156 (328,911)","125 (77,624)"
2020/12/24,"125 (2,377,213)","115 (422,020)","157 (324,378)","116 (88,051)"
2020/12/31,--,"148 (277,468)",--,--
2021/12/16,"182 (1,790,410)",--,--,--
2021/12/23,"87 (2,634,911)","122 (361,766)",--,--
2021/12/30,"99 (2,192,550)","99 (389,130)",--,--
2022/12/01,"181 (1,829,105)",--,--,--
2022/12/08,"159 (2,324,098)",--,--,--
2022/12/15,"176 (2,280,047)",--,--,--
2022/12/22,"122 (2,795,274)","141 (375,232)",--,--
2022/12/29,"104 (2,780,059)","100 (474,705)",--,--
2023/12/21,"150 (2,762,584)",--,--,--
2023/12/28,"104 (3,238,788)","123 (494,230)",--,--
