Date,Global,GB,DE,SE,AU,CA,IE,DK,IT,AT,NZ,NO,CH,NL,HU,BE,LT,LV,MT,SK,CZ,GR,HK,LU,EE,RO,CY,IS,BG
Total,57127261,27760515,4298762,2196664,1927251,1826116,1651374,1447617,1013365,557589,518748,308406,296463,254058,79387,73370,33941,30753,24846,24705,22350,20544,20261,11780,11411,9371,8361,7400,3612
Peak,"68 (9,435,165)","7 (3,154,333)","57 (959,623)","71 (330,727)","56 (594,433)","76 (466,473)","17 (219,532)","95 (136,177)","72 (289,081)","49 (69,738)","43 (150,273)","135 (114,813)","49 (92,587)","147 (254,058)","50 (37,789)","97 (73,370)","60 (9,915)","67 (10,179)","75 (5,631)","115 (10,684)","137 (22,350)","111 (11,156)","114 (20,261)","68 (5,705)","93 (7,067)","171 (9,371)","70 (2,542)","196 (7,400)","179 (3,612)"
2014-12-07,--,"84 (202,264)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2014-12-14,--,"82 (215,380)",--,--,--,--,"171 (7,100)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2014-12-21,--,"66 (249,695)",--,--,--,--,"161 (7,831)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2014-12-28,--,"57 (340,697)","153 (109,536)",--,--,--,"163 (8,168)",--,--,"134 (5,559)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2015-12-03,--,"139 (183,020)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2015-12-10,--,"75 (342,378)",--,--,--,--,"136 (13,747)",--,--,"161 (8,135)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2015-12-17,--,"60 (466,437)",--,--,--,--,"88 (21,603)",--,--,"143 (9,796)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2015-12-24,"161 (2,151,703)","33 (857,173)","57 (400,866)",--,--,--,"55 (35,785)","131 (85,609)",--,"49 (28,459)","170 (23,949)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2015-12-31,--,"72 (389,519)",--,--,--,--,"124 (15,777)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2016-12-01,--,"175 (230,339)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2016-12-08,--,"67 (543,863)",--,--,--,--,"146 (23,712)","178 (68,419)",--,"135 (14,715)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2016-12-15,--,"60 (645,568)",--,--,--,--,"115 (31,903)","181 (66,388)",--,"151 (13,996)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2016-12-22,--,"40 (998,859)","177 (249,136)","158 (162,255)",--,--,"65 (46,918)","149 (79,612)","154 (72,289)","86 (22,663)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2016-12-29,"151 (3,397,285)","26 (1,229,737)","83 (467,419)","113 (190,990)","121 (154,694)",--,"55 (58,037)","134 (81,107)","88 (103,756)","74 (28,699)","108 (49,982)",--,"146 (22,023)",--,--,--,--,--,--,--,--,--,--,"187 (1,293)",--,--,--,--,--
2017-11-30,--,"172 (312,252)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2017-12-07,--,"44 (926,172)",--,"191 (139,848)",--,--,"102 (44,381)","173 (83,507)",--,"156 (21,322)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2017-12-14,--,"16 (1,562,100)",--,"179 (150,446)",--,--,"34 (107,234)","196 (76,523)","175 (129,515)","133 (23,830)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2017-12-21,--,"12 (1,785,123)","184 (365,707)","142 (190,265)","146 (204,617)",--,"28 (128,082)","189 (78,708)","164 (155,630)","100 (31,498)","124 (54,943)",--,"179 (29,024)",--,"187 (9,996)",--,"150 (3,865)","195 (4,179)","161 (2,419)","196 (4,660)",--,"192 (4,539)",--,--,--,--,--,--,--
2017-12-28,"94 (6,308,167)","7 (2,496,575)","61 (789,234)","97 (277,871)","60 (459,721)",--,"17 (163,316)","139 (92,452)","72 (263,094)","54 (52,488)","57 (108,297)",--,"49 (66,257)",--,"130 (14,750)",--,"162 (3,716)","179 (4,519)","144 (2,440)",--,--,"182 (4,849)","114 (20,261)","183 (2,259)",--,--,"148 (1,033)",--,--
2018-11-29,--,"90 (545,809)",--,--,--,--,"135 (41,942)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2018-12-06,--,"24 (1,440,295)",--,"172 (164,713)",--,--,"63 (88,514)","146 (94,845)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2018-12-13,"184 (4,941,267)","11 (1,766,906)",--,"139 (186,073)",--,"176 (234,822)","34 (127,695)","155 (91,930)",--,"149 (32,080)",--,"194 (91,063)",--,--,--,--,"158 (4,707)",--,"158 (3,449)",--,--,--,--,--,--,--,"154 (1,373)",--,--
2018-12-20,"139 (5,928,614)","11 (2,115,174)","164 (444,302)","113 (223,336)","147 (251,778)","141 (268,727)","19 (163,300)","136 (97,047)",--,"105 (41,768)","103 (66,615)","170 (102,530)","184 (40,862)",--,"143 (16,852)",--,"113 (5,944)","133 (5,905)","119 (4,072)","144 (9,361)",--,--,--,"196 (2,523)","179 (4,344)",--,"120 (1,574)",--,--
2018-12-27,"68 (9,435,165)","10 (3,154,333)","74 (959,623)","71 (330,727)","56 (594,433)","76 (466,473)","19 (219,532)","95 (136,177)","154 (289,081)","60 (69,738)","43 (150,273)","135 (114,813)","59 (92,587)","147 (254,058)","50 (37,789)","97 (73,370)","60 (9,915)","67 (10,179)","75 (5,631)","115 (10,684)","137 (22,350)","111 (11,156)",--,"68 (5,705)","93 (7,067)","171 (9,371)","70 (2,542)","196 (7,400)","179 (3,612)"
2019-11-28,--,"131 (426,910)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2019-12-05,--,"36 (1,219,006)",--,--,--,"190 (231,662)","85 (72,347)","139 (98,392)",--,"129 (41,603)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2019-12-12,--,"21 (1,442,801)",--,--,--,"163 (285,518)","65 (100,838)","135 (102,419)",--,"106 (50,292)",--,--,--,--,--,--,--,--,"143 (3,124)",--,--,--,--,--,--,--,--,--,--
2019-12-19,"153 (6,016,368)","22 (1,672,130)","193 (512,939)","174 (180,140)","164 (262,008)","130 (338,914)","55 (123,612)","120 (114,482)",--,"80 (60,948)","126 (64,689)",--,"175 (45,710)",--,--,--,"179 (5,794)","193 (5,971)","119 (3,711)",--,--,--,--,--,--,--,"154 (1,839)",--,--
