Date,Global,MX,CL,BR,AR,PE,AU,NL,ES,FR,BE,CR,CH,CA,SV,GB,CO,HN,NZ,IE,PT,EC,AT,DE,NI,CZ,GT,IL,IT,SE,BO,LU,DK,UY,PY,MT,SK,ZA,IS,LV,AE,LT,CY
Total,1252369498,68478791,61059176,22681986,16089302,16045189,12442427,12393397,12137359,10809082,10520242,9393371,6584125,6509941,5949225,5631888,5098319,4446950,4385682,4312192,4294248,2856923,2113875,1994616,1477530,1390965,1341062,1223750,1050495,1018802,995644,757157,447827,408598,238528,148138,120647,114487,71675,27784,18213,10659,1380
Peak,"77 (12,195,389)","125 (1,421,010)","85 (368,446)","140 (1,253,022)","140 (353,530)","138 (189,643)","91 (452,883)","73 (284,182)","135 (500,570)","158 (453,810)","68 (110,622)","95 (59,455)","66 (88,039)","148 (391,388)","108 (47,244)","124 (623,556)","143 (128,863)","115 (35,413)","90 (80,099)","102 (83,257)","110 (89,867)","137 (80,965)","93 (62,268)","186 (512,285)","135 (21,180)","128 (74,028)","167 (82,826)","126 (52,320)","198 (373,007)","166 (152,436)","165 (33,558)","61 (7,059)","122 (86,027)","131 (27,710)","176 (35,836)","101 (2,905)","146 (22,904)","175 (23,724)","160 (7,533)","151 (10,674)","163 (18,213)","183 (10,659)","197 (1,380)"
2019/05/09,--,"166 (457,884)",--,--,--,--,--,--,--,--,--,"167 (20,862)",--,--,"172 (8,403)",--,"197 (44,110)","193 (6,323)",--,--,--,"169 (23,513)",--,--,--,--,--,--,--,--,--,--,--,--,--,"136 (2,315)",--,--,--,--,--,--,--
2019/05/16,--,"161 (462,844)",--,--,--,--,--,--,--,--,--,"172 (20,769)",--,--,"173 (8,262)",--,--,"175 (6,803)",--,--,--,"172 (23,757)",--,--,"195 (2,919)",--,"199 (14,240)",--,--,--,--,--,--,--,--,"147 (2,244)",--,--,--,--,--,--,--
2019/05/23,--,"163 (466,217)",--,--,--,--,--,--,--,--,--,"167 (21,086)",--,--,"160 (8,836)",--,--,"181 (6,590)",--,--,--,"175 (23,394)",--,--,--,--,"197 (14,711)",--,--,--,--,--,--,--,--,"162 (2,379)",--,--,--,--,--,--,--
2019/05/30,--,"156 (485,610)",--,--,--,--,--,--,--,--,--,"166 (21,815)",--,--,"167 (8,826)",--,"190 (46,112)","174 (6,732)",--,--,--,"168 (24,313)",--,--,"184 (2,971)",--,"200 (15,263)",--,--,--,--,--,--,--,--,"137 (2,385)",--,--,--,--,--,--,--
2019/06/06,--,"156 (493,558)",--,--,--,--,--,--,--,--,--,"171 (21,452)",--,--,"169 (8,707)",--,--,"171 (6,739)",--,--,--,"172 (23,552)",--,--,"182 (3,037)",--,--,--,--,--,--,--,--,--,--,"135 (2,512)",--,--,--,--,--,--,--
2019/06/13,--,"147 (498,148)",--,--,--,--,--,--,--,--,--,"153 (22,330)",--,--,"155 (9,242)",--,"193 (46,878)","160 (7,261)",--,--,--,"167 (24,349)",--,--,"179 (3,128)",--,"192 (15,862)",--,--,--,--,--,--,--,--,"152 (2,260)",--,--,--,--,--,--,--
2019/06/20,--,"148 (494,838)",--,--,--,--,--,--,--,--,--,"151 (22,564)",--,--,"149 (9,243)",--,"188 (45,259)","158 (7,003)",--,--,--,"163 (24,328)",--,--,"182 (3,240)",--,"197 (15,067)",--,--,--,--,--,--,--,--,"147 (2,366)",--,--,--,--,--,--,--
2019/06/27,--,"145 (488,843)",--,--,--,--,--,--,--,--,--,"151 (22,226)",--,--,"154 (8,988)",--,"195 (44,057)","158 (6,998)",--,--,--,"165 (24,469)",--,--,"176 (3,215)",--,"185 (15,763)",--,--,--,--,--,--,--,--,"146 (2,453)",--,--,--,--,--,--,--
