Date,Global,US,GB,DE,CA,NL,SE,AU,IT,DK,PL,IE,NO,AT,CH,FR,BE,NZ,CZ,FI,JP,HU,ES,SK,PT,SG,IS,RO,LT,LV,LU,AE,ZA,HK,EE,GR,CY,BG
Total,293099505,66666563,44746209,41916299,16203354,12047784,11692900,10746176,8193115,7337513,6851813,5283260,5232919,4771248,3256702,2704622,2538325,2481464,2172055,1908187,1413216,1067297,993526,806945,582921,438694,413033,365506,289705,267498,217695,212815,193454,189402,174395,135582,104886,51123
Peak,"16 (28,371,502)","35 (5,509,281)","13 (4,318,343)","9 (4,181,233)","18 (1,594,672)","19 (1,254,741)","20 (1,039,568)","10 (1,366,464)","32 (1,093,970)","16 (493,129)","32 (735,547)","12 (501,090)","24 (468,469)","7 (431,169)","14 (355,627)","45 (962,312)","16 (363,627)","8 (281,436)","13 (188,718)","17 (228,897)","86 (425,976)","24 (155,313)","155 (374,385)","19 (72,216)","50 (108,172)","59 (77,955)","30 (31,464)","73 (54,833)","28 (33,089)","23 (27,095)","13 (24,349)","48 (33,502)","80 (73,990)","101 (38,935)","34 (15,845)","144 (51,533)","41 (12,475)","89 (15,247)"
2020/11/19,--,--,--,--,--,--,--,--,--,"187 (68,041)",--,--,--,"132 (36,906)",--,--,--,--,--,--,--,--,--,--,--,--,"158 (6,126)",--,--,--,--,--,--,--,--,--,--,--
2020/11/26,--,--,"113 (480,076)","105 (608,645)","100 (315,929)",--,"86 (208,848)",--,--,"79 (128,632)",--,"98 (55,624)","123 (91,943)","40 (74,951)",--,--,--,--,--,--,--,--,--,--,--,--,"97 (8,781)",--,--,--,--,--,--,--,--,--,--,--
2020/12/03,"101 (8,410,627)","95 (2,279,942)","42 (1,069,938)","23 (1,549,727)","65 (441,310)","112 (258,421)","24 (575,128)",--,--,"31 (285,334)",--,"51 (106,714)","52 (207,848)","12 (167,334)","55 (92,735)",--,--,"144 (53,271)","68 (58,676)",--,--,--,--,"72 (21,211)",--,--,"63 (13,846)",--,"157 (6,760)","144 (6,847)","84 (4,542)",--,--,--,"184 (4,872)",--,"139 (2,259)",--
2020/12/10,"56 (10,924,203)","66 (2,764,815)","29 (1,447,206)","14 (1,774,762)","41 (593,240)","51 (517,411)","29 (521,427)","108 (332,293)","84 (407,446)","29 (279,824)","67 (252,290)","35 (164,879)","45 (238,923)","10 (181,902)","32 (128,220)",--,"103 (74,724)","73 (80,928)","47 (74,809)",--,--,"138 (24,671)",--,"41 (28,927)",--,--,"50 (16,784)","179 (16,525)","116 (8,762)","100 (8,619)","44 (7,109)",--,--,--,"136 (5,831)",--,"97 (2,983)",--
2020/12/17,"67 (11,462,354)","87 (3,043,095)","28 (1,510,197)","17 (1,702,688)","47 (666,211)","35 (596,223)","30 (518,249)","84 (404,712)","132 (309,668)","28 (265,336)","50 (285,632)","32 (177,312)","39 (258,214)","10 (161,796)","39 (117,691)",--,"78 (87,627)","61 (98,802)","30 (83,475)","54 (88,995)",--,"113 (30,383)",--,"31 (32,627)",--,--,"42 (19,211)","154 (18,090)","80 (10,137)","62 (10,991)","50 (7,120)",--,--,--,"123 (6,969)",--,"90 (3,215)",--
2020/12/24,"24 (21,042,865)","35 (4,551,457)","20 (2,437,116)","9 (3,836,192)","18 (1,087,777)","20 (887,430)","23 (1,039,568)","11 (1,107,388)","54 (578,181)","20 (493,129)","32 (483,227)","21 (294,133)","24 (412,240)","7 (366,735)","16 (265,673)","190 (375,983)","28 (216,777)","8 (275,673)","13 (153,143)","17 (228,897)","132 (205,128)","24 (93,561)","155 (322,001)","19 (55,863)","50 (87,790)","118 (57,721)","38 (31,464)","73 (28,352)","31 (16,653)","23 (20,639)","21 (15,584)","55 (17,936)","134 (22,909)","108 (29,930)","51 (12,730)","144 (28,079)","41 (5,384)","144 (6,948)"
2020/12/31,"61 (9,509,781)","84 (2,322,982)","22 (1,448,466)","33 (1,090,128)","27 (658,276)","21 (686,369)","110 (181,218)","45 (524,060)","90 (368,598)","139 (77,855)",--,"35 (145,047)","81 (111,876)","33 (72,170)","43 (106,261)",--,"61 (108,019)","105 (66,737)","162 (29,923)",--,--,"122 (23,381)",--,"163 (10,830)","181 (32,682)",--,"95 (7,801)",--,"98 (8,112)","89 (7,782)","39 (7,337)","149 (10,432)",--,"181 (21,055)",--,"155 (25,380)","63 (4,084)",--
2021/11/18,--,--,--,--,--,--,--,--,--,"161 (63,100)",--,--,--,"155 (36,231)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
