Date,Global,US,GB,CA,DE,SE,AU,NL,PL,IT,IE,NO,ES,DK,FR,CH,BE,PH,AT,NZ,CZ,HU,FI,PT,SG,GR,SK,RO,JP,MY,LT,HK,MX,LV,UA,IS,RU,EE,AE,ZA,TW,LU,TH,BG,KR,VN,CL,CY,CR,GT,EC,PA,DO,MT,HN,KZ,BY,BO,NI,AD
Total,905399788,367735484,118877694,56547753,49972237,25921036,25260782,23558044,20750613,13335396,13254209,12513556,8875771,8008865,7774823,7139085,6774895,6217053,6009505,5034271,4739578,4638574,4365050,3260897,2884076,2730458,2487245,2200768,2192123,1626010,1381808,1360514,1321209,1181382,1137602,1028869,942842,813203,806165,741643,735376,598802,568081,557590,541653,506283,442147,387892,377980,270591,231046,228819,157314,141246,134083,127796,82906,35305,32713,1296
Peak,"3 (62,796,483)","1 (20,369,116)","3 (7,535,083)","1 (3,955,109)","6 (4,468,604)","3 (1,451,093)","3 (2,838,181)","7 (1,842,883)","3 (1,793,919)","8 (1,832,871)","2 (892,549)","10 (564,488)","40 (1,184,754)","17 (577,919)","21 (1,368,061)","3 (569,691)","4 (621,352)","28 (842,740)","4 (547,575)","3 (512,197)","3 (301,947)","2 (422,013)","7 (352,998)","5 (354,860)","10 (201,864)","2 (198,023)","3 (152,454)","1 (166,025)","34 (366,256)","32 (175,716)","1 (102,074)","10 (106,218)","187 (1,321,209)","1 (82,193)","9 (96,099)","6 (47,991)","17 (218,404)","1 (48,660)","4 (82,180)","16 (175,553)","68 (125,476)","3 (47,955)","143 (180,565)","4 (45,683)","35 (70,686)","66 (65,431)","73 (442,147)","4 (32,005)","62 (79,595)","99 (109,036)","87 (113,214)","49 (39,639)","69 (42,721)","3 (17,683)","90 (39,074)","58 (30,431)","54 (27,601)","149 (35,305)","137 (20,791)","40 (1,296)"
2014/12/07,--,--,--,"196 (9,167)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2014/12/14,--,--,--,"187 (10,459)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2014/12/21,--,--,--,"146 (12,406)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2014/12/28,--,--,--,"62 (22,981)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2015/12/24,"162 (2,149,643)","107 (993,759)","147 (265,325)","134 (73,166)",--,"174 (164,434)",--,--,--,--,"180 (14,840)","139 (84,672)",--,"68 (147,692)",--,--,--,--,--,--,--,"200 (5,850)",--,--,--,--,"182 (1,824)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2015/12/31,--,"170 (664,249)","99 (307,548)","129 (63,834)",--,--,--,--,--,--,"131 (15,257)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,"158 (2,736)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2016/11/24,--,--,--,--,--,--,--,--,--,--,--,--,--,"187 (51,651)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2016/12/01,--,"91 (1,466,263)",--,"168 (115,841)",--,--,--,--,--,--,--,"151 (79,062)",--,"85 (118,035)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
