Date,Global,US,GB,CA,AU,IE,DE,NZ,NL,FR,CH,BE,HU,AT,SE,SK,LV,PT,LT,CZ,EE,LU,FI,RO,DK,GR,IS,PL,AE,MT,ZA,CY,BG,IT
Total,227738346,123721720,23996732,19845706,8098752,2818647,2133482,1692713,1415282,1307099,1154035,1030885,830437,726901,598645,390674,324630,301847,273960,272688,156336,142538,141785,136549,91720,83089,75139,45900,45501,42126,40557,38838,34385,32474
Peak,"52 (17,649,258)","22 (7,643,280)","41 (2,132,081)","22 (1,454,093)","27 (1,087,142)","37 (253,291)","123 (819,035)","32 (186,078)","114 (339,996)","102 (575,970)","56 (129,409)","63 (147,377)","37 (96,925)","79 (97,405)","179 (217,529)","67 (30,560)","29 (24,658)","117 (83,408)","48 (27,391)","75 (51,144)","48 (13,551)","37 (14,229)","138 (78,933)","87 (39,793)","187 (91,720)","81 (17,618)","145 (11,208)","123 (29,050)","142 (17,775)","61 (6,468)","152 (25,634)","78 (7,573)","119 (11,777)","139 (32,474)"
2014/12/21,--,--,--,--,--,"189 (6,817)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2014/12/28,--,"85 (624,790)",--,"61 (23,934)",--,"102 (11,762)",--,--,--,"102 (42,666)","145 (9,258)","198 (10,240)","102 (4,647)",--,--,"110 (1,255)","121 (2,511)",--,"145 (1,576)","178 (2,613)",--,--,--,--,--,"134 (2,431)","150 (1,323)","123 (16,850)",--,--,--,--,--,"139 (32,474)"
2015/12/24,--,"154 (782,289)",--,--,--,--,--,--,--,"146 (92,644)",--,--,--,--,--,"198 (1,734)","115 (3,401)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2016/12/08,--,"155 (1,236,448)",--,"178 (121,861)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2016/12/15,--,"153 (1,318,867)",--,"156 (144,806)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2016/12/22,--,"124 (1,470,275)",--,"113 (180,479)",--,"199 (21,192)",--,--,--,--,--,--,--,--,--,"185 (2,787)","149 (3,087)",--,"135 (2,943)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2016/12/29,"137 (3,585,596)","84 (1,666,748)","102 (463,707)","59 (238,016)","126 (150,959)","110 (31,380)",--,"120 (46,061)",--,"160 (124,186)","95 (27,996)","109 (30,728)","87 (11,711)",--,--,"161 (2,679)","83 (4,614)",--,"110 (3,768)","200 (6,563)","143 (2,863)","87 (2,099)",--,--,--,"123 (4,300)",--,"174 (29,050)",--,"168 (1,581)",--,--,"181 (1,535)",--
2017/11/30,--,"151 (1,413,625)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2017/12/07,--,"133 (1,741,329)",--,--,--,--,--,--,--,--,--,--,"191 (7,777)",--,--,"140 (4,844)","131 (4,448)",--,"128 (3,814)",--,--,--,--,--,--,"185 (4,194)",--,--,--,"157 (2,222)",--,--,--,--
2017/12/14,--,"115 (1,933,214)",--,"152 (204,302)",--,--,--,--,--,--,--,--,"167 (9,020)",--,--,"113 (5,932)","103 (5,416)",--,"104 (4,491)","152 (13,144)","163 (3,382)","183 (1,995)",--,--,--,"151 (4,923)",--,--,--,"141 (2,359)",--,--,--,--
2017/12/21,--,"106 (2,072,241)","187 (367,179)","129 (237,746)",--,"179 (34,001)",--,--,--,--,--,--,"115 (13,234)",--,--,"92 (7,318)","96 (6,524)",--,"92 (5,348)","127 (16,674)","146 (3,987)","198 (1,925)",--,--,--,"155 (5,490)",--,--,--,"142 (2,619)",--,--,--,--
2017/12/28,"139 (5,291,075)","80 (2,514,247)","72 (757,682)","62 (367,289)","86 (339,481)","84 (58,544)",--,"102 (73,612)",--,--,--,"83 (55,367)","50 (27,765)",--,--,"83 (8,141)","47 (9,700)",--,"68 (7,015)","87 (18,548)","90 (5,544)","72 (4,037)",--,--,--,"105 (7,421)",--,--,--,"85 (3,582)",--,"109 (1,218)","140 (2,630)",--
2018/11/29,--,"158 (1,703,985)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2018/12/06,--,"146 (2,114,757)",--,"121 (296,995)",--,--,--,--,--,--,--,--,--,--,--,--,"176 (4,714)",--,"199 (4,048)",--,--,--,--,--,--,"193 (6,761)",--,--,--,--,--,--,--,--
2018/12/13,--,"120 (2,354,061)","165 (465,293)","86 (364,111)",--,"168 (46,372)",--,--,--,--,--,--,--,--,--,--,"148 (5,480)",--,"125 (5,444)",--,"194 (3,985)",--,--,--,--,"166 (7,657)",--,--,--,"189 (3,087)",--,"193 (1,148)",--,--
2018/12/20,"170 (5,187,326)","92 (2,608,119)","128 (564,206)","70 (401,022)","148 (250,518)","132 (55,587)",--,"152 (54,013)",--,--,--,--,"96 (20,288)",--,--,"116 (10,557)","82 (7,814)",--,"95 (6,873)","143 (22,197)","112 (5,569)","146 (2,881)",--,"173 (8,768)",--,"147 (8,389)",--,--,--,"137 (3,737)",--,"139 (1,443)",--,--
2018/12/27,"75 (8,985,226)","51 (3,814,018)","58 (1,140,456)","30 (730,569)","49 (661,915)","72 (98,520)",--,"48 (139,305)","129 (272,730)",--,"85 (72,620)","68 (86,775)","37 (45,639)",--,"191 (189,767)","71 (13,467)","39 (14,069)","162 (26,740)","48 (11,573)","75 (29,543)","59 (8,837)","52 (6,663)",--,"87 (13,428)",--,"81 (13,905)","154 (8,484)",--,--,"71 (5,836)",--,"78 (2,361)","119 (4,480)",--
2019/12/05,--,"89 (2,330,141)","158 (433,058)","101 (334,838)",--,"200 (40,300)",--,--,--,--,--,--,--,--,--,"181 (9,495)","118 (6,416)",--,"152 (5,339)",--,"169 (4,413)",--,--,--,--,--,--,--,--,"146 (2,609)",--,--,--,--
2019/12/12,--,"105 (2,570,486)","140 (534,588)","87 (399,448)",--,"150 (57,151)",--,--,--,--,--,--,"167 (19,252)",--,--,"130 (13,435)","134 (6,774)",--,"121 (6,947)",--,"185 (4,852)","173 (3,284)",--,"178 (13,265)",--,--,--,--,--,"107 (3,690)",--,"167 (1,681)",--,--
2019/12/19,"181 (5,539,728)","88 (2,893,372)","129 (621,718)","71 (456,733)",--,"124 (70,365)",--,--,--,--,--,--,"149 (22,159)",--,--,"132 (14,330)","89 (8,216)",--,"93 (8,379)","177 (27,982)","138 (5,570)","148 (3,534)",--,--,--,--,--,--,--,"89 (4,336)",--,"140 (1,919)",--,--
2019/12/26,"70 (10,208,704)","41 (4,498,397)","60 (1,263,501)","27 (892,589)","53 (672,109)","71 (122,228)",--,"59 (132,726)","160 (256,844)",--,"98 (85,352)","85 (102,553)","47 (62,754)",--,--,"82 (20,162)","39 (15,682)","162 (35,498)","50 (14,236)","102 (38,025)","65 (9,676)","48 (8,765)",--,"98 (17,971)",--,"143 (17,618)",--,--,"165 (6,278)","61 (6,468)","152 (14,923)","79 (2,989)","155 (5,454)",--
2020/11/26,--,--,--,"138 (265,710)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2020/12/03,--,"84 (2,479,013)","181 (401,854)","82 (375,473)",--,"188 (43,340)",--,--,--,--,--,--,--,--,--,--,"181 (6,032)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2020/12/10,"181 (5,668,171)","60 (3,001,452)","122 (575,398)","53 (504,825)",--,"104 (69,722)",--,--,--,--,--,--,--,--,--,"149 (13,792)","141 (7,412)",--,"192 (6,692)",--,--,"144 (3,613)",--,--,--,--,--,--,--,--,--,--,--,--
2020/12/17,"169 (6,380,758)","73 (3,404,927)","102 (633,810)","59 (580,788)",--,"103 (77,921)",--,"173 (56,462)",--,--,--,--,"157 (24,444)",--,--,"142 (14,969)","83 (9,508)",--,"140 (7,823)",--,"170 (5,772)","142 (3,670)",--,--,--,--,--,--,--,--,--,--,--,--
2020/12/24,"65 (11,020,028)","27 (5,039,023)","49 (1,082,851)","22 (958,380)","50 (679,396)","56 (134,572)",--,"49 (167,088)",--,--,"92 (92,197)","99 (96,531)","37 (76,869)","142 (58,658)","189 (217,529)","67 (25,805)","29 (17,858)","136 (50,026)","57 (13,105)","132 (46,255)","64 (10,427)","49 (8,527)",--,"101 (23,723)",--,--,"148 (10,115)",--,"142 (11,341)",--,--,"115 (3,247)",--,--
2020/12/31,"164 (5,802,508)","69 (2,537,545)","62 (757,175)","37 (574,682)","89 (357,886)","88 (75,225)",--,--,--,--,"193 (43,863)","199 (49,827)","166 (20,103)",--,--,--,"114 (7,053)",--,"170 (6,209)",--,--,"81 (4,519)",--,--,--,--,--,--,--,--,--,"136 (2,660)",--,--
2021/11/25,--,--,--,"164 (242,324)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2021/12/02,--,"69 (2,541,294)","164 (422,003)","78 (388,036)",--,"138 (51,295)",--,--,--,--,--,--,--,--,--,--,"193 (6,274)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2021/12/09,"179 (5,860,617)","54 (3,070,360)","83 (686,214)","54 (502,846)",--,"74 (81,597)",--,--,--,--,--,--,--,--,--,--,"118 (8,030)",--,"194 (7,570)",--,"174 (5,748)","170 (3,707)",--,--,--,--,--,--,--,--,--,--,--,--
2021/12/16,"140 (6,523,524)","49 (3,430,900)","72 (755,458)","49 (531,768)","180 (250,317)","64 (94,445)",--,"139 (54,125)",--,--,--,--,--,--,--,--,"154 (7,295)",--,--,--,--,"144 (4,090)",--,--,--,--,--,--,--,--,--,--,--,--
2021/12/23,"76 (9,361,662)","26 (4,584,191)","50 (1,116,422)","30 (793,134)","70 (448,794)","44 (152,468)",--,"71 (93,739)",--,--,"115 (62,936)","198 (60,846)","108 (46,618)","172 (46,993)",--,"143 (22,269)","58 (12,424)",--,"105 (11,590)",--,"106 (7,753)","84 (5,433)",--,"197 (19,601)",--,--,"170 (8,246)",--,--,--,--,"187 (3,376)",--,--
2021/12/30,"74 (9,486,478)","29 (3,727,012)","44 (1,261,350)","27 (827,937)","38 (670,011)","37 (148,477)","186 (536,949)","49 (125,980)","161 (232,244)",--,"66 (101,639)","81 (111,368)","91 (47,709)","139 (51,233)",--,--,"46 (13,291)","165 (41,590)","86 (12,598)",--,"100 (7,362)","57 (7,799)",--,--,--,--,--,--,"186 (10,107)",--,"199 (25,634)","145 (3,860)",--,--
2022/11/24,--,--,--,"156 (277,179)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/12/01,--,"71 (2,828,527)",--,"93 (370,323)",--,--,--,--,--,--,--,--,--,"194 (41,017)",--,--,"195 (7,263)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
