Date,Global,US,ID,PH,MY,BR,AU,CA,GB,IN,SG,ZA,NZ,TH,DE,MX,NL,FR,PT,DK,SE,NO,VN,CL,KR,AE,PE,TW,BE,AR,CH,ES,IE,CO,HK,DO,IL,CR,AT,SA,PL,PA,GT,EC,RO,CZ,FI,HU,HN,GR,BO,MA,PY,SV,LT,IS,SK,EG,LU,LV,UY,CY,NI,BG,UA,EE,NG
Total,585422314,163744642,60867330,47639639,27141795,21765664,20279857,19102614,15445104,13321028,10530448,8401352,8387764,8276968,5672501,5552076,4710617,3161879,2622808,2550246,2463331,2447753,2340851,2200270,2100619,1755182,1672482,1654883,1627220,1564528,1493532,1301256,1297026,929843,847361,669318,631142,583527,565171,560256,557474,433128,346285,332023,293366,289372,285791,279029,262519,261224,254076,251101,245878,226497,220311,181985,180224,179373,167290,131570,124140,119721,118362,73444,72420,69620,52847
Peak,"8 (23,116,338)","9 (6,041,483)","1 (2,586,694)","1 (2,536,423)","1 (484,569)","41 (1,877,170)","9 (1,019,681)","12 (769,675)","34 (950,320)","8 (1,159,714)","1 (345,318)","3 (119,562)","2 (318,864)","6 (406,947)","71 (669,641)","105 (896,852)","47 (433,037)","122 (363,016)","10 (149,578)","22 (217,395)","54 (262,255)","32 (234,504)","39 (102,795)","79 (280,109)","13 (40,163)","4 (48,951)","60 (166,416)","53 (108,947)","37 (126,723)","97 (262,582)","23 (122,996)","128 (343,289)","39 (107,339)","75 (114,691)","33 (58,555)","25 (49,484)","46 (63,468)","45 (59,366)","50 (63,477)","20 (43,705)","157 (149,331)","39 (39,879)","91 (52,090)","88 (48,687)","33 (31,706)","89 (41,557)","112 (51,837)","68 (33,786)","53 (23,777)","79 (39,796)","73 (30,732)","75 (23,245)","93 (37,597)","78 (26,438)","27 (17,373)","31 (15,558)","44 (21,091)","57 (16,063)","16 (10,108)","39 (11,375)","103 (18,677)","15 (8,036)","62 (11,908)","54 (10,051)","139 (19,103)","55 (8,512)","127 (19,763)"
2021/01/07,--,--,"196 (201,370)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2021/01/14,--,--,"41 (575,620)",--,"93 (61,688)",--,--,--,--,--,"178 (41,768)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2021/01/21,--,--,"35 (579,849)",--,"35 (113,628)",--,--,--,--,--,"67 (67,350)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2021/01/28,--,--,"35 (582,915)","106 (260,161)","30 (121,633)",--,--,--,--,--,"53 (78,515)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2021/02/04,--,--,"39 (552,720)","56 (412,453)","27 (128,137)",--,--,--,--,--,"50 (83,534)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2021/02/11,--,"149 (1,663,225)","38 (579,664)","26 (590,809)","16 (161,053)",--,--,"129 (238,267)",--,--,"31 (107,233)","134 (21,353)","195 (45,103)",--,--,--,--,--,--,--,--,--,--,--,--,"115 (11,107)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2021/02/18,"58 (8,268,553)","47 (2,558,104)","10 (964,695)","1 (1,960,848)","3 (258,770)",--,"169 (239,634)","43 (397,564)",--,--,"6 (179,792)","54 (31,082)","77 (66,025)",--,--,--,--,--,--,--,--,--,--,--,"144 (7,826)","23 (23,848)",--,--,--,--,--,--,--,--,--,--,--,--,--,"180 (12,833)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"183 (2,786)",--,--,"151 (2,460)",--,--,--,--,--
2021/02/25,"29 (12,552,614)","25 (3,341,465)","1 (2,221,505)","1 (2,536,423)","1 (391,347)",--,"60 (386,165)","21 (516,204)","195 (347,660)",--,"2 (307,013)","21 (45,907)","43 (105,783)","43 (155,140)",--,--,--,--,--,"146 (62,089)",--,--,"142 (32,166)",--,"57 (12,006)","7 (36,910)",--,"164 (47,434)",--,--,--,--,--,--,"117 (27,296)",--,--,--,--,"101 (18,947)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,"147 (6,257)","164 (5,316)",--,--,"90 (4,026)",--,--,"84 (3,161)",--,--,--,--,--
2021/03/04,"20 (14,624,014)","19 (3,697,897)","1 (2,586,694)","1 (2,390,057)","1 (468,314)",--,"21 (667,841)","17 (560,060)","143 (392,459)",--,"1 (345,318)","11 (57,856)","9 (189,866)","6 (367,347)",--,--,"166 (173,653)",--,"150 (38,284)","123 (71,703)",--,"118 (89,890)","61 (58,801)",--,"31 (14,382)","5 (39,611)",--,"112 (62,283)",--,--,"121 (48,932)",--,"188 (40,234)",--,"100 (30,565)","199 (11,972)",--,--,--,"89 (21,280)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,"140 (6,549)","133 (5,965)",--,--,"68 (4,897)","184 (5,450)",--,"63 (3,432)",--,--,--,--,--
2021/03/11,"19 (16,150,875)","16 (4,204,717)","2 (2,344,880)","1 (2,098,318)","1 (465,555)","113 (833,685)","17 (769,680)","20 (586,905)","90 (482,783)","156 (335,280)","1 (336,497)","11 (67,914)","4 (242,837)","7 (396,252)",--,--,"115 (228,293)",--,"58 (63,118)","91 (88,982)","179 (130,677)","93 (101,600)","58 (68,059)",--,"29 (16,567)","7 (41,983)",--,"59 (93,995)","119 (64,137)",--,"90 (70,012)",--,"140 (45,364)",--,"66 (36,329)","117 (17,737)",--,--,"194 (31,504)","44 (28,878)",--,"191 (12,063)",--,--,--,--,--,--,--,--,--,"192 (13,286)",--,--,"112 (7,375)","105 (6,759)",--,"183 (9,857)","52 (6,197)","137 (6,142)",--,"41 (4,413)",--,--,--,--,--
2021/03/18,"9 (18,435,346)","12 (4,904,696)","3 (2,249,730)","1 (1,948,426)","3 (463,617)","70 (1,157,513)","11 (873,285)","17 (665,331)","59 (626,935)","49 (580,332)","3 (336,950)","5 (77,095)","2 (275,491)","11 (406,947)","140 (459,058)",--,"74 (301,112)","169 (289,194)","33 (95,285)","51 (129,854)","129 (156,158)","62 (142,250)","58 (70,971)",--,"23 (21,204)","5 (42,242)",--,"56 (99,834)","54 (95,443)",--,"44 (96,078)",--,"90 (54,656)",--,"62 (41,082)","66 (25,604)","200 (26,240)","188 (23,611)","134 (37,287)","53 (26,246)",--,"100 (17,973)",--,--,"157 (17,075)",--,--,--,"186 (10,850)",--,--,"125 (18,280)",--,--,"91 (8,381)","76 (8,189)",--,"147 (11,467)","34 (7,270)","107 (6,914)",--,"41 (4,427)",--,--,--,"160 (4,778)",--
