Date,Global,US,GB,PH,AU,ID,BR,CA,MX,DE,NL,MY,FR,SE,SG,AR,ES,NO,IE,NZ,IT,CL,TH,DK,PL,PE,JP,BE,FI,VN,PT,HK,TW,TR,CO,CH,CR,AT,HU,CZ,GR,IN,IL,EC,RO,GT,SV,IS,DO,PA,SK,UY,HN,BO,AE,LT,PY,BG,EE,LV,MT,SA,ZA,NI,LU,CY,KR,EG,MA,UA
Total,1130009680,325361967,82078947,66537698,48051840,47849692,44449809,38458669,37461012,25640773,20445494,14817347,13141332,12544247,12497665,11769142,11461109,9273785,9267089,9145036,8673337,7972686,7552614,6752909,6707406,5568096,5424170,4910312,4460291,4297190,4006894,3945742,3835524,3710528,2960021,2946934,2178742,1808795,1373877,1343885,1341698,1295005,1247381,1240620,1082792,987029,848243,790278,785230,746164,679143,673141,660263,655376,639132,611408,598009,561877,533614,458693,385007,345671,307167,288410,265565,192688,35491,30426,6608,2738
Peak,"1 (59,975,503)","1 (23,636,303)","1 (6,320,632)","1 (2,347,362)","1 (3,266,967)","1 (1,188,405)","7 (2,825,475)","1 (2,929,260)","5 (2,537,275)","10 (1,958,348)","3 (1,774,058)","1 (610,974)","11 (833,219)","3 (1,205,659)","1 (653,412)","23 (643,011)","39 (793,692)","2 (851,909)","1 (737,611)","1 (672,305)","32 (803,248)","29 (589,077)","2 (222,204)","1 (617,068)","2 (406,126)","18 (392,415)","3 (240,619)","1 (265,977)","1 (378,283)","1 (64,714)","1 (225,468)","1 (196,004)","1 (202,859)","23 (278,720)","28 (206,978)","2 (245,239)","3 (132,470)","5 (144,569)","1 (79,933)","5 (81,187)","1 (71,847)","24 (91,103)","1 (56,554)","23 (90,384)","1 (45,651)","11 (63,423)","5 (48,312)","2 (66,143)","11 (57,534)","13 (53,605)","2 (37,620)","22 (42,233)","6 (41,120)","17 (42,958)","44 (10,553)","1 (39,236)","36 (45,326)","1 (24,501)","1 (31,572)","1 (29,014)","1 (26,452)","91 (14,972)","77 (13,538)","4 (16,622)","1 (19,753)","1 (11,757)","160 (7,386)","133 (3,669)","196 (3,477)","154 (2,738)"
2018/11/08,"1 (47,098,337)","1 (22,461,370)","1 (4,645,747)","6 (1,464,304)","1 (2,226,275)","16 (416,629)","22 (1,821,172)","1 (2,566,600)","39 (963,125)","30 (1,189,827)","11 (1,046,796)","1 (379,857)","56 (506,257)","16 (639,079)","1 (406,843)","44 (396,895)","72 (426,671)","15 (407,900)","1 (601,717)","1 (472,258)","50 (531,703)","64 (306,722)","27 (84,789)","10 (363,185)","8 (309,897)","55 (166,135)","17 (116,950)","7 (172,539)","14 (225,423)","5 (35,718)","6 (163,598)","1 (130,136)","15 (94,398)","76 (151,745)","63 (92,354)","10 (159,629)","7 (108,365)","17 (97,459)","4 (57,887)","12 (57,110)","1 (57,518)",--,"5 (36,712)","63 (41,295)","3 (36,124)","33 (32,285)","22 (23,111)","4 (43,010)","23 (38,146)","30 (30,788)","8 (25,725)","41 (30,819)","20 (24,727)","61 (16,534)",--,"2 (27,331)","78 (20,069)","1 (20,235)","3 (22,019)","6 (18,548)","3 (17,909)",--,--,"17 (9,156)","2 (13,472)","2 (8,612)",--,--,--,--
2018/11/15,"1 (59,975,503)","1 (23,636,303)","1 (6,320,632)","1 (2,265,356)","1 (3,266,967)","1 (897,058)","14 (2,248,661)","1 (2,929,260)","12 (1,630,930)","10 (1,958,348)","3 (1,774,058)","1 (610,974)","19 (793,707)","3 (1,205,659)","1 (653,412)","23 (556,034)","39 (758,647)","2 (851,909)","1 (737,611)","1 (672,305)","42 (709,202)","36 (473,705)","5 (179,607)","1 (617,068)","2 (401,163)","35 (252,303)","3 (240,619)","1 (260,484)","1 (378,283)","1 (59,755)","1 (225,468)","1 (196,004)","2 (193,941)","26 (261,471)","47 (140,975)","2 (245,239)","3 (125,925)","5 (144,569)","1 (79,933)","5 (81,187)","1 (71,847)",--,"2 (54,254)","38 (68,915)","1 (45,005)","24 (46,140)","14 (33,341)","2 (66,143)","12 (57,534)","13 (51,308)","3 (37,620)","22 (42,233)","10 (35,759)","29 (31,879)",--,"1 (39,236)","60 (28,997)","1 (24,501)","1 (31,572)","2 (29,014)","1 (26,452)",--,--,"9 (13,186)","1 (19,753)","1 (11,757)",--,--,--,--
2018/11/22,"1 (45,530,537)","1 (16,452,520)","1 (4,545,034)","1 (2,178,553)","1 (2,491,071)","2 (793,974)","20 (1,696,625)","1 (2,059,538)","19 (1,413,629)","14 (1,662,054)","6 (1,410,548)","1 (495,481)","28 (695,980)","3 (1,013,332)","1 (506,387)","34 (471,996)","45 (678,727)","5 (710,362)","1 (524,426)","1 (505,892)","50 (589,734)","47 (396,895)","7 (166,335)","2 (499,419)","4 (322,686)","38 (222,229)","3 (210,083)","3 (225,888)","3 (309,102)","3 (53,189)","3 (192,979)","1 (152,888)","2 (187,215)","44 (216,552)","45 (147,750)","7 (183,722)","10 (94,416)","14 (112,210)","2 (64,900)","7 (68,560)","1 (54,896)",--,"3 (50,496)","48 (55,367)","3 (36,994)","29 (38,318)","21 (27,014)","3 (50,676)","17 (44,949)","22 (40,332)","3 (31,978)","37 (33,582)","16 (28,470)","41 (26,528)",--,"1 (30,679)","67 (25,543)","1 (18,403)","3 (23,571)","2 (22,227)","2 (21,674)",--,--,"13 (11,133)","1 (15,116)","1 (8,636)",--,--,--,--
2018/11/29,"1 (39,493,862)","1 (12,871,255)","1 (3,916,111)","1 (2,095,916)","1 (2,173,168)","2 (870,253)","17 (1,846,161)","1 (1,692,756)","17 (1,513,779)","23 (1,430,989)","12 (1,225,006)","1 (445,502)","19 (646,162)","5 (869,313)","1 (438,001)","30 (477,635)","53 (574,539)","7 (643,956)","1 (452,492)","1 (444,525)","51 (607,217)","43 (396,010)","7 (157,307)","2 (404,206)","6 (311,492)","37 (223,401)","4 (201,861)","4 (210,989)","4 (274,870)","3 (47,586)","3 (189,181)","1 (131,791)","2 (171,329)","53 (192,552)","42 (146,023)","10 (160,393)","13 (88,553)","21 (98,449)","3 (57,730)","6 (63,421)","1 (48,974)",--,"3 (46,550)","49 (54,344)","4 (35,124)","32 (38,664)","18 (27,915)","2 (41,526)","18 (40,878)","28 (37,407)","2 (29,512)","40 (30,172)","17 (26,175)","42 (24,031)",--,"1 (27,287)","63 (25,641)","1 (16,880)","3 (21,435)","2 (20,587)","2 (19,018)",--,--,"14 (10,952)","1 (13,010)","2 (7,547)",--,--,--,--
2018/12/06,"1 (50,459,484)","1 (17,110,866)","1 (4,518,359)","1 (2,347,362)","1 (2,494,170)","2 (1,110,679)","7 (2,825,475)","1 (1,975,552)","5 (2,537,275)","13 (1,806,273)","4 (1,506,172)","1 (496,709)","11 (831,653)","5 (928,218)","1 (507,912)","25 (643,011)","40 (793,692)","7 (651,339)","1 (489,836)","1 (485,256)","32 (803,248)","29 (589,077)","2 (222,204)","10 (443,853)","4 (406,126)","18 (392,415)","3 (221,353)","1 (265,977)","6 (286,708)","1 (64,714)","1 (219,955)","1 (159,977)","1 (202,859)","23 (278,720)","28 (206,978)","3 (201,004)","5 (132,470)","11 (125,021)","1 (77,323)","6 (80,113)","1 (67,258)",--,"1 (56,554)","23 (90,384)","1 (44,396)","11 (63,423)","5 (48,312)","2 (47,043)","11 (54,845)","13 (53,605)","2 (34,866)","27 (41,919)","6 (41,120)","17 (42,958)",--,"1 (34,648)","36 (45,326)","1 (23,210)","2 (27,395)","1 (27,362)","1 (23,279)",--,--,"4 (16,622)","1 (16,668)","1 (10,042)",--,--,--,--
2018/12/13,"1 (41,560,176)","1 (13,117,899)","1 (3,617,181)","1 (2,074,585)","1 (2,053,131)","2 (1,188,405)","13 (2,225,393)","1 (1,605,476)","5 (2,222,891)","11 (1,629,836)","6 (1,298,480)","1 (416,042)","22 (833,219)","7 (780,330)","1 (424,596)","28 (552,960)","40 (710,547)","8 (534,646)","1 (382,595)","1 (423,661)","44 (668,384)","31 (522,334)","4 (188,221)","7 (372,361)","7 (333,326)","18 (366,403)","5 (192,996)","1 (241,775)","5 (234,134)","1 (51,644)","1 (187,283)","1 (137,263)","2 (176,844)","33 (234,311)","30 (183,455)","6 (168,936)","6 (107,100)","15 (110,042)","2 (63,502)","6 (71,294)","1 (52,300)",--,"3 (46,899)","25 (78,831)","4 (36,746)","19 (50,798)","7 (39,857)","3 (38,689)","13 (47,108)","23 (44,271)","5 (29,040)","35 (35,045)","7 (34,263)","20 (35,344)",--,"1 (27,857)","43 (42,036)","1 (18,256)","2 (22,637)","1 (22,893)","1 (19,592)",--,--,"10 (13,180)","1 (13,558)","1 (7,958)",--,--,--,--
2018/12/20,"1 (37,940,606)","2 (11,776,847)","3 (3,290,279)","1 (1,956,313)","1 (1,921,175)","2 (1,179,629)","21 (1,975,632)","1 (1,429,851)","7 (1,973,458)","18 (1,601,754)","8 (1,166,666)","1 (388,524)","12 (806,299)","18 (683,170)","1 (384,138)","29 (521,623)","51 (594,309)","15 (496,808)","1 (366,981)","1 (394,529)","53 (568,954)","39 (467,776)","4 (179,906)","9 (353,363)","14 (315,078)","23 (317,686)","8 (185,335)","3 (222,629)","7 (240,281)","1 (45,781)","1 (177,980)","1 (127,290)","2 (170,169)","46 (215,117)","34 (173,997)","7 (155,592)","10 (95,789)","20 (103,727)","9 (57,462)","13 (67,719)","1 (50,116)",--,"2 (48,416)","31 (71,459)","4 (35,432)","27 (47,474)","11 (34,852)","11 (33,945)","22 (40,750)","32 (38,808)","16 (27,062)","40 (32,022)","14 (30,709)","31 (29,957)",--,"2 (25,604)","47 (38,869)","2 (16,991)","3 (20,872)","5 (20,799)","1 (17,776)",--,--,"13 (12,108)","3 (12,543)","1 (7,419)",--,--,--,--
2018/12/27,"3 (31,180,517)","2 (9,226,168)","13 (2,841,097)","1 (1,728,596)","3 (1,764,589)","2 (1,036,584)","35 (1,646,863)","11 (1,090,677)","12 (1,557,610)","46 (1,230,572)","20 (909,225)","2 (334,184)","17 (719,668)","35 (545,652)","1 (322,497)","38 (503,384)","68 (470,122)","21 (395,787)","7 (342,871)","3 (340,229)","70 (470,041)","51 (398,744)","4 (163,209)","38 (283,804)","31 (245,706)","29 (267,143)","14 (172,630)","12 (188,433)","20 (186,761)","2 (41,822)","3 (136,754)","2 (104,207)","4 (154,244)","61 (184,299)","43 (142,075)","35 (128,708)","13 (79,775)","47 (79,820)","41 (42,359)","27 (49,150)","5 (40,267)",--,"3 (43,798)","43 (58,668)","13 (28,185)","33 (39,316)","14 (30,476)","20 (25,928)","43 (31,841)","45 (32,301)","34 (20,581)","53 (28,152)","19 (25,634)","36 (25,122)",--,"13 (20,171)","59 (29,294)","10 (12,628)","13 (16,196)","26 (16,084)","12 (13,682)",--,--,"14 (10,434)","25 (10,308)","7 (6,181)",--,--,--,--
