Date,US,AU,GB,NZ,CA,IE,PL,HU,SK,MT,LV,LU
Total,2598698,2063665,1080238,521461,516642,127164,28783,9779,5134,3161,2886,1380
Peak,"162 (2,598,698)","116 (386,015)","115 (784,568)","84 (96,859)","116 (516,642)","144 (84,431)","197 (28,783)","115 (9,779)","187 (2,769)","171 (1,632)","172 (2,886)","168 (1,380)"
2015/12/24,--,--,--,"199 (21,355)",--,--,--,--,--,--,--,--
2016/12/22,--,--,--,--,--,"193 (21,692)","197 (28,783)",--,"187 (2,769)","171 (1,632)",--,--
2016/12/29,--,"117 (156,264)","184 (295,670)","106 (50,118)",--,"192 (21,041)",--,"115 (9,779)","191 (2,365)","176 (1,529)","172 (2,886)","168 (1,380)"
2017/12/28,--,"116 (280,668)",--,"121 (62,957)",--,--,--,--,--,--,--,--
2018/12/27,--,"138 (316,642)",--,"120 (75,879)",--,--,--,--,--,--,--,--
2019/12/26,--,"118 (386,015)",--,"84 (96,859)",--,--,--,--,--,--,--,--
2020/12/24,--,"183 (298,664)",--,"130 (80,541)",--,--,--,--,--,--,--,--
2021/12/30,--,"168 (267,520)",--,"182 (57,473)",--,--,--,--,--,--,--,--
2023/12/28,"162 (2,598,698)","198 (357,892)","115 (784,568)","178 (76,279)","116 (516,642)","144 (84,431)",--,--,--,--,--,--
