Date,Global,GB,US,AU,IE,CA,NZ,SG,PH,TH,MY,LV,TW,LT,HK,EE,MT,GR
Total,14773845,9757151,1949179,962035,554782,283219,116460,67679,54852,46356,23545,13892,12682,9754,8653,3952,2574,2148
Peak,"129 (2,363,296)","65 (368,271)","98 (1,128,892)","59 (156,091)","76 (25,524)","112 (81,033)","85 (30,681)","118 (19,664)","190 (54,852)","160 (46,356)","144 (12,473)","112 (4,916)","170 (12,682)","133 (4,181)","162 (8,653)","164 (2,069)","91 (1,564)","191 (2,148)"
2016/02/18,--,"126 (218,668)",--,--,"171 (12,572)",--,--,--,--,--,--,--,--,--,--,--,--,--
2016/02/25,"129 (2,363,296)","65 (368,271)","98 (1,128,892)","59 (156,091)","85 (21,669)","112 (81,033)","85 (30,681)","132 (17,836)","190 (54,852)",--,"144 (12,473)","133 (2,230)","170 (12,682)","133 (2,002)","162 (8,653)","164 (2,069)","151 (1,010)",--
2016/03/03,"171 (1,890,639)","77 (318,674)","154 (820,287)","62 (142,718)","88 (19,871)","126 (77,259)","93 (29,044)","118 (19,664)",--,--,"168 (11,072)","112 (2,592)",--,"155 (1,783)",--,"188 (1,883)","91 (1,564)","191 (2,148)"
2016/03/10,--,"83 (287,026)",--,"130 (73,416)","105 (18,028)","180 (64,071)","152 (19,686)","150 (15,754)",--,--,--,"148 (2,221)",--,--,--,--,--,--
2016/03/17,--,"65 (367,866)",--,"124 (70,123)","80 (21,815)","180 (60,856)","149 (19,810)","175 (14,425)",--,--,--,--,--,"166 (1,788)",--,--,--,--
2016/03/24,--,"81 (299,850)",--,"157 (62,130)","78 (23,129)",--,"189 (17,239)",--,--,--,--,"183 (1,933)",--,--,--,--,--,--
2016/03/31,--,"100 (251,087)",--,--,"76 (24,571)",--,--,--,--,--,--,--,--,--,--,--,--,--
2016/04/07,--,"130 (230,624)",--,--,"100 (18,448)",--,--,--,--,--,--,--,--,--,--,--,--,--
2016/04/14,--,"147 (210,648)",--,--,"123 (16,214)",--,--,--,--,--,--,--,--,--,--,--,--,--
2016/04/21,--,"165 (200,173)",--,--,"147 (14,930)",--,--,--,--,--,--,--,--,--,--,--,--,--
2016/04/28,--,"161 (206,164)",--,--,"150 (14,750)",--,--,--,--,--,--,--,--,--,--,--,--,--
2016/05/05,--,"164 (202,573)",--,--,"146 (15,342)",--,--,--,--,--,--,--,--,--,--,--,--,--
2016/05/12,--,--,--,--,"188 (12,923)",--,--,--,--,--,--,--,--,--,--,--,--,--
2016/07/14,--,"144 (222,294)",--,"166 (68,400)","150 (16,407)",--,--,--,--,--,--,--,--,--,--,--,--,--
2016/07/21,--,"157 (215,476)",--,"172 (69,990)","180 (14,497)",--,--,--,--,--,--,--,--,--,--,--,--,--
2016/07/28,--,"144 (224,766)",--,"136 (84,628)","165 (15,220)",--,--,--,--,--,--,--,--,--,--,--,--,--
2016/08/04,--,"114 (256,158)",--,"140 (85,914)","139 (16,539)",--,--,--,--,--,--,--,--,--,--,--,--,--
2016/08/11,--,"120 (255,696)",--,"177 (75,092)","148 (16,171)",--,--,--,--,--,--,--,--,--,--,--,--,--
2016/08/18,--,"112 (274,722)",--,"192 (73,533)","149 (16,387)",--,--,--,--,--,--,--,--,--,--,--,--,--
2016/08/25,--,"100 (298,097)",--,--,"146 (17,049)",--,--,--,--,--,--,--,--,--,--,--,--,--
2016/09/01,--,"99 (305,912)",--,--,"131 (19,661)",--,--,--,--,--,--,--,--,--,--,--,--,--
2016/09/08,--,"92 (332,766)",--,--,"122 (19,545)",--,--,--,--,--,--,--,--,--,--,--,--,--
