Date,Global,US,GB,CA,AU,IE,DE,NZ,AT,NL,IT,CH,BE,SE,HU,DK,LV,IS,PT,LU,LT,EE,AE,CZ,SK,MT,CY,GR
Total,153887736,87446034,19703777,12994853,5349592,1699301,1641303,1339104,605507,576779,525868,342997,249546,240758,193489,103066,86467,83600,70817,55221,54940,31200,19323,14714,10161,10121,7955,5644
Peak,"50 (17,852,287)","19 (7,886,177)","38 (2,368,184)","22 (1,381,991)","43 (878,689)","41 (248,125)","123 (895,292)","38 (173,393)","81 (109,774)","124 (317,964)","112 (525,868)","70 (122,933)","108 (115,643)","132 (240,758)","86 (73,370)","161 (103,066)","52 (19,269)","117 (12,530)","160 (70,817)","61 (11,242)","72 (21,413)","71 (11,511)","159 (19,323)","132 (14,714)","135 (5,240)","105 (3,113)","140 (6,890)","146 (5,644)"
2014/12/28,--,--,"142 (171,518)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2015/12/24,--,--,"153 (256,541)",--,--,--,--,"183 (22,505)","189 (10,385)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2016/12/22,--,--,"161 (313,465)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2016/12/29,--,--,"98 (473,759)",--,"156 (131,357)","151 (24,864)",--,"124 (45,034)","169 (15,078)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2017/12/07,--,"164 (1,531,231)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2017/12/14,--,"143 (1,690,029)","171 (355,526)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"177 (1,988)",--,--
2017/12/21,--,"141 (1,775,732)","139 (434,656)","161 (201,512)",--,"168 (35,798)",--,--,--,--,--,--,--,--,--,--,"166 (4,590)",--,--,--,"182 (3,443)",--,--,--,"177 (4,921)","177 (2,293)",--,--
2017/12/28,"160 (4,771,292)","101 (2,139,385)","69 (796,182)","81 (315,291)","89 (331,238)","89 (56,951)",--,"90 (79,295)","180 (23,517)",--,--,--,"117 (43,259)",--,"86 (19,506)",--,"92 (6,827)",--,--,"88 (3,431)","110 (4,931)","112 (4,650)",--,"132 (14,714)","135 (5,240)","105 (3,113)","140 (1,065)","146 (5,644)"
2018/12/20,--,"199 (1,685,100)","155 (486,861)","176 (236,559)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2018/12/27,"180 (5,461,546)","129 (2,340,611)","87 (852,009)","94 (427,072)","79 (475,233)","135 (60,285)",--,"66 (117,310)","198 (31,975)",--,--,--,--,--,"180 (16,347)",--,"173 (5,580)",--,--,--,--,--,--,--,--,--,--,--
2019/12/19,--,--,--,"191 (271,349)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2019/12/26,"166 (6,186,790)","95 (2,815,595)","107 (819,187)","81 (524,509)","81 (497,110)","160 (62,796)",--,"64 (124,425)",--,--,--,--,--,--,--,--,"169 (6,877)",--,--,"176 (3,702)",--,--,--,--,--,"199 (2,727)",--,--
2020/12/10,--,"144 (1,917,607)","200 (396,507)","144 (294,888)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2020/12/17,--,"132 (2,231,278)","181 (449,244)","113 (359,832)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2020/12/24,"149 (7,301,381)","63 (3,366,708)","84 (762,976)","48 (611,440)","76 (516,046)","110 (81,924)",--,"67 (143,949)","139 (59,538)",--,--,--,--,--,"170 (32,029)",--,"115 (9,429)",--,--,"177 (4,143)",--,--,--,--,--,--,--,--
2020/12/31,--,"166 (1,726,748)","116 (523,227)","73 (384,920)","160 (286,274)","179 (45,686)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2021/12/02,--,"133 (1,855,424)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2021/12/09,--,"86 (2,524,035)","143 (486,973)","117 (319,289)",--,"191 (45,379)",--,--,--,--,--,--,--,--,--,--,--,"193 (6,584)",--,--,--,--,--,--,--,--,--,--
2021/12/16,--,"79 (2,809,285)","125 (540,030)","104 (357,295)",--,"153 (53,614)",--,--,--,--,--,--,--,--,--,--,--,"179 (7,068)",--,--,--,--,--,--,--,--,--,--
2021/12/23,"160 (6,449,188)","47 (3,594,474)","88 (730,751)","60 (512,823)","152 (272,569)","102 (77,881)",--,"105 (72,027)",--,--,--,--,--,--,--,--,--,"163 (8,606)",--,--,--,--,--,--,--,--,--,--
2021/12/30,"157 (6,287,130)","53 (2,987,355)","80 (775,695)","48 (548,552)","88 (410,901)","107 (70,507)",--,"83 (92,560)",--,--,--,--,--,--,--,--,--,--,--,"188 (3,395)",--,--,--,--,--,--,--,--
2022/11/24,--,--,--,"181 (261,619)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/12/01,--,"63 (2,978,701)",--,"102 (355,805)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/12/08,--,"63 (3,686,612)","97 (712,290)","74 (496,169)",--,"103 (75,746)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/12/15,"165 (7,932,404)","57 (4,413,561)","71 (914,192)","63 (608,708)",--,"63 (102,438)",--,"149 (61,128)","200 (43,307)",--,--,--,--,--,--,--,--,"161 (8,125)",--,--,--,--,--,--,--,--,--,--
2022/12/22,"90 (10,488,187)","29 (5,826,571)","52 (1,143,048)","31 (844,864)","93 (411,483)","56 (127,374)",--,"63 (96,341)","140 (56,952)",--,--,"176 (55,656)",--,--,--,--,--,"128 (10,810)",--,"161 (4,502)",--,--,--,--,--,--,--,--
