Date,Global,US,AU,MY,CA,SG,NZ,IE,KR,GB,AE,TH,LT,PT,ZA,EE,LV,RO,MT,HK,CY,BG
Total,218493166,99688833,20701280,5753358,5343100,4969740,826436,801269,540583,368098,264366,189557,149181,134979,133423,124203,94806,92260,63961,40246,19164,13759
Peak,"112 (6,386,663)","73 (2,511,182)","30 (706,050)","22 (137,412)","97 (291,327)","32 (121,047)","73 (74,079)","119 (51,058)","65 (16,494)","171 (368,098)","103 (8,988)","150 (52,810)","68 (8,368)","171 (34,943)","136 (13,615)","108 (5,750)","100 (6,765)","158 (14,250)","76 (3,633)","169 (21,036)","133 (1,757)","141 (4,948)"
2019/12/05,--,"153 (1,774,268)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2019/12/12,--,"136 (2,197,546)",--,--,--,--,--,--,--,--,"139 (6,122)",--,"143 (6,255)",--,--,--,--,--,"164 (2,910)",--,--,--
2019/12/19,--,"130 (2,259,575)",--,"199 (44,805)",--,"170 (49,845)",--,--,--,--,"131 (6,894)",--,"124 (7,184)",--,--,"199 (4,728)",--,--,"151 (3,228)",--,--,--
2019/12/26,--,"169 (2,047,583)",--,"194 (43,750)",--,"182 (47,647)",--,--,--,--,"163 (6,319)",--,"165 (6,520)",--,--,--,--,--,"182 (2,969)",--,--,--
2020/01/02,"189 (4,681,587)","117 (2,060,096)","173 (229,841)","169 (46,065)","151 (239,765)","145 (50,176)",--,"177 (40,009)",--,--,"134 (6,364)",--,"72 (7,213)",--,--,"133 (4,668)","161 (5,402)","166 (11,627)","85 (3,208)",--,--,--
2020/01/09,"159 (5,130,048)","93 (2,275,101)","137 (245,288)","169 (47,315)","152 (244,571)","142 (54,780)",--,"140 (43,346)",--,--,"121 (6,476)",--,"72 (7,624)",--,"158 (12,086)","126 (4,974)","125 (6,233)","170 (12,596)","76 (3,633)",--,"157 (1,468)","192 (4,130)"
2020/01/16,"154 (5,472,453)","95 (2,402,096)","142 (253,043)","176 (47,266)","169 (244,502)","114 (62,480)",--,"120 (50,445)",--,--,"113 (6,720)",--,"72 (7,942)",--,"136 (13,475)","123 (5,249)","127 (6,483)","158 (14,208)","85 (3,457)",--,"133 (1,757)","180 (4,948)"
2020/01/23,"183 (5,456,506)","118 (2,372,922)","120 (304,282)","185 (46,561)","177 (254,846)","91 (74,756)",--,"136 (51,058)",--,--,"140 (6,295)",--,"98 (7,578)",--,"198 (11,334)","154 (5,059)","182 (5,876)","197 (13,753)","102 (3,388)",--,"161 (1,640)",--
2020/01/30,"169 (5,230,498)","111 (2,188,450)","113 (298,386)","173 (43,058)","189 (233,284)","60 (77,109)",--,"147 (46,962)",--,--,"142 (5,916)","150 (52,134)","101 (6,769)",--,--,"152 (4,763)","181 (5,664)",--,"96 (3,221)",--,"193 (1,452)",--
2020/02/06,"152 (5,404,412)","92 (2,370,677)","96 (319,632)","171 (45,837)","195 (224,934)","54 (93,763)",--,"151 (44,464)",--,--,"138 (6,083)","150 (52,810)","114 (6,695)",--,--,"154 (4,670)","168 (5,707)",--,"93 (3,206)",--,"162 (1,610)",--
2020/02/13,"139 (5,628,956)","97 (2,272,163)","53 (470,992)","186 (45,510)","176 (238,320)","56 (96,449)","127 (57,581)","122 (47,926)",--,--,"139 (6,345)",--,"103 (7,131)",--,"177 (12,041)","147 (4,772)","174 (5,596)",--,"99 (3,094)",--,"152 (1,683)",--
2020/02/20,"161 (5,494,759)","121 (2,172,160)","49 (524,836)",--,"187 (240,733)","52 (103,093)","109 (61,156)","123 (50,149)",--,--,"141 (6,251)",--,"120 (6,903)",--,--,"155 (4,719)","179 (5,458)",--,"95 (3,242)",--,"154 (1,688)",--
2020/02/27,"151 (5,557,236)","112 (2,178,108)","42 (609,654)",--,"138 (280,989)","65 (102,110)","100 (64,537)","119 (47,116)",--,--,"145 (6,184)",--,"123 (6,807)",--,"182 (11,902)","178 (4,568)","183 (5,601)",--,"94 (3,009)",--,"174 (1,588)",--
2020/03/05,"158 (5,556,968)","124 (2,183,526)","41 (621,679)","188 (50,476)","131 (274,416)","53 (101,743)","91 (66,170)","130 (45,165)",--,--,"161 (6,120)",--,"123 (6,385)",--,"200 (11,619)","153 (4,682)",--,--,"87 (3,215)",--,--,--
2020/03/12,"177 (5,383,041)","147 (2,065,001)","37 (659,992)","175 (53,512)","153 (268,071)","54 (102,659)","92 (65,842)","158 (41,889)",--,--,"190 (6,428)",--,"127 (6,375)",--,--,"193 (4,451)",--,--,"94 (2,980)",--,--,--
2020/03/19,"167 (5,130,810)","140 (1,948,421)","33 (638,749)","141 (55,246)","160 (245,559)","45 (106,556)","81 (68,110)","193 (40,327)",--,--,--,--,"106 (6,430)",--,--,"150 (4,968)","193 (5,300)",--,"106 (2,833)",--,--,--
2020/03/26,"112 (6,386,663)","73 (2,511,182)","32 (706,050)","103 (62,806)","97 (291,327)","33 (121,047)","78 (74,079)","134 (49,872)",--,"171 (368,098)","111 (7,468)","196 (41,035)","70 (8,368)",--,"155 (13,025)","108 (5,750)","111 (6,765)","168 (14,250)","91 (3,090)","169 (21,036)","175 (1,557)","141 (4,681)"
2020/04/02,"115 (6,064,517)","74 (2,357,511)","30 (701,043)","112 (58,766)","109 (273,985)","32 (120,227)","73 (67,595)","144 (45,788)",--,--,"124 (7,203)","165 (43,578)","68 (8,245)",--,"154 (13,615)","127 (5,016)","100 (6,668)","192 (13,315)","103 (2,919)","195 (19,210)","180 (1,525)",--
2020/04/09,"125 (5,530,134)","86 (2,119,090)","33 (654,847)","131 (52,834)","106 (266,355)","35 (103,170)","85 (60,251)","173 (41,583)",--,--,"128 (6,548)",--,"77 (7,426)",--,"170 (12,135)","135 (4,708)","116 (6,307)","189 (12,511)","100 (2,735)",--,"158 (1,597)",--
